date,lsoa11cd,lsoa11nm,measure,value
2017-05-01,E01004870,Bolton 015C,total claimants,145
2017-05-01,E01004871,Bolton 015D,total claimants,55
2017-05-01,E01004848,Bolton 016D,total claimants,150
2017-05-01,E01004821,Bolton 016A,total claimants,350
2017-05-01,E01004822,Bolton 016B,total claimants,140
2017-05-01,E01004823,Bolton 016C,total claimants,245
2017-05-01,E01004818,Bolton 017A,total claimants,150
2017-05-01,E01004819,Bolton 017B,total claimants,55
2017-05-01,E01004928,Bolton 017C,total claimants,120
2017-05-01,E01004930,Bolton 017D,total claimants,40
2017-05-01,E01004931,Bolton 017E,total claimants,105
2017-05-01,E01004932,Bolton 017F,total claimants,80
2017-05-01,E01004923,Bolton 018E,total claimants,55
2017-05-01,E01004834,Bolton 018A,total claimants,55
2017-05-01,E01004843,Bolton 018C,total claimants,25
2017-05-01,E01004838,Bolton 018B,total claimants,85
2017-05-01,E01004845,Bolton 018D,total claimants,40
2017-05-01,E01004917,Bolton 019F,total claimants,105
2017-05-01,E01004798,Bolton 019B,total claimants,85
2017-05-01,E01004799,Bolton 019C,total claimants,30
2017-05-01,E01004800,Bolton 019D,total claimants,45
2017-05-01,E01004801,Bolton 019E,total claimants,140
2017-05-01,E01004796,Bolton 019A,total claimants,60
2017-05-01,E01004897,Bolton 020E,total claimants,15
2017-05-01,E01004844,Bolton 020D,total claimants,10
2017-05-01,E01004835,Bolton 020A,total claimants,40
2017-05-01,E01004836,Bolton 020B,total claimants,35
2017-05-01,E01004837,Bolton 020C,total claimants,25
2017-05-01,E01004827,Bolton 021A,total claimants,110
2017-05-01,E01004853,Bolton 021E,total claimants,90
2017-05-01,E01004849,Bolton 021B,total claimants,60
2017-05-01,E01004850,Bolton 021C,total claimants,145
2017-05-01,E01004851,Bolton 021D,total claimants,125
2017-05-01,E01004817,Bolton 022E,total claimants,95
2017-05-01,E01004815,Bolton 022D,total claimants,65
2017-05-01,E01004811,Bolton 022A,total claimants,125
2017-05-01,E01004812,Bolton 022B,total claimants,105
2017-05-01,E01004813,Bolton 022C,total claimants,85
2017-05-01,E01004828,Bolton 023A,total claimants,110
2017-05-01,E01004829,Bolton 023B,total claimants,75
2017-05-01,E01004832,Bolton 023C,total claimants,65
2017-05-01,E01004854,Bolton 023D,total claimants,60
2017-05-01,E01004878,Bolton 023E,total claimants,55
2017-05-01,E01004918,Bolton 024G,total claimants,35
2017-05-01,E01004911,Bolton 024A,total claimants,100
2017-05-01,E01004912,Bolton 024B,total claimants,40
2017-05-01,E01004913,Bolton 024C,total claimants,70
2017-05-01,E01004914,Bolton 024D,total claimants,30
2017-05-01,E01004915,Bolton 024E,total claimants,45
2017-05-01,E01004916,Bolton 024F,total claimants,80
2017-05-01,E01004877,Bolton 025D,total claimants,130
2017-05-01,E01004879,Bolton 025E,total claimants,115
2017-05-01,E01004846,Bolton 025A,total claimants,65
2017-05-01,E01004847,Bolton 025B,total claimants,125
2017-05-01,E01004852,Bolton 025C,total claimants,65
2017-05-01,E01004839,Bolton 026D,total claimants,205
2017-05-01,E01004833,Bolton 026C,total claimants,45
2017-05-01,E01004830,Bolton 026A,total claimants,100
2017-05-01,E01004831,Bolton 026B,total claimants,35
2017-05-01,E01004814,Bolton 027A,total claimants,80
2017-05-01,E01004855,Bolton 027B,total claimants,65
2017-05-01,E01004856,Bolton 027C,total claimants,105
2017-05-01,E01004857,Bolton 027D,total claimants,100
2017-05-01,E01004893,Bolton 028B,total claimants,30
2017-05-01,E01004894,Bolton 028C,total claimants,55
2017-05-01,E01004898,Bolton 028D,total claimants,45
2017-05-01,E01004891,Bolton 028A,total claimants,45
2017-05-01,E01004901,Bolton 028E,total claimants,25
2017-05-01,E01004880,Bolton 029E,total claimants,45
2017-05-01,E01004875,Bolton 029D,total claimants,60
2017-05-01,E01004872,Bolton 029B,total claimants,85
2017-05-01,E01004873,Bolton 029C,total claimants,100
2017-05-01,E01004816,Bolton 029A,total claimants,75
2017-05-01,E01004899,Bolton 030C,total claimants,60
2017-05-01,E01004900,Bolton 030D,total claimants,40
2017-05-01,E01004892,Bolton 030A,total claimants,35
2017-05-01,E01004896,Bolton 030B,total claimants,25
2017-05-01,E01004895,Bolton 031B,total claimants,80
2017-05-01,E01004938,Bolton 031D,total claimants,105
2017-05-01,E01004939,Bolton 031E,total claimants,105
2017-05-01,E01004936,Bolton 031C,total claimants,80
2017-05-01,E01004776,Bolton 031A,total claimants,65
2017-05-01,E01004902,Bolton 032D,total claimants,90
2017-05-01,E01004906,Bolton 032E,total claimants,150
2017-05-01,E01004858,Bolton 032A,total claimants,125
2017-05-01,E01004859,Bolton 032B,total claimants,160
2017-05-01,E01004860,Bolton 032C,total claimants,80
2017-05-01,E01004861,Bolton 033A,total claimants,105
2017-05-01,E01004862,Bolton 033B,total claimants,130
2017-05-01,E01004863,Bolton 033C,total claimants,130
2017-05-01,E01004874,Bolton 033D,total claimants,95
2017-05-01,E01004876,Bolton 033E,total claimants,125
2017-05-01,E01004907,Bolton 034D,total claimants,75
2017-05-01,E01004908,Bolton 034E,total claimants,45
2017-05-01,E01004909,Bolton 034F,total claimants,90
2017-05-01,E01004910,Bolton 034G,total claimants,60
2017-05-01,E01004903,Bolton 034A,total claimants,20
2017-05-01,E01004904,Bolton 034B,total claimants,45
2017-05-01,E01004905,Bolton 034C,total claimants,80
2017-05-01,E01004937,Bolton 035D,total claimants,25
2017-05-01,E01004940,Bolton 035E,total claimants,45
2017-05-01,E01004933,Bolton 035A,total claimants,25
2017-05-01,E01004934,Bolton 035B,total claimants,75
2017-05-01,E01004935,Bolton 035C,total claimants,35
2017-05-01,E01005014,Bury 001A,total claimants,30
2017-05-01,E01005015,Bury 001B,total claimants,80
2017-05-01,E01005016,Bury 001C,total claimants,40
2017-05-01,E01005017,Bury 001D,total claimants,40
2017-05-01,E01005018,Bury 001E,total claimants,70
2017-05-01,E01005021,Bury 001F,total claimants,5
2017-05-01,E01005023,Bury 002B,total claimants,35
2017-05-01,E01005019,Bury 002A,total claimants,25
2017-05-01,E01005046,Bury 002C,total claimants,20
2017-05-01,E01005048,Bury 002D,total claimants,10
2017-05-01,E01005049,Bury 003D,total claimants,40
2017-05-01,E01005051,Bury 003E,total claimants,55
2017-05-01,E01005047,Bury 003C,total claimants,20
2017-05-01,E01005020,Bury 003A,total claimants,5
2017-05-01,E01005022,Bury 003B,total claimants,15
2017-05-01,E01004976,Bury 004A,total claimants,115
2017-05-01,E01004977,Bury 004B,total claimants,55
2017-05-01,E01004978,Bury 004C,total claimants,80
2017-05-01,E01004981,Bury 004D,total claimants,65
2017-05-01,E01004982,Bury 004E,total claimants,35
2017-05-01,E01004965,Bury 005B,total claimants,10
2017-05-01,E01004966,Bury 005C,total claimants,105
2017-05-01,E01004967,Bury 005D,total claimants,20
2017-05-01,E01004961,Bury 005A,total claimants,65
2017-05-01,E01004963,Bury 006A,total claimants,65
2017-05-01,E01004968,Bury 006B,total claimants,20
2017-05-01,E01005052,Bury 006D,total claimants,25
2017-05-01,E01005053,Bury 006E,total claimants,60
2017-05-01,E01005050,Bury 006C,total claimants,40
2017-05-01,E01004960,Bury 007E,total claimants,180
2017-05-01,E01004954,Bury 007A,total claimants,65
2017-05-01,E01004955,Bury 007B,total claimants,85
2017-05-01,E01004956,Bury 007C,total claimants,100
2017-05-01,E01004957,Bury 007D,total claimants,160
2017-05-01,E01004958,Bury 008A,total claimants,110
2017-05-01,E01004959,Bury 008B,total claimants,100
2017-05-01,E01004979,Bury 008C,total claimants,155
2017-05-01,E01004980,Bury 008D,total claimants,70
2017-05-01,E01005024,Bury 008E,total claimants,100
2017-05-01,E01005026,Bury 008F,total claimants,60
2017-05-01,E01004964,Bury 009D,total claimants,65
2017-05-01,E01004962,Bury 009C,total claimants,40
2017-05-01,E01004947,Bury 009A,total claimants,80
2017-05-01,E01004948,Bury 009B,total claimants,215
2017-05-01,E01004949,Bury 010A,total claimants,25
2017-05-01,E01004950,Bury 010B,total claimants,25
2017-05-01,E01004951,Bury 010C,total claimants,20
2017-05-01,E01004952,Bury 010D,total claimants,20
2017-05-01,E01004953,Bury 010E,total claimants,30
2017-05-01,E01005027,Bury 011B,total claimants,115
2017-05-01,E01005028,Bury 011C,total claimants,140
2017-05-01,E01005029,Bury 011D,total claimants,45
2017-05-01,E01005025,Bury 011A,total claimants,70
2017-05-01,E01005005,Bury 012C,total claimants,25
2017-05-01,E01005006,Bury 012D,total claimants,80
2017-05-01,E01005000,Bury 012A,total claimants,30
2017-05-01,E01005001,Bury 012B,total claimants,30
2017-05-01,E01005030,Bury 013A,total claimants,125
2017-05-01,E01005054,Bury 013B,total claimants,35
2017-05-01,E01005059,Bury 013C,total claimants,80
2017-05-01,E01005060,Bury 013D,total claimants,55
2017-05-01,E01005002,Bury 014D,total claimants,45
2017-05-01,E01005003,Bury 014E,total claimants,80
2017-05-01,E01004997,Bury 014A,total claimants,45
2017-05-01,E01004998,Bury 014B,total claimants,45
2017-05-01,E01004999,Bury 014C,total claimants,55
2017-05-01,E01004991,Bury 015A,total claimants,55
2017-05-01,E01004992,Bury 015B,total claimants,75
2017-05-01,E01004993,Bury 015C,total claimants,65
2017-05-01,E01004994,Bury 015D,total claimants,90
2017-05-01,E01004990,Bury 016A,total claimants,80
2017-05-01,E01005004,Bury 016C,total claimants,230
2017-05-01,E01004996,Bury 016B,total claimants,135
2017-05-01,E01005008,Bury 016D,total claimants,160
2017-05-01,E01005009,Bury 016E,total claimants,160
2017-05-01,E01005055,Bury 017B,total claimants,20
2017-05-01,E01005056,Bury 017C,total claimants,20
2017-05-01,E01005057,Bury 017D,total claimants,45
2017-05-01,E01005058,Bury 017E,total claimants,25
2017-05-01,E01004945,Bury 017A,total claimants,45
2017-05-01,E01005010,Bury 018B,total claimants,55
2017-05-01,E01005012,Bury 018C,total claimants,80
2017-05-01,E01005013,Bury 018D,total claimants,140
2017-05-01,E01004995,Bury 018A,total claimants,35
2017-05-01,E01004984,Bury 019A,total claimants,25
2017-05-01,E01004985,Bury 019B,total claimants,20
2017-05-01,E01004989,Bury 019C,total claimants,20
2017-05-01,E01005007,Bury 019D,total claimants,45
2017-05-01,E01005011,Bury 019E,total claimants,30
2017-05-01,E01004986,Bury 020B,total claimants,75
2017-05-01,E01004987,Bury 020C,total claimants,160
2017-05-01,E01004988,Bury 020D,total claimants,50
2017-05-01,E01004983,Bury 020A,total claimants,40
2017-05-01,E01004946,Bury 021E,total claimants,160
2017-05-01,E01004941,Bury 021A,total claimants,90
2017-05-01,E01004942,Bury 021B,total claimants,130
2017-05-01,E01004943,Bury 021C,total claimants,70
2017-05-01,E01004944,Bury 021D,total claimants,35
2017-05-01,E01004969,Bury 022A,total claimants,140
2017-05-01,E01004970,Bury 022B,total claimants,35
2017-05-01,E01004971,Bury 022C,total claimants,30
2017-05-01,E01005034,Bury 022D,total claimants,135
2017-05-01,E01005039,Bury 023D,total claimants,85
2017-05-01,E01004972,Bury 023A,total claimants,85
2017-05-01,E01004973,Bury 023B,total claimants,35
2017-05-01,E01004975,Bury 023C,total claimants,70
2017-05-01,E01005045,Bury 023E,total claimants,55
2017-05-01,E01004974,Bury 024A,total claimants,35
2017-05-01,E01005036,Bury 024C,total claimants,135
2017-05-01,E01005037,Bury 024D,total claimants,45
2017-05-01,E01005033,Bury 024B,total claimants,60
2017-05-01,E01005035,Bury 025C,total claimants,50
2017-05-01,E01005031,Bury 025A,total claimants,80
2017-05-01,E01005032,Bury 025B,total claimants,95
2017-05-01,E01005038,Bury 025D,total claimants,30
2017-05-01,E01005040,Bury 026A,total claimants,85
2017-05-01,E01005041,Bury 026B,total claimants,25
2017-05-01,E01005042,Bury 026C,total claimants,50
2017-05-01,E01005043,Bury 026D,total claimants,25
2017-05-01,E01005044,Bury 026E,total claimants,55
2017-05-01,E01005098,Manchester 001A,total claimants,155
2017-05-01,E01005099,Manchester 001B,total claimants,165
2017-05-01,E01005100,Manchester 001C,total claimants,105
2017-05-01,E01005102,Manchester 001D,total claimants,70
2017-05-01,E01005103,Manchester 001E,total claimants,145
2017-05-01,E01005101,Manchester 002A,total claimants,170
2017-05-01,E01005135,Manchester 002B,total claimants,120
2017-05-01,E01005136,Manchester 002C,total claimants,130
2017-05-01,E01005138,Manchester 002D,total claimants,205
2017-05-01,E01005140,Manchester 002E,total claimants,210
2017-05-01,E01005141,Manchester 003C,total claimants,210
2017-05-01,E01005139,Manchester 003B,total claimants,80
2017-05-01,E01005137,Manchester 003A,total claimants,215
2017-05-01,E01005251,Manchester 003D,total claimants,120
2017-05-01,E01005252,Manchester 003E,total claimants,150
2017-05-01,E01005160,Manchester 004B,total claimants,80
2017-05-01,E01005161,Manchester 004C,total claimants,60
2017-05-01,E01005162,Manchester 004D,total claimants,110
2017-05-01,E01005163,Manchester 004E,total claimants,100
2017-05-01,E01005104,Manchester 004A,total claimants,125
2017-05-01,E01005253,Manchester 005E,total claimants,140
2017-05-01,E01005254,Manchester 005F,total claimants,70
2017-05-01,E01005247,Manchester 005A,total claimants,70
2017-05-01,E01005248,Manchester 005B,total claimants,55
2017-05-01,E01005249,Manchester 005C,total claimants,110
2017-05-01,E01005250,Manchester 005D,total claimants,120
2017-05-01,E01005205,Manchester 006B,total claimants,230
2017-05-01,E01005206,Manchester 006C,total claimants,120
2017-05-01,E01005207,Manchester 006D,total claimants,125
2017-05-01,E01005164,Manchester 006A,total claimants,175
2017-05-01,E01005223,Manchester 007A,total claimants,95
2017-05-01,E01005224,Manchester 007B,total claimants,125
2017-05-01,E01005225,Manchester 007C,total claimants,140
2017-05-01,E01005226,Manchester 007D,total claimants,115
2017-05-01,E01005229,Manchester 007E,total claimants,45
2017-05-01,E01005165,Manchester 008D,total claimants,180
2017-05-01,E01005166,Manchester 008E,total claimants,145
2017-05-01,E01005167,Manchester 008F,total claimants,110
2017-05-01,E01005145,Manchester 008A,total claimants,95
2017-05-01,E01005146,Manchester 008B,total claimants,115
2017-05-01,E01005149,Manchester 008C,total claimants,70
2017-05-01,E01005202,Manchester 009A,total claimants,210
2017-05-01,E01005203,Manchester 009B,total claimants,270
2017-05-01,E01005204,Manchester 009C,total claimants,355
2017-05-01,E01005227,Manchester 009D,total claimants,190
2017-05-01,E01005228,Manchester 009E,total claimants,185
2017-05-01,E01005147,Manchester 010D,total claimants,160
2017-05-01,E01005148,Manchester 010E,total claimants,190
2017-05-01,E01005142,Manchester 010A,total claimants,180
2017-05-01,E01005143,Manchester 010B,total claimants,130
2017-05-01,E01005144,Manchester 010C,total claimants,230
2017-05-01,E01005256,Manchester 011A,total claimants,215
2017-05-01,E01005257,Manchester 011B,total claimants,210
2017-05-01,E01005258,Manchester 011C,total claimants,145
2017-05-01,E01005259,Manchester 011D,total claimants,185
2017-05-01,E01005260,Manchester 011E,total claimants,90
2017-05-01,E01005261,Manchester 012E,total claimants,165
2017-05-01,E01005255,Manchester 012D,total claimants,220
2017-05-01,E01005097,Manchester 012C,total claimants,155
2017-05-01,E01005093,Manchester 012A,total claimants,140
2017-05-01,E01005094,Manchester 012B,total claimants,130
2017-05-01,E01005095,Manchester 013A,total claimants,240
2017-05-01,E01005129,Manchester 013B,total claimants,180
2017-05-01,E01005132,Manchester 013C,total claimants,145
2017-05-01,E01005133,Manchester 013D,total claimants,190
2017-05-01,E01005134,Manchester 014D,total claimants,45
2017-05-01,E01005130,Manchester 014B,total claimants,175
2017-05-01,E01005131,Manchester 014C,total claimants,135
2017-05-01,E01005128,Manchester 014A,total claimants,5
2017-05-01,E01005096,Manchester 015B,total claimants,215
2017-05-01,E01005105,Manchester 015C,total claimants,165
2017-05-01,E01005106,Manchester 015D,total claimants,175
2017-05-01,E01005107,Manchester 015E,total claimants,185
2017-05-01,E01005092,Manchester 015A,total claimants,145
2017-05-01,E01005127,Manchester 016A,total claimants,90
2017-05-01,E01005211,Manchester 016B,total claimants,130
2017-05-01,E01005212,Manchester 016C,total claimants,110
2017-05-01,E01005213,Manchester 016D,total claimants,205
2017-05-01,E01005189,Manchester 017D,total claimants,210
2017-05-01,E01005190,Manchester 017E,total claimants,160
2017-05-01,E01005108,Manchester 017A,total claimants,190
2017-05-01,E01005109,Manchester 017B,total claimants,140
2017-05-01,E01005110,Manchester 017C,total claimants,100
2017-05-01,E01005061,Manchester 018A,total claimants,175
2017-05-01,E01005062,Manchester 018B,total claimants,105
2017-05-01,E01005063,Manchester 018C,total claimants,160
2017-05-01,E01005065,Manchester 018D,total claimants,195
2017-05-01,E01005066,Manchester 018E,total claimants,80
2017-05-01,E01005214,Manchester 019D,total claimants,80
2017-05-01,E01005208,Manchester 019A,total claimants,105
2017-05-01,E01005209,Manchester 019B,total claimants,160
2017-05-01,E01005210,Manchester 019C,total claimants,120
2017-05-01,E01005232,Manchester 020C,total claimants,140
2017-05-01,E01005235,Manchester 020D,total claimants,155
2017-05-01,E01005239,Manchester 020E,total claimants,155
2017-05-01,E01005186,Manchester 020B,total claimants,170
2017-05-01,E01005067,Manchester 020A,total claimants,125
2017-05-01,E01005187,Manchester 021A,total claimants,130
2017-05-01,E01005188,Manchester 021B,total claimants,95
2017-05-01,E01005191,Manchester 021C,total claimants,130
2017-05-01,E01005192,Manchester 021D,total claimants,100
2017-05-01,E01005193,Manchester 021E,total claimants,90
2017-05-01,E01005236,Manchester 022D,total claimants,110
2017-05-01,E01005237,Manchester 022E,total claimants,95
2017-05-01,E01005230,Manchester 022B,total claimants,165
2017-05-01,E01005231,Manchester 022C,total claimants,85
2017-05-01,E01005064,Manchester 022A,total claimants,180
2017-05-01,E01005201,Manchester 023E,total claimants,120
2017-05-01,E01005195,Manchester 023A,total claimants,150
2017-05-01,E01005196,Manchester 023B,total claimants,170
2017-05-01,E01005197,Manchester 023C,total claimants,145
2017-05-01,E01005198,Manchester 023D,total claimants,135
2017-05-01,E01005240,Manchester 024A,total claimants,155
2017-05-01,E01005243,Manchester 024B,total claimants,205
2017-05-01,E01005245,Manchester 024C,total claimants,150
2017-05-01,E01005246,Manchester 024D,total claimants,115
2017-05-01,E01005244,Manchester 025C,total claimants,100
2017-05-01,E01005241,Manchester 025A,total claimants,95
2017-05-01,E01005242,Manchester 025B,total claimants,135
2017-05-01,E01005285,Manchester 025D,total claimants,120
2017-05-01,E01005288,Manchester 025E,total claimants,90
2017-05-01,E01005286,Manchester 026D,total claimants,55
2017-05-01,E01005287,Manchester 026E,total claimants,170
2017-05-01,E01005284,Manchester 026C,total claimants,85
2017-05-01,E01005280,Manchester 026A,total claimants,110
2017-05-01,E01005281,Manchester 026B,total claimants,80
2017-05-01,E01005238,Manchester 027F,total claimants,80
2017-05-01,E01005233,Manchester 027D,total claimants,120
2017-05-01,E01005234,Manchester 027E,total claimants,90
2017-05-01,E01005199,Manchester 027B,total claimants,105
2017-05-01,E01005200,Manchester 027C,total claimants,130
2017-05-01,E01005194,Manchester 027A,total claimants,130
2017-05-01,E01005297,Manchester 028A,total claimants,145
2017-05-01,E01005298,Manchester 028B,total claimants,70
2017-05-01,E01005302,Manchester 028C,total claimants,140
2017-05-01,E01005303,Manchester 028D,total claimants,210
2017-05-01,E01005296,Manchester 029E,total claimants,55
2017-05-01,E01005299,Manchester 029F,total claimants,45
2017-05-01,E01005159,Manchester 029D,total claimants,40
2017-05-01,E01005150,Manchester 029A,total claimants,110
2017-05-01,E01005151,Manchester 029B,total claimants,65
2017-05-01,E01005152,Manchester 029C,total claimants,25
2017-05-01,E01005178,Manchester 030A,total claimants,115
2017-05-01,E01005179,Manchester 030B,total claimants,100
2017-05-01,E01005180,Manchester 030C,total claimants,140
2017-05-01,E01005181,Manchester 030D,total claimants,80
2017-05-01,E01005182,Manchester 030E,total claimants,90
2017-05-01,E01005183,Manchester 030F,total claimants,150
2017-05-01,E01005219,Manchester 031A,total claimants,155
2017-05-01,E01005220,Manchester 031B,total claimants,90
2017-05-01,E01005221,Manchester 031C,total claimants,100
2017-05-01,E01005222,Manchester 031D,total claimants,155
2017-05-01,E01005282,Manchester 032D,total claimants,65
2017-05-01,E01005283,Manchester 032E,total claimants,30
2017-05-01,E01005271,Manchester 032C,total claimants,90
2017-05-01,E01005184,Manchester 032A,total claimants,55
2017-05-01,E01005185,Manchester 032B,total claimants,25
2017-05-01,E01005154,Manchester 033A,total claimants,35
2017-05-01,E01005156,Manchester 033B,total claimants,30
2017-05-01,E01005158,Manchester 033C,total claimants,70
2017-05-01,E01005300,Manchester 033D,total claimants,45
2017-05-01,E01005301,Manchester 033E,total claimants,40
2017-05-01,E01005215,Manchester 034C,total claimants,70
2017-05-01,E01005216,Manchester 034D,total claimants,50
2017-05-01,E01005217,Manchester 034E,total claimants,55
2017-05-01,E01005218,Manchester 034F,total claimants,70
2017-05-01,E01005118,Manchester 034A,total claimants,50
2017-05-01,E01005120,Manchester 034B,total claimants,65
2017-05-01,E01005272,Manchester 035B,total claimants,140
2017-05-01,E01005273,Manchester 035C,total claimants,50
2017-05-01,E01005270,Manchester 035A,total claimants,130
2017-05-01,E01005278,Manchester 035D,total claimants,50
2017-05-01,E01005279,Manchester 035E,total claimants,120
2017-05-01,E01005305,Manchester 036A,total claimants,35
2017-05-01,E01005309,Manchester 036B,total claimants,75
2017-05-01,E01005310,Manchester 036C,total claimants,70
2017-05-01,E01005311,Manchester 036D,total claimants,55
2017-05-01,E01005312,Manchester 036E,total claimants,70
2017-05-01,E01005157,Manchester 037D,total claimants,20
2017-05-01,E01005155,Manchester 037C,total claimants,25
2017-05-01,E01005153,Manchester 037B,total claimants,45
2017-05-01,E01005082,Manchester 037A,total claimants,150
2017-05-01,E01005274,Manchester 038A,total claimants,95
2017-05-01,E01005275,Manchester 038B,total claimants,25
2017-05-01,E01005276,Manchester 038C,total claimants,55
2017-05-01,E01005277,Manchester 038D,total claimants,35
2017-05-01,E01005083,Manchester 039D,total claimants,35
2017-05-01,E01005076,Manchester 039A,total claimants,35
2017-05-01,E01005080,Manchester 039B,total claimants,15
2017-05-01,E01005081,Manchester 039C,total claimants,175
2017-05-01,E01005125,Manchester 040A,total claimants,115
2017-05-01,E01005306,Manchester 040C,total claimants,30
2017-05-01,E01005307,Manchester 040D,total claimants,40
2017-05-01,E01005308,Manchester 040E,total claimants,85
2017-05-01,E01005304,Manchester 040B,total claimants,75
2017-05-01,E01005121,Manchester 041B,total claimants,130
2017-05-01,E01005122,Manchester 041C,total claimants,120
2017-05-01,E01005123,Manchester 041D,total claimants,135
2017-05-01,E01005124,Manchester 041E,total claimants,130
2017-05-01,E01005119,Manchester 041A,total claimants,120
2017-05-01,E01005077,Manchester 042A,total claimants,140
2017-05-01,E01005078,Manchester 042B,total claimants,35
2017-05-01,E01005079,Manchester 042C,total claimants,65
2017-05-01,E01005084,Manchester 042D,total claimants,90
2017-05-01,E01005172,Manchester 043A,total claimants,55
2017-05-01,E01005173,Manchester 043B,total claimants,20
2017-05-01,E01005174,Manchester 043C,total claimants,15
2017-05-01,E01005175,Manchester 043D,total claimants,50
2017-05-01,E01005176,Manchester 043E,total claimants,40
2017-05-01,E01005177,Manchester 043F,total claimants,35
2017-05-01,E01005264,Manchester 044C,total claimants,105
2017-05-01,E01005265,Manchester 044D,total claimants,140
2017-05-01,E01005266,Manchester 044E,total claimants,145
2017-05-01,E01005262,Manchester 044B,total claimants,115
2017-05-01,E01005115,Manchester 044A,total claimants,100
2017-05-01,E01005126,Manchester 045A,total claimants,50
2017-05-01,E01005168,Manchester 045B,total claimants,25
2017-05-01,E01005169,Manchester 045C,total claimants,20
2017-05-01,E01005170,Manchester 045D,total claimants,20
2017-05-01,E01005171,Manchester 045E,total claimants,50
2017-05-01,E01005263,Manchester 046A,total claimants,150
2017-05-01,E01005267,Manchester 046B,total claimants,65
2017-05-01,E01005268,Manchester 046C,total claimants,90
2017-05-01,E01005269,Manchester 046D,total claimants,55
2017-05-01,E01005116,Manchester 047E,total claimants,105
2017-05-01,E01005113,Manchester 047C,total claimants,180
