area_code,area_name,geography,period,indicator,accommodation_type,measure,unit,value
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,297
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,678
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,44
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,18
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,41
E05000823,Brooklands,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,270
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1654
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1704
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,516
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,27
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,1
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,7
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,6
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,149
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1120
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1856
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,1824
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,145
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,62
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,51
E05000825,Clifford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,392
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2666
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,617
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,244
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,29
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,9
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,28
E05000826,Davyhulme East,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,1028
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2385
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,430
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,231
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,13
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,3
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,19
E05000827,Davyhulme West,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,621
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2972
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,475
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,433
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,46
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,8
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,48
E05000828,Flixton,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,115
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2343
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1693
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,804
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,55
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,8
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,47
E05000829,Gorse Hill,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,2219
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,962
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,239
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,369
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,11
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,6
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,12
E05000830,Hale Barns,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,811
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1330
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1425
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,483
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,73
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,21
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,34
E05000831,Hale Central,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,228
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2609
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,672
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,1387
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,142
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,77
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,33
E05000832,Longford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,288
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1538
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1417
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,1423
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,237
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,37
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,83
E05000833,Priory,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,3
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,412
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2159
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1177
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,511
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,85
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,7
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,45
E05000835,Sale Moor,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,1
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,1290
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1668
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1061
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,738
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,39
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,5
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,9
E05000834,St Mary's,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,4
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,325
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2244
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,994
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,956
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,121
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,7
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,22
E05000836,Stretford,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,559
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,3271
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,281
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,222
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,15
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,8
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,25
E05000837,Timperley,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,502
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,2162
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1001
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,968
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,172
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,23
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,82
E05000838,Urmston,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,955
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1827
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,688
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,788
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,32
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,0
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,32
E05000839,Village,Electoral ward,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
