area_code,area_name,geography,period,indicator,bedroom_occupancy,measure,unit,value
E05000821,Bowdon,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,527
E05000821,Bowdon,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,52
E05000821,Bowdon,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,7
E05000822,Broadheath,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,2075
E05000822,Broadheath,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,2148
E05000822,Broadheath,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1229
E05000822,Broadheath,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,108
E05000822,Broadheath,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,12
E05000823,Brooklands,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,2016
E05000823,Brooklands,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1381
E05000823,Brooklands,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,746
E05000823,Brooklands,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,56
E05000823,Brooklands,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,4
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1254
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1498
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1243
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,164
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,24
E05000825,Clifford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1148
E05000825,Clifford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1465
E05000825,Clifford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,2102
E05000825,Clifford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,391
E05000825,Clifford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,101
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1816
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1344
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,762
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,56
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,6
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1936
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1424
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,684
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,58
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,6
E05000828,Flixton,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,2009
E05000828,Flixton,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1632
E05000828,Flixton,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,899
E05000828,Flixton,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,57
E05000828,Flixton,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,7
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1389
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1966
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1463
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,223
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,24
E05000830,Hale Barns,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,2257
E05000830,Hale Barns,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1020
E05000830,Hale Barns,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,485
E05000830,Hale Barns,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,44
E05000830,Hale Barns,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,11
E05000831,Hale Central,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,2178
E05000831,Hale Central,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1430
E05000831,Hale Central,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,533
E05000831,Hale Central,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,34
E05000831,Hale Central,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,4
E05000832,Longford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1534
E05000832,Longford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1555
E05000832,Longford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1747
E05000832,Longford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,263
E05000832,Longford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,50
E05000833,Priory,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1519
E05000833,Priory,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1892
E05000833,Priory,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1494
E05000833,Priory,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,108
E05000833,Priory,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,13
E05000835,Sale Moor,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1677
E05000835,Sale Moor,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1533
E05000835,Sale Moor,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1065
E05000835,Sale Moor,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,101
E05000835,Sale Moor,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,21
E05000834,St Mary's,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1859
E05000834,St Mary's,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1565
E05000834,St Mary's,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1226
E05000834,St Mary's,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,147
E05000834,St Mary's,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,17
E05000836,Stretford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1522
E05000836,Stretford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1525
E05000836,Stretford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1435
E05000836,Stretford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,160
E05000836,Stretford,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,27
E05000837,Timperley,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,2409
E05000837,Timperley,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1462
E05000837,Timperley,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,484
E05000837,Timperley,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,26
E05000837,Timperley,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,2
E05000838,Urmston,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1849
E05000838,Urmston,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1729
E05000838,Urmston,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1242
E05000838,Urmston,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,78
E05000838,Urmston,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,12
E05000839,Village,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +2 or more,Count,Households,1700
E05000839,Village,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: +1,Count,Households,1447
E05000839,Village,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: 0,Count,Households,1057
E05000839,Village,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -1,Count,Households,96
E05000839,Village,Electoral ward,2021-03-21,"Occupancy rating based on the number of bedrooms in the household. -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of bedrooms",Occupancy rating of bedrooms: -2 or less,Count,Households,22
