area_code,area_name,geography,period,indicator,availability_category,measure,unit,value
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,963
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,257
E05000825,Clifford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,2030
E05000825,Clifford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,2193
E05000825,Clifford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,771
E05000825,Clifford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,213
E05000826,Davyhulme East,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,629
E05000826,Davyhulme East,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1808
E05000826,Davyhulme East,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1215
E05000826,Davyhulme East,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,333
E05000827,Davyhulme West,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,534
E05000827,Davyhulme West,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1661
E05000827,Davyhulme West,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1436
E05000827,Davyhulme West,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,478
E05000828,Flixton,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,709
E05000828,Flixton,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1917
E05000828,Flixton,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1561
E05000828,Flixton,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,417
E05000829,Gorse Hill,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,1303
E05000829,Gorse Hill,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,2426
E05000829,Gorse Hill,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1080
E05000829,Gorse Hill,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,256
E05000830,Hale Barns,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,376
E05000830,Hale Barns,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1245
E05000830,Hale Barns,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1579
E05000830,Hale Barns,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,619
E05000831,Hale Central,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,430
E05000831,Hale Central,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1747
E05000831,Hale Central,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1554
E05000831,Hale Central,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,448
E05000832,Longford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,1499
E05000832,Longford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,2327
E05000832,Longford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1038
E05000832,Longford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,285
E05000833,Priory,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,1187
E05000833,Priory,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,2417
E05000833,Priory,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1197
E05000833,Priory,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,224
E05000835,Sale Moor,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,825
E05000835,Sale Moor,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,2007
E05000835,Sale Moor,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1283
E05000835,Sale Moor,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,282
E05000834,St Mary's,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,952
E05000834,St Mary's,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1910
E05000834,St Mary's,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1491
E05000834,St Mary's,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,459
E05000836,Stretford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,1188
E05000836,Stretford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,2086
E05000836,Stretford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1092
E05000836,Stretford,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,303
E05000837,Timperley,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,447
E05000837,Timperley,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1785
E05000837,Timperley,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1705
E05000837,Timperley,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,446
E05000838,Urmston,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,1002
E05000838,Urmston,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,2185
E05000838,Urmston,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1389
E05000838,Urmston,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,334
E05000839,Village,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",No cars or vans in household,Count,Households,827
E05000839,Village,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",1 car or van in household,Count,Households,1792
E05000839,Village,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",2 cars or vans in household,Count,Households,1325
E05000839,Village,Electoral ward,2021-03-21,"The number of cars or vans owned or available for use by household members (excludes motorbikes, trikes, quad bikes, mobility scooters, vehicles with a SORN, vehicles owned or used only by a visitor, vehicles that are kept at another address or not easily accessed)",3 or more cars or vans in household,Count,Households,377
