area_code,area_name,geography,period,indicator,room_occupancy,measure,unit,value
E08000003,Manchester,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,66753
E08000003,Manchester,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,17365
E08000003,Manchester,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,4287
E08000004,Oldham,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,32549
E08000004,Oldham,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,28571
E08000004,Oldham,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,22747
E08000004,Oldham,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,6693
E08000004,Oldham,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,2581
E08000005,Rochdale,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,33658
E08000005,Rochdale,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,27992
E08000005,Rochdale,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,21426
E08000005,Rochdale,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,5529
E08000005,Rochdale,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,1618
E08000006,Salford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,40931
E08000006,Salford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,35560
E08000006,Salford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,30776
E08000006,Salford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,6645
E08000006,Salford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,1204
E08000007,Stockport,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,62768
E08000007,Stockport,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,34982
E08000007,Stockport,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,23903
E08000007,Stockport,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,4360
E08000007,Stockport,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,632
E08000008,Tameside,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,33670
E08000008,Tameside,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,34093
E08000008,Tameside,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,25330
E08000008,Tameside,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,5256
E08000008,Tameside,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,1179
E08000009,Trafford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,50470
E08000009,Trafford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,24636
E08000009,Trafford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,17185
E08000009,Trafford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,3433
E08000009,Trafford,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,545
E08000010,Wigan,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +2 or more,Count,Households,70457
E08000010,Wigan,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: +1,Count,Households,43237
E08000010,Wigan,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: 0,Count,Households,24333
E08000010,Wigan,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -1,Count,Households,4408
E08000010,Wigan,Local authority,2021-03-21,"Occupancy rating based on the number of rooms in the household (Valuation Office Agency definition). -1 or less implies overcrowding, +1 or more implies under-occupancy and 0 suggests the household has an ideal number of rooms",Occupancy rating of rooms: -2 or less,Count,Households,670
