Name,Referral method,Opening times,Address,Postcode,Contact,Website,Area name,Area code,marker-color,marker-size
Freedom Church,Agency referral for up to 4 weeks,"Wednesdays 1:30 – 3:30pm, and also a home delivery service for people with access difficulties. They also give out food on evenings and weekends by appointment only.  They also provide advice and support in specific areas.","Link House, 35 Walmersley Road, Bury",BL9 5AE,community@freedomchurch.org.uk ,http://www.freedomchurch.org.uk/food-glorious-food/,Bury,E08000002,#fc6721,medium
Bury Baptist Church,Self-referral,"In addition to emergency food visitors can get free meals and a listening ear Monday 6-7pm, Tuesday 12-1pm, Wednesday 2=3pm and 6-7pm, Thursday 1-3pm","114 Manchester Road, Bury",BL9 0TH,tim.cheprasov...tim@burybaptist.org,https://www.burybaptist.org/,Bury,E08000002,#fc6721,medium
4CT Limited,We have been told that this foodbank is no longer open. We are checking for confirmation.,NA,"Grange Community Resource Centre, Pilgrim Drive.Beswick, Manchester",M11 3TQ,v.keelan.4ct@btconnect.com,http://www.4ct.org.uk/index.php/Section76.html,Manchester,E08000003,#fc6721,medium
Baguley SureStart Centre,For families with young children,Monday - Friday 8am - 4pm. Please ring.,"Ackworth Drive, Baguley, Manchester",M23 1LB,0161 227 3477 / baguley.sscc@manchester.gov.uk,https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=cym_FYfIik8&directorychannel=1-2-4,Manchester,E08000003,#fc6721,medium
Barnabus,Not known,5 days and 5 evenings per week,"45 Bloom Street, Manchester",M1 3LY,admin@barnabusmanchester.co.uk,http://www.barnabus-manchester.org.uk/what_we_do.html,Manchester,E08000003,#fc6721,medium
Boaz Trust,Food parcel or £10/week,Not known,"First Floor, 110 Oldham Road, Manchester",M4 6AG,info@boaztrust.org.uk,www.boaztrust.org.uk,Manchester,E08000003,#fc6721,medium
Booth Centre,Meals only,Food served daily 9am - 1:30pm,"Edward Holt House, Pimblett Street, Manchester",M3 1FU,admin@boothcentre.org.uk,http://www.boothcentre.org.uk/,Manchester,E08000003,#fc6721,medium
Brooklands SureStart Children's Centre,First come first served,Not known,"Sandilands School, Wendover Road, Brooklands, Manchester",M23 9JX,nikki.somerville@barnardos.org.uk,https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=ZvxLzyU_ihk,Manchester,E08000003,#fc6721,medium
Caritas Diocese of Salford,Food & drink available,Monday - Friday 10:30am - 4pm,"104b Denmark Road, Manchester",M15 6JS,Not known,http://www.cornerstonecds.org.uk/,Manchester,E08000003,#fc6721,medium
"Lalley Centre, part of Caritas Diocese of Salford","Self referral for food bank (assessment of circumstances will be made)
Referral by agencies for emergency food parcels","Food Bank – Wednesdays 10am – 12 noon
Emergency Food Parcels – most days via phone when staff are available.","Lalley Centre, Basement of St Malachy's RC Primary School, Eggington Street, Collyhurst, Manchester",M40 7RG,lalleycentre@caritassalford.org.uk,http://www.caritassalford.org.uk/community-resource-centres/lalley-community-centre,Manchester,E08000003,#fc6721,medium
Christ the Vine Ministries,Not known,Weds 12-2pm,"Park View, Harpurhey Road, Rochdale Manchester",M9 5TF,0790 383 3949,http://christthevine.weebly.com/about.html,Manchester,E08000003,#fc6721,medium
Christian Restoration Manchester,Not known,Tuesday 6pm - 8pm and Sunday 3pm - 5pm,"125-133 Pollard Street, Ancoats, Manchester",M4 7JB,crm.manchester@gmail.com,http://crm-manchester.org/,Manchester,E08000003,#fc6721,medium
Chrysalis Manchester,Not known,Not known,"4 Westerling Way, Moss Side, Manchester",M16 7EA,Not known,https://chrysalisfamilycentre.wordpress.com/,Manchester,E08000003,#fc6721,medium
Compassion Prison Ministries,Referral/assessment,Tuesdays & Fridays 12pm - 3pm; 1st Saturday of month 10am - 12noon,"Church of God of Prophecy, 300 Moss Lane East, Moss Side, Manchester",M14 4SS,admin@compassionfoodbank.co.uk,http://www.compassionfoodbank.co.uk/,Manchester,E08000003,#fc6721,medium
Emmeline's Pantry Parlour,Referral,Wednesday 11am - 1pm,"The Pankhurst Centre, 60 - 62 Nelson Street, Manchester",M13 9WP,0161 273 5673,https://www.facebook.com/Emellines/,Manchester,E08000003,#fc6721,medium
FoodCycle Manchester,Cooked meal only,Wednesday 7:30pm,"The Roby, 307 Dickenson Road, Longsight, Manchester",M13 0NG,manchester@foodcycle.org.uk,http://foodcycle.org.uk/location/manchester/,Manchester,E08000003,#fc6721,medium
George House Trust,Food & supplies to knowns only,N/A,"75 - 77 Ardwick Green North, Manchester",M12 6FX,info@ght.org.uk,http://www.ght.org.uk/food-parcel-scheme,Manchester,E08000003,#fc6721,medium
Harpurhey Community Church,Open door,Tuesday from 11am,"Christ Church, Harpurhey, Manchester",M9 5BG,info@christchurchharpurhey.org,http://christchurchharpurhey.org/  http://hcconline.org.uk/theopendoor,Manchester,E08000003,#fc6721,medium
Justlife Health & Enterprise Centre,Hot meal only,Monday & Friday 12noon,"1479-1489 Ashton Old Road, Manchester",M11 1HH,Not known,http://justlife.org.uk/projects/justlife-manchester/,Manchester,E08000003,#fc6721,medium
Lifeshare,self-referral,Saturday & Sunday 7am - 9am.,"Charter Street Ragged School, 142 Dantiz Street, Manchester",M4 4DN,office@lifeshare.org.uk,http://www.lifeshare.org.uk/,Manchester,E08000003,#fc6721,medium
Manchester Buddhist Centre,Not known,Not known,"16-20 Turner Street, Manchester",M4 1DZ,mcrengagedbuddhists@yahoo.co.uk,http://www.manchesterbuddhistcentre.org.uk/sangha/events/engaged-buddhists-food-bank-collection-starts.html,Manchester,E08000003,#fc6721,medium
MERCi,Not known,Timetabled Route,"Bridge 5 Mill, 22a Beswick Street, Ancoats, Manchester",M4 7HR,hello@herbie.org.uk,http://www.herbie.org.uk/,Manchester,E08000003,#fc6721,medium
Mustard Tree,Referral,"Weekdays and Saturdays 10am-4pm, except Thursdays 10am-12.30pm.

Food Club membership: £2 for 10 items / Family food club membership £5 for 20 items - for people on pension or benefits.
‘Approaching Crisis’ should be signposted to our Food Club and advised to bring proof of pension/benefit status.
‘In Crisis’ - Full referral for a food parcel via our website - www.mustardtree.org.uk - a hard copy given to the client plus emailed to us.
.","110 Oldham Road, Ancoats, Manchester",M4 6AG,referrals@mustardtree.org.uk,http://www.mustardtree.org.uk/,Manchester,E08000003,#fc6721,medium
New Covenant Church,Open door,Tuesday 11am - 5pm,"1 Matthews Lane, Ardwick, Manchester",M12 4WQ,info@manchesterncc.org,http://manchesterncc.org/,Manchester,E08000003,#fc6721,medium
New Longsight Housing Co-op,By appointment,By appointment,"Studio 7 Longsight Business Park, Hamilton Road, Longsight, Manchester",M13 0PD,0161 256 4226,https://nlhc.wordpress.com/,Manchester,E08000003,#fc6721,medium
North Manchester Black Health Forum,Assessment,Monday - Wednesday 12 - 2pm,"Woodville Children's Centre, Shirley Road, Cheetham, Manchester",M8 0NE,0161 720 9974,https://sites.google.com/site/nmblackhealth/home,Manchester,E08000003,#fc6721,medium
Northenden Sure Start Children's Centre,Referral,Not known,"Sale Road, Northenden, Manchester",M23 0JX,northenden.sscc@manchester.gov.uk,https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=eVvTdqxYgos&directorychannel=1-2-4,Manchester,E08000003,#fc6721,medium
Rainbow Christian Centre,Proof of circumstances,Friday from 6pm,"29 Bronte Street, Hulme, Manchester",M15 6QL,0161 865 2488,http://opencharities.org/charities/1043339,Manchester,E08000003,#fc6721,medium
Rainbow Haven,Referral or self-refer,Tuesday & Thursday 10am - 2pm,"St Paul & St John, 113 Abbey Hey Lane, Gorton, Manchester",M18 8TJ,finance.rainbowhaven@yahoo.co.uk,http://www.rainbowhaven.org.uk,Manchester,E08000003,#fc6721,medium
Restore Food Bank Arise & Shine Christian Ministries,Proof of benefits,Tuesday 3 - 5pm,"582 Hyde Road Gorton, Manchester,",M18 7EE,O7872611770,https://www.facebook.com/AriseShineChristianMinistries/,Manchester,E08000003,#fc6721,medium
Revive187,Open door,Tuesday 11:30am - 4pm,"St Brigid's Parish Hall, Greymare Lane, Beswick, Manchester",M11 3ND,info@revive-uk.org,http://www.revive-uk.org/,Manchester,E08000003,#fc6721,medium
Salvation Army Manchester City Centre,£2 a week membership,Saturday 10am - 12noon,"71 Grosvenor Street, Manchester",M13 9UB,7464036317,www.hopeisthekey.org.uk  ,Manchester,E08000003,#fc6721,medium
Salvation Army Openshaw,Referral,Mon - Fri by appointment,Lime Square Shopping Centre (Opposite Morrisons),M11 1DA,openshaw@salvationarmy.org.uk,http://www.salvationarmy.org.uk/Openshaw,Manchester,E08000003,#fc6721,medium
Sharston Sure Start Children's Centre,Referral/first come first served,Not known,"Pundswick Children's Centre, Poundswick Lane, Sharston, Manchester",M22 9TA,sharston.sscc@manchester.gov.uk,https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=1RYFhjYFnHY&directorychannel=1-2-4,Manchester,E08000003,#fc6721,medium
Shout TMO,Proof of low income & financial difficulties,Thur 1-3pm,"50 Kilnside Drive, Harpurhey, Manchester",M9 5QP,0161 202 6482,http://www.shouttmo.co.uk/,Manchester,E08000003,#fc6721,medium
Trussel Trust Wythenshawe,Foodbank Voucher,Tuesday and Thursday 10am - 2pm,"Bideford Centre, Bideford Drive, Bideford Estate, Altrincham Road, Wythenshawe, Manchester",M23 0QN,ericsmith5892@hotmail.com,http://wythenshawe.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
The Chatterbox Project & Joy Community Church,Proof  of benefits required,Mondays 1:30pm - 2:30pm + Bread Tues - Fri 2.30 - 3pm Local school term time only,"70 Booth Hall Road, Charlestown, Blackley, Manchester",M9 7BL,info@chatterboxproject.org.uk,http://chatterboxproject.org.uk/helping-hands/,Manchester,E08000003,#fc6721,medium
The Children's Society,Support for young asylum seekers,Not known,"Zion Community Resource Centre, 339 Stretford Road, Hulme, Manchester",M15 4ZY,0161 868 0382,http://www.zioncentre.co.uk/,Manchester,E08000003,#fc6721,medium
The Metropolitan Church of Manchester,At their discretion,After services or when visiting,"Wilbraham St Ninian's URC, Egerton Road South, Chorlton, Manchester",M21 0XJ,contact@metropolitanchurch.org.uk,http://metropolitanchurch.org.uk/,Manchester,E08000003,#fc6721,medium
The Oasis Centre,Open door,Monday - Thursdays 10am -2pm,"Collier House, Wellington Street, Gorton, Manchester",M18 8TX,dushy.caldera@oasisgorton.org;,http://oasisgorton.org/needhelp/,Manchester,E08000003,#fc6721,medium
"The River, Manchester",Referral or assessment,Monday - Friday 12noon - 3pm,"1300 Ashton Old Road, Openshaw, Manchester",M11 1JG,referrals.therivermanchester@gmail.com,http://www.therivermanchester.org.uk/food-parcels,Manchester,E08000003,#fc6721,medium
Under new management,Not known,NA,"Command Prayer Centre, Richmond House, 11 Richmond Grove, Longsight, Manchester",M13 0LN,Information will be posted asap,NA,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,"Tuesday, Wednesday & Friday 10am - 12noon.","Manchester Universities' Catholic Chaplaincy, Avila House 335-337 Oxford Road, Manchester",M13 9PG,info@manchestercentral.foodbank.org.uk,http://manchestercentral.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Friday 12 - 2pm,"Union Chapel, 2b Wellington Road, Fallowfield, Manchester",M14 6EQ,info@fallowfieldwithington.foodbank.org.uk,http://fallowfieldwithington.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Saturday 10am - 12 noon,"Holy Innocents, 2 Wilbraham Road, Fallowfield, Manchester",M14 6JZ,info@fallowfieldwithington.foodbank.org.uk,http://fallowfieldwithington.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
Trussell Trust & Community Grocer,Foodbank Voucher + Grocer providing £12 groceries for £2.50 membership for those within 15 minutes walking distance,Foodbank: Wednesday 5 - 6.30pm  Grocer Friday 9.30am - 12 noon,"The Place M14, Platt Lane, Fallowfield, Manchester",M14 7FB,info@fallowfieldwithington.foodbank.org.uk  https://www.facebook.com/ThePlaceFallowfield/,http://fallowfieldwithington.foodbank.org.uk  www.healthymehealthycommunities.co.uk,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Saturday 11am - 1pm,"Unit 3, Wesley Enterprise Centre, Royce Road, Hulme, Manchester",M15 5BP,info@manchestersouthcentral.foodbank.org.uk,http://manchestersouthcentral.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Wednesday 1pm - 3pm,"St Edmund's, Alexandra Road South, Whalley Range, Manchester",M16 8EZ,info@manchestersouthcentral.foodbank.org.uk,http://manchestersouthcentral.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Friday 3pm - 5pm,"St Bernard's Church Hall, Burnage Lane, Burnage, Manchester",M19 1DR,info@burnage.foodbank.org.uk,http://burnage.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesday 12.30 - 2.30pm,"St Nicholas Church 408 Kingsway, Burnage, Manchester",M19 1PL,info@burnage.foodbank.org.uk,http://burnage.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Wednesday 11am - 1pm,"Christ Church Hall, Darley Avenue, West Didsbury, Manchester",M20 2ZD,info@chorltondidsbury.foodbank.org.uk,http://chorltondidsbury.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Tuesday 12noon - 2pm,"St Cuthbert's Hall, 3 Palatine Road, Withington, Manchester",M20 3LH,info@fallowfieldwithington.foodbank.org.uk,http://fallowfieldwithington.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Friday 11am - 1pm,"St Barnabus, Hurstville Road, off Hardy Lane, Chorlton, Manchester",M21 8DH,info@chorltondidsbury.foodbank.org.uk,http://chorltondidsbury.foodbank.org.uk/,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Wed 11am - 2pm,"Dandelion Community Centre, Oatlands Road, Wythenshawe, Manchester",M22 1AH,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Fri 4.30 - 5.30pm Sat 10 - 11am,"Food for Thought, St Luke's Church, Brownley Road, Benchill, Wythenshawe, Manchester",M22 4PT,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Mon - Thu 10am - 3pm,"Royal Oak Community Centre, Brookcot Road, Baguley, Wythenshawe, Manchester",M23 1DU,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,Wed 12 - 3pm,"C-Saw, St Aidens' Centre, Wythenshawe Road, Wythenshawe, Manchester",M23 9DE,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
Wai Yin Society,Referral only,"Mondays, Tuesdays, Thursdays and Fridays 10am - 3pm  2.	We also provide a hot meal for 50p each lunchtime (Halal)- free to those with no money","18-32 Brentfield Avenue, Cheetham Hill, Manchester",M8 0TW,info@waiyin.org.uk,http://www.waiyin.org.uk,Manchester,E08000003,#fc6721,medium
Young People's Support Foundation (YPSF),Meals only,Tuesdays and Thursdays 10am- 12noon,"St Andrew's Hall, Brownley Road, Wythenshawe, Manchester",M22 0DW,info@ypsf.co.uk,http://www.ypsf.co.uk/,Manchester,E08000003,#fc6721,medium
Young People's Support Foundation (YPSF),Meals only,"Monday, Wednesday, Friday 10am -12noon","52 Oldham Street, Northern Quarter, Manchester",M4 1LE,info@ypsf.co.uk,http://www.ypsf.co.uk/,Manchester,E08000003,#fc6721,medium
4CT Limited,Referral,Wednesday 2pm - 4pm,"CSTAR Stirling Centre, Scotland Hall Road, Newton Heath, Manchester",M40 2AZ,v.keelan.4ct@btconnect.com,http://www.4ct.org.uk/index.php/Section76.html,Manchester,E08000003,#fc6721,medium
Trussell Trust,Foodbank Voucher,"Mon, Tues, Thu 11am - 2.30pm","Tree of Life, Greenbrow Road, Newall Green, Wythenshawe, Manchester",M23 2UE,info@wythenshawe.foodbank.org.uk,http://wythenshawe.foodbank.org.uk,Manchester,E08000003,#fc6721,medium
Wood Street Mission,Referral only,Monday-Friday 8.30-4.30 (Office) Tuesday-Thursday 10am-1pm (community Shop),26 Wood Street Manchester,M3 3EF,"info@woodstreetmission.org.uk
0161 834 3140",http://www.woodstreetmission.org.uk,Manchester,E08000003,#fc6721,medium
St Cross Church,St Cross Voucher & OM PA Assessment sheet,"Thursday morning, tinned food and dry goods only","The Rectory, 54 Clayton Hall Road, Clayton",M11 4WH,0161 223 0766,not known,Manchester,E08000003,#fc6721,medium
Lifeshare Ltd,"Self referrals for 16-25 year olds wanting to engage further with our service.
If it is for food parcels only then it has to be agency referral. The parcel must be collected by a support/agency worker if the recipient is over 25",Mon-Fri 10am-4pm Food parcels,First Floor 27 Houldsworth Street,M1 1EB,office@lifeshare.org.uk,http://www.lifeshare.org.uk/,Manchester,E08000003,#fc6721,medium
Christian Restoration Manchester,Proof of benefits or referral from other organisations,"Tuesday 6:30pm to 8:30pm, Thursday 12pm to 3pm, Friday 7pm to 8pm. On Sunday @12pm to 3pm they offer tea, snacks  There are many other services available. Check out their website.","451 Victoria Avenue, Blackley, Manchester, M9 8PJ  Please note the building is just inside the cemetary using the Victoria Road entrance not on the road as the postcode indicates.",M9 8PJ,crm.manchester@gmail.com,www.crm-manchester.org,Manchester,E08000003,#fc6721,medium
Ardwick & Longsight Food Bank,Proof of need and ID and referrals,"Open Monday 1-3pm, Thursday 2-4pm 
Not open on Bank Holidays","Transformation Community Resource Centre, 11 Richmond Grove, Longsight",M13 0LN,0161 273 3977 (during opening hours),www.ardwickandlongsightfoodbank.org.uk,Manchester,E08000003,#fc6721,medium
Reach out to the Community,For rough sleepers and local families,Monday - Saturday 7.30am = 4.30pm,"Elliotts Fruit & Veg, Chorlton Precinct, Wilbraham Road, Chorlton",M21 9AQ,"07516161655
reachoutcommunity@yahoo.com",not known,Manchester,E08000003,#fc6721,medium
Fountain Gate Chapel,Call to refer a client,Monday - Friday 11.30am - 2.30pm,"Kingdom Mandate Centre, Chichester Road, Hulme",M15 5EU,fgckmc@yahoo.com 0161 222 3032,Not known,Manchester,E08000003,#fc6721,medium
Befrienders,Foodbank voucher,Monday & Wednesday 2 - 4pm,"Methodist Central Hall, Oldham Street, Manchester",M1 1JQ,admin@methodistcentralbuildings.org.uk 0161 236 1185,http://www.methodistcentralbuildings.org.uk/,Manchester,E08000003,#fc6721,medium
Feed the 5000,"People in crisis, once every 2 weeks",Thursday 4 - 6pm Job Club Monday 1 - 2pm,"Faith Life Centre, 5 Mary Street, Manchester",M3 1NH,info@manchesterlifecentre.co.uk 0161 298 5123,http://manchesterlifecentre.co.uk/cms/,Manchester,E08000003,#fc6721,medium
Wellspring Community Church,Foodbank voucher,Thursday 1.30 - 2.30pm,"Brendon Avenue, Moston, Manchester",M40 9DN,office@wellspringcommunitychurch.org  0161 219 1284,http://wellspringcommunitychurch.org/,Manchester,E08000003,#fc6721,medium
Southway Housing Merseybank Quids In Food Club,£2 weekly membership for any household in the postcode area of the club,Friday 10.30am - 2pm,"42 Merseybank Avenue, Chorlton",M21 7NN,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,Manchester,E08000003,#fc6721,medium
Southway Housing Burnage East Quids In Food Cub,£2 membership to any household in the postcode area,Wednesday 9.30am - 2pm,"Burnage Community Centre
Burnage Lane",M19 1ER,connect2southway@southwayhousing.co.uk   0161 448 4200,http://www.southwayhousing.co.uk/quidsin,Manchester,E08000003,#fc6721,medium
Southway Housing Burnage West Quids In Food Club ,£2 membership for any household in the postcode area,Wednesday 10.30am - 2pm,"Westcroft Community Centre, Westcroft Road",M20 6EF,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,Manchester,E08000003,#fc6721,medium
Southway Housing Old Moat Quids IN Food Club,£2 membership for any household in the postcode area,Friday 11am - 2.30pm,"Old Moat Children’s Centre
Old Moat Lane,",M20 1DE,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,Manchester,E08000003,#fc6721,medium
Southway Housing Chorlton Quids In Food Club,£2 membership for any household in the postcode area,Thursday 11am - 2.30pm,Brookfield House - the white house just inside Chorlton Park on the opposite side of the road to this map pin - the building does not have a  postcode,M21 7RL,connect2southway@southwayhousing.co.uk 0161 448 4200,http://www.southwayhousing.co.uk/quidsin,Manchester,E08000003,#fc6721,medium
Coverdale & Newbank Community Food Membership Scheme,"Membership for people within walking distance, £2.50 fee per week",Thursday 11am - 2pm,"Cornbrook House, 217 Stockport Road",M12 4DY,"info@coverdaleandnewbank.com 0161 
274 2186","http://www.coverdaleandnewbank.com
/community-projects",Manchester,E08000003,#fc6721,medium
Real Junk Food Manchester,Pay-as-you-feel restaurant,"Check opening times - currently planning to be open for breakfast, lunch and dinner","85 Oxford Street, Manchester",M1 6ET,07912 509665,https://www.facebook.com/pg/realjunkfoodmcr,Manchester,E08000003,#fc6721,medium
Miles Platting Community Grocer,Membership for people who live within 15 minutes walk. £2.50 for £12 worth of groceries,Thursday 9.30am - 12.30pm,"Queensbury Court, Wardle Street, Miles Platting",M40 7DD,07913 540680,none,Manchester,E08000003,#fc6721,medium
Barakah Food Aid,"Self-refer, food parcels delivered on Sundays, emergency parcels during the week",See above,Please note the pin does not represent a base for this organisation.  It operates in the Chorlton/Whalley Range area.  Please call using the phone number shown below or contact them via Facebook.,M21 8AU,07506 527523,https://www.facebook.com/BarakahFoodAid/,Manchester,E08000003,#fc6721,medium
Anson Community Shop,"Membership for people living within 15 minutes walk, £2.50 for £12 of groceries plus toiletries and household essentials",Tuesdays and Thursdays 9.30am - 12.30pm,"38 Meldon Road, Manchester",M13 0TR,richbrowning@healthymehealthycommunities.co.uk 07913 540680,https://www.onemanchester.co.uk/support-opportunities/money-benefits-advice/saving-money/food-cooperatives,Manchester,E08000003,#fc6721,medium
Gorton Community Grocer,Membership: pay £2.50 for roughly £12 worth of groceries.  Open to people living within 15 minutes walk. Toiletries and cooking classes are also available.,Friday 9.30am - 12 noon,"Abbey Hey Lane, Gorton",M18 8PF,info@healthymehealthycommunities.co.uk   07913540680,http://healthymehealthycommunities.co.uk/,Manchester,E08000003,#fc6721,medium
Chadderton Community Church,Free refreshment & food parcel,Tuesdays 11am - 1pm,"Garforth Street, Chadderton",OL9 6RW,07842 207 498,http://www.chaddertoncommunity.org.uk/fare-share/,Oldham,E08000004,#fc6721,medium
Christchurch Church Hall,Not known,Food Store is open Monday - Friday 10am - 12pm.,"Block Lane, Chadderton",OL9 7QB,Not known,http://streetskitchen.co.uk/?page_id=1072,Oldham,E08000004,#fc6721,medium
East Oldham Methodist Church,Local families,Contact for details,"Collett Street, Off Ripponden Road, Oldham",OL1 4HP,Not known,http://eastoldhamchurch.weebly.com/community-involvement.html,Oldham,E08000004,#fc6721,medium
Elim Foursquare Church,Café,Monday - Friday via referral and Saturdays 10am -2pm,"182 Greenacres Road, Oldham",OL4 2AB,Not known,http://www.elim4sq.org.uk/hope-food-bank/,Oldham,E08000004,#fc6721,medium
Salvation Army Failsworth,Not known,Monday 1:30pm - 2:30pm,"572 Oldham Road, Failsworth, Manchester",M35 9DQ,failsworth@salvationarmy.org.uk,http://www.salvationarmy.org.uk/failsworth,Oldham,E08000004,#fc6721,medium
Salvation Army Fitton Hill,Not known,Monday 3pm - 5pm,"1 Fir Tree Lane Precint, Oldham",OL8 2QP,chris.neilson@salvationarmy.org.uk,http://www.salvationarmy.org.uk/Fitton-Hill,Oldham,E08000004,#fc6721,medium
Salvation Army Oldham Citadel,Not known,NA,"York Street, Oldham",OL9 6ET,oldham.citadel@salvationarmy.org.uk,http://www.salvationarmy.org.uk/oldham-citadel,Oldham,E08000004,#fc6721,medium
Salvation Army Oldham Roundthorn,Not known,NA,"203 Roundthorn Road,",OL4 5LD,oldham.roundthorn@salvationarmy.org.uk,http://www.salvationarmy.org.uk/oldham-roundthorn,Oldham,E08000004,#fc6721,medium
Salvation Army Shaw,Not known,Wednesday & Thursday 10am - 2pm,"Farrow Street, Shaw, Oldham",OL2 8QY,shaw@salvationarmy.org.uk,http://www.salvationarmy.org.uk/Shaw,Oldham,E08000004,#fc6721,medium
St Aiden & Oswald RC Church,Not known,Daily (except Tues & Sat) 10:30am - 12pm,"Vaughan Street, Royton, Oldham",OL2 5DL,Not known,http://streetskitchen.co.uk/?page_id=1072,Oldham,E08000004,#fc6721,medium
The Welcome Project,Evidence of asylum seeking,Thursday 1pm - 3pm,"Oldham Baptist Church, Chaucer Street, Oldham",OL1 1BA,0161 624 1214,http://streetskitchen.co.uk/?page_id=1072,Oldham,E08000004,#fc6721,medium
