pharmacy_name,address,postcode,opening_hours_monday,opening_hours_tuesday,opening_hours_wednesday,opening_hours_thursday,opening_hours_friday,opening_hours_saturday,opening_hours_sunday,organisation_data_service_code,health_and_wellbeing_board,ward_code,ward_name,la_code,la_name
Broadheath Pharmacy,"70 Manchester Road, Broadheath, Altrincham, Cheshire",WA14 4PJ,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FHA57,Trafford,E05015239,Altrincham,E08000009,Trafford
Broomwood Pharmacy,"63 Briarfield Road, Timperley, Altrincham, Cheshire",WA15 7DD,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,CLOSED,CLOSED,FA565,Trafford,E05015257,Timperley Central,E08000009,Trafford
C & T Pharmacy,"77 Great Stone Road, Stretford, Manchester",M32 8GR,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,CLOSED,FN831,Trafford,E05015250,Longford,E08000009,Trafford
Cohens Chemist,"Firsway Health Centre, 121 Firsway, Sale, Cheshire",M33 4BR,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,CLOSED,CLOSED,FAE34,Trafford,E05015252,Manor,E08000009,Trafford
Cohens Chemist,"20 Greenwood Street, Altrincham, Trafford",WA14 1RZ,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FDN59,Trafford,E05015239,Altrincham,E08000009,Trafford
Cohens Chemist,"874 Chester Road, Stretford, Manchester",M32 0PA,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FN697,Trafford,E05015247,Gorse Hill & Cornbrook,E08000009,Trafford
Cohens Chemist,"6 Vale View, Vicarage Ln,Bowden, Altrincham, Cheshire",WA14 3BD,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FQH58,Trafford,E05015241,Bowdon,E08000009,Trafford
Conran Late Night Pharmacy,"175 Moorside Road, Urmston, Manchester",M41 5SJ,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-19:00,FG856,Trafford,E05015246,Flixton,E08000009,Trafford
Coppice Pharmacy,"54 Coppice Avenue, Ashton-On-Mersey, Sale, Cheshire",M33 4WB,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-12:00,CLOSED,FL517,Trafford,E05015252,Manor,E08000009,Trafford
Davey Chemists,"14a Warburton Lane, Partington, Manchester",M31 4WJ,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-12:00,CLOSED,FFF29,Trafford,E05015244,Bucklow-St Martins,E08000009,Trafford
Davyhulme Pharmacy,"179 Canterbury Road, Davyhulme, Urmston, Manchester",M41 0SE,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,CLOSED,FC436,Trafford,E05015251,Lostock & Barton,E08000009,Trafford
Delamere Pharmacy,"The Delamere Centre, Delamere Avenue,Stretford, Manchester",M32 0DF,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,CLOSED,CLOSED,FE896,Trafford,E05015256,Stretford & Humphrey Park,E08000009,Trafford
Easy Med Pharmacy,"6 Lime Grove, Old Trafford, Manchester",M16 0WL,"09:00-13:00,14:00-19:00","09:00-13:00,14:00-19:00","09:00-13:00,14:00-19:00","09:00-13:00,14:00-19:00","09:00-13:00,14:00-19:00",CLOSED,CLOSED,FA841,Trafford,E05015250,Longford,E08000009,Trafford
Elliotts Pharmacy,"60 Seymour Grove, Old Trafford, Manchester",M16 0LN,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,16:00-21:00,10:00-17:00,FMJ94,Trafford,E05015250,Longford,E08000009,Trafford
Empire Pharmacy,"122 Seymour Grove, Old Trafford, Manchester, Lancashire",M16 0FF,08:00-11:30,07:00-22:00,08:00-11:00,07:00-22:00,08:00-10:00,09:00-10:30,CLOSED,FKK51,Trafford,E05015250,Longford,E08000009,Trafford
Everest Pharmacy Old Trafford,"65 Ayres Road, Old Trafford, Manchester",M16 9NH,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FRD05,Trafford,E05015253,Old Trafford,E08000009,Trafford
Everwell Pharmacy,"238 Stockport Road, Timperley, Altrincham, Cheshire",WA15 7UN,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FGA65,Trafford,E05015257,Timperley Central,E08000009,Trafford
Fittleworth Medical,"Parflo Building, Huxley Street, Broadheath, Altrincham",WA14 5EL,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,CLOSED,CLOSED,FHY81,Trafford,E05015242,Broadheath,E08000009,Trafford
G Pennant Roberts,"137 Ayres Road, Old Trafford, Manchester",M16 9WR,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FXF96,Trafford,E05015253,Old Trafford,E08000009,Trafford
Grove Lane Pharmacy,"186 Grove Lane, Hale, Altrincham, Cheshire",WA15 8PU,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FXV16,Trafford,E05015249,Hale Barns & Timperley South,E08000009,Trafford
Hale Barns Pharmacy,"321 Hale Road, Hale Barns, Altrincham, Cheshire",WA15 8SS,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FHE36,Trafford,E05015249,Hale Barns & Timperley South,E08000009,Trafford
Harry's Pharmacy,"92 Mitford Street, Stretford, Manchester",M32 8AQ,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FTJ13,Trafford,E05015256,Stretford & Humphrey Park,E08000009,Trafford
High Speed Pharmacy,"72 Wood Lane, Timperley, Altrincham, Cheshire",WA15 7PL,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,CLOSED,CLOSED,FKG55,Trafford,E05015249,Hale Barns & Timperley South,E08000009,Trafford
Hollowood Chemist,"69 Washway Road, Sale, Cheshire",M33 7SS,08:45-18:30,08:45-18:30,08:45-18:30,08:45-18:30,08:45-18:30,CLOSED,CLOSED,FTP94,Trafford,E05015254,Sale Central,E08000009,Trafford
Hugall Pharmacy,"143 Northenden Road, Sale, Cheshire",M33 3HF,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-15:00,CLOSED,FPG76,Trafford,E05015255,Sale Moor,E08000009,Trafford
Limelight Pharmacy,"Limelight Building, St Brides Way, Manchester, Lancashire",M16 9NW,"09:00-13:00,14:30-18:30","09:00-13:00,14:30-18:30",09:00-13:00,"09:00-13:00,14:30-18:30","09:00-13:00,14:30-18:30",09:00-13:00,CLOSED,FG889,Trafford,E05015253,Old Trafford,E08000009,Trafford
Malcolms Pharmacy,"28 Flixton Road, Urmston, Manchester",M41 5AA,"09:00-13:00,13:30-18:00","09:00-13:00,13:30-18:00","09:00-13:00,13:30-18:00","09:00-13:00,13:30-18:00","09:00-13:00,13:30-18:00",09:00-13:00,CLOSED,FG302,Trafford,E05015259,Urmston,E08000009,Trafford
Oldfield Pharmacy,"128 Seamons Road, Oldfield Brow, Altrincham, Cheshire",WA14 4LJ,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,CLOSED,FLJ16,Trafford,E05015241,Bowdon,E08000009,Trafford
Parade Pharmacy,"10 North Parade, Derbyshire Rd South, Sale, Cheshire",M33 3JS,"09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30",09:00-13:00,CLOSED,FJ216,Trafford,E05015243,Brooklands,E08000009,Trafford
Peak Pharmacy,"431 Barton Road, Stretford, Manchester",M32 9PA,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,CLOSED,CLOSED,FAA37,Trafford,E05015251,Lostock & Barton,E08000009,Trafford
Pelican Pharmacy,"Library 405 Stockport Rd, West Timperley, Altrincham, Cheshire",WA15 7XR,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,CLOSED,CLOSED,FVG83,Trafford,E05015257,Timperley Central,E08000009,Trafford
Phlo Digital Pharmacy,"Unit 1, Fifth Street, Trafford Park, Manchester",M17 1JX,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FLC48,Trafford,E05015247,Gorse Hill & Cornbrook,E08000009,Trafford
Reeds Pharmacy,"182 Church Road, Urmston, Manchester",M41 9FD,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FH611,Trafford,E05015246,Flixton,E08000009,Trafford
Riddings Pharmacy,"38 Riddings Road, Timperley, Altrincham, Cheshire",WA15 6BP,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FDW90,Trafford,E05015258,Timperley North,E08000009,Trafford
Rowlands Pharmacy,"16 Plymouth Road, Sale, Greater Manchester",M33 5JD,"09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30",09:00-12:00,CLOSED,FT740,Trafford,E05015244,Bucklow-St Martins,E08000009,Trafford
Sale Pharmacy,"2 Eastway, Sale, Cheshire",M33 4DX,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FTX44,Trafford,E05015243,Brooklands,E08000009,Trafford
Station Pharmacy,"102 Park Road, Timperley, Altriincham, Cheshire",WA15 6TE,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FLX50,Trafford,E05015258,Timperley North,E08000009,Trafford
Terry's Chemist,"28 Sinderland Road, Altrincham, Cheshire",WA14 5ET,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FNX56,Trafford,E05015242,Broadheath,E08000009,Trafford
Tesco Instore Pharmacy,"Hereford Street, Sale, Cheshire",M33 7XN,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,10:00-16:00,FC574,Trafford,E05015254,Sale Central,E08000009,Trafford
Tesco Instore Pharmacy,"Manor Road, Altrincham, Cheshire",WA15 9QT,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,10:00-16:00,FDC89,Trafford,E05015248,Hale,E08000009,Trafford
Tesco Instore Pharmacy,"Chester Road, Stretford, Manchester",M32 0RW,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,11:00-17:00,FP756,Trafford,E05015247,Gorse Hill & Cornbrook,E08000009,Trafford
Timperley Pharmacy,"250 Stockport Road, Timperley, Altrincham, Cheshire",WA15 7UN,"09:00-13:00,14:00-21:00","09:00-13:00,14:00-21:00","09:00-13:00,15:00-21:00","09:00-13:00,15:00-21:00","09:00-13:00,15:00-21:00","09:00-13:00,15:00-21:00",08:00-18:00,FJJ51,Trafford,E05015257,Timperley Central,E08000009,Trafford
Urmston Pharmacy,"287b Stretford Road, Urmston, Manchester",M41 9NU,09:00-18:30,09:00-18:30,09:00-18:00,09:00-18:30,"09:00-13:00,14:15-18:30",09:00-13:00,CLOSED,FQ021,Trafford,E05015256,Stretford & Humphrey Park,E08000009,Trafford
Village Pharmacy,"23 Green Lane, Ashton-On-Mersey, Sale, Cheshire",M33 5PN,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,CLOSED,FL043,Trafford,E05015240,Ashton upon Mersey,E08000009,Trafford
Well,"475 Moorside Road, Flixton, Urmston, Manchester",M41 8TW,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FEE48,Trafford,E05015245,Davyhulme,E08000009,Trafford
Well,"Partington Health Centre, Central Road, Partington, Manchester",M31 4FL,09:00-18:15,09:00-18:15,09:00-18:15,09:00-18:15,09:00-18:15,CLOSED,CLOSED,FNX62,Trafford,E05015244,Bucklow-St Martins,E08000009,Trafford
Well,"Unit 2, Woodsend Circle, Flixton, Manchester",M41 8GY,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,CLOSED,CLOSED,FPL53,Trafford,E05015245,Davyhulme,E08000009,Trafford
