name,cqc_id,type,address,postcode,telephone,website,provider,inspection_date,cqc_webpage,area_name,area_code,lon,lat
Flixton Manor,1-303667371,Nursing homes,"2-8 Delamere Road,Urmston,Manchester",M41 5QL,1617467175,https://www.flixtonmanor.com,Flixton House Limited,2020-12-04,https://beta.cqc.org.uk/location/1-303667371,Trafford,E0800009,-2.378333,53.449209
Four Oaks Care Home,1-2650333959,Nursing homes,"28 Wood Lane,Partington,Manchester",M31 4LX,1613593983,NA,Kingsley Care Homes Limited,2022-02-08,https://www.cqc.org.uk/location/1-2650333959,Trafford,E0800009,-2.432407,53.415534
Fownhope,1-11951906372,Residential homes,"42 Fownhope Avenue,Sale",M33 4RH,1619732296,https://www.stockdales.org.uk,"Stockdales Of Sale, Altrincham & District Ltd",NA,https://www.cqc.org.uk/location/1-11951906372,Trafford,E0800009,-2.337292,53.417666
Halecroft Grange,1-11457547978,Residential homes,"295 Hale Road,Hale Barns,Altrincham",WA15 8SN,1619809500,NA,Care UK Community Partnerships Ltd,2022-03-18,https://www.cqc.org.uk/location/1-11457547978,Trafford,E0800009,-2.317885,53.371785
Halecroft Grange,1-11462647983,Residential homes,"295 Hale Road,Hale Barns,Altrincham",WA15 8SN,1619809500,NA,WT UK Opco 4,2022-03-18,https://www.cqc.org.uk/location/1-11462647983,Trafford,E0800009,-2.317885,53.371785
Handsworth,1-117977245,Residential homes,"West Road,Bowdon,Altrincham",WA14 2LA,1619285314,https://www.mha.org.uk/care-homes/residential-care/handsworth,Methodist Homes,2019-04-10,https://www.cqc.org.uk/location/1-117977245,Trafford,E0800009,-2.360602,53.377131
Harboro,1-711024161,Residential homes,"34 Harboro Road,Sale",M33 5AH,1619732296,https://www.stockdales.org.uk,"Stockdales Of Sale, Altrincham & District Ltd",2018-03-13,https://beta.cqc.org.uk/location/1-711024161,Trafford,E0800009,-2.337812,53.422473
Haylands Residential Home for Gentlemen,1-145257554,Residential homes,"93 Crofts Bank Road,Urmston,Manchester",M41 0US,1617483185,https://www.jemcareltd.co.uk,J.E.M. Care Limited,2017-09-01,https://www.cqc.org.uk/location/1-145257554,Trafford,E0800009,-2.355098,53.452669
Hayling Road,1-113737505,Residential homes,"34 Hayling Road,Sale",M33 6GW,1619734306,https://www.stockdales.org.uk,"Stockdales Of Sale, Altrincham & District Ltd",2019-02-20,https://www.cqc.org.uk/location/1-113737505,Trafford,E0800009,-2.341116,53.425394
Headonhey,1-113737059,Residential homes,"34 Harboro Road,Sale",M33 5AH,1619693527,https://www.stockdales.org.uk,"Stockdales Of Sale, Altrincham & District Ltd",2022-03-03,https://www.cqc.org.uk/location/1-113737059,Trafford,E0800009,-2.337812,53.422473
Heathside Retirement Home,1-117483647,Residential homes,"74 Barrington Road,Altrincham",WA14 1JB,1619413622,NA,Mr Andrew Meehan & Mrs Frances Anne Meehan,2021-07-28,https://www.cqc.org.uk/location/1-117483647,Trafford,E0800009,-2.350754,53.39518
Lady of the Vale Care Home,1-10079446273,Nursing homes,"Grange Road,Bowdon,Altrincham",WA14 3HA,1619282567,https://ladyofthevale.org.uk,Sisters Of St Joseph Of The Apparition CIO,2022-05-16,https://www.cqc.org.uk/location/1-10079446273,Trafford,E0800009,-2.35257,53.371033
Lime Tree House,1-113502228,Residential homes,"264 Washway Road,Sale",M33 4RZ,1619737956,https://www.limetreehouse.org.uk,Mountlands Trust Limited,2017-10-06,https://www.cqc.org.uk/location/1-113502228,Trafford,E0800009,-2.335899,53.416537
Manorhey Care Centre,1-1938268345,Nursing homes,"130 Stretford Road,Urmston,Manchester",M41 9LT,1617476888,NA,Maria Mallaband 16 Limited,2021-06-24,https://www.cqc.org.uk/location/1-1938268345,Trafford,E0800009,-2.342776,53.446521
Mayfield Care Home,1-2193087415,Residential homes,"Beaufort Road,Sale",M33 3WR,1619732371,NA,Mayfield Carehome Ltd,2020-11-18,https://beta.cqc.org.uk/location/1-2193087415,Trafford,E0800009,-2.315423,53.416629
Meade Close,1-4659240298,Residential homes,"1-2 Meade Close,Urmston,Manchester",M41 5BL,1617468301,https://www.salutemhealthcareltd.com,Salutem LD BidCo IV Limited,2022-02-02,https://www.cqc.org.uk/location/1-4659240298,Trafford,E0800009,-2.362477,53.447434
Merry House,1-10122564722,Residential homes,"20 Broad Road,Sale",M33 2AL,1616761595,NA,Making Space,2021-03-17,https://www.cqc.org.uk/location/1-10122564722,Trafford,E0800009,-2.315949,53.424654
Northenden House,1-4978955325,Nursing homes,"448 Northenden Road,Sale",M33 2RB,1619626660,NA,Caritas Services Limited,2022-05-26,https://www.cqc.org.uk/location/1-4978955325,Trafford,E0800009,-2.289269,53.415913
Norton Street,1-121233192,Residential homes,"28 Norton Street,Old Trafford,Manchester",M16 7GQ,1612262979,https://www.deepdenecare.org,Deepdene Care Limited,2019-07-24,https://www.cqc.org.uk/location/1-121233192,Trafford,E0800009,-2.263454,53.457733
Norwood Drive,1-1770257802,Residential homes,"2 Norwood Drive,Timperley,Altrincham",WA15 7LD,1619049228,NA,Community Integrated Care,2019-03-15,https://www.cqc.org.uk/location/1-1770257802,Trafford,E0800009,-2.306023,53.389975
Oakfield Croft,1-8545095986,Nursing homes,"1 Oakfield,Sale",M33 6NB,3300583240,NA,Care UK Community Partnerships Ltd,2021-05-17,https://www.cqc.org.uk/location/1-8545095986,Trafford,E0800009,-2.330009,53.423304
Oldfield Bank Residential Care Home,1-3909880280,Residential homes,"5 Highgate Road,Altrincham",WA14 4QZ,1619280658,https://www.oldfieldbank.co.uk,3A Care (Altrincham) Limited,2019-11-19,https://beta.cqc.org.uk/location/1-3909880280,Trafford,E0800009,-2.364967,53.388317
Our Place,1-10122564754,Residential homes,"29 Harboro Road,Sale",M33 5AN,1619693393,NA,Making Space,2018-08-24,https://www.cqc.org.uk/location/1-10122564754,Trafford,E0800009,-2.338593,53.422228
Prema Court,1-121233178,Nursing homes,"Clifton Court,Ayres Road,Manchester",M16 7NX,1612267698,https://www.deepdenecare.org,Deepdene Care Limited,2021-04-16,https://www.cqc.org.uk/location/1-121233178,Trafford,E0800009,-2.258786,53.460422
SignHealth Bowfell Road,1-118140734,Residential homes,"SignHealth,100 Bowfell Road, Urmston,Manchester",M41 5RR,1617478156,https://www.signhealth.org.uk,SignHealth,2019-07-30,https://www.cqc.org.uk/location/1-118140734,Trafford,E0800009,-2.370201,53.451021
Springfield House,1-137364126,Residential homes,"57 Warburton Lane,Partington,Manchester",M31 4NL,1617761757,https://www.fairfieldresidential.co.uk,Fairfield Residential Limited,2019-02-14,https://beta.cqc.org.uk/location/1-137364126,Trafford,E0800009,-2.430075,53.417053
Syrian House,1-129770830,Residential homes,"Sandiway Road,Ashton-on-Mersey,Sale",M33 5AL,1925571680,https://www.makingspace.co.uk,Making Space,2022-02-25,https://www.cqc.org.uk/location/1-129770830,Trafford,E0800009,-2.337394,53.422933
The Cedars Rest Home Limited,1-125016355,Residential homes,"23 Langham Road,Bowdon,Altrincham",WA14 2HX,1619284361,https://www.caringuk.com,Cedars Rest Home Limited(The),2022-03-11,https://beta.cqc.org.uk/location/1-125016355,Trafford,E0800009,-2.355688,53.375572
The Coppice,1-120634876,Residential homes,"51 Wellington Road,Altrincham",WA15 7RQ,1619294178,https://www.efitzroy.org.uk,FitzRoy Support,2021-06-23,https://www.cqc.org.uk/location/1-120634876,Trafford,E0800009,-2.336017,53.39518
The Willow,1-8975481765,Nursing homes,"19 Oakfield Street,Altrincham",WA15 8HQ,1616417192,NA,Oakfield Psychological Services Limited,2022-01-20,https://beta.cqc.org.uk/location/1-8975481765,Trafford,E0800009,-2.345056,53.389849
Timperley Care Home,1-307692210,Nursing homes,"53d Mainwood Road,Timperley,Altrincham",WA15 7JW,1619808001,NA,Hestia Healthcare Properties Limited,2021-06-24,https://beta.cqc.org.uk/location/1-307692210,Trafford,E0800009,-2.312943,53.392375
Urmston Manor,1-5051437274,Residential homes,"61-63,Church Road, Urmston,Manchester",M41 9EJ,7429340652,NA,Skydda Homes Limited,2020-11-27,https://beta.cqc.org.uk/location/1-5051437274,Trafford,E0800009,-2.358775,53.445818
Woodend Care Home,1-127818978,Nursing homes,"Bradgate Road,Altrincham",WA14 4QU,1619295127,NA,Bupa Care Homes (ANS) Limited,2020-09-24,https://www.cqc.org.uk/location/1-127818978,Trafford,E0800009,-2.373015,53.388832
Wyncourt Nursing Home,1-117040835,Nursing homes,"162 Park Road,Timperley,Altrincham",WA15 6QH,1619621290,https://www.wyncourtnursinghome.co.uk,Susan Mattinson,2018-09-21,https://www.cqc.org.uk/location/1-117040835,Trafford,E0800009,-2.331149,53.401593
Yew Tree,1-1993951152,Residential homes,"Fairy Lane,Sale,Trafford",M33 2JT,1619739616,NA,City Care Partnership Limited,2017-11-03,https://beta.cqc.org.uk/location/1-1993951152,Trafford,E0800009,-2.285748,53.420443
York Lodge Residential Home,1-206525971,Residential homes,"54-56 Crofts Bank Road,Urmston,Manchester",M41 0UH,1617482315,NA,Mr Alan Machen and Mrs Ann Crowe,2020-12-18,https://beta.cqc.org.uk/location/1-206525971,Trafford,E0800009,-2.353157,53.451048
