area_code,area_name,geography,period,indicator,unpaid_care,measure,unit,value
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,2237
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,72
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,19
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,19
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,21
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,47
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1995
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,60
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,46
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,28
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,23
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,51
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1353
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,47
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,22
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,19
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,20
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,42
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1438
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,38
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,21
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,21
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,23
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,52
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1302
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,49
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,21
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,16
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,11
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,45
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1765
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,45
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,18
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,19
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,22
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,63
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1515
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,57
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,17
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,15
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,20
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,44
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1539
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,52
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,27
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,12
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,14
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,45
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1454
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,52
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,18
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,12
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,13
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,53
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1261
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,64
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,30
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,12
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,8
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,38
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1657
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,63
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,26
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,14
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,17
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,34
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1296
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,70
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,15
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,11
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 35 to 49 hours unpaid care a week,Count,Persons,9
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 50 or more hours unpaid care a week,Count,Persons,49
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides no unpaid care,Count,Persons,1505
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 9 hours or less unpaid care a week,Count,Persons,63
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 10 to 19 hours unpaid care a week,Count,Persons,23
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Estimates that classify usual residents by the number of hours of unpaid care they provide,Provides 20 to 34 hours unpaid care a week,Count,Persons,7
