area_code,area_name,geography,period,indicator,disabled_household_members,measure,unit,value
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1377
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,413
E05000825,Clifford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3446
E05000825,Clifford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1411
E05000825,Clifford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,350
E05000826,Davyhulme East,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,2691
E05000826,Davyhulme East,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1017
E05000826,Davyhulme East,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,277
E05000827,Davyhulme West,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,2696
E05000827,Davyhulme West,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1079
E05000827,Davyhulme West,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,332
E05000828,Flixton,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3113
E05000828,Flixton,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1216
E05000828,Flixton,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,275
E05000829,Gorse Hill,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3386
E05000829,Gorse Hill,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1340
E05000829,Gorse Hill,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,339
E05000830,Hale Barns,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,2742
E05000830,Hale Barns,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,862
E05000830,Hale Barns,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,216
E05000831,Hale Central,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3278
E05000831,Hale Central,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,745
E05000831,Hale Central,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,156
E05000832,Longford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3431
E05000832,Longford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1338
E05000832,Longford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,380
E05000833,Priory,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3702
E05000833,Priory,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1119
E05000833,Priory,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,204
E05000835,Sale Moor,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,2995
E05000835,Sale Moor,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1104
E05000835,Sale Moor,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,298
E05000834,St Mary's,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3124
E05000834,St Mary's,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1321
E05000834,St Mary's,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,368
E05000836,Stretford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3006
E05000836,Stretford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1345
E05000836,Stretford,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,318
E05000837,Timperley,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3191
E05000837,Timperley,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,968
E05000837,Timperley,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,224
E05000838,Urmston,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,3344
E05000838,Urmston,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1286
E05000838,Urmston,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,279
E05000839,Village,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,No people disabled under the Equality Act in household,Count,Households,2820
E05000839,Village,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,1 person disabled under the Equality Act in household,Count,Households,1203
E05000839,Village,Electoral ward,2021-03-21,The number of people in a household who assessed their day-to-day activities as limited by long-term physical or mental health conditions or illnesses and are considered disabled. This definition of a disabled person meets the harmonised standard for measuring disability and is in line with the Equality Act (2010).,2 or more people disabled under the Equality Act in household,Count,Households,299
