name,type,address,postcode,telephone,website,area_name,area_code,lon,lat
Simkins Dental Care,Dentist,"7 Lostock Road, Davyhulme, Manchester",M41 0SU,1617483378,NA,Trafford,E0800009,-2.35454,53.458028
The Blackley Dental Practice,Dentist,"371 Victoria Avenue, Blackley, Manchester",M9 8WQ,1617954547,http://www.pipdentalcare.com,Manchester,E0800003,-2.231243,53.533391
Revive Dental Care,Dentist,"72 Rocky Lane, Monton, Eccles, Manchester",M30 9LY,1617891557,http://www.revivedentalcare.co.uk,Salford,E0800006,-2.350298,53.495172
Pinfold Dental Practice Limited,Dentist,"34 Hattersley Road East, Hattersley, Hyde",SK14 3QJ,1613681390,NA,Tameside,E0800008,-2.029306,53.44639
Horwich Dental Care Centre Limited,Dentist,"517 Chorley New Road, Horwich, Bolton",BL6 6JT,8445769984,http://www.horwichdentalcare.net,Bolton,E0800001,-2.534953,53.590017
H M Forest Bank Prison,Dentist,"Forestbank, Swinton, Manchester",M27 8FB,1619257e3,NA,Salford,E0800006,-2.302093,53.514251
"Bupa - St Anns Square, Manchester",Dentist,"14 St Ann's Square, Manchester",M2 7HQ,1618342627,NA,Manchester,E0800003,-2.245837,53.482236
Hale Family Dental Centre,Dentist,"1a Cambridge Road, Hale, Altrincham",WA15 9SY,1619281380,http://www.halefamilydental.co.uk,Trafford,E0800009,-2.342935,53.376518
Bridgewater Dental Surgery,Dentist,"4 The Packet House & Boatsteps, Barton Road, Worsley, Manchester",M28 2PB,1617279119,http://www.bridgewaterdentalsurgery.com,Salford,E0800006,-2.381317,53.499895
The Cottage Dental Practice,Dentist,"38 Ack Lane West, Cheadle Hulme, Cheadle",SK8 7EL,1614858e3,NA,Stockport,E0800007,-2.182803,53.365734
Gary Knowles Dental Practice,Dentist,"Partington Health Centre, Central Road, Partington, Manchester",M31 4FL,1617759053,NA,Trafford,E0800009,-2.425053,53.417437
Dash Dental Care,Dentist,"76 Church Road, Northenden, Manchester",M22 4NW,1619983630,NA,Manchester,E0800003,-2.256131,53.407162
Mr E H Burke Surgery,Dentist,"265 London Road, Hazel Grove, Stockport",SK7 4PL,1614832099,NA,Stockport,E0800007,-2.118386,53.378947
Church Road Dental and Cosmetic,Dentist,"32 Church Road, Cheadle Hulme, Cheshire, Cheadle",SK8 7JB,1614860743,NA,Stockport,E0800007,-2.185722,53.366619
Birch Dental Practice Limited,Dentist,"2 Hythe Close, Rusholme, Manchester",M14 5AT,1612248127,NA,Manchester,E0800003,-2.221393,53.452336
The Square Advanced Dental Care,Dentist,"2 Hollins House, 327 Hale Road, Hale Barns, Altrincham",WA15 8TS,7921040842,http://www.thesquaredental.com,Trafford,E0800009,-2.312745,53.369473
Inglewood House Dental Practice,Dentist,"225 Bury New Road, Whitefield, Manchester",M45 8GW,1617664506,http://www.inglewood-house.co.uk,Bury,E0800002,-2.295923,53.550715
Ramsbottom Dental Care,Dentist,"9-11 Peel Brow, Ramsbottom, Bury",BL0 0AA,1706829201,NA,Bury,E0800002,-2.312381,53.647755
Wigan Dental Centre,Dentist,"44 Whelley, Whelley, Wigan",WN1 3PQ,1942826366,NA,Wigan,E08000010,-2.617943,53.551125999999996
Ashton Dental Practice,Dentist,"19 Wigan Road, Ashton-in-Makerfield, Wigan",WN4 9AR,1942271827,http://www.wecareforyoursmile.com,Wigan,E08000010,-2.637556,53.488211
The Dental Health Centre,Dentist,"1b School Lane, Didsbury, Manchester",M20 6RD,1614455459,http://www.didsburydentalhealth.com,Manchester,E0800003,-2.230962,53.417631
Mr John Booth - 4A Dental,Dentist,"4a Balderstone Road, Rochdale",OL11 2AJ,1706394470,NA,Rochdale,E0800005,-2.145694,53.596976
Horwich Dental Practice,Dentist,"19-21 Winter Hey Lane, Horwich, Bolton",BL6 7AD,NA,NA,Bolton,E0800001,-2.547054,53.599391
Grays Dental Care,Dentist,"62 Manchester Road, Altrincham",WA14 4PJ,1619281813,http://www.graysdental.co.uk,Trafford,E0800009,-2.35188,53.394981
Shaw Heath Family Dental Health Centre,Dentist,"212 Shaw Heath, Stockport",SK2 6QZ,1614298851,NA,Stockport,E0800007,-2.156921,53.397706
Mr C Carre BDS Dental Practice,Dentist,"Upper Unit 43, Stretford Mall, Manchester",M32 9BB,1618652431,NA,Trafford,E0800009,-2.310817,53.445206
KS Dental Sale Manchester,Dentist,"331 Washway Road, Sale",M33 4EE,1619732753,NA,Trafford,E0800009,-2.337966,53.413385
Langworthy Dental Practice,Dentist,"192 Langworthy Road, Salford",M6 5PP,1617362695,NA,Salford,E0800006,-2.294577,53.487206
Edgeley Dental Practice Limited,Dentist,"146 Grenville Street, Edgeley, Stockport",SK3 9ET,1614803083,NA,Stockport,E0800007,-2.170461,53.40238
Denuvo Dental,Dentist,"143 Lea Gate, Bolton",BL2 4BQ,1204593300,http://www.denuvodental.co.uk,Bolton,E0800001,-2.396245,53.605235
Oakley Dental,Dentist,"59 Bury Old Road, Prestwich, Manchester",M25 0FG,1617730111,http://www.oakleydental.co.uk,Bury,E0800002,-2.261372,53.520828
The Dental Practice - Wilbraham Road,Dentist,"135 Wilbraham Road, Fallowfield, Manchester",M14 7DS,1612247621,http://www.thedentalpracticefallowfield.com,Manchester,E0800003,-2.233932,53.443431
Boothstown Dental Practice,Dentist,"51 Leigh Road, Boothstown, Worsely, Manchester",M28 1HP,1617902830,NA,Salford,E0800006,-2.420855,53.502522
Collegiate Dental Practice,Dentist,"76 Brideoak Street, Cheetham Hill, Manchester",M8 0AB,1612051e3,NA,Manchester,E0800003,-2.241421,53.505581
The Sandy Lane Dental Practice,Dentist,"7 Sandy Lane, Chorlton-Cum-Hardy, Manchester",M21 8TL,1618816560,NA,Manchester,E0800003,-2.273708,53.438763
Dental Practice - Manchester Road,Dentist,"63 Manchester Road, Altrincham",WA14 4RH,1619282886,NA,Trafford,E0800009,-2.352566,53.396022
Broom Lane Dental Care,Dentist,"52 Broom Lane, Levenshulme, Manchester",M19 2TG,1614324477,NA,Manchester,E0800003,-2.185469,53.439687
Burton Dental Care,Dentist,"125 Burton Road, West Didsbury, Manchester",M20 1JP,1614380446,NA,Manchester,E0800003,-2.239063,53.429426
Saddleworth Dental Clinic,Dentist,"36 Oldham Road, Uppermill, Oldham",OL3 6HY,1457872108,NA,Oldham,E0800004,-2.009333,53.544537
Whalley Range Dental Practice,Dentist,"132 Withington Road, Whalley Range, Manchester",M16 8FB,1612269647,NA,Manchester,E0800003,-2.258096,53.450914
Park House Dental Practice Bury,Dentist,"311 Walmersley Road, Bury",BL9 5EZ,1617051746,NA,Bury,E0800002,-2.292723,53.609677
S Patel & Associates,Dentist,"112 Walmersley Road, Bury",BL9 6DX,1617648822,NA,Bury,E0800002,-2.289512,53.599735
Absolute Dental - Prestwich,Dentist,"111 Bury Old Road, Prestwich, Manchester",M25 0EQ,1617739922,NA,Bury,E0800002,-2.26406,53.523788
DHS Dental Practice - Phoenix Centre,Dentist,"The Phoenix Centre, 1 Church Street, Heywood",OL10 1LR,1706764334,NA,Rochdale,E0800005,-2.218662,53.592207
Greenwood Dental Practice,Dentist,"16 Greenwood Street, Altrincham",WA14 1RZ,1612330610,http://www.greenwooddental.co.uk,Trafford,E0800009,-2.352158,53.38672
"Vallance, Segal & Shupac - Failsworth",Dentist,"149 Lord Lane, Failsworth, Manchester",M35 0QH,1616815400,NA,Oldham,E0800004,-2.156717,53.501309
"Vallance, Segal & Shupac - Whitefield",Dentist,"55 Bury Old Road, Whitefield, Manchester",M45 6TB,1617732361,NA,Bury,E0800002,-2.283141,53.539645
The Dental Treatment Centre,Dentist,"436 Flixton Road, Flixton, Manchester",M41 6QT,1617482490,http://www.clickdentist.co.uk,Trafford,E0800009,-2.384388,53.44448
Standish Dental Practice,Dentist,"Rodenhurst, 59 Church Street, Standish, Wigan",WN6 0JJ,1257422114,NA,Wigan,E08000010,-2.662777,53.587166
Ocean Dental,Dentist,"169 Mauldeth Road, Manchester",M14 6SG,1612247135,NA,Manchester,E0800003,-2.209976,53.433508
Regent Dental Centre,Dentist,"22 Regent Road, Altrincham",WA14 1RP,1619412143,http://www.regentdentalcentre.co.uk,Trafford,E0800009,-2.352258,53.386045
H Showman & Associates Dental Practice,Dentist,"353 Oldham Road, Failsworth, Manchester",M35 0AN,1616824751,NA,Oldham,E0800004,-2.161181,53.509662
Heaton Mersey Orthodontic Centre,Dentist,"458 Didsbury Road, Heaton Mersey, Stockport",SK4 3BS,1619479900,http://www.hmorthoc.co.uk,Stockport,E0800007,-2.205509,53.412338
S D Walmsley Dental Practice,Dentist,"253 Manchester Road, Droylsden, Manchester",M43 6HE,1613702869,NA,Tameside,E0800008,-2.157046,53.480015
MIDHS at Beacon Business Centre,Dentist,"14 Arundel Street, Mossley, Ashton Under Lyne",OL5 0LS,1457838995,http://www.midhs.co.uk,Tameside,E0800008,-2.047107,53.518372
"Bupa - St Anns Square, Manchester",Dentist,"14 St Ann's Square, Manchester",M2 7HQ,1618342627,NA,Manchester,E0800003,-2.245837,53.482236
"Bupa - Buxton Road, Stockport",Dentist,"73 Buxton Road, High Lane, Stockport",SK6 8DR,1663764924,NA,Stockport,E0800007,-2.075293,53.364978
"Bupa - Stockport Road, Timperley",Dentist,"415 Stockport Road, Timperley, Altrincham",WA15 7XR,1619808010,NA,Trafford,E0800009,-2.315515,53.398597
