lsoa11cd,index_domain,decile,rank,score
E01004772,Health Deprivation and Disability,2,6223,0.788
E01004772,Income Deprivation Affecting Children Index (IDACI),3,8638,0.262
E01004772,Income Deprivation Affecting Older People Index (IDAOPI),2,4838,0.325
E01004772,Income,3,6624,0.228
E01004772,Index of Multiple Deprivation,3,8058,30.374
E01004772,Living Environment,8,26080,7.79
E01004773,Barriers to Housing and Services,8,24402,13.917
E01004773,Crime,6,18737,-0.142
E01004773,"Education, Skills and Training",7,20865,11.058
E01004773,Employment,8,25910,0.057
E01004773,Health Deprivation and Disability,6,19488,-0.225
E01004773,Income Deprivation Affecting Children Index (IDACI),8,23743,0.081
E01004773,Income Deprivation Affecting Older People Index (IDAOPI),6,16703,0.147
E01004773,Income,7,22001,0.078
E01004773,Index of Multiple Deprivation,8,24274,9.965
E01004773,Living Environment,4,13070,22.321
E01004774,Barriers to Housing and Services,8,24796,13.583
E01004774,Crime,3,8545,0.535
E01004774,"Education, Skills and Training",4,9900,26.978
E01004774,Employment,3,7903,0.162
E01004774,Health Deprivation and Disability,3,8473,0.58
E01004774,Income Deprivation Affecting Children Index (IDACI),3,6820,0.297
E01004774,Income Deprivation Affecting Older People Index (IDAOPI),3,7315,0.27
E01004774,Income,3,7926,0.206
E01004774,Index of Multiple Deprivation,3,8519,29.379
E01004774,Living Environment,2,4842,39.587
E01004775,Barriers to Housing and Services,2,5864,31.465
E01004775,Crime,8,26050,-0.671
E01004775,"Education, Skills and Training",7,22406,9.451
E01004775,Employment,8,25087,0.06
E01004775,Health Deprivation and Disability,4,12640,0.244
E01004775,Income Deprivation Affecting Children Index (IDACI),8,25684,0.068
E01004775,Income Deprivation Affecting Older People Index (IDAOPI),7,21767,0.106
E01004775,Income,8,23593,0.07
E01004775,Index of Multiple Deprivation,7,21157,12.544
E01004775,Living Environment,6,17165,16.606
E01004776,Barriers to Housing and Services,3,8026,28.396
E01004776,Crime,10,31306,-1.298
E01004776,"Education, Skills and Training",4,12451,22.057
E01004776,Employment,4,12450,0.121
E01004776,Health Deprivation and Disability,3,7215,0.692
E01004776,Income Deprivation Affecting Children Index (IDACI),6,16904,0.142
E01004776,Income Deprivation Affecting Older People Index (IDAOPI),2,6398,0.289
E01004776,Income,4,12811,0.146
E01004776,Index of Multiple Deprivation,4,12364,22.539
E01004776,Living Environment,4,10854,25.923
E01004777,Barriers to Housing and Services,9,29484,9.273
E01004777,Crime,7,19955,-0.225
E01004777,"Education, Skills and Training",5,15487,17.534
E01004777,Employment,3,8753,0.153
E01004777,Health Deprivation and Disability,2,4291,1.015
E01004777,Income Deprivation Affecting Children Index (IDACI),3,8219,0.27
E01004777,Income Deprivation Affecting Older People Index (IDAOPI),2,6435,0.288
E01004777,Income,3,7555,0.212
E01004777,Index of Multiple Deprivation,4,9956,26.578
E01004777,Living Environment,3,8150,31.186
E01004778,Barriers to Housing and Services,9,27128,11.522
E01004778,Crime,10,30662,-1.177
E01004778,"Education, Skills and Training",7,19829,12.212
E01004778,Employment,7,22268,0.071
E01004778,Health Deprivation and Disability,4,11296,0.347
E01004778,Income Deprivation Affecting Children Index (IDACI),8,23871,0.08
E01004778,Income Deprivation Affecting Older People Index (IDAOPI),7,22898,0.099
E01004778,Income,7,22036,0.078
E01004778,Index of Multiple Deprivation,8,24390,9.862
E01004778,Living Environment,8,25648,8.146
E01004779,Barriers to Housing and Services,8,23077,14.981
E01004779,Crime,7,22018,-0.364
E01004779,"Education, Skills and Training",6,16681,15.997
E01004779,Employment,4,11574,0.127
E01004779,Health Deprivation and Disability,3,7414,0.674
E01004779,Income Deprivation Affecting Children Index (IDACI),4,12137,0.204
E01004779,Income Deprivation Affecting Older People Index (IDAOPI),3,9591,0.231
E01004779,Income,4,12015,0.155
E01004779,Index of Multiple Deprivation,5,14899,19.171
E01004779,Living Environment,8,23926,9.643
E01004780,Barriers to Housing and Services,4,11296,24.785
E01004780,Crime,8,23084,-0.44
E01004780,"Education, Skills and Training",9,28843,3.788
E01004780,Employment,8,24245,0.063
E01004780,Health Deprivation and Disability,5,15212,0.062
E01004780,Income Deprivation Affecting Children Index (IDACI),9,28412,0.051
E01004780,Income Deprivation Affecting Older People Index (IDAOPI),7,22329,0.102
E01004780,Income,9,26845,0.055
E01004780,Index of Multiple Deprivation,8,25016,9.354
E01004780,Living Environment,7,19825,13.599
E01004781,Barriers to Housing and Services,6,17216,19.679
E01004781,Crime,8,23763,-0.491
E01004781,"Education, Skills and Training",8,24292,7.691
E01004781,Employment,6,17614,0.091
E01004781,Health Deprivation and Disability,4,13060,0.212
E01004781,Income Deprivation Affecting Children Index (IDACI),6,18632,0.123
E01004781,Income Deprivation Affecting Older People Index (IDAOPI),6,18610,0.13
E01004781,Income,6,19269,0.094
E01004781,Index of Multiple Deprivation,7,20520,13.144
E01004781,Living Environment,5,16080,18.064
E01004782,Barriers to Housing and Services,7,20317,17.166
E01004782,Crime,8,23338,-0.461
E01004782,"Education, Skills and Training",4,10915,24.897
E01004782,Employment,3,9053,0.15
E01004782,Health Deprivation and Disability,3,7620,0.656
E01004782,Income Deprivation Affecting Children Index (IDACI),4,12390,0.2
E01004782,Income Deprivation Affecting Older People Index (IDAOPI),4,9944,0.226
E01004782,Income,3,9607,0.182
E01004782,Index of Multiple Deprivation,4,11717,23.549
E01004782,Living Environment,6,17093,16.681
E01004783,Barriers to Housing and Services,5,13648,22.62
E01004783,Crime,6,16812,-0.017
E01004783,"Education, Skills and Training",8,23523,8.407
E01004783,Employment,7,21017,0.076
E01004783,Health Deprivation and Disability,6,16705,-0.041
E01004783,Income Deprivation Affecting Children Index (IDACI),9,28248,0.052
E01004783,Income Deprivation Affecting Older People Index (IDAOPI),9,27354,0.072
E01004783,Income,9,26584,0.056
E01004783,Index of Multiple Deprivation,8,23337,10.729
E01004783,Living Environment,7,19947,13.461
E01004784,Barriers to Housing and Services,7,22046,15.802
E01004784,Crime,9,28248,-0.874
E01004784,"Education, Skills and Training",9,26944,5.354
E01004784,Employment,8,25619,0.058
E01004784,Health Deprivation and Disability,6,17753,-0.108
E01004784,Income Deprivation Affecting Children Index (IDACI),9,27512,0.056
E01004784,Income Deprivation Affecting Older People Index (IDAOPI),10,30086,0.054
E01004784,Income,9,29417,0.043
E01004784,Index of Multiple Deprivation,9,29361,5.851
E01004784,Living Environment,9,27414,6.646
E01004785,Barriers to Housing and Services,7,21288,16.386
E01004785,Crime,4,10821,0.371
E01004785,"Education, Skills and Training",5,14865,18.441
E01004785,Employment,4,12645,0.12
E01004785,Health Deprivation and Disability,4,11806,0.307
E01004785,Income Deprivation Affecting Children Index (IDACI),5,16092,0.152
E01004785,Income Deprivation Affecting Older People Index (IDAOPI),7,21119,0.111
E01004785,Income,6,17226,0.108
E01004785,Index of Multiple Deprivation,5,16177,17.666
E01004785,Living Environment,7,22460,10.99
E01004786,Barriers to Housing and Services,8,26220,12.364
E01004786,Crime,7,20660,-0.272
E01004786,"Education, Skills and Training",7,20813,11.128
E01004786,Employment,6,19492,0.082
E01004786,Health Deprivation and Disability,3,9448,0.494
E01004786,Income Deprivation Affecting Children Index (IDACI),9,26392,0.063
E01004786,Income Deprivation Affecting Older People Index (IDAOPI),7,22960,0.098
E01004786,Income,8,24022,0.068
E01004786,Index of Multiple Deprivation,7,22421,11.472
E01004786,Living Environment,8,24619,9.041
E01004787,Barriers to Housing and Services,4,11270,24.807
E01004787,Crime,2,4703,0.855
E01004787,"Education, Skills and Training",1,3005,50.881
E01004787,Employment,1,318,0.359
E01004787,Health Deprivation and Disability,1,588,1.908
E01004787,Income Deprivation Affecting Children Index (IDACI),1,1364,0.464
E01004787,Income Deprivation Affecting Older People Index (IDAOPI),1,945,0.489
E01004787,Income,1,437,0.434
E01004787,Index of Multiple Deprivation,1,607,64.05
E01004787,Living Environment,6,16759,17.128
E01004788,Barriers to Housing and Services,8,23327,14.788
E01004788,Crime,8,26091,-0.674
E01004788,"Education, Skills and Training",9,29200,3.485
E01004788,Employment,9,27284,0.052
E01004788,Health Deprivation and Disability,6,17673,-0.103
E01004788,Income Deprivation Affecting Children Index (IDACI),10,30277,0.038
E01004788,Income Deprivation Affecting Older People Index (IDAOPI),10,31236,0.045
E01004788,Income,10,31032,0.034
E01004788,Index of Multiple Deprivation,10,30308,4.985
E01004788,Living Environment,9,28596,5.632
E01004789,Barriers to Housing and Services,7,21524,16.199
E01004789,Crime,8,25346,-0.613
E01004789,"Education, Skills and Training",9,28806,3.81
E01004789,Employment,9,27450,0.051
E01004789,Health Deprivation and Disability,5,16380,-0.018
E01004789,Income Deprivation Affecting Children Index (IDACI),10,30088,0.039
E01004789,Income Deprivation Affecting Older People Index (IDAOPI),10,29982,0.055
E01004789,Income,10,30215,0.039
E01004789,Index of Multiple Deprivation,9,28774,6.339
E01004789,Living Environment,7,20037,13.382
E01004790,Barriers to Housing and Services,7,21132,16.509
E01004790,Crime,8,23798,-0.494
E01004790,"Education, Skills and Training",9,27242,5.087
E01004790,Employment,7,22006,0.072
E01004790,Health Deprivation and Disability,5,14757,0.092
E01004790,Income Deprivation Affecting Children Index (IDACI),6,18655,0.123
E01004790,Income Deprivation Affecting Older People Index (IDAOPI),7,22505,0.101
E01004790,Income,7,19729,0.091
E01004790,Index of Multiple Deprivation,8,23271,10.792
E01004790,Living Environment,5,15738,18.522
E01004791,Barriers to Housing and Services,10,30591,7.835
E01004791,Crime,10,32165,-1.56
E01004791,"Education, Skills and Training",9,26973,5.333
E01004791,Employment,8,25784,0.058
E01004791,Health Deprivation and Disability,6,17058,-0.063
E01004791,Income Deprivation Affecting Children Index (IDACI),9,27735,0.055
E01004791,Income Deprivation Affecting Older People Index (IDAOPI),6,18167,0.134
E01004791,Income,7,21666,0.08
E01004791,Index of Multiple Deprivation,9,27461,7.423
E01004791,Living Environment,6,17900,15.734
E01004792,Barriers to Housing and Services,8,25552,12.926
E01004792,Crime,10,30837,-1.205
E01004792,"Education, Skills and Training",9,28104,4.372
E01004792,Employment,9,27553,0.051
E01004792,Health Deprivation and Disability,6,18478,-0.159
E01004792,Income Deprivation Affecting Children Index (IDACI),10,32270,0.02
E01004792,Income Deprivation Affecting Older People Index (IDAOPI),10,31886,0.038
E01004792,Income,10,31957,0.026
E01004792,Index of Multiple Deprivation,10,30842,4.449
E01004792,Living Environment,8,25692,8.113
E01004793,Barriers to Housing and Services,5,13703,22.572
E01004793,Crime,1,1606,1.267
E01004793,"Education, Skills and Training",1,2606,53.267
E01004793,Employment,1,1123,0.296
E01004793,Health Deprivation and Disability,1,1032,1.696
E01004793,Income Deprivation Affecting Children Index (IDACI),1,1408,0.462
E01004793,Income Deprivation Affecting Older People Index (IDAOPI),2,4809,0.325
E01004793,Income,1,1551,0.359
E01004793,Index of Multiple Deprivation,1,1263,56.707
E01004793,Living Environment,6,17717,15.944
E01004794,Barriers to Housing and Services,5,14849,21.599
E01004794,Crime,6,16798,-0.016
E01004794,"Education, Skills and Training",1,952,67.571
E01004794,Employment,1,817,0.312
E01004794,Health Deprivation and Disability,1,2673,1.273
E01004794,Income Deprivation Affecting Children Index (IDACI),1,450,0.533
E01004794,Income Deprivation Affecting Older People Index (IDAOPI),2,4631,0.33
E01004794,Income,1,445,0.433
E01004794,Index of Multiple Deprivation,1,1131,57.849
E01004794,Living Environment,5,14594,20.063
E01004795,Barriers to Housing and Services,4,12013,24.047
E01004795,Crime,4,11151,0.348
E01004795,"Education, Skills and Training",4,11244,24.247
E01004795,Employment,1,1958,0.265
E01004795,Health Deprivation and Disability,1,827,1.781
E01004795,Income Deprivation Affecting Children Index (IDACI),4,11454,0.214
E01004795,Income Deprivation Affecting Older People Index (IDAOPI),3,7047,0.275
E01004795,Income,2,5363,0.252
E01004795,Index of Multiple Deprivation,2,3900,42.075
E01004795,Living Environment,5,15273,19.134
E01004796,Barriers to Housing and Services,10,29919,8.79
E01004796,Crime,2,3668,0.966
E01004796,"Education, Skills and Training",5,13945,19.774
E01004796,Employment,4,11805,0.126
E01004796,Health Deprivation and Disability,4,12290,0.27
E01004796,Income Deprivation Affecting Children Index (IDACI),5,13357,0.185
E01004796,Income Deprivation Affecting Older People Index (IDAOPI),8,23176,0.097
E01004796,Income,5,13635,0.138
E01004796,Index of Multiple Deprivation,4,11137,24.511
E01004796,Living Environment,2,3430,44.54
E01004797,Barriers to Housing and Services,5,14277,22.067
E01004797,Crime,1,602,1.562
E01004797,"Education, Skills and Training",1,3069,50.474
E01004797,Employment,2,4831,0.204
E01004797,Health Deprivation and Disability,2,3931,1.065
E01004797,Income Deprivation Affecting Children Index (IDACI),1,2816,0.401
E01004797,Income Deprivation Affecting Older People Index (IDAOPI),2,3835,0.351
E01004797,Income,1,2719,0.318
E01004797,Index of Multiple Deprivation,1,2859,46.643
E01004797,Living Environment,4,10333,26.822
E01004798,Barriers to Housing and Services,7,22519,15.411
E01004798,Crime,2,4453,0.883
E01004798,"Education, Skills and Training",3,6644,35.598
E01004798,Employment,2,5481,0.193
E01004798,Health Deprivation and Disability,2,3717,1.098
E01004798,Income Deprivation Affecting Children Index (IDACI),3,7036,0.293
E01004798,Income Deprivation Affecting Older People Index (IDAOPI),3,8217,0.253
E01004798,Income,3,7014,0.221
E01004798,Index of Multiple Deprivation,2,6147,35.006
E01004798,Living Environment,4,11807,24.327
E01004799,Barriers to Housing and Services,7,22355,15.559
E01004799,Crime,4,10873,0.367
E01004799,"Education, Skills and Training",6,18839,13.267
E01004799,Employment,6,16828,0.095
E01004799,Health Deprivation and Disability,5,16081,0.003
E01004799,Income Deprivation Affecting Children Index (IDACI),7,21144,0.101
E01004799,Income Deprivation Affecting Older People Index (IDAOPI),7,22606,0.101
E01004799,Income,6,19660,0.091
E01004799,Index of Multiple Deprivation,7,19955,13.681
E01004799,Living Environment,8,23782,9.777
E01004800,Barriers to Housing and Services,7,21083,16.55
E01004800,Crime,7,22330,-0.386
E01004800,"Education, Skills and Training",6,18047,14.195
E01004800,Employment,6,17080,0.093
E01004800,Health Deprivation and Disability,3,8645,0.564
E01004800,Income Deprivation Affecting Children Index (IDACI),7,21834,0.096
E01004800,Income Deprivation Affecting Older People Index (IDAOPI),9,27590,0.071
E01004800,Income,7,22971,0.073
E01004800,Index of Multiple Deprivation,6,19229,14.404
E01004800,Living Environment,5,14935,19.602
E01004801,Barriers to Housing and Services,2,5277,32.481
E01004801,Crime,2,5885,0.743
E01004801,"Education, Skills and Training",1,1417,62.297
E01004801,Employment,1,732,0.317
E01004801,Health Deprivation and Disability,1,1978,1.411
E01004801,Income Deprivation Affecting Children Index (IDACI),1,1036,0.483
E01004801,Income Deprivation Affecting Older People Index (IDAOPI),2,4661,0.329
E01004801,Income,1,773,0.4
E01004801,Index of Multiple Deprivation,1,904,60.34
E01004801,Living Environment,6,17397,16.321
E01004802,Barriers to Housing and Services,4,10697,25.329
E01004802,Crime,5,14104,0.157
E01004802,"Education, Skills and Training",1,2133,56.453
E01004802,Employment,1,1052,0.3
E01004802,Health Deprivation and Disability,1,1240,1.621
E01004802,Income Deprivation Affecting Children Index (IDACI),1,756,0.501
E01004802,Income Deprivation Affecting Older People Index (IDAOPI),1,1961,0.423
E01004802,Income,1,637,0.411
E01004802,Index of Multiple Deprivation,1,1144,57.675
E01004802,Living Environment,4,10405,26.668
E01004803,Barriers to Housing and Services,5,15390,21.128
E01004803,Crime,10,31157,-1.268
E01004803,"Education, Skills and Training",10,31045,1.931
E01004803,Employment,8,23958,0.064
E01004803,Health Deprivation and Disability,7,20145,-0.269
E01004803,Income Deprivation Affecting Children Index (IDACI),9,28377,0.051
E01004803,Income Deprivation Affecting Older People Index (IDAOPI),10,30207,0.054
E01004803,Income,10,29743,0.041
E01004803,Index of Multiple Deprivation,9,28960,6.176
E01004803,Living Environment,8,23620,9.945
E01004804,Barriers to Housing and Services,5,13992,22.316
E01004804,Crime,9,28308,-0.881
E01004804,"Education, Skills and Training",9,29424,3.311
E01004804,Employment,9,28636,0.047
E01004804,Health Deprivation and Disability,7,21143,-0.342
E01004804,Income Deprivation Affecting Children Index (IDACI),10,32412,0.018
E01004804,Income Deprivation Affecting Older People Index (IDAOPI),9,27904,0.069
E01004804,Income,10,31683,0.029
E01004804,Index of Multiple Deprivation,10,30438,4.852
E01004804,Living Environment,10,30101,4.223
E01004805,Barriers to Housing and Services,5,14649,21.749
E01004805,Crime,9,28209,-0.869
E01004805,"Education, Skills and Training",10,29769,3.022
E01004805,Employment,9,28048,0.049
E01004805,Health Deprivation and Disability,8,23565,-0.526
E01004805,Income Deprivation Affecting Children Index (IDACI),9,26679,0.062
E01004805,Income Deprivation Affecting Older People Index (IDAOPI),10,30237,0.053
E01004805,Income,9,27060,0.054
E01004805,Index of Multiple Deprivation,10,29717,5.523
E01004805,Living Environment,9,27187,6.837
E01004806,Barriers to Housing and Services,9,27937,10.797
E01004806,Crime,6,18946,-0.156
E01004806,"Education, Skills and Training",9,28361,4.171
E01004806,Employment,8,23581,0.066
E01004806,Health Deprivation and Disability,5,13362,0.19
E01004806,Income Deprivation Affecting Children Index (IDACI),9,27503,0.056
E01004806,Income Deprivation Affecting Older People Index (IDAOPI),9,26477,0.077
E01004806,Income,8,25034,0.063
E01004806,Index of Multiple Deprivation,8,26275,8.373
E01004806,Living Environment,8,24495,9.145
E01004807,Barriers to Housing and Services,9,29538,9.221
E01004807,Crime,9,28638,-0.917
E01004807,"Education, Skills and Training",9,27525,4.859
E01004807,Employment,9,26329,0.056
E01004807,Health Deprivation and Disability,6,17411,-0.085
E01004807,Income Deprivation Affecting Children Index (IDACI),9,27640,0.056
E01004807,Income Deprivation Affecting Older People Index (IDAOPI),10,30151,0.054
E01004807,Income,9,29105,0.044
E01004807,Index of Multiple Deprivation,10,30312,4.981
E01004807,Living Environment,9,29217,5.06
E01004808,Barriers to Housing and Services,7,22932,15.085
E01004808,Crime,9,27239,-0.775
E01004808,"Education, Skills and Training",9,26612,5.626
E01004808,Employment,9,27808,0.05
E01004808,Health Deprivation and Disability,7,21788,-0.39
E01004808,Income Deprivation Affecting Children Index (IDACI),8,24499,0.076
E01004808,Income Deprivation Affecting Older People Index (IDAOPI),10,31367,0.044
E01004808,Income,9,28741,0.046
E01004808,Index of Multiple Deprivation,10,30226,5.073
E01004808,Living Environment,8,26001,7.862
E01004809,Barriers to Housing and Services,8,25701,12.795
E01004809,Crime,8,24444,-0.544
E01004809,"Education, Skills and Training",7,20577,11.395
E01004809,Employment,5,13958,0.111
E01004809,Health Deprivation and Disability,4,10213,0.431
E01004809,Income Deprivation Affecting Children Index (IDACI),6,19620,0.114
E01004809,Income Deprivation Affecting Older People Index (IDAOPI),4,10403,0.219
E01004809,Income,5,14558,0.129
E01004809,Index of Multiple Deprivation,5,16159,17.688
E01004809,Living Environment,3,7330,33.051
E01004810,Barriers to Housing and Services,8,24022,14.22
E01004810,Crime,7,20039,-0.23
E01004810,"Education, Skills and Training",9,29118,3.555
E01004810,Employment,8,25877,0.057
E01004810,Health Deprivation and Disability,6,17851,-0.114
E01004810,Income Deprivation Affecting Children Index (IDACI),9,26728,0.061
E01004810,Income Deprivation Affecting Older People Index (IDAOPI),8,23539,0.095
E01004810,Income,8,24514,0.065
E01004810,Index of Multiple Deprivation,9,27113,7.71
E01004810,Living Environment,6,19695,13.737
E01004811,Barriers to Housing and Services,6,17706,19.291
E01004811,Crime,1,1963,1.201
E01004811,"Education, Skills and Training",2,3301,49.287
E01004811,Employment,1,1742,0.273
E01004811,Health Deprivation and Disability,1,919,1.735
E01004811,Income Deprivation Affecting Children Index (IDACI),1,2981,0.395
E01004811,Income Deprivation Affecting Older People Index (IDAOPI),1,1111,0.473
E01004811,Income,1,1210,0.376
E01004811,Index of Multiple Deprivation,1,1238,56.909
E01004811,Living Environment,2,5966,36.452
E01004812,Barriers to Housing and Services,4,12757,23.384
E01004812,Crime,6,19124,-0.168
E01004812,"Education, Skills and Training",2,5231,40.443
E01004812,Employment,2,4423,0.21
E01004812,Health Deprivation and Disability,2,4118,1.037
E01004812,Income Deprivation Affecting Children Index (IDACI),2,4708,0.346
E01004812,Income Deprivation Affecting Older People Index (IDAOPI),1,3249,0.37
E01004812,Income,1,2778,0.316
E01004812,Index of Multiple Deprivation,2,3915,42.015
E01004812,Living Environment,1,2568,48.463
E01004813,Barriers to Housing and Services,7,20546,16.981
E01004813,Crime,2,3633,0.969
E01004813,"Education, Skills and Training",3,7799,32.098
E01004813,Employment,2,5182,0.198
E01004813,Health Deprivation and Disability,2,3624,1.112
E01004813,Income Deprivation Affecting Children Index (IDACI),3,6958,0.294
E01004813,Income Deprivation Affecting Older People Index (IDAOPI),1,3085,0.375
E01004813,Income,2,4144,0.28
E01004813,Index of Multiple Deprivation,2,4694,39.382
E01004813,Living Environment,2,5930,36.546
E01004814,Barriers to Housing and Services,4,9987,26.054
E01004814,Crime,2,4226,0.906
E01004814,"Education, Skills and Training",3,9124,28.663
E01004814,Employment,2,4661,0.206
E01004814,Health Deprivation and Disability,2,3583,1.117
E01004814,Income Deprivation Affecting Children Index (IDACI),3,7862,0.277
E01004814,Income Deprivation Affecting Older People Index (IDAOPI),2,5505,0.308
E01004814,Income,2,5553,0.249
E01004814,Index of Multiple Deprivation,2,4768,39.104
E01004814,Living Environment,2,6443,35.229
E01004815,Barriers to Housing and Services,7,19740,17.654
E01004815,Crime,1,1065,1.397
E01004815,"Education, Skills and Training",3,8193,31
E01004815,Employment,2,6464,0.179
E01004815,Health Deprivation and Disability,1,3232,1.17
E01004815,Income Deprivation Affecting Children Index (IDACI),4,10084,0.235
E01004815,Income Deprivation Affecting Older People Index (IDAOPI),3,8098,0.255
E01004815,Income,3,7959,0.206
E01004815,Index of Multiple Deprivation,2,5634,36.393
E01004815,Living Environment,4,10599,26.363
E01004816,Barriers to Housing and Services,7,20259,17.224
E01004816,Crime,5,13687,0.185
E01004816,"Education, Skills and Training",2,5124,40.796
E01004816,Employment,2,5515,0.193
E01004816,Health Deprivation and Disability,3,8461,0.581
E01004816,Income Deprivation Affecting Children Index (IDACI),3,9297,0.249
E01004816,Income Deprivation Affecting Older People Index (IDAOPI),3,6591,0.285
E01004816,Income,3,6577,0.229
E01004816,Index of Multiple Deprivation,3,7713,31.092
E01004816,Living Environment,5,15256,19.153
E01004817,Barriers to Housing and Services,4,11785,24.275
E01004817,Crime,1,412,1.675
E01004817,"Education, Skills and Training",4,10706,25.299
E01004817,Employment,2,5816,0.188
E01004817,Health Deprivation and Disability,2,4073,1.045
E01004817,Income Deprivation Affecting Children Index (IDACI),4,12920,0.192
E01004817,Income Deprivation Affecting Older People Index (IDAOPI),2,3885,0.349
E01004817,Income,3,7173,0.219
E01004817,Index of Multiple Deprivation,2,4582,39.734
E01004817,Living Environment,2,5155,38.64
E01004818,Barriers to Housing and Services,6,16465,20.261
E01004818,Crime,2,3846,0.948
E01004818,"Education, Skills and Training",3,9750,27.301
E01004818,Employment,1,2154,0.259
E01004818,Health Deprivation and Disability,1,2216,1.362
E01004818,Income Deprivation Affecting Children Index (IDACI),3,9182,0.251
E01004818,Income Deprivation Affecting Older People Index (IDAOPI),1,3264,0.369
E01004818,Income,2,3602,0.293
E01004818,Index of Multiple Deprivation,1,2245,49.866
E01004818,Living Environment,1,245,68.778
E01004819,Barriers to Housing and Services,7,21356,16.336
E01004819,Crime,5,16166,0.023
E01004819,"Education, Skills and Training",4,12208,22.486
E01004819,Employment,4,11373,0.129
E01004819,Health Deprivation and Disability,2,5192,0.901
E01004819,Income Deprivation Affecting Children Index (IDACI),3,8953,0.255
E01004819,Income Deprivation Affecting Older People Index (IDAOPI),5,14798,0.166
E01004819,Income,4,12221,0.152
E01004819,Index of Multiple Deprivation,4,10428,25.766
E01004819,Living Environment,2,3676,43.635
E01004820,Barriers to Housing and Services,4,11993,24.066
E01004820,Crime,1,1180,1.369
E01004820,"Education, Skills and Training",1,2840,51.889
E01004820,Employment,1,829,0.311
E01004820,Health Deprivation and Disability,1,1262,1.612
E01004820,Income Deprivation Affecting Children Index (IDACI),2,4971,0.34
E01004820,Income Deprivation Affecting Older People Index (IDAOPI),1,797,0.503
E01004820,Income,1,1723,0.352
E01004820,Index of Multiple Deprivation,1,1069,58.499
E01004820,Living Environment,4,10714,26.16
E01004822,Barriers to Housing and Services,3,7598,28.925
E01004822,Crime,3,7690,0.599
E01004822,"Education, Skills and Training",2,3620,47.594
E01004822,Employment,1,709,0.318
E01004822,Health Deprivation and Disability,1,846,1.769
E01004822,Income Deprivation Affecting Children Index (IDACI),2,4462,0.353
E01004822,Income Deprivation Affecting Older People Index (IDAOPI),1,162,0.637
