lsoa11cd,measure,value,index_domain
E01032920,Score,0.238,Income
E01032907,Score,0.217,Income
E01006274,Score,0.253,Income
E01033258,Score,0.375,Income
E01033220,Score,0.399,Income
E01032915,Score,0.359,Income
E01006217,Score,0.205,Income
E01006220,Score,0.214,Income
E01006210,Score,0.067,Income
E01006216,Score,0.117,Income
E01006340,Score,0.196,Income
E01006312,Score,0.057,Income
E01006226,Score,0.098,Income
E01006227,Score,0.089,Income
E01006194,Score,0.07,Income
E01006201,Score,0.106,Income
E01006407,Score,0.063,Income
E01006410,Score,0.064,Income
E01006380,Score,0.243,Income
E01006381,Score,0.053,Income
E01006405,Score,0.264,Income
E01006386,Score,0.469,Income
E01006163,Score,0.05,Income
E01006165,Score,0.114,Income
E01006088,Score,0.042,Income
E01006077,Score,0.098,Income
E01006085,Score,0.051,Income
E01006128,Score,0.071,Income
E01006131,Score,0.065,Income
E01006100,Score,0.077,Income
E01006348,Score,0.048,Income
E01006358,Score,0.21,Income
E01006305,Score,0.337,Income
E01006104,Score,0.201,Income
E01006369,Score,0.279,Income
E01006377,Score,0.065,Income
E01006367,Score,0.052,Income
E01006319,Score,0.059,Income
E01006158,Score,0.194,Income
E01006343,Score,0.033,Income
E01006314,Score,0.065,Income
E01006324,Score,0.279,Income
E01006322,Score,0.241,Income
E01006234,Score,0.096,Income
E01006181,Score,0.149,Income
E01006140,Score,0.054,Income
E01006174,Score,0.063,Income
E01006144,Score,0.32,Income
E01033217,Score,0.312,Income
E01032685,Score,0.021,Income
E01032684,Score,0.107,Income
E01005315,Score,0.323,Income Deprivation Affecting Children
E01005787,Score,0.01,Income Deprivation Affecting Children
E01005769,Score,0.116,Income Deprivation Affecting Children
E01005799,Score,0.474,Income Deprivation Affecting Children
E01005524,Score,0.246,Income Deprivation Affecting Children
E01005546,Score,0.147,Income Deprivation Affecting Children
E01005531,Score,0.124,Income Deprivation Affecting Children
E01005492,Score,0.06,Income Deprivation Affecting Children
E01005314,Score,0.422,Income Deprivation Affecting Children
E01005307,Score,0.142,Income Deprivation Affecting Children
E01005341,Score,0.186,Income Deprivation Affecting Children
E01005362,Score,0.087,Income Deprivation Affecting Children
E01005342,Score,0.411,Income Deprivation Affecting Children
E01005379,Score,0.446,Income Deprivation Affecting Children
E01005374,Score,0.195,Income Deprivation Affecting Children
E01005663,Score,0.311,Income Deprivation Affecting Children
E01005694,Score,0.16,Income Deprivation Affecting Children
E01005672,Score,0.212,Income Deprivation Affecting Children
E01005659,Score,0.321,Income Deprivation Affecting Children
E01005646,Score,0.085,Income Deprivation Affecting Children
E01005574,Score,0.053,Income Deprivation Affecting Children
E01005556,Score,0.137,Income Deprivation Affecting Children
E01005725,Score,0.466,Income Deprivation Affecting Children
E01005838,Score,0.151,Income Deprivation Affecting Children
E01005830,Score,0.13,Income Deprivation Affecting Children
E01005850,Score,0.181,Income Deprivation Affecting Children
E01005720,Score,0.378,Income Deprivation Affecting Children
E01005719,Score,0.193,Income Deprivation Affecting Children
E01005671,Score,0.253,Income Deprivation Affecting Children
E01005407,Score,0.034,Income Deprivation Affecting Children
E01005422,Score,0.494,Income Deprivation Affecting Children
E01005411,Score,0.055,Income Deprivation Affecting Children
E01005525,Score,0.452,Income Deprivation Affecting Children
E01005601,Score,0.392,Income Deprivation Affecting Children
E01005575,Score,0.128,Income Deprivation Affecting Children
E01005701,Score,0.098,Income Deprivation Affecting Children
E01005695,Score,0.046,Income Deprivation Affecting Children
E01005486,Score,0.295,Income Deprivation Affecting Children
E01005513,Score,0.51,Income Deprivation Affecting Children
E01005510,Score,0.158,Income Deprivation Affecting Children
E01005816,Score,0.223,Income Deprivation Affecting Children
E01005811,Score,0.025,Income Deprivation Affecting Children
E01005619,Score,0.223,Income Deprivation Affecting Children
E01005618,Score,0.266,Income Deprivation Affecting Children
E01005788,Score,0.045,Income Deprivation Affecting Children
E01005724,Score,0.059,Income Deprivation Affecting Children
E01005723,Score,0.462,Income Deprivation Affecting Children
E01005739,Score,0.042,Income Deprivation Affecting Children
E01005839,Score,0.026,Income Deprivation Affecting Children
E01005805,Score,0.008,Income Deprivation Affecting Children
E01005804,Score,0.172,Income Deprivation Affecting Children
E01005429,Score,0.35,Income Deprivation Affecting Children
E01005476,Score,0.123,Income Deprivation Affecting Children
E01005469,Score,0.164,Income Deprivation Affecting Children
E01005408,Score,0.048,Income Deprivation Affecting Children
E01005431,Score,0.253,Income Deprivation Affecting Children
E01006258,Score,0.121,Income Deprivation Affecting Children
E01006330,Score,0.044,Income Deprivation Affecting Children
E01006280,Score,0.232,Income Deprivation Affecting Children
E01006190,Score,0.039,Income Deprivation Affecting Children
E01006135,Score,0.064,Income Deprivation Affecting Children
E01006204,Score,0.073,Income Deprivation Affecting Children
E01006133,Score,0.103,Income Deprivation Affecting Children
E01006156,Score,0.201,Income Deprivation Affecting Children
E01006276,Score,0.128,Income Deprivation Affecting Children
E01006256,Score,0.111,Income Deprivation Affecting Children
E01006203,Score,0.036,Income Deprivation Affecting Children
E01006184,Score,0.198,Income Deprivation Affecting Children
E01033676,Score,0.452,Income Deprivation Affecting Children
E01006352,Score,0.156,Income Deprivation Affecting Children
E01006338,Score,0.298,Income Deprivation Affecting Children
E01006337,Score,0.142,Income Deprivation Affecting Children
E01005996,Score,0.13,Income Deprivation Affecting Children
E01006364,Score,0.117,Income Deprivation Affecting Children
E01006046,Score,0.072,Income Deprivation Affecting Children
E01005927,Score,0.043,Income Deprivation Affecting Children
E01005853,Score,0.266,Income Deprivation Affecting Children
E01005970,Score,0.041,Income Deprivation Affecting Children
E01005928,Score,0.182,Income Deprivation Affecting Children
E01006022,Score,0.121,Income Deprivation Affecting Children
E01006031,Score,0.358,Income Deprivation Affecting Children
E01006027,Score,0.526,Income Deprivation Affecting Children
E01006060,Score,0.358,Income Deprivation Affecting Children
E01006058,Score,0.131,Income Deprivation Affecting Children
E01006082,Score,0.01,Income Deprivation Affecting Children
E01006081,Score,0.021,Income Deprivation Affecting Children
E01005857,Score,0.13,Income Deprivation Affecting Children
E01006126,Score,0.276,Income Deprivation Affecting Children
E01005895,Score,0.167,Income Deprivation Affecting Children
E01005966,Score,0.242,Income Deprivation Affecting Children
E01006105,Score,0.442,Income Deprivation Affecting Children
E01006087,Score,0.037,Income Deprivation Affecting Children
E01006110,Score,0.288,Income Deprivation Affecting Children
E01005979,Score,0.237,Income Deprivation Affecting Children
E01006162,Score,0.019,Income Deprivation Affecting Children
E01006003,Score,0.247,Income Deprivation Affecting Children
E01006008,Score,0.205,Income Deprivation Affecting Children
E01006170,Score,0.082,Income Deprivation Affecting Children
E01006134,Score,0.021,Income Deprivation Affecting Children
E01006399,Score,0.195,Income Deprivation Affecting Children
E01006394,Score,0.072,Income Deprivation Affecting Children
E01006004,Score,0.161,Income Deprivation Affecting Children
E01006021,Score,0.153,Income Deprivation Affecting Children
E01006374,Score,0.044,Income Deprivation Affecting Children
E01006365,Score,0.04,Income Deprivation Affecting Children
E01006005,Score,0.421,Income Deprivation Affecting Children
E01005972,Score,0.297,Income Deprivation Affecting Children
E01005883,Score,0.019,Income Deprivation Affecting Children
E01006054,Score,0.272,Income Deprivation Affecting Children
E01006379,Score,0.104,Income Deprivation Affecting Children
E01006055,Score,0.097,Income Deprivation Affecting Children
E01006032,Score,0.335,Income Deprivation Affecting Children
E01006037,Score,0.05,Income Deprivation Affecting Children
E01006409,Score,0.091,Income Deprivation Affecting Children
E01006402,Score,0.065,Income Deprivation Affecting Children
E01006161,Score,0.046,Income Deprivation Affecting Children
E01006183,Score,0.078,Income Deprivation Affecting Children
E01006339,Score,0.107,Income Deprivation Affecting Children
E01006383,Score,0.101,Income Deprivation Affecting Children
E01006351,Score,0.438,Income Deprivation Affecting Children
E01032686,Score,0.056,Income Deprivation Affecting Children
E01032911,Score,0.366,Income Deprivation Affecting Children
E01032921,Score,0.293,Income Deprivation Affecting Children
E01032556,Score,0.131,Income Deprivation Affecting Children
E01006083,Score,0.032,Income Deprivation Affecting Children
E01006080,Score,0.039,Income Deprivation Affecting Children
E01006094,Score,0.035,Income Deprivation Affecting Children
E01006086,Score,0.137,Income Deprivation Affecting Children
E01005503,Score,0.028,Income Deprivation Affecting Children
E01005495,Score,0.201,Income Deprivation Affecting Children
E01005502,Score,0.292,Income Deprivation Affecting Children
E01005532,Score,0.466,Income Deprivation Affecting Children
E01005656,Score,0.374,Income Deprivation Affecting Children
E01005535,Score,0.289,Income Deprivation Affecting Children
E01006075,Score,0.05,Income Deprivation Affecting Children
E01005629,Score,0.101,Income Deprivation Affecting Children
E01005617,Score,0.119,Income Deprivation Affecting Children
E01005632,Score,0.2,Income Deprivation Affecting Children
E01005505,Score,0.244,Income Deprivation Affecting Children
E01005493,Score,0.076,Income Deprivation Affecting Children
E01005506,Score,0.138,Income Deprivation Affecting Children
E01006287,Score,0.074,Income Deprivation Affecting Children
E01006281,Score,0.058,Income Deprivation Affecting Children
E01006065,Score,0.529,Income Deprivation Affecting Children
E01006319,Score,0.066,Income Deprivation Affecting Children
E01006264,Score,0.016,Income Deprivation Affecting Children
E01006152,Score,0.023,Income Deprivation Affecting Children
E01006308,Score,0.326,Income Deprivation Affecting Children
E01006306,Score,0.273,Income Deprivation Affecting Children
E01006300,Score,0.029,Income Deprivation Affecting Children
E01006252,Score,0.051,Income Deprivation Affecting Children
E01006068,Score,0.205,Income Deprivation Affecting Children
E01005529,Score,0.41,Income Deprivation Affecting Children
E01006078,Score,0.098,Income Deprivation Affecting Children
E01006071,Score,0.042,Income Deprivation Affecting Children
E01005657,Score,0.459,Income Deprivation Affecting Children
E01005682,Score,0.626,Income Deprivation Affecting Children
E01005673,Score,0.219,Income Deprivation Affecting Children
E01005497,Score,0.491,Income Deprivation Affecting Children
E01005496,Score,0.419,Income Deprivation Affecting Children
E01005570,Score,0.047,Income Deprivation Affecting Children
E01006298,Score,0.317,Income Deprivation Affecting Children
E01005536,Score,0.303,Income Deprivation Affecting Children
E01005603,Score,0.272,Income Deprivation Affecting Children
E01005520,Score,0.217,Income Deprivation Affecting Children
E01005602,Score,0.305,Income Deprivation Affecting Children
E01005598,Score,0.083,Income Deprivation Affecting Children
E01005616,Score,0.254,Income Deprivation Affecting Children
E01006314,Score,0.05,Income Deprivation Affecting Children
E01006312,Score,0.093,Income Deprivation Affecting Children
E01005579,Score,0.393,Income Deprivation Affecting Children
E01005511,Score,0.179,Income Deprivation Affecting Children
E01006294,Score,0.185,Income Deprivation Affecting Children
E01005588,Score,0.212,Income Deprivation Affecting Children
E01005533,Score,0.135,Income Deprivation Affecting Children
E01005514,Score,0.322,Income Deprivation Affecting Children
E01005527,Score,0.448,Income Deprivation Affecting Children
E01005300,Score,0.149,Income Deprivation Affecting Children
E01005293,Score,0.135,Income Deprivation Affecting Children
E01004916,Score,0.218,Income Deprivation Affecting Children
E01005169,Score,0.058,Income Deprivation Affecting Children
E01005097,Score,0.586,Income Deprivation Affecting Children
E01005092,Score,0.458,Income Deprivation Affecting Children
E01005189,Score,0.439,Income Deprivation Affecting Children
E01005128,Score,0.118,Income Deprivation Affecting Children
E01005247,Score,0.186,Income Deprivation Affecting Children
E01005086,Score,0.457,Income Deprivation Affecting Children
E01004927,Score,0.444,Income Deprivation Affecting Children
E01004931,Score,0.319,Income Deprivation Affecting Children
E01004950,Score,0.028,Income Deprivation Affecting Children
E01004928,Score,0.312,Income Deprivation Affecting Children
E01005044,Score,0.064,Income Deprivation Affecting Children
E01005043,Score,0.048,Income Deprivation Affecting Children
E01005048,Score,0.027,Income Deprivation Affecting Children
E01005045,Score,0.214,Income Deprivation Affecting Children
E01005022,Score,0.061,Income Deprivation Affecting Children
E01005010,Score,0.11,Income Deprivation Affecting Children
E01005027,Score,0.282,Income Deprivation Affecting Children
E01004998,Score,0.113,Income Deprivation Affecting Children
E01004997,Score,0.232,Income Deprivation Affecting Children
E01005004,Score,0.49,Income Deprivation Affecting Children
E01005009,Score,0.304,Income Deprivation Affecting Children
E01005264,Score,0.417,Income Deprivation Affecting Children
E01005227,Score,0.473,Income Deprivation Affecting Children
E01004976,Score,0.294,Income Deprivation Affecting Children
E01004961,Score,0.247,Income Deprivation Affecting Children
E01005008,Score,0.401,Income Deprivation Affecting Children
E01005036,Score,0.157,Income Deprivation Affecting Children
E01005079,Score,0.206,Income Deprivation Affecting Children
E01005231,Score,0.18,Income Deprivation Affecting Children
E01005005,Score,0.064,Income Deprivation Affecting Children
E01005242,Score,0.485,Income Deprivation Affecting Children
E01005265,Score,0.454,Income Deprivation Affecting Children
E01005241,Score,0.287,Income Deprivation Affecting Children
E01005222,Score,0.314,Income Deprivation Affecting Children
E01005156,Score,0.021,Income Deprivation Affecting Children
E01005129,Score,0.474,Income Deprivation Affecting Children
E01004948,Score,0.242,Income Deprivation Affecting Children
E01004947,Score,0.269,Income Deprivation Affecting Children
E01004952,Score,0.064,Income Deprivation Affecting Children
E01005948,Score,0.419,Income Deprivation Affecting Children
E01005915,Score,0.288,Income Deprivation Affecting Children
E01005914,Score,0.175,Income Deprivation Affecting Children
E01006213,Score,0.409,Income Deprivation Affecting Children
E01005954,Score,0.188,Income Deprivation Affecting Children
E01006107,Score,0.368,Income Deprivation Affecting Children
E01006093,Score,0.045,Income Deprivation Affecting Children
E01005942,Score,0.14,Income Deprivation Affecting Children
E01005947,Score,0.435,Income Deprivation Affecting Children
E01006242,Score,0.211,Income Deprivation Affecting Children
E01005935,Score,0.565,Income Deprivation Affecting Children
E01005934,Score,0.327,Income Deprivation Affecting Children
E01006006,Score,0.163,Income Deprivation Affecting Children
E01005988,Score,0.078,Income Deprivation Affecting Children
E01006108,Score,0.565,Income Deprivation Affecting Children
E01006112,Score,0.353,Income Deprivation Affecting Children
E01006092,Score,0.368,Income Deprivation Affecting Children
E01006219,Score,0.158,Income Deprivation Affecting Children
E01006244,Score,0.191,Income Deprivation Affecting Children
E01006238,Score,0.26,Income Deprivation Affecting Children
E01006225,Score,0.129,Income Deprivation Affecting Children
E01006099,Score,0.106,Income Deprivation Affecting Children
E01006180,Score,0.177,Income Deprivation Affecting Children
E01006122,Score,0.071,Income Deprivation Affecting Children
E01006130,Score,0.103,Income Deprivation Affecting Children
E01006189,Score,0.281,Income Deprivation Affecting Children
E01006187,Score,0.24,Income Deprivation Affecting Children
E01006215,Score,0.469,Income Deprivation Affecting Children
E01006207,Score,0.406,Income Deprivation Affecting Children
E01006114,Score,0.331,Income Deprivation Affecting Children
E01006139,Score,0.034,Income Deprivation Affecting Children
E01006166,Score,0.177,Income Deprivation Affecting Children
E01006191,Score,0.039,Income Deprivation Affecting Children
E01006186,Score,0.22,Income Deprivation Affecting Children
E01006206,Score,0.157,Income Deprivation Affecting Children
E01006199,Score,0.18,Income Deprivation Affecting Children
E01006179,Score,0.272,Income Deprivation Affecting Children
E01006228,Score,0.244,Income Deprivation Affecting Children
E01006218,Score,0.33,Income Deprivation Affecting Children
E01006229,Score,0.102,Income Deprivation Affecting Children
E01006154,Score,0.029,Income Deprivation Affecting Children
E01006137,Score,0.023,Income Deprivation Affecting Children
E01006153,Score,0.048,Income Deprivation Affecting Children
E01006148,Score,0.054,Income Deprivation Affecting Children
E01006149,Score,0.047,Income Deprivation Affecting Children
E01006124,Score,0.039,Income Deprivation Affecting Children
E01006136,Score,0.05,Income Deprivation Affecting Children
E01006125,Score,0.123,Income Deprivation Affecting Children
E01006048,Score,0.116,Income Deprivation Affecting Children
E01006091,Score,0.065,Income Deprivation Affecting Children
E01006056,Score,0.435,Income Deprivation Affecting Children
E01006123,Score,0.116,Income Deprivation Affecting Children
E01006044,Score,0.079,Income Deprivation Affecting Children
E01006043,Score,0.19,Income Deprivation Affecting Children
E01006109,Score,0.407,Income Deprivation Affecting Children
E01006111,Score,0.443,Income Deprivation Affecting Children
E01005987,Score,0.099,Income Deprivation Affecting Children
E01006007,Score,0.199,Income Deprivation Affecting Children
E01005982,Score,0.338,Income Deprivation Affecting Children
E01006241,Score,0.362,Income Deprivation Affecting Children
E01005955,Score,0.098,Income Deprivation Affecting Children
E01006011,Score,0.349,Income Deprivation Affecting Children
E01005971,Score,0.246,Income Deprivation Affecting Children
E01006045,Score,0.046,Income Deprivation Affecting Children
E01006057,Score,0.148,Income Deprivation Affecting Children
E01006012,Score,0.215,Income Deprivation Affecting Children
E01033659,Score,0.016,Income
E01033654,Score,0.009,Income
E01033678,Score,0.421,Income
E01033652,Score,0.15,Income
E01033674,Score,0.191,Income
E01033670,Score,0.024,Income
E01033667,Score,0.087,Income
E01033687,Score,0.264,Income
E01033660,Score,0.012,Income
E01033666,Score,0.35,Income
E01033655,Score,0.014,Income
E01033653,Score,0.119,Income
E01005310,Score,0.147,Income
E01005322,Score,0.424,Income
E01005290,Score,0.338,Income
E01005309,Score,0.066,Income
E01005357,Score,0.067,Income
E01005346,Score,0.114,Income
E01005323,Score,0.291,Income
E01005333,Score,0.049,Income
E01005294,Score,0.138,Income
E01005308,Score,0.245,Income
E01004957,Score,0.387,Income
E01005150,Score,0.102,Income
E01004944,Score,0.077,Income
E01004924,Score,0.038,Income
E01004994,Score,0.259,Income
E01005014,Score,0.087,Income
E01004990,Score,0.205,Income
E01004956,Score,0.287,Income
E01005295,Score,0.152,Income
E01005361,Score,0.071,Income
E01005332,Score,0.19,Income
E01005353,Score,0.44,Income
E01004940,Score,0.105,Income
E01004959,Score,0.268,Income
E01005352,Score,0.381,Income
E01005122,Score,0.309,Income
E01005049,Score,0.058,Income
E01005116,Score,0.187,Income
E01005176,Score,0.059,Income
E01005136,Score,0.237,Income
E01005106,Score,0.366,Income
E01005163,Score,0.221,Income
E01005121,Score,0.339,Income
E01005040,Score,0.141,Income
E01005091,Score,0.343,Income
E01005161,Score,0.18,Income
E01005146,Score,0.267,Income
E01005066,Score,0.161,Income
E01005162,Score,0.205,Income
E01005013,Score,0.23,Income
E01004943,Score,0.203,Income
E01004995,Score,0.082,Income
E01004993,Score,0.247,Income
E01005000,Score,0.051,Income
E01005021,Score,0.032,Income
E01033677,Score,0.012,Income
E01033680,Score,0.215,Income
E01033671,Score,0.043,Income
E01033686,Score,0.232,Income
E01004826,Score,0.336,Income
E01004837,Score,0.041,Income
E01004803,Score,0.041,Income
E01004825,Score,0.331,Income
E01004839,Score,0.344,Income
E01004789,Score,0.039,Income
E01005073,Score,0.124,Income
E01005050,Score,0.072,Income
E01004791,Score,0.08,Income
E01004802,Score,0.411,Income
E01004818,Score,0.293,Income
E01004820,Score,0.352,Income
E01006393,Score,0.055,Income
E01006373,Score,0.05,Income
E01006378,Score,0.068,Income
E01006408,Score,0.215,Income
E01006398,Score,0.177,Income
E01005099,Score,0.435,Income
E01005087,Score,0.435,Income
E01005075,Score,0.25,Income
E01004960,Score,0.508,Income
E01004963,Score,0.111,Income
E01005111,Score,0.244,Income
E01005094,Score,0.442,Income
E01005078,Score,0.083,Income
E01005101,Score,0.338,Income
E01004933,Score,0.081,Income
E01004862,Score,0.372,Income
E01004872,Score,0.213,Income
E01004917,Score,0.157,Income
E01004930,Score,0.089,Income
E01004954,Score,0.126,Income
E01004935,Score,0.077,Income
E01005055,Score,0.071,Income
E01005042,Score,0.099,Income
E01004847,Score,0.351,Income
E01004851,Score,0.337,Income
E01004873,Score,0.297,Income
E01004884,Score,0.037,Income
E01005002,Score,0.11,Income
E01005056,Score,0.074,Income
E01005061,Score,0.462,Income
E01004989,Score,0.071,Income
E01004891,Score,0.08,Income
E01004907,Score,0.253,Income
E01005058,Score,0.045,Income
E01004965,Score,0.044,Income
E01004977,Score,0.138,Income
E01005003,Score,0.193,Income
E01005024,Score,0.353,Income
E01005029,Score,0.179,Income
E01005037,Score,0.107,Income
E01005515,Score,0.443,Income
E01005504,Score,0.209,Income
E01005567,Score,0.169,Income
E01005589,Score,0.176,Income
E01005597,Score,0.086,Income
E01005547,Score,0.182,Income
E01005578,Score,0.376,Income
E01005477,Score,0.282,Income
E01005494,Score,0.13,Income
E01005498,Score,0.188,Income
E01005485,Score,0.344,Income
E01005501,Score,0.317,Income
E01005512,Score,0.195,Income
E01005692,Score,0.319,Income
E01005693,Score,0.101,Income
E01005674,Score,0.213,Income
E01005681,Score,0.231,Income
E01005700,Score,0.149,Income
E01005580,Score,0.258,Income
E01005631,Score,0.37,Income
E01005649,Score,0.11,Income
E01005600,Score,0.22,Income
E01005670,Score,0.272,Income
E01005487,Score,0.246,Income
E01005658,Score,0.466,Income
E01006277,Score,0.026,Income
E01006260,Score,0.225,Income
E01006247,Score,0.102,Income
E01006333,Score,0.215,Income
E01006349,Score,0.132,Income
E01006246,Score,0.197,Income
E01006304,Score,0.133,Income
E01006202,Score,0.087,Income
E01006195,Score,0.033,Income
E01006196,Score,0.043,Income
E01006239,Score,0.357,Income
E01006368,Score,0.084,Income
E01006321,Score,0.064,Income
E01006233,Score,0.04,Income
E01006357,Score,0.466,Income
E01005528,Score,0.221,Income
E01005483,Score,0.397,Income
E01006326,Score,0.201,Income
E01005475,Score,0.309,Income
E01006309,Score,0.278,Income
E01006295,Score,0.191,Income
E01006296,Score,0.31,Income
E01006316,Score,0.057,Income
E01006332,Score,0.145,Income
E01006240,Score,0.394,Income
E01006235,Score,0.244,Income
E01006315,Score,0.055,Income
E01006320,Score,0.045,Income
E01006310,Score,0.303,Income
E01006290,Score,0.069,Income
E01006266,Score,0.057,Income
E01006267,Score,0.288,Income
E01004782,Score,0.182,Income
E01004786,Score,0.068,Income
E01004774,Score,0.206,Income
E01005401,Score,0.052,Income
E01005417,Score,0.053,Income
E01005446,Score,0.154,Income
E01004775,Score,0.07,Income
E01033675,Score,0.251,Income
E01033682,Score,0.013,Income
E01033679,Score,0.506,Income
E01033688,Score,0.425,Income
E01033684,Score,0.023,Income
E01005383,Score,0.306,Income
E01005366,Score,0.201,Income
E01005370,Score,0.306,Income
E01005397,Score,0.106,Income
E01005418,Score,0.048,Income
E01005437,Score,0.204,Income
E01005438,Score,0.225,Income
E01005375,Score,0.083,Income
E01005398,Score,0.12,Income
E01005387,Score,0.103,Income
E01005393,Score,0.066,Income
E01004831,Score,0.123,Income
E01004804,Score,0.029,Income
E01004810,Score,0.065,Income
E01004864,Score,0.138,Income
E01004874,Score,0.199,Income
E01004846,Score,0.313,Income
E01004869,Score,0.358,Income
E01005253,Score,0.343,Income
E01005281,Score,0.06,Income
E01005251,Score,0.287,Income
E01005252,Score,0.311,Income
E01004787,Score,0.434,Income
E01004805,Score,0.054,Income
E01005282,Score,0.205,Income
E01004836,Score,0.097,Income
E01004883,Score,0.096,Income
E01004920,Score,0.182,Income
E01004875,Score,0.147,Income
E01004882,Score,0.116,Income
E01004923,Score,0.116,Income
E01005193,Score,0.218,Income
E01005194,Score,0.302,Income
E01005177,Score,0.065,Income
E01005183,Score,0.407,Income
E01005237,Score,0.259,Income
E01005195,Score,0.39,Income
E01005221,Score,0.166,Income
E01005181,Score,0.202,Income
E01005182,Score,0.326,Income
E01033668,Score,0.22,Income
E01033662,Score,0.059,Income
E01033651,Score,0.05,Income
E01033657,Score,0.2,Income
E01033673,Score,0.014,Income
E01033664,Score,0.013,Income
E01006384,Score,0.044,Income
E01006404,Score,0.247,Income
E01033676,Score,0.435,Income
E01005422,Score,0.378,Income
E01005307,Score,0.077,Income
E01005408,Score,0.057,Income
E01006394,Score,0.061,Income
E01006351,Score,0.381,Income
E01006383,Score,0.091,Income
E01006402,Score,0.053,Income
E01006409,Score,0.072,Income
E01006352,Score,0.191,Income
E01005379,Score,0.368,Income
E01005407,Score,0.025,Income
E01005315,Score,0.323,Income
E01005374,Score,0.163,Income
E01005476,Score,0.129,Income
E01005362,Score,0.092,Income
E01005300,Score,0.148,Income
E01006162,Score,0.038,Income
E01006184,Score,0.152,Income
E01006190,Score,0.038,Income
E01006161,Score,0.055,Income
E01006183,Score,0.078,Income
E01006256,Score,0.114,Income
