area_code,area_name,geography,period,indicator,reference_person_veteran_status,measure,unit,value
E05000830,Hale Barns,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,3643
E05000831,Hale Central,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,92
E05000831,Hale Central,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,32
E05000831,Hale Central,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,3
E05000831,Hale Central,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4051
E05000832,Longford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,115
E05000832,Longford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,46
E05000832,Longford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,3
E05000832,Longford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4986
E05000833,Priory,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,141
E05000833,Priory,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,55
E05000833,Priory,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,5
E05000833,Priory,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4824
E05000835,Sale Moor,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,142
E05000835,Sale Moor,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,46
E05000835,Sale Moor,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,13
E05000835,Sale Moor,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4196
E05000834,St Mary's,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,158
E05000834,St Mary's,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,41
E05000834,St Mary's,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,3
E05000834,St Mary's,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4608
E05000836,Stretford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,122
E05000836,Stretford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,38
E05000836,Stretford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,2
E05000836,Stretford,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4505
E05000837,Timperley,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,165
E05000837,Timperley,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,48
E05000837,Timperley,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,9
E05000837,Timperley,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4161
E05000838,Urmston,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,158
E05000838,Urmston,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,44
E05000838,Urmston,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,9
E05000838,Urmston,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4698
E05000839,Village,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in regular UK armed forces,Count,Households,178
E05000839,Village,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in reserve UK armed forces,Count,Households,33
E05000839,Village,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person previously served in both regular and reserve UK armed forces,Count,Households,8
E05000839,Village,Electoral ward,2021-03-21,Classifying households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces.,Household reference person has not previously served in regular or reserve UK armed forces,Count,Households,4103
