area_code,area_name,geography,period,indicator,household_veterans,measure,unit,value
E05000831,Hale Central,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4017
E05000831,Hale Central,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,161
E05000831,Hale Central,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,1
E05000831,Hale Central,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000832,Longford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4948
E05000832,Longford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,195
E05000832,Longford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,4
E05000832,Longford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,2
E05000833,Priory,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4788
E05000833,Priory,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,233
E05000833,Priory,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,4
E05000833,Priory,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000835,Sale Moor,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4145
E05000835,Sale Moor,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,241
E05000835,Sale Moor,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,10
E05000835,Sale Moor,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,1
E05000834,St Mary's,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4553
E05000834,St Mary's,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,254
E05000834,St Mary's,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,5
E05000834,St Mary's,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000836,Stretford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4456
E05000836,Stretford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,204
E05000836,Stretford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,9
E05000836,Stretford,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000837,Timperley,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4105
E05000837,Timperley,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,272
E05000837,Timperley,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,6
E05000837,Timperley,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000838,Urmston,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4636
E05000838,Urmston,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,263
E05000838,Urmston,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,11
E05000838,Urmston,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,0
E05000839,Village,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",No people in the household previously served in UK armed forces,Count,Households,4049
E05000839,Village,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",1 person in the household previously served in UK armed forces,Count,Households,266
E05000839,Village,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",2 people in the household previously served in UK armed forces,Count,Households,6
E05000839,Village,Electoral ward,2021-03-21,"Number of people in the household who have previously served in the UK armed forces. This includes those who have served for at least one day in armed forces, either regular, reserves or Merchant Mariners who have seen duty on legally defined military operations.",3 or more people in the household previously served in UK armed forces,Count,Households,1
