Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Street Address,Recipient Org:City,Recipient Org:County,Recipient Org:Country,Recipient Org:Postal Code,Recipient Org:Description,Recipient Org:Web Address,Beneficiary Location:Name,Beneficiary Location:Country Code,Beneficiary Location:Latitude,Beneficiary Location:Longitude,Beneficiary Location:Geographic Code,Beneficiary Location:Geographic Code Type,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,From an open call?,Related Activity,Last modified,Data Source
360G-traffordmbc-VSG1313,Voluntary Sector Grant to Confidence After Cancer,"Group coaching sessions to support women recovering from cancer to work on their own recovery plan to wellbeing- returning to work,  volunteering, health and wellbeing, diet and exercise.",GBP,,1430,,2013-06-22,,,,12,360G-trafford-confidence_after_cancer,Confidence After Cancer,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1314,Voluntary Sector Grant to Friends of Newton Park,"New picnic table and benches at the entrance to the park. Equipment will be free to use, available 7days/week and can be used by all ages.",GBP,,1800,,2013-06-22,,,,12,360G-trafford-friends_of_newton_park,Friends of Newton Park,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1315,Voluntary Sector Grant to Friends of Stamford Park,"Transform four major 'flower' beds into interesting, stimulating features and create two brand new ones, each on a low-maintenance, sustainable basis and a lockable notice board would be installed to explain the project and give wheelchair users the ability to read general park information.",GBP,,4779.54,,2013-06-22,,,,12,360G-trafford-friends_of_stamford_park,Friends of Stamford Park,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1316,Voluntary Sector Grant to Genie Networks,"20 free deaf equality training session for families, mainstream services, for example frontline staff, police, NHS, local authority and retail staff, and provision of 60 lip reading classes.",GBP,,4180,,2013-06-22,,,,12,GB-CHC-1121805,Genie Networks,1121805,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1317,Voluntary Sector Grant to Simply Cycling,"All Ability Cycling session' within local community for everyone to experience what we offer providing a range of bikes suitable for stroke-victims, whilst also providing bikes for those wishing to enhance their weight loss and also providing for children with special needs.",GBP,,590,,2013-06-22,,,,12,GB-CHC-1143362,Simply Cycling,1143362,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1330,Voluntary Sector Grant to 4 Cheeky Monkeys CIC,Social enterprise providing low cost day care and create a family environment where parents and carers can access information and access.,GBP,,3836,,2013-06-22,,,,12,GB-COH-08313107,4 Cheeky Monkeys CIC,,08313107,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1331,Voluntary Sector Grant to Bluesci for The Bridge,"The Bridge will be a new community wellbeing centre for creative voluntary and community groups to hold meetings, activities and classes etc.",GBP,,4900,,2013-06-22,,,,12,GB-COH-09901361,Bluesci,,09901361,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1332,Voluntary Sector Grant to Brink Productions,"Teen workshop programme offering music production and the opportunity to record their own music, Art, lyrics writing, poetry, graffiti and photography.",GBP,,4215,,2013-06-22,,,,12,GB-COH-08219638,Brink Productions,,08219638,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1333,Voluntary Sector Grant to Confidence After Cancer,"Group coaching sessions, consisting of meetings where she will support women to work on their own recovery plan to wellbeing.",GBP,,1430,,2013-06-22,,,,12,360G-trafford-confidence_after_cancer,Confidence After Cancer,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1334,Voluntary Sector Grant to Genesis Sale Moor CiC,"Delivering 40 x 1.5hour sessions of sporting activities for children aged 8-12yrs. Including basketball, football, tennis, rounders etc.",GBP,,4069.74,,2013-06-22,,,,12,GB-COH-06023117,Genesis Sale Moor CiC,,06023117,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1335,Voluntary Sector Grant to New Expressions Art Group,"Trafford mixed sex arts and craft group for participants wanting support with health issues, learning and physical disabilities.",GBP,,4794,,2013-06-22,,,,12,360G-trafford-new_expressions_art_group,New Expressions Art Group,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1336,Voluntary Sector Grant to Northern Spirit Muay Thai,"To host local tournaments and compete in the National elimination tournaments, across Europe and the rest of the world.",GBP,,2524.38,,2013-06-22,,,,12,360G-trafford-northern_spirit_muay_thai,Northern Spirit Muay Thai,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1337,Voluntary Sector Grant to Sale West Community Urban Trust,To go towards a series of family fun days to engage the local community and residents and improve community cohesion.,GBP,,1400,,2013-06-22,,,,12,GB-CHC-1137438,Sale West Community Urban Trust,1137438,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1338,Voluntary Sector Grant to Sale Wombles,Sale Clean and Tidy- engaging volunteers to create community pride and wellbeing in Sale running 6 litter picks around the area around Sale.,GBP,,900,,2013-06-22,,,,12,360G-trafford-sale_wombles,Sale Wombles,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1339,Voluntary Sector Grant to Sale Moor Community Partnership for a Community Support Worker,Funding towards a Community Support Worker post to support volunteers and groups 6 hours a week.,GBP,,3000,,2013-06-22,,,,12,GB-COH-05465848,Sale Moor Community Partnership,1113664,05465848,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1340,Voluntary Sector Grant to Trafford Hard of Hearing Group,Free lip reading and finger spelling classes with occasional guest speakers to provide information on related issues such as hard of hearing products etc.,GBP,,4000,,2013-06-22,,,,12,360G-trafford-trafford_hard_of_hearing_group,Trafford Hard of Hearing Group,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1341,Voluntary Sector Grant to Wild Colours Art Group,"To deliver three 2 hour low cost art sessions a week, to around 50/60 participants from a broad spectrum of social backgrounds, ages and abilities.",GBP,,4550,,2013-06-22,,,,12,360G-trafford-wild_colours_art_group,Wild Colours Art Group,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1301,Voluntary Sector Grant to BOOMbox,"Using media of music, poetry and performance to share people's experience of mental health distress, recovery and how to stay healthy,  learning range of new transferable skills (computer skills, sound engineering, song writing, music recording, performance skills)",GBP,,4575,,2013-06-29,,,,12,360G-trafford-boombox,BOOMbox,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1302,Voluntary Sector Grant to Carrington RUFC,Deliver a programme of Fitness and nutritional awareness sessions for male adults in the West area.,GBP,,5000,,2013-06-29,,,,12,360G-trafford-carrington_rufc,Carrington RUFC,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1303,Voluntary Sector Grant to Chainlink Community Cycles CIC,"To engage people in cycling, project will provide guided bike rides for all ages and abilities, a repair service where people can get their bikes fixed and serviced at an affordable price and repair workshops for people to learn how to fix bikes themselves.",GBP,,5000,,2013-06-29,,,,12,GB-COH-09073396,Chainlink Community Cycles CIC,,09073396,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1304,Voluntary Sector Grant to Fitness for Body and Mind,"Weekly fitness and health class that is free of charge, accessible, safe and non-stigmatising for all Trafford residence with mental, physical and learning disabilities.",GBP,,2500,,2013-06-29,,,,12,360G-trafford-fitness_for_body_and_mind,Fitness for Body and Mind,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1305,Voluntary Sector Grant to Frantic,To employ a temporary development worker to coordinate volunteers delivering community activities for young people and their families and increase links to local businesses and community groups.,GBP,,4000,,2013-06-29,,,,12,360G-trafford-frantic,Frantic,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1306,Voluntary Sector Grant to Freedom Personal Safety Community Interest Company,"Deliver a series of 30 Stay Safe workshops for 450 young women (13-18 yrs.) which will focus on practical tips and advice on reducing risks, preventing violence and abuse and include some simple but effective physical techniques to stop someone hurting them.",GBP,,4935,,2013-06-29,,,,12,GB-COH-06699432,Freedom Personal Safety Community Interest Company,,06699432,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1307,Voluntary Sector Grant to Friends of Broadway Park,"Equipment to install children's play area including junior swings, cradle swings and a scramble climber and organise a family fun day to encourage community to utilise the park and green spaces.",GBP,,4115.7,,2013-06-29,,,,12,360G-trafford-friends_of_broadway_park,Friends of Broadway Park,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1308,Voluntary Sector Grant to High Functioning Trafford,"Develop support, advice, information and activities for early intervention and preventative activities for families, carers and young people who are affected by the often hidden effects of Asperger's syndrome.",GBP,,3850,,2013-06-29,,,,12,360G-trafford-high-functioning_trafford,High-Functioning Trafford,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1309,Voluntary Sector Grant to Simply Cycling,"All Ability Cycling session' within local community providing an hour session within the playground, when the parents have dropped their children off at school providing bikes suitable for parents/carers to ride with their children or alone, large range of children's bikes.",GBP,,3300,,2013-06-29,,,,12,GB-CHC-1143362,Simply Cycling,1143362,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1310,Voluntary Sector Grant to St Mary's Allotment,"Deliver 10 weeks training for volunteers in growing fruit vegetables and herbs organically. Teaching healthy eating, recipes and hold two open days to encourage participation by the wider community.",GBP,,780,,2013-06-29,,,,12,360G-trafford-st_marys_allotment,St. Mary's Allotment,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1318,Voluntary Sector Grant to Beats Bazaar,"Multi-cultural, intergenerational music making sessions including collaborative group sessions, vocal recordings, instrument recordings to one to one music production sessions to produce CDs, concerts and live performances.",GBP,,5000,,2013-06-29,,,,12,360G-trafford-beats_bazaar,Beats Bazaar,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1319,Voluntary Sector Grant to Community Change Foundation Community Interest Company,"Purchase of 15 laptops and a Desktop Personal Computer, to deliver on Digital Inclusion priorities across the north of Trafford to deliver training and qualifications to local people, young people and adults",GBP,,4329.53,,2013-06-29,,,,12,GB-COH-07526438,Community Change Foundation Community Interest Company,,07526438,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1320,Voluntary Sector Grant to Friends of Longford Park- disc golf,To develop a free to use course and bring the sport of Disc Golf to Longford Park on the site of the disused pitch-and-putt golf course.,GBP,,2890,,2013-06-29,,,,12,360G-trafford-friends_of_longford_park,Friends of Longford Park,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1321,Voluntary Sector Grant to Gorse Hill Community Action Group,"Working with local young people and local businesses to develop artwork to businesses with roller shutters, develop a community orchard and improve undeveloped space within Gorse Hill with community planting or artwork.",GBP,,1500,,2013-06-29,,,,12,360G-trafford-gorse_hill_community_action_group,Gorse Hill Community Action Group,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1322,Voluntary Sector Grant to Old Trafford Community Allotment,"To support 9 groups and members of local community to learn organic growing, gardening skills and healthy lifestyles.",GBP,,924.73,,2013-06-29,,,,12,360G-trafford-old_trafford_community_allotment,Old Trafford Community Allotment,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1323,Voluntary Sector Grant to Our Independence,"Drop in group for people with physical disabilities, learning difficulties and other emotional problems, providing arts & crafts sessions, games, activities and trips.",GBP,,943,,2013-06-29,,,,12,360G-trafford-our_independence,Our Independence,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1324,Voluntary Sector Grant to St Alphonsus Thursday Club,"To provide a safe environment, exercise and health awareness classes, activities and outings for senior citizens.",GBP,,2070,,2013-06-29,,,,12,360G-trafford-st_alphonsus_thursday_club,St. Alphonsus Thursday Club,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1325,Voluntary Sector Grant to St. Brides Destitution Project,"Working with the Red Cross to provide a drop in for failed asylum-seekers where they can receive lunch, a food parcel, second hand clothes, toiletries, advice and free access to room, hall for the drop in with a kitchen and toilets.",GBP,,4995,,2013-06-29,,,,12,360G-trafford-st_brides_church_cofe_old_trafford,St. Brides Church (CofE) Old Trafford,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1326,Voluntary Sector Grant to St John's Centre for a Course Coordinator,"To fund a part time course coordinator to set up, advertise, promote and coordinate learning opportunities according to community need.",GBP,,5000,,2013-06-29,,,,12,GB-COH-07597525,St. John's Centre,1146058,07597525,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1327,Voluntary Sector Grant to St John's Centre for Freespace Project,St John's Centre will provide meeting space or 'hot desk' in order to incubate voluntary groups and or small social enterprises in Old Trafford or North Trafford area just starting up or who do not have their own space or access to funding at present.,GBP,,2980,,2013-06-29,,,,12,GB-COH-07597525,St. John's Centre,1146058,07597525,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1328,Voluntary Sector Grant to STAMP Sync,"To support and tutor young people through free or low cost physical activities e.g. martial arts, boxing, urban arts, dance and self-defence.",GBP,,4126,,2013-06-29,,,,12,360G-trafford-stamp_sync,STAMP Sync,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-VSG1329,Voluntary Sector Grant to Trafford AfroCaribbean Over 50s club,"To deliver twice weekly club meetings providing Lunch Club, Fitness Class, Health Awareness Programme, Sports, and presentations and new development of a Tea Party Activity where members can elect days to attend a late afternoon contact session sponsored by volunteers.",GBP,,4800,,2013-06-29,,,,12,360G-trafford-trafford_african_and_caribbean_over_50s_club,Trafford African & Caribbean Over 50's club,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
360G-traffordmbc-UP14001,Voluntary Sector Grant to Hi Tension Workouts,"Classes aimed to reduce anxiety, enhance mood and improve self esteem. Developing both physical and mental health",GBP,,4000,,2014-07-05,,,,12,360G-trafford-hi_tension_workouts,Hi Tension Workouts,,,,,,England,,,,Trafford,GB,,,E08000009,MD,GB-LAE-TRF,Trafford Metropolitan Borough Council,Partnerships and Communities,VSG,Voluntary Sector Grants,,Yes,,2020-11-11T12:00:00Z,https://www.trafforddatalab.io/open_data/grants/
