name,managed,contact,telephone,email,website,area_code,area_name,lon,lat
Heaton Park,Manchester City Council,Carragh Godolphin-Teague,0161 773 1085,N/A,www.manchester.gov.uk/heatonpark,E08000003,Manchester,-2.255013,53.53647
"Hopwood Park, Heywood",Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,http://www.friendsofhp.btck.co.uk/,E08000005,Rochdale,-2.210395,53.581978
Hullard Park,One Trafford,David Sykes,0161 672 6509,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.268,53.461
John Leigh Park (Altrincham),One Trafford,David Rome,0161 6726515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.356046,53.390734
Jubilee Park,Wigan Metropolitan Borough Council,Michael Fishwick,01942 486908,N/A,N/A,E08000010,Wigan,-2.64,53.491
"Jubilee Park, Middleton",Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,http://www.visitrochdale.com/rochdale-all/where-to-go/jubilee-park-p12711,E08000005,Rochdale,-2.196349,53.552897
Lostock Park,One Trafford,David Sykes,07801 988393,N/A,http://friendsof.lostock.org.uk/,E08000009,Trafford,-2.330704,53.45664
Manchester Road Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.296983,53.586503
MediaCityUK,Wright Landscapes Ltd,Rachel Williams,01618865318,N/A,mediacityuk.co.uk,E08000006,Salford,-2.297634,53.474102
Mesnes Park,Wigan Metropolitan Borough Council,Michael Fishwick,01942 486908,N/A,wigan.gov.uk,E08000010,Wigan,-2.636864,53.552611
Middleton Cemetery,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,www.rochdale.gov.uk,E08000005,Rochdale,-2.178,53.558
Middleton Memorial Gardens,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,http://www.rochdale.gov.uk/leisure-and-culture/parks-and-countryside/parks-and-open-spaces/Pages/middleton-memorial-gardens.aspx,E08000005,Rochdale,-2.208214,53.54657
Milnrow Memorial Park,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,www.rochdale.gov.uk,E08000005,Rochdale,-2.103,53.602
Nuttall Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.312073,53.642186
Openshaw Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.279,53.591
Peak Forest Canal,The Canal & River Trust,Tracey Jackson,0303 0404040,N/A,https://canalrivertrust.org.uk/contact-us/contacting-your-local-office/manchester-and-pennine-waterways,E08000007,Stockport,-2.060261,53.393256
Peel Green Cemetery,Salford City Council,Barry Elliss,0161 686 7290,N/A,www.salford.gov.uk,E08000006,Salford,-2.377,53.475
Peel Park (Salford),Salford City Council,Annie Surtees,0161 925 1153,N/A,www.salford.gov.uk/peelpark,E08000006,Salford,-2.27108,53.488403
Pennington Hall Park,Wigan Metropolitan Borough Council,Michael Fishwick,01942 486908,N/A,www.wigan.gov.uk,E08000010,Wigan,-2.526137,53.487458
Philips Park Cemetery,Manchester City Council (Bereavement Services),Rachel Kuehl,07966 891945,N/A,www.manchester.gov.uk & www.foppc.com,E08000003,Manchester,-2.194,53.49
Queen’s Park Heywood,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,www.rochdale.gov.uk,E08000005,Rochdale,-2.215,53.6
Queens Park (Bolton),Bolton Council,Malcolm Russell,01204 334077,N/A,N/A,E08000001,Bolton,-2.444872,53.577461
Rochdale Town Centre Parks,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,www.Rochdale.gov.uk,E08000005,Rochdale,-2.160127,53.616398
Saddleworth - Huddersfield Narrow Canal,Canal & River Trust,Mark Ferris,07825 125 485,N/A,N/A,E08000004,Oldham,-2.007698,53.556013
Southern Cemetery,Manchester City Council (Bereavement Services),Rachel Kuehl,0161 227 3050,N/A,www.manchester.gov.uk,E08000003,Manchester,-2.258,53.429
St Mary’s Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.27873,53.528071
Stamford Park,Tameside Metropolitan Borough Council,Deborah Kaufmann,07870872720,N/A,N/A,E08000008,Tameside,-2.067493,53.491276
The Rochdale Canal - Manchester,Canal & River Trust,Leon Edmondson,07824 350 979,N/A,www.canalrivertrust.org.uk,E08000003,Manchester,-2.245698,53.474318
Town Meadow Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.338957,53.613331
Truffet Park,Rochdale Metropolitan Borough Council,Ian Trickett,01706 922073,N/A,www.rochdale.gov.uk,E08000005,Rochdale,-2.220927,53.552469
University of Salford,University of Salford,Bec Bennett,07970393183,N/A,https://www.salford.ac.uk/,E08000006,Salford,-2.270878,53.484679
Victoria Park (Salford),Salford City Council,Annie Surtees,0161 925 1153,N/A,www.salford.gov.uk,E08000006,Salford,-2.327,53.508
Victoria Park (Trafford),One Trafford,David Sykes,0161 672 6509,N/A,www.trafford.gov.uk/parks,E08000009,Trafford,-2.311768,53.448678
Walkden Gardens,One Trafford,David Rome,0161 672 6515,N/A,www.walkdengardens.co.uk,E08000009,Trafford,-2.311,53.418
Walton Park (Sale),One Trafford,David Rome,0161 6726515,N/A,http://www.trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/parks-in-trafford/walton-park.aspx,E08000009,Trafford,-2.332633,53.41438
Whitefield Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk,E08000002,Bury,-2.293,53.551
Whitehead Park,Bury Council,Michael Bent,0161 253 5917,N/A,www.bury.gov.uk/parks,E08000002,Bury,-2.3163,53.594146
Wigan Flight,Canal & River Trust,Julia Shelley,03030 404040,N/A,https://canalrivertrust.org.uk/,E08000010,Wigan,-2.593119,53.55589
Winton Park,Salford City Council,Annie Surtees,0161 925 1153,N/A,www.salford.gov.uk,E08000006,Salford,-2.368,53.487
Woodheys Park (Broadheath),One Trafford,David Rome,0161 672 6515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.353887,53.409608
Worthington Park,One Trafford,David Rome,0161 672 6515,N/A,www.trafford.gov.uk,E08000009,Trafford,-2.312,53.423
