registered_charity_number,charity_company_registration_number,charity_name,charity_type,charity_activities,date_of_registration,charity_contact_address,charity_contact_postcode,charity_contact_phone,charity_contact_email,charity_contact_web
229452,NA,WOMEN'S INSTITUTE - DUNHAM MASSEY,Other,"To inspire women and girls to give them the opportunity to develop new skills and put them into practice also to advance the education of women and girls for the public benefit and to advance citizenship, social and policical education locally, nationally and internationally.",1963-11-06,"Cheshire Federation Wi, Dunham Massey Wi, 11 White Friars, Chester",CH1 1NZ,01244 347462,dunhammasseyWI@outlook.com,NA
230482,NA,FUNDS HELD IN CONNECTION WITH THE DUNHAM ROAD UNITARIAN CHAPEL,Other,To Permit the chapel and sunday school to be used occupied and enjoyed fo the public worship of almighty God and for the religious instruction of the members of the congregation.,1965-03-12,"20 Market Street, Altrincham, Cheshire, Lancashire",WA14 1PF,07838513122,asamajabeen@hotmail.co.uk,www.ukunitarians.org.uk/altrincham
231771,NA,RYCROFT CHILDREN'S FUND,Other,"The charity makes grants to the classes shown in A8c for the benefit of children and young persons in need, hardship or distress for the purposes shown in A8a. Grants are made entirely at the discretion of the trustees. We do not make grants for computer equipment, education, overseas travel or individual holidays.",1963-11-27,"Lower Dunishbooth House, Smallshaw Road, Rochdale",OL12 6BH,07778671012,rycroftchildrensfund@outlook.com,www.rycroftchildrensfund.co.uk
232255,NA,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS MANCHESTER AND SALFORD BRANCH,Other,Animal welfare activities & promotions.,1963-12-19,"Manchester & Salford Branch, 565 Wilbraham Road, Manchester",M21 0AE,01617376600,rspcamcr_salford@btconnect.com,www.rspca-manchesterandsalford.org.uk
235916,NA,MANCHESTER DISTRICT NURSING INSTITUTION FUND,Other,"To help needy persons who are sick, disabled, convalescent or infirm, by providing or paying for items or services which are calculated to alleviate suffering or assist in recovery.",1964-09-18,"Beyond Profit Ltd, Bolton Arena, Arena Approach, Horwich, Bolton",BL6 6LB,01204414317,admin@reliefinneed.co.uk,https://www.reliefinneed.co.uk/
236149,NA,THE CHARLES HALLE FOUNDATION,Trust,"The Charles Halle Foundation raises funds to assist the Halle Concerts Society in its non-core activities and in particular to finance foreign tours by the Halle Orchestra, to create opportunities to encourage young British astists and composers, to provide special concerts for young people and to support the Halle's education and outreach programme.",1964-08-05,"Halle Concerts Society, Bridgewater Hall, Great Bridgewater Street, Manchester",M1 5HA,01612377000,info@halle.co.uk,www.halle.co.uk
239015,NA,FIRST CHURCH OF CHRIST SCIENTIST ALTRINCHAM,Trust,Religious. Promotion of Christian Science. Holding of Church Services. Provision of a Reading Room where Christian Science literature can be purchased and studied including the study of a weekly bible lesson.,1965-04-08,"467 Manchester Road, Lostock Gralam, Northwich",CW9 7QB,07754626710,fccs.altrincham@talktalk.net,http://www.christiansciencegtrman.org.uk/altrincham
241019,NA,EARL OF WARRINGTON'S CHARITY,Other,Education and Training,1965-04-14,"26 Morrison Avenue, Tisbury, Salisbury",SP3 6GX,07967 555672,NA,NA
241969,NA,WALTONS LEAGUE OF HELP CHARITY,Other,ALTRINCHAM BOWDON HALE AND DUNHAM MASSEY CHESHIRE,1976-03-31,"32 Riddings Court, Timperley, Altrincham",WA15 6BG,01619697772,NA,NA
243493,NA,CHARITY OF EDWARD THOMAS WALTON,Other,Relief of poverty,1965-07-21,"47 Medway Crescent, Altrincham",WA14 4UA,01619282547,robertmoscrop@icloud.com,NA
244789,NA,HALE CIVIC SOCIETY,Other,"To secure the preservaton, conservation, development and improvement of features of general public amenity or historic or architectural or public interest in the area of Hale, Hale Barns and Ashley.",1967-04-06,"51 Appleton Road, Hale, Altrincham",WA15 9LP,07966449497,halecivicsociety@hotmail.com,www.halevillage.org.uk
246145,NA,ALTRINCHAM AND BOWDON CIVIC SOCIETY,Other,"The Society was formed over 50 years ago to ensure the highest standards for the development of Altrincham, with the aim of creating and maintaining an environment which is pleasant and attractive for its residents to live in and enjoy. It has in recent years been particularly concerned to influence ongoing major developments in the town.",1966-02-22,"14 Greenwood Street, Altrincham",WA14 1RZ,01619277508,altrinchamandbowdoncs@gmail.com,www.altrinchamandbowdoncs.com
248304,NA,THE CHESHIRE BRANCH OF THE CAMPAIGN TO PROTECT RURAL ENGLAND,Other,"We promote and encourage the improvement, protection and preservation of the countryside within the County of Cheshire.",1967-09-04,"Debbie Janney, Victoria Buildings, Lewin Street, Middlewich, Cheshire",CW10 9AT,01606835046,info@cprecheshire.org.uk,www.cprecheshire.org.uk
248685,00877291,PAKISTANI RESOURCE CENTRE LIMITED,Charitable company,"The Centre aims to provide services for the South Asian communities within the Greater Manchester area in the fields of Welfare Rights, Criminal Justice, Mental Health, Counselling and Domestic Violence.",1966-08-08,"Pakistani Resource Centre, Emery House, Suite 2a, 195 Fog Lane, Burnage, Manchester",M20 6FJ ,0161 4450633,info@pakistani-resource.org.uk,www.pakistani-resource.org.uk
248833,00882226,OCTAGON THEATRE TRUST LIMITED,Charitable company,"TO PROMOTE, MAINTAIN, IMPROVE AND ADVANCE, EDUCATION, PARTICULARLY BY THE PRODUCTION OF EDUCATIONAL PLAYS AND THE ENCOURAGEMENT OF THE ARTS INCLUDING DRAMA, MIME, DANCE, SINGING AND MUSIC, AND TO FORMULATE, PREPARE AND ESTABLISH SCHEMES THEREFOR PROVIDED THAT ALL OBJECTS OF THE COMPANY SHALL BE OF A CHARITABLE NATURE.",1966-08-03,"3rd Floor, The Wellsprings, Civic Centre, Bolton",BL1 1US,01204529407,info@octagonbolton.co.uk,www.octagonbolton.co.uk
249424,00149999,MANCHESTER DIOCESAN BOARD OF FINANCE,Charitable company,"MANCHESTER DIOCESAN BOARD OF FINANCE AIMS TO PROMOTE, FACILITATE ADN ASSIST WITH THE WORK AND PURPOSES OF THE CHURCH OF ENGLAND FOR THE ADVANCEMENT OF THE CHRISTIAN FAITH IN THE DIOCESE OF MANCHESTER AND ELSEWHERE",1966-09-26,"Diocesan Board Of Finance, Church House, 90 Deansgate, Manchester",M3 2GH,01618281461,finance@manchester.anglican.org,www.manchester.anglican.org
251259,NA,MANCHESTER COUNCIL FOR COMMUNITY RELATIONS,Other,"Tackling racial discrimination and racial harassment.Promoting community relations, community cohesion and diversity.Leading the BME communities in Manchester",1969-03-20,"139 Princess Road, Moss Side, Manchester",M14 4RE ,07818453546,office@mccr.org.uk,www.mccr.org.uk
252987,NA,CHARITY FOR THE MINISTER OF HALE CHAPEL,Other,Religous activities,1967-08-01,"C/O   1 The Pines, Manchester",M23 0NZ,01619454568,halechapeltreasurer@gmail.com,NA
253946,00099998,STRETFORD CHURCH HALL AND INSTITUTE LIMITED,Charitable company,Provision of Church Hall for public use,1968-08-06,"76c Davyhulme Road, Urmston, Manchester",M41 7DN,01617479100,r.downie2@ntlworld.com,stmatthewscommunityhall.co.uk
254312,NA,TRUST PROPERTY HELD IN CONNECTION WITH THE ENGLISH PROVINCE OF THE CONGREGATION OF CHRISTIAN BROTHERS,Trust,"To support the religious and other charitable works carried on in the name of the Trust and to care for the members of the Congregation.  These Ministries of the Brothers of the Congregation, all of which benefit numerous members of the general public, fall into the following main areas: Education / Faith Development / Social and pastoral work / International missionary work",1967-11-15,"Woodeaves, Wicker Lane, Hale Barns, Altrincham, Cheshire",WA15 OHF,01619040786,NA,NA
255181,NA,HALE OLDER PEOPLE'S WELFARE COMMITTEE,Other,"To promote and assist the general good of all old people in Hale by assisting the work of statutory authorities and voluntary organisations engaged in providing facilities for physical and mental recreation , developing physical improvement, furthering health,relieving poverty, distress  or sickness, or in pursuing any objects which now or hereafter may be deemed charitable.",1968-02-28,"4 South Downs Road, Hale, Altrincham",WA14 3HU,NA,NA,NA
255915,NA,NEWTOWN NIGHT SCHOOL FUND,Other,For such educational and missionary purposes of a charitable nature for the benefit of persons resident in Trafford,1969-06-06,"83 Stamford Road, Bowdon, Altrincham",WA14 2JJ,01619281894,STAMFORD83@AOL.COM,NA
258085,00947220,ST ANN'S HOSPICE,Charitable company,"To provide supportive and specialist palliative care services,both within hospices and community settings, enabling individuals with a life limiting illness and their families and carers to maximise the quality of their lives.",1969-03-05,"St. Anns Hospice, St. Anns Road North, Heald Green, Cheadle",SK8 3SZ,01614983637,enquiries@sah.org.uk,www.sah.org.uk
259181,NA,THE COUNCIL OF MANCHESTER AND SALFORD JEWS CHARITABLE TRUST,Trust,"The Charity deals with general charitable purposes.  In particular we promote education/training, relief of poverty, overseas aid and famine relief, religious activities.  We help children/young people, elderly/old people, people of a particular ethnic or racial origin, other charities/voluntary bodies. In general we carry out the above by making grants available to individuals and organisations.",1969-07-28,"The Heathlands Village, Heathlands Drive, Prestwich, Manchester",M25 9SB,01617208721,office@jewishmanchester.org,www.jewishmanchester.org
259903,NA,TIMPERLEY PARISH ROOM AND CLUB,Other,"To provide for rent a place for meetings for welfare of Timperley parishioners and also clubhouse, library, reading room, snooker room and bowling green for club members.",1969-12-16,"6 Gloucester Drive, Sale",M33 5DH,01619694973,NA,www.timperleyvillageclub.org.uk
261341,NA,THE MOREAH TEACHERS' COLLEGE,Other,Makes grants to organisationsMakes grants to individuals,1970-08-06,"13 Leabourne Road, London",N16 6SU,07973338661,,NA
268934,NA,THE PETER KERSHAW TRUST,Trust,Grants normally made only to organisations with registered charitable status in the Greater Manchester area. Capital building/renovation projects not normally supported. Grants are not made to individuals.,1975-02-28,"Room G104, Bolton Arena, Arena Approach, Horwich, Bolton",BL6 6LB,01204414317,peterkershawtrust@gmail.com,www.peterkershawtrust.org
272108,NA,THE CHESHIRE MILITARY MUSEUM,Other,"Museum dedicated to life and times of soldiers of The Cheshire Yeomanry, The 22nd (CHESHIRE) Regiment, The Mercian Regiment and C Sqn RMLY  Exhibits show history of regiments raised in Cheshire spanning 3 Centuries.Assists in research for individuals tracing family history.Extra commemmorative exhibitions throughout the year.",1976-10-13,"Cheshire Military Museum, The Castle, Grosvenor Street, Chester",CH1 2DN,01244327617,cheshiremilitarymuseum@live.co.uk,www.cheshiremilitarymuseum.co.uk
274198,01321359,M6 THEATRE COMPANY LIMITED,Charitable company,To broaden the education of children and young adults by producing educational plays which deal with a variety of social and cultural issues.,1977-09-14,"M6 Theatre Co, Hamer Community Primary School, Albert Royds Street, Rochdale",OL16 2SU,01706355898,admin@m6theatre.co.uk,www.m6theatre.co.uk
274769,NA,THE ZOCHONIS CHARITABLE TRUST,Trust,To support charitable causes by making grants,1978-01-27,"The Zochonis Charitable Trust, Manchester Business Park, 3500 Aviator Way, Manchester",M22 5TG ,01614351005,enquiries@zochonischaritabletrust.com,NA
277135,01400213,COMMUNITY ARTS NORTHWEST,Charitable company,"CAN supports diverse communities and artists in Greater Manchester by helping them to develop high-quality, meaningful participatory arts projects.",1980-08-19,"Community Arts North West, 46-50 Oldham Street, Manchester",M4 1LE  ,01612342975,admin@can.uk.com,www.can.uk.com
280599,NA,AGUDA KEREN L'DOVID,Trust,General charitable purposes,1980-08-21,"13 Sedgley Avenue, Prestwich, Manchester",M25 0LS,07305817909,rutiorzech@gmail.com,NA
286145,NA,HALLE ENDOWMENT TRUST,Trust,"To maintain a capital endowment fund and to apply the annual income of that fund in perpetuity towards the education of the general public in the study, appreciation and practice of music and the allied arts by furthering and supporting the objects and work of the Halle Concerts Society.",1983-01-18,"Halle Concerts Society, Bridgewater Hall, Great Bridgewater Street, Manchester",M1 5HA,01612377000,info@halle.co.uk,www.halle.co.uk
287106,01681335,THE UPHILL SKI CLUB OF GREAT BRITAIN,Charitable company,"To provide opportunities for people with disabilities to take part in snowsports, to help improve their enjoyment and standard of performance at a level of their choice, and to help transfer the benefit that they gain from taking part to their everyday life.",1983-06-27,"Glenmore Lodge, Glenmore, Aviemore",PH22 1QU,01479861272,hello@disabilitysnowsport.org.uk,www.disabilitysnowsport.org.uk
290485,NA,NEWHAM MUSLIM CITIZENS ASSOCIATION,Other,Operating to provide affordable legal advice services and community cohesion projects in the London Borough of Newham aimed at all age ranges.,1984-12-11,"81 Katherine Road, London",E6 1EW,020 7101 9432,NA,www.n-m-c-a.org
290905,NA,CHRISTIAN COMMUNITY,Trust,"Spread the Christian faith, health and healing.",1985-01-11,"Temple Smith Hart Llp, 89 High Street, Thame",OX9 3EH ,01618186277,NA,NA
295260,02041438,THE NATIONAL MUSEUM OF LABOUR HISTORY,Charitable company,"The People's History Museum is the national museum of democracy.  We are the only museum dedicated to telling the story of the development of democracy in Britain.  We engage, inspire and inform all audiences by showing that 'there have always been ideas worth fighting for'.",1986-10-20,"Peoples History Museum, Leftbank, Manchester",M3 3ER,0161 838 9190,info@phm.org.uk,www.phm.org.uk
298331,NA,THE ESTHER AND HARRY GROSBERG FOUNDATION,Trust,The Charity distributes money to organisations that fall within its ethos.,1988-01-08,"Lancaster House, Blackburn Street, Radcliffe",M26 2JW,01617233211,NA,NA
313186,NA,THE J G BIRD TRUST,Trust,Supporting outdoor activities for children and young people,1967-02-22,"William Hulmes Grammar School, Springbridge Road, Manchester",M16 8PR,01612262054,Elizabeth.fritchley@whgs-academy.org,NA
325133,NA,THE HERBERT WHITWORTH LIMITED SCHOLARSHIP FUND,Trust,Education / Training in International Trade,1975-01-28,"C/O Greater Manchester Chamber Of, Commerce, Elliot House, 151 Deansgate, Manchester",M3 3WD  ,01613934319,info@gmchamber.co.uk,NA
327149,NA,MANCHESTER CHARITABLE TRUST,Trust,Provides assistance to relieve poverty.,1986-06-05,"2 Okeover Road, Salford",M7 4JX,01618328721,charities@haffhoff.co.uk,NA
327913,NA,J S AND N HODARI CHARITABLE TRUST,Trust,Receipt of rents from investment properties and distribution of funds to other charities and beneficiaries.Receipt of donations for distribution to other charities and beneficiaries.,1988-08-30,"43 Singleton Road, Salford",M7 4NA  ,01618383001,NA,NA
328645,NA,THE ROBERT WHITESON MEMORIAL FUND,Trust,"Fund raising events on an annual basis include events such as garden parties, bridge luncheons, coffee mornings, sponsored running events and tennis tournaments. General donations from the public are also received. Net proceeds from events and investment income are now used for funding research at the Christie Hospital, Manchester into Hodgkins Disease, Leukaemia and other allied disorders.",1990-05-23,"3 Bow Green Road, Bowdon, Altrincham",WA14 3LY,01619412154,dan@thehermans.co.uk,NA
500434,NA,RECORD SOCIETY OF LANCASHIRE AND CHESHIRE,Other,Transcription and publication of original documents relating to the history of the counties of Lancashire and Cheshire,1970-06-29,"31 Pearl Lane, Vicars Cross, Chester",CH3 5NU,01244316150,jonathan.pepler@btinternet.com,rslc.org.uk
500532,NA,THE MANCHESTER GEOLOGICAL ASSOCIATION,Other,"To extend knowledge of earth sciences through lectures, meetings, field trips and to support relevant publications and to support earth science conservation.",1970-12-11,"20 Ridge Crescent, Marple, Stockport",SK6 7JA,07949973780,secretary@mangeolassoc.org.uk,www.mangeolassoc.org.uk
500729,NA,ALTRINCHAM CHORAL SOCIETY,Other,"ACS presents 4-5 concerts a year at prestigious Manchester venues and local churches. Our members are amateur singers who have the opportunity to perform choral works across a wide repertoire with professional orchestras and soloists. We also hold introductory singing events for the general public. We provide enjoyable, musical learning experiences for members, audience, and the public.",1971-03-30,"2 Merchants Quay, Bristol",BS1 4RL,01179293233,secretary@altrinchamchoral.co.uk,http://www.altrinchamchoral.co.uk
501351,NA,FRIENDS OF TRAFFORD GENERAL HOSPITAL (PARK),Other,Operating Hospital shop and 1 Tea Bar for patients and staff with trolley from shop to WardsCash donation direct to HospitalSupply of equipment as requested by Hospital,1972-01-31,"71 Kingsway Park, Urmston, Manchester",M41 7EB ,01617474243,anne-jim@tiscali.co.uk,NA
501707,NA,SALE CHORAL SOCIETY,Other,"A choir of about 60 amateur singers, trained and conducted by a professional musician who is the musical director. Weekly rehearsals, 4 concerts a year in different venues, using professional soloists & sometimes linking with other local choirs and orchestra. Provides the opportunity for singers to train & perform to a high standard & for local audiences to hear a wide variety of Choral music.",1972-06-23,"59 Crofton Avenue, Timperley, Altrincham",WA15 6BZ,01619730238,salechoralsoc@gmail.com,https://sites.google.com/site/salechoralsoc/
501953,01066757,THE MANCHESTER YOUNG PEOPLE'S THEATRE LIMITED,Charitable company,"Contact is a dynamic arts organisation and charity based in Manchester with young people at its heart. We work locally, nationally, and internationally to provide life changing opportunities for the next generation of creative leaders, artists, and audiences, redefining theatre for the 21st Century and presenting and producing a diverse artistic program in our building and beyond.",1972-10-31,"Contact Theatre, Devas Street, Manchester",M15 6JA,01612740600,info@contactmcr.com,http://www.contactmcr.com
502139,NA,TRAFFORD AND SALFORD ASSOCIATION FOR SPINA BIFIDA AND HYDROCEPHALUS,Other,"We provide telephone helpline; information; support: advice on medical, educational, housing and advocacy to members. We also provide some supported housing in adapted flats.",1973-01-12,"A S B A H Office, Cyprus Street, Stretford, Manchester",M32 8LA,01618650222,NA,NA
502689,NA,BOWDON CONSERVATION GROUP,Other,The advancement of environmental protection aor improvement,1973-09-21,"27 Stamford Road, Bowdon, Altrincham, Cheshire",WA14 2ST,0161 929 6283,Bowdoncg@gmail.com,www.bowdonconservationgroup.co.uk
503050,NA,SHAWE HALL AND DISTRICT COMMUNITY ASSOCIATION,Other,"meetings for socities, dancing groupts, playgroups,exercise classes, games for elderly, drama group, talks by visiting speakers.",1974-04-19,"Shawe Hall Community Centre, 278 Church Road, Urmston, Manchester",M41 6HJ,07789177176,shawehall.assoc@hotmail.com,NA
503126,NA,BIRLEY TRUST,Other,TO MAKE GRANTS TO ORGANISATIONS,1974-03-18,"Diocesan Board Of Finance, Church House, 90 Deansgate, Manchester",M3 2GH,01618281400,finance@manchester.anglican.org,NA
503258,NA,GREATER MANCHESTER CHURCHES TOGETHER,Other,"Greater Manchester Churches Together sustains and supports ecumenical developments at, local, parish, Borough and Regional level. The work involves Local Ecumenical Partnerships ,with over 100 Churches Together Groups and meetings of Church Leaders.",1974-05-06,"10 Fairfield Square, Droylsden, Manchester",M43 6AD ,01613700132,jwarr@uwclub.net,www.gmct.org.uk
504184,NA,CHESHIRE & NORTH WALES DYSLEXIA ASSOCIATION,Other,The provision of support and guidance to individuals who have been diagnosed with or believe they may have dyslexia,1975-08-07,"20 Beechcroft Avenue, Crewe",CW2 6SQ,01270748782,cheshirenwda@gmail.com,https://cnwda.wordpress.com/about/
504453,NA,EVANGELICAL COUNCIL FOR THE MANCHESTER AREA TRUST,Other,"Christian work, with particular reference to local Christian inter-church events in the Manchester Area",1975-08-12,"161 New Road, Skewen, Neath",SA10 6HD,01792812814,admin@ecmat.net,http://www.ecmat.net
504542,01223344,GREATER MANCHESTER CENTRE FOR VOLUNTARY ORGANISATION,Charitable company,"GMCVO works to increase economic and social inclusion in Greater Manchester through effective collaborations and supporting other organisations to achieve their goals. We support voluntary organisations and social enterprises to understand the operating environment, to gain social investment and we test new approaches. We provide investment and are a lead body for networks & partnership projects.",1975-09-10,"Gmcvo, St. Thomas Centre, Ardwick Green North, Manchester",M12 6FZ,01612771000,john.hannen@gmcvo.org.uk,www.gmcvo.org.uk
504780,NA,SALE CIVIC SOCIETY,Other,Campaigning and fundraising for Sale's future,1977-03-17,"Flat C3, Harewood Court, Marsland Road, Sale, Cheshire",M33 3WW,01619622655,salecivic@hotmail.co.uk,www.salecivicsociety.blogspot.com
505121,NA,WILLIAM HULME'S GRAMMAR SCHOOL TRUST,Other,To support the educational work and charitable purposes of the William Hulme's Grammar School Foundation.,1976-04-22,"William Hulmes Grammar School, Springbridge Road, Manchester",M16 8PR,01612262054,Elizabeth.fritchley@whgs-academy.org,NA
505207,NA,W G S TRUST,Other,"The objects of the charity are the advancement of the educational work of Withington Girls' School (charity number 1158226) and the advancement of education.  A specific aim is to maintain and enhance the level of means-tested bursary support to safeguard the diversity of the school community.  It addition, the charity provides financial support for the school's on-going building programme.",1976-05-13,"Withington Girl's School, 100 Wellington Road, Fallowfield, Manchester",M14 6BL,01612241077,senns@wgs.org,NA
506037,NA,BOWDON COMMUNITY ASSOCIATION,Other,"Bowdon Community Association is the registered charity which is run for the benefit of the residents of Bowdon, Hale, Altrincham and District and is located at The Jubilee Centre. The centre provides suite rooms for hire for the local community.The Jubilee Centre's groups and organisations include Fund raising Events for local charities, Children's Activity Groups, Local Societies, etc.",1977-02-04,"Bowdon Community Association, Jubilee Centre, The Firs, Bowdon, Altrincham",WA14 2TQ,01619414293,thejubileecentre@gmail.com,www.communigate.co.uk/chesh/thejubileecentre
506298,NA,3RD AND 4TH LANCASHIRE GROUP OF THE BRITISH ASSOCIATION OF THE EUROPEAN SCOUT FEDERATION,Other,Scouting,1977-05-13,"49 Marlfield Street, Manchester",M9 4BA,01612057862,NA,NA
506758,NA,ST PETER'S HERITAGE TRUST,Trust,The purpose of the Trust is to help meet the cost of structural repairs to the church building of the parish of Hale St. Peter which is in the south of Trafford Borough.,1978-01-04,"6 Tintern Drive, Hale, Altrincham",WA15 8PE,01619806853,NA,NA
506820,NA,THE HALE AND DISTRICT HEBREW CONGREGATION,Other,"To establish, develop and maintain a Synagogue  for the purposes of advancing Jewish religious and educational activities.",1978-01-31,"C/O Hale And District Hebrew Cong, 11 Shay Lane, Hale Barns, Cheshire",WA15 8PA,07767272352,admin@hale-community.org.uk,www.hale-jewish-community.org.uk
506907,01298683,CRANSLEY SCHOOL LIMITED,Charitable company,Independent Day School,1977-11-22,"Cransley School, Belmont Hall, Warrington Road, Great Budworth, Northwich",CW9 6HN,01606 891747,SPARROTT@CRANSLEYSCHOOL.ORG.UK,www.cransleyschool.com
507682,NA,ALTRINCHAM VIDEO SOCIETY,Other,"To promote the advancement and improvement of general education in relation to all aspects of cinematography and associated visual and auditory arts, crafts and skills and the public appreciation thereof in the district of Altrincham and elsewhere.",1978-06-21,"435 Stockport Road, Timperley, Altrincham",WA15 7XR,07701063027,ebarrypeel@yahoo.co.uk,www.altvideo.co.uk
507848,NA,PLANNED-RETIREMENT ASSOCIATION OF GREATER MANCHESTER,Other,"Pragma promotes and organises pre-retirement education across Greater Manchester and the North-west region of England by supporting and organising courses, producing and distributing literature and providing a referral and information service, and working with other organisations.",1962-05-25,"20 St Ann's Square, Manchester",M2 7HG  ,01618333944,sue.agar@ageukmanchester.org.uk,www.pragma4retirement.org.uk
508002,NA,GREATER MANCHESTER WEST COUNTY SCOUT COUNCIL,Other,Scout Association,1978-07-21,"Greater Manchester West, County Scout Council, Unit 5 Kelmercourt House, 102 Sale Lane, Tyldesley Manchester",M29 8PZ,01617905634,county.office@gmwscouts.org.uk,www.gmwscouts.org.uk
508296,NA,HOMES FOR RETIRED TEACHERS OF CHURCH SCHOOL IN THE DIOCESE OF CHESTER,Other,To support retired teachers who have taught in Church of England schools in the Diocese of Chester and are communicant members of the Church and to support those who have taught in a Church of England Church in the Diocese for at least five years.,1979-02-15,"70 Vicars Cross Road, Vicars Cross, Chester",CH3 5NW,01244403793,NA,NA
