name,address,postcode,type,email,website,area_name,area_code,lon,lat
Moss Side Powerhouse Library,"140 Raby Street, Moss Side",M14 4SL,Local authority run library,powerhouselibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270330/moss_side_powerhouse_library,Manchester,E08000003,-2.241721,53.4576
New Moston Community Library,"Nuthurst Road, New Moston",M40 3PJ,Community run library,NA,https://secure.manchester.gov.uk/directory_record/270331/new_moston_community_library,Manchester,E08000003,-2.167391,53.516619
Newton Heath Library,"Old Church Street, Newton Heath",M40 2JB,Local authority run library,newtonheathlibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270332/newton_heath_library,Manchester,E08000003,-2.182935,53.501505
North City Library,"Rochdale Road, Harpurhey",M9 4AF,Local authority run library,ncl@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270333/north_city_library,Manchester,E08000003,-2.212786,53.514262
Northenden Community Library,"Parkway Green House, 460 Palatine Road, Northenden",M22 4DJ,Community run library,NA,https://secure.manchester.gov.uk/directory_record/270334/northenden_community_library,Manchester,E08000003,-2.264644,53.406854
Withington Library,"410 Wilmslow Road, Withington",M20 3BN,Local authority run library,withingtonlibrary@manchester.gov.uk,https://secure.manchester.gov.uk/directory_record/270335/withington_library,Manchester,E08000003,-2.226289,53.436011
Chadderton Library and Wellbeing Centre,"Burnley Street, Chadderton, Oldham",OL9 0JW,Local authority run library,chadderton.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.14157,53.547609
Crompton Library,"Farrow Street East, Shaw, Oldham",OL2 8QY,Local authority run library,crompton.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.095725,53.576255
Delph Library,"Millgate, Delph, Oldham",OL3 5JG,Community run library,delph.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.022852,53.566674
Failsworth Library,"Town Hall, Oldham Road, Failsworth",M35 0FJ,Local authority run library,failsworth.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.158349,53.510286
Fitton Hill Library,"Fitton Hill Neighbourhood Centre, Fircroft Road, Fitton Hill, Oldham",OL8 2QD,Local authority run library,fittonhill.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.100756,53.52011
Greenfield Library,"Chew Vale, Greenfield, Oldham",OL3 7EQ,Local authority run library,greenfield.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.007038,53.535666
Lees Library Community Hub,"Thomas Street, Lees, Oldham",OL4 5DA,Local authority run library,lees.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.071887,53.536795
Limehurst Library,"St Chad's Centre, Lime Green Parade, Limeside, Oldham",OL8 3HH,Local authority run library,limehurst.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.126789,53.515222
Northmoor Library,"Chadderton Way, Oldham",OL9 6DH,Local authority run library,northmoor.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.123941,53.546909
Oldham Library and Lifelong Learning Centre,"Greaves Street, Oldham",OL1 1AL,Local authority run library,oldham.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.109146,53.54001
Royton Library,"Rochdale Road, Royton, Oldham",OL2 6QJ,Local authority run library,royton.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.122322,53.566469
Uppermill Library,"St Chad's, High Street, Uppermill, Oldham",OL3 6AP,Local authority run library,uppermill.library@oldham.gov.uk,http://www.oldham.gov.uk/find_a_library,Oldham,E08000004,-2.005742,53.548412
Alkrington Library,"Kirkway, Middleton",M24 1LW,Local authority run library,alkrington.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/alkrington-library.aspx,Rochdale,E08000005,-2.19261,53.537273
Balderstone Library,"Balderstone Park, Rochdale",OL11 2HD,Local authority run library,balderstone.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/balderstone-library.aspx,Rochdale,E08000005,-2.146217,53.599537
Belfield Library,"Belfield Community School, Samson Street, Rochdale",OL16 2XW,Local authority run library,belfield.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/belfield-library.aspx,Rochdale,E08000005,-2.132881,53.621017
Castleton Library,"Castleton Community Centre, Manchester Road, Rochdale",OL11 3AF,Local authority run library,castleton.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/castleton-library.aspx,Rochdale,E08000005,-2.182088,53.595641
Darnhill Library,"Argyle Parade, Heywood",OL10 3RY,Local authority run library,darnhill.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/darnhill-library.aspx,Rochdale,E08000005,-2.241075,53.587888
Heywood Library,"Lance Corporal Stephen Shaw M C Way, Heywood",OL10 1LL,Local authority run library,heywood.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/heywood-library.aspx,Rochdale,E08000005,-2.218168,53.592606
Junction Community Library,"Jumbo Social Centre, Grimshaw Lane, Middleton",M24 2BW,Local authority run library,Junction.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/junction-community-library.aspx,Rochdale,E08000005,-2.177983,53.543468
Langley library,"Langley Children's Centre, Windermere Road, Middleton",M24 4LA,Local authority run library,langley.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/langley-library.aspx,Rochdale,E08000005,-2.220192,53.557772
Littleborough Library,"Hare Hill Park, Littleborough",OL15 9HE,Local authority run library,littleborough.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/littleborough-library.aspx,Rochdale,E08000005,-2.099589,53.645974
Local Studies Library - Touchstones,"Touchstones Rochdale, The Esplanade, Rochdale",OL16 1AQ,Commissioned library,library.service@rochdale.gov.uk,https://link4life.org/arts-heritage/local-studies,Rochdale,E08000005,-2.161916,53.615121
Middleton Library,"Long Street, Middleton",M24 6DU,Local authority run library,middleton.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/middleton-library.aspx,Rochdale,E08000005,-2.196349,53.552897
Milnrow Library,"Newhey Road, Milnrow",OL16 3PS,Local authority run library,milnrow.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/milnrow-library.aspx,Rochdale,E08000005,-2.104088,53.605559
Norden Library,"Norden Community School, Shawfield Lane, Rochdale",OL12 7RQ,Local authority run library,norden.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/norden-library.aspx,Rochdale,E08000005,-2.205751,53.627143
Rochdale Central Library,"Number One Riverside, Smith Street, Rochdale",OL16 1XU,Local authority run library,Rochdalecentrallibrary@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/rochdale-central-library.aspx,Rochdale,E08000005,-2.155848,53.617565
Smallbridge Library,"Smallbridge Library, Stevenson Square, Rochdale",OL12 9SA,Local authority run library,smallbridge.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/smallbridge-library.aspx,Rochdale,E08000005,-2.136049,53.632986
Smithy Bridge Library,"121-123 Smithy Bridge Road, Littleborough",OL15 0BQ,Local authority run library,smithybridge.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/smithybridge-library.aspx,Rochdale,E08000005,-2.10687,53.632043
Spotland Library,"Ings Lane, Rochdale",OL12 7AL,Local authority run library,spotland.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/spotland-library.aspx,Rochdale,E08000005,-2.181678,53.623818
Wardle Library,"448 Birch Road, Wardle, Rochdale",OL12 9LH,Local authority run library,wardle.library@rochdale.gov.uk,http://www.rochdale.gov.uk/library-services/local-libraries/Pages/wardle-library.aspx,Rochdale,E08000005,-2.132203,53.645681
Boothstown Library,"Community Centre, Standfield Drive, Boothstown",M28 1NB,Commissioned library,Boothstown.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/boothstown-library,Salford,E08000006,-2.417572,53.504484
Broughton Community Hub Library,"50 Rigby Street, Salford",M7 4BQ,Commissioned library,Broughton.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/broughton-library,Salford,E08000006,-2.259764,53.507025
Cadishead Library,"126 Liverpool Road, Cadishead",M44 5AN,Commissioned library,Cadishead.library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/cadishead-library,Salford,E08000006,-2.435476,53.428754
Clifton Library,"Community Centre, 6 Wynne Avenue, Clifton",M27 8FU,Commissioned library,Clifton.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/clifton-library,Salford,E08000006,-2.3344,53.524475
Eccles Library,"Eccles Gateway, 28 Barton Lane, Eccles",M30 0TU,Commissioned library,Eccles.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/eccles-library,Salford,E08000006,-2.339314,53.48253
Height Library,"King Street, Salford",M6 7GY,Commissioned library,Height.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/height-library,Salford,E08000006,-2.308909,53.499664
Hope Library,"Eccles Old Road, Salford",M6 8FH,Commissioned library,Hope.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/hope-library,Salford,E08000006,-2.318341,53.488961
Irlam Library,"Hurst Fold, Liverpool Road, Irlam",M44 6FD,Commissioned library,Irlam.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/irlam-library,Salford,E08000006,-2.412496,53.452339
Little Hulton Library,"Longshaw Drive, Little Hulton",M28 0AZ,Commissioned library,LittleHulton.library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/little-hulton-library,Salford,E08000006,-2.421154,53.529657
Lower Kersal Library,"Salford Sports Village, Littleton Road, Salford",M7 3NQ,Commissioned library,LowerKersal.library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/lower-kersal-library,Salford,E08000006,-2.286355,53.508313
Ordsall Library,"Ordsall Neighbourhood Office, Robert Hall Street, Salford",M5 3LT,Commissioned library,Ordsall.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/ordsall-library,Salford,E08000006,-2.272142,53.473938
Pendleton Library,"Pendleton Gateway, 1 Broadwalk, Salford",M6 5FX,Commissioned library,Pendleton.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/pendleton-library,Salford,E08000006,-2.284742,53.488361
Swinton Library,"Swinton Gateway, 100 Chorley Road, Swinton",M27 6BP,Commissioned library,Swinton.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/swinton-library,Salford,E08000006,-2.342204,53.512236
Walkden Library,"Walkden Gateway, 2 Smith Street, Worsley",M28 3EZ,Commissioned library,Walkden.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/walkden-library,Salford,E08000006,-2.398541,53.524898
Winton Library,"Old Parrin Lane, Winton",M30 8BY,Commissioned library,Winton.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/winton-library,Salford,E08000006,-2.368548,53.48966
Worsley Village Library,"Worsley Road, Worsley",M28 2PB,Commissioned library,WorsleyVillage.Library@scll.co.uk,http://www.salfordcommunityleisure.co.uk/libraries/locations/worsley-village-library,Salford,E08000006,-2.381317,53.499895
Adswood and Bridgehall Library,"Bridgehall Community Centre, Siddington Avenue, Stockport",SK3 8NR,Local authority run library,bridgehall.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.17159,53.394096
Bramhall Library,"Bramhall Lane South, Bramhall",SK7 2DU,Local authority run library,bramhall.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.164867,53.359998
Bredbury Library,"George Lane, Bredbury",SK6 1DJ,Local authority run library,bredbury.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.101442,53.416722
Brinnington Library,"First House, 367 Brinnington Road",SK5 8EN,Local authority run library,brinnington.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.133475,53.425942
Cheadle Hulme Library,"Mellor Road, Cheadle Hulme",SK8 5AU,Local authority run library,cheadlehulme.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.188914,53.374919
Cheadle Library,"Ashfield Road, Cheadle",SK8 1BB,Local authority run library,cheadle.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.21303,53.39406
Edgeley Library,"Edgeley Road, Edgeley",SK3 9NB,Local authority run library,edgeley.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.172922,53.400921
Great Moor Library,"Gladstone street, Great moor",SK2 7QF,Local authority run library,greatmoor.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.133072,53.388424
Hazel Grove Library,"Beech Avenue, Hazel Grove",SK7 4QP,Local authority run library,hazelgrove.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.116401,53.379039
Heald Green Library,"Finney Lane, Heald Green",SK8 3JB,Local authority run library,healdgreen.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.228675,53.369978
Heatons Library,"Thornfield Road, Heaton Moor",SK4 3LD,Local authority run library,heatons.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.190725,53.416677
High Lane Library,"Buxton Road, High Lane",SK6 8DX,Local authority run library,highlane.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.069492,53.364361
Marple Library,"Memorial Park, Marple",SK6 6BA,Local authority run library,marple.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.06225,53.396248
Offerton Library,"Offerton Community Centre, Mallowdale Road",SK2 5NX,Local authority run library,offerton.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.121277,53.391214
Reddish Library,"Gorton Road, Reddish",SK5 6UG,Local authority run library,reddish.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.158377,53.441183
Stockport Central Library,"Wellington Road South, Stockport",SK1 3RS,Local authority run library,lending.library@stockport.gov.uk,www.stockport.gov.uk/libraries,Stockport,E08000007,-2.160662,53.408237
Denton Library,"Town Hall, Market Street, Denton",M34 2AP,Local authority run library,denton.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.114399,53.455012
Denton West End Library,"Hulme Road, Denton",M34 2HB,Independent community library,NA,http://www.friendsofdenton-westendlibrary.co.uk/,Tameside,E08000008,-2.145082,53.453703
Droylsden Library,"Manchester Road, Droylsden",M43 6EP,Local authority run library,droylsden.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.148071,53.479188
Dukinfield Library,"Concord way, Dukinfield",SK16 4DB,Local authority run library,dukinfield.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.083416,53.476538
Hattersley Library,"The Hub, Stockport Road, Hattersley",SK14 6NT,Local authority run library,hattersley.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.022796,53.451475
Hyde Library,"Town Hall, Greenfield Street, Hyde",SK14 1AL,Local authority run library,hyde.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.080053,53.45087
Mossley Library,"George Lawton Hall, Stamford Street, Mossley",OL5 0HR,Local authority run library,mossley.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.046067,53.51893
Ryecroft Library,"Ryecroft Hall, Manchester Road, Audenshaw",M34 5GJ,Local authority run library book access point,NA,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.12966,53.477818
Stalybridge Library,"Trinity Street, Stalybridge",SK15 2BN,Local authority run library,stalybridge.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.056425,53.482882
Tameside Central Library,"Old Street, Ashton-under-Lyne.",OL6 7SG,Local authority run library,central.library@tameside.gov.uk,http://www.tameside.gov.uk/libraries,Tameside,E08000008,-2.0978,53.487341
Altrincham Library,"2 Pott Street, Altrincham",WA14 1AH,Local authority run library,altrincham.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/altrincham-library.aspx,Trafford,E08000009,-2.352156600534233,53.38705468210445
Coppice Library,"Coppice Avenue, Sale",M33 4ND,Partnership run library,coppice.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/coppice-library.aspx,Trafford,E08000009,-2.351126,53.414091
Hale Library,"159c Ashley Road, Hale",WA15 9SF,Local authority run library,hale.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/hale-library.aspx,Trafford,E08000009,-2.346787676607757,53.377938323905504
Lostock Library,"Selby Road, Stretford",M32 9PL,Lostock High School run library,achilds@lostock.trafford.sch.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/lostock-library.aspx,Trafford,E08000009,-2.330413,53.454859
Old Trafford Library at Limelight,"1 St Brides Way, Old Trafford",M16 9NW,Local authority run library,oldtrafford.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/old-trafford.aspx,Trafford,E08000009,-2.261906,53.461415
Partington Library and Wellbeing Centre,"91 Central Road, Partington",M31 4FY,Local authority run library,partington.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/partington-library.aspx,Trafford,E08000009,-2.425432,53.417677
Sale Library,"Sale Waterside, Sale",M33 7ZF,Local authority run library,sale.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/sale-library.aspx,Trafford,E08000009,-2.31987,53.42533
Stretford Library,"Kingsway, Stretford",M32 8AP,Local authority run library,stretford.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/stretford-library.aspx,Trafford,E08000009,-2.312512,53.44607
Timperley Library,"405 Stockport Road, Timperley",WA15 7XR,Local authority run library,timperley.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/timperley-library.aspx,Trafford,E08000009,-2.316245371300329,53.3982585279669
Trafford Local Studies Centre,"Sale Waterside, Sale",M33 7ZF,Local authority run library,trafflocals@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/Local-Studies/Trafford-Local-Studies.aspx,Trafford,E08000009,-2.319808,53.425528
Trafford Town Hall Library,"Ground Floor, Trafford Town Hall, Talbot Road, Stretford",M32 0TH,Local authority run library,libraries@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/town-hall-library.aspx,Trafford,E08000009,-2.287278,53.45874
Urmston Library,"Unit 34, Golden Way, Urmston",M41 0NA,Local authority run library,urmston.library@trafford.gov.uk,https://www.trafford.gov.uk/residents/leisure-and-lifestyle/libraries/libraries-in-trafford/urmston-library.aspx,Trafford,E08000009,-2.35352,53.449577
