name,address,postcode,lad16nm,lat,lon,precision
Guide Bridge Medical Practice,"Guide Lane Clinic, Guide Lane, Audenshaw, Manchester",M34 5HY,Tameside,53.4723284,-2.1132944,Address and postcode
Millbrook Medical Practice,"Hollybank, Off Grove Road, Stalybridge",SK15 3BJ,Tameside,53.4756824,-2.0670117,Address and postcode
Simpson Medical Practice,"361 Moston Lane, Manchester",M40 9NB,Manchester,53.5237166,-2.179817,Address and postcode
Orchard Medical Centre,"10 Leigh Road, Boothstown, Manchester",M28 1LZ,Salford,53.5023997,-2.4149823,Address and postcode
Dr Samir Naseef,"216 Wigan Road, Deane, Bolton",BL3 5QE,Bolton,53.5602913,-2.48035,Address and postcode
Dr Hany Azmy,"The Surgery, 30 Brinnington Road, Brinnington, Stockport",SK1 2EX,Stockport,53.44606865,-2.15688850822518,Address and postcode
Dr Leena Saxena,"Winstanley Medical Centre, Holmes House Avenue, Winstanley, Wigan",WN3 6JN,Wigan,53.5213078,-2.66894417803954,Address and postcode
Dr R Anderson and Dr M Ahmed,"239 Mosley Common Road, Worsley, Manchester",M28 1BZ,Salford,53.5079496,-2.4273963,Address and postcode
Dr Saira Zaman,"Chandler House, Worsley Mesnes Health Centre, Poolstock Lane, Wigan",WN3 5HL,Wigan,53.4741945,-2.5674187,Address and postcode
Conran Medical Centre,"77 Church Lane, Harpurhey, Manchester",M9 5BH,Manchester,53.5076458,-2.2030025,Address and postcode
Dr Davis's Medical Practice,"53 Leicester Road, Salford",M7 4AS,Salford,53.5101553,-2.2529627,Address and postcode
Dr Devang Shah,"169 Grove Lane, Timperley, Altrincham",WA15 6PH,Trafford,53.3969545,-2.3274462,Address and postcode
Leesbrook Surgery,"Mellor Street, Lees, Oldham",OL4 3DG,Oldham,53.5388576,-2.0723285,Address and postcode
Swan Lane Medical Centre,"Swan Lane, Bolton",BL3 6TL,Bolton,53.5666459,-2.4416206,Address and postcode
Timperley Health Centre - Westwood,"169 Grove Lane, Timperley, Altrincham",WA15 6PH,Trafford,53.3969545,-2.3274462,Address and postcode
Staveleigh Medical Centre,"King Street, Stalybridge",SK15 2AE,Tameside,53.539248,-2.1164871,Address and postcode
Deane Medical Centre,"155-157 Deane Road, Bolton",BL3 5AH,Bolton,53.5737478,-2.4390497,Address and postcode
Whittaker Lane Medical Centre,"Daisy Bank, Whittaker Lane, Prestwich, Manchester",M25 1EX,Bury,53.4980785,-2.1737198,Address and postcode
The Limes Medical Practice,"8-12 Hodge Road, Worsley, Manchester",M28 3AT,Salford,53.5222867,-2.3969307,Address and postcode
Ellenbrook Medical Practice,"14 Morston Close, Worsley, Manchester",M28 1PB,Salford,53.5111237,-2.4142864,Address and postcode
Longford Street Medical Centre,"Longford Street, Heywood",OL10 4NH,Rochdale,53.5941858,-2.2191247,Address and postcode
Hawthorn Medical Centre,"Unit K, Fallowfield Retail Park, Birchfields Road, Manchester",M14 6FS,Manchester,53.478934,-2.1762076,Address and postcode
The Uplands Medical Practice,"Bury New Road,, Whitefiel, Manchester",M45 8GH,Bury,53.5482613,-2.2939187,Address and postcode
Stonehill Medical Centre,"Piggott Street, Farnworth, Bolton",BL4 9QZ,Bolton,53.5427387,-2.4036497,Address and postcode
St George's Medical Centre,"St Georges Drive, Moston, Manchester",M40 5HP,Manchester,53.5099376,-2.1885721,Address and postcode
St Andrews Medical Practice 2,"30 Russell Street, Eccles, Manchester",M30 0NU,Salford,53.4850193,-2.3398832,Address and postcode
The Village Surgery,"169 Grove Lane, Timperley, Altrincham",WA15 6PH,Trafford,53.3969545,-2.3274462,Address and postcode
St Andrews Medical Practice 4,"30 Russell Street, Eccles, Manchester",M30 0NU,Salford,53.4850193,-2.3398832,Address and postcode
Block Lane Surgery,"The Surgery, 158 Block Lane, Chadderton, Oldham",OL9 7SG,Oldham,53.4926319,-2.2254696,Address and postcode
Littletown Family Medical Practice,"53 Manchester Road, Oldham",OL8 4LR,Oldham,53.5294179,-2.1345501,Address and postcode
Ashville Surgery,"171 Upper Chorlton Road, Whalley Range, Manchester",M16 9RT,Manchester,53.452696,-2.2676639,Address and postcode
Medlock Vale Medical Practice,"58 Ashton Road, Droylsden, Manchester",M43 7BW,Tameside,53.4793921,-2.1445885,Address and postcode
Sullivan Way Surgery,"Sullivan Way, Scholes, Wigan",WN1 3TB,Wigan,53.5493788,-2.6222823,Address and postcode
Lever Chambers 2,"Lever Chambers Centre for Health,, Ashburner Street,, Bolton",BL1 1SQ,Bolton,53.5768804,-2.4309817,Address and postcode
Castleton Health Centre,"2 Elizabeth Street, Castleton, Rochdale",OL11 3HY,Rochdale,53.5965429,-2.1826686,Address and postcode
Ashcroft Surgery,"803 Stockport Road, Levenshulme, Manchester",M19 3BS,Manchester,53.4532324,-2.195488,Address and postcode
Dearden Avenue Medical Practice,"1A Dearden Avenue, Little Hulton, Manchester",M38 9GH,Salford,53.5340326,-2.419498,Address and postcode
Donald Wilde Medical Centre,"283 Rochdale Road, Oldham",OL1 2HG,Oldham,53.6157392,-2.1244385,Address and postcode
Marus Bridge Practice,"Chandler House, Worsley Mesnes Health Centre, Poolstock Lane, Wigan",WN3 5HL,Wigan,53.4741945,-2.5674187,Address and postcode
Shay Lane Medical Centre - Kelman,"Shay Lane, Hale Barns, Altrincham",WA15 8NZ,Trafford,53.372763,-2.3145377,Address and postcode
Garden City Medical Centre,"1a Garden City, Holcombe Brook, Bury",BL0 9TN,Bury,53.6293281,-2.3304473,Address and postcode
Mandalay Medical Centre,"933 Blackburn Road, Bolton",BL1 7LR,Bolton,53.6149718,-2.4365132,Address and postcode
Bodey Medical Centre,"28 Ladybarn Lane, Fallowfield, Manchester",M14 6WP,Manchester,53.4406367,-2.2150289,Address and postcode
HT Practice,"Ashton Primary Care Centre, 193 Old Street, Ashton-Under-Lyne",OL6 7SR,Tameside,53.4862502,-2.0990245,Address and postcode
Park View Group Practice,"2 Longford Road West, Reddish, Stockport",SK5 6ET,Stockport,53.4453888,-2.1616408,Address and postcode
"Drs Adab, Chavdarov, Chen, Chew-Graham, Hill, Ratcliffe and Siebert","Chorlton Health Centre, 1 Nicolas Road, Chorlton-cum-Hardy, Manchester",M21 9NJ,Manchester,53.4438414,-2.2795688,Address and postcode
Hopwood Medical Centre,"1-3 Walton Street, Hopwood, Heywood",OL10 2BS,Rochdale,53.5866437,-2.2147733,Address and postcode
Valentine Medical Centre,"2 Smethurst Street, Blackley, Manchester",M9 8PP,Manchester,53.5158475,-2.2132232,Address and postcode
Mount Road Surgery,"110 Mount Road, Gorton, Manchester",M18 7BQ,Manchester,53.4566617,-2.1811428,Address and postcode
Irlam Group Practice,"523 Liverpool Road, Irlam, Manchester",M44 6ZS,Salford,53.4393448,-2.4265523,Address and postcode
Bramhall Park Medical Centre,"235 Bramhall Lane South, Bramhall, Stockport",SK7 3EP,Stockport,53.3591379,-2.1646893,Address and postcode
The Gill Medical Centre,"5 Harriet Street, Worsley, Manchester",M28 3DR,Salford,53.5279661,-2.3988031,Address and postcode
Ashworth Street Surgery,"85 Spotland Road, Rochdale",OL12 6RT,Rochdale,53.6207722,-2.1737839,Address and postcode
The Energise Healthy Living Centre,"3 Douglas Green, Salford",M6 6ES,Salford,53.4979692,-2.283029,Address and postcode
Hazeldene Medical Centre,"97 Moston Lane East, New Moston, Manchester",M40 3HD,Manchester,53.5230835,-2.1687319,Address and postcode
Heaton Moor Medical Group,"32 Heaton Moor Road, Heaton Moor, Stockport",SK4 4NX,Stockport,53.421039,-2.1868266,Address and postcode
Cornerstone Family Practice,"Cornerstone Centre, Graham Street, Beswick, Manchester",M11 3AA,Manchester,53.4744354,-2.1951129,Address and postcode
The Elms Medical Centre,"Green Lane, Whitefield, Manchester",M45 7FD,Bury,53.5536734,-2.2944443,Address and postcode
Urban Village Medical Practice,"Old Mill Street, Manchester",M4 6EE,Manchester,53.481141,-2.223772,Address and postcode
Cheetham Hill Primary Care Centre,"244 Cheetham Hill Road, Manchester",M8 8UP,Manchester,53.508326,-2.2418833,Address and postcode
Dr Seabrook & partners,"Cheadle Hulme Health Centre, Smithy Green, Hulme Hall Road, Cheadle",SK8 6LU,Stockport,53.3665146,-2.1912482,Address and postcode
Awburn House Medical Practice,"Mottram Moor, Mottram, Hyde",SK14 6LA,Tameside,53.4586433,-2.0095976,Address and postcode
Durnford Medical Centre,"113 Long Street, Middleton, Manchester",M24 6DL,Rochdale,53.5526867,-2.1966197,Address and postcode
Bradford Street Surgery,"65 Bradford Street, Haulgh, Bolton",BL2 1HT,Bolton,53.5775377,-2.4167596,Address and postcode
Milnrow Village Practice,"44-48 Newhey Road, Milnrow, Rochdale",OL16 4EG,Rochdale,53.6063583,-2.1056846,Address and postcode
Lockside Medical Centre,"85 Huddersfield Road, Stalybridge",SK15 2PT,Tameside,53.5446052,-2.0964867,Address and postcode
Al-Shifa Medical Centre,"4-6 Copson Street, Withington, Manchester",M20 3HE,Manchester,53.4341784,-2.2308228,Address and postcode
Woodside Medical Centre,"247J Wood Street, Langley Estate, Middleton, Manchester",M24 5QL,Rochdale,53.5546861,-2.2089626,Address and postcode
Oldham Medical Services,"Langham House, 368 Ashton Road, Oldham",OL8 3HF,Oldham,53.5304935,-2.1187334,Address and postcode
Park Medical Practice,"119 Park Road, Timperley, Altrincham",WA15 6QQ,Trafford,53.3975902,-2.3181274,Address and postcode
Stamford House Medical Centre,"2 Princess Street, Ashton Under Lyne",OL6 9QH,Tameside,53.508676,-2.161664,Address and postcode
Dukinfield Medical Practice,"20-22 Concord Way, Dukinfield",SK16 4DB,Tameside,53.4767427,-2.0850199,Address and postcode
Beech House Medical Practice,"Beech Avenue,, Hazel Grove,, Stockport",SK7 4QR,Stockport,53.3795193,-2.1177511,Address and postcode
Lever Chambers 1,"Lever Chambers Centre for Health,, Ashburner Street,, Bolton",BL1 1SQ,Bolton,53.5768804,-2.4309817,Address and postcode
Mark Street Surgery,"2 Mark Street, Rochdale",OL12 9BE,Rochdale,53.6240618,-2.1444268,Address and postcode
The Maples Medical Centre,"2 Scout Drive, Newall Green, Manchester",M23 2SY,Manchester,53.3844601,-2.2867983,Address and postcode
Saddleworth Medical Practice,"Smithy Lane, Uppermill, Oldham",OL3 6AH,Oldham,53.5482368,-2.0048114,Address and postcode
Blackford House Medical Centre,"137 Croft Lane, Hollins, Bury",BL9 8QA,Bury,53.5713579,-2.285947,Address and postcode
Monarch Medical Centre,"65 Cross Lane, Radcliffe, Manchester",M26 2QZ,Bury,53.5647101,-2.3155278,Address and postcode
The Sides Medical Practice,"The Sides Medical Centre, Moorside Road, Swinton, Manchester",M27 0EW,Salford,53.5047789,-2.35430822343322,Address and postcode
Wilbraham Surgery,"515 Wilbraham Road, Chorlton-Cum-Hardy, Manchester",M21 0UF,Manchester,53.4425086,-2.2720351,Address and postcode
Delamere Medical Practice,"Delamere Avenue, Stretford, Manchester",M32 0DF,Trafford,53.450405,-2.3073053,Address and postcode
Whitley Road Medical Centre,"1 Whitley Road, Collyhurst, Manchester",M40 7QH,Manchester,53.4943307,-2.2217733,Address and postcode
Haughton Thornley Medical Centres,"Thornley House Medical Centre, Thornley Street, Hyde",SK14 1JY,Tameside,53.4469737,-2.0759195,Address and postcode
