area_code,area_name,geography,period,indicator,sexual_orientation,measure,unit,value
E08000008,Tameside,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,38
E08000008,Tameside,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,10985
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,169221
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,3032
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,1856
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Pansexual,Count,Persons,368
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Asexual,Count,Persons,84
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Queer,Count,Persons,49
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,21
E08000009,Trafford,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,11519
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Straight or Heterosexual,Count,Persons,247126
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Gay or Lesbian,Count,Persons,3885
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Bisexual,Count,Persons,2381
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Pansexual,Count,Persons,379
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Asexual,Count,Persons,79
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Queer,Count,Persons,22
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),All other sexual orientations,Count,Persons,27
E08000010,Wigan,Local authority,2021-03-21,Sexual orientation of usual residents (voluntary question only asked of people aged 16 years and over),Not answered,Count,Persons,14795
