id,title,inscription,erected,number_of_subjects,lead_subject_name,lead_subject_born_in,lead_subject_died_in,lead_subject_type,lead_subject_wikipedia,main_photo,address,area_name,area_code,long,lat
43672,Siddall's Bridge bronze plaque,Siddall's Bridge  This bridge was built in 1765 when Washway Road was widened to form part of the Turnpike from Manchester to Altrincham  The bridge takes its name from the Siddall family of nearby Woodhey.  Re-opened following major refurbishment by Councilor A.K. Davies  Chairman of the Technical Services Committee  6th January 1995,1995,1,Siddall's Bridge,NA,NA,place,https://en.wikipedia.org/wiki/Siddall,https://farm5.staticflickr.com/4354/36515637956_e54e6ed115_z.jpg,Washway Road,Trafford,E08000009,-2.34554,53.40791
49294,Manchester South Junction & Altrincham Railway blue plaque,Manchester South Junction & Altrincham Railway opened 20th July 1849  150th Anniversary 1999,NA,1,Manchester South Junction & Altrincham Railway,NA,NA,thing,NA,https://farm1.staticflickr.com/784/40696133705_f5c0d85468_z.jpg,Stamford New Road,Trafford,E08000009,-2.34759,53.38749
50888,Pinfold Brow brushed metal plaque,"Goose Green Conservation Area  Adjacent lay Hale Moss, used extensively for grazing cattle, horses, donkeys, ducks and geese.  A pinfold, cockpit and racecourse were held here with a fair, race meeting, itinerant shows, swing boats and gingerbread stalls.  In the 18th and 19th centuries, this locality was known as Pinfold Brow (now Lloyd Street) and Goose Green.  There was a wheelwright’s shop, and a village blacksmith’s forge.  Wheelwrights, handloom weavers and market gardeners lived locally.  The cottage residents included James Smith, famous for his early Bowdon Downs Potatoes, George Barlow who made shoe blacking and Isaac Garner, a shoemaker who kept fine geese.  In 2016, Goose Green underwent a transformation as part of Trafford Council’s investment in Altrincham’s public realm improvement works.  This included new natural stone sett paving, tree planting and bespoke street furniture.  The scheme was designed by Planit-IE and Civic Engineers, with project management by the LK Group on behalf of Trafford Council",NA,1,Pinfold Brow,NA,NA,place,NA,https://farm8.staticflickr.com/7816/45863724914_e94f75e96c_z.jpg,Goose Green,Trafford,E08000009,-2.3503,53.38533999999999
51760,William Speakman plaque,William Speakman VC,2019,1,William Speakman,1927,2018,man,NA,NA,Altrincham Transport Interchange,Trafford,E08000009,-2.3482200000000004,53.38753
55031,George Rodger blue plaque,George Rodger (photojournalist),NA,1,George Rodger,NA,NA,man,https://en.wikipedia.org/wiki/George_Rodger,NA,"145 Hale Road, Hale",Trafford,E08000009,-2.33882,53.37994
42468,"Rotary Club, Alrincham blue plaque",The Inaugural Meeting of the Rotary Club of Altrincham Held Here 29 October 1929,NA,1,"Rotary Club, Alrincham",NA,NA,group,NA,https://farm1.staticflickr.com/741/33085714786_8fc3b08e34_z.jpg,The Firs,Trafford,E08000009,-2.36321,53.37931999999999
39401,Edward Kinder Bradbury blue plaque,"Captain Edward Kinder Bradbury  1881-1914  Born at Church Bank, Bowdon  Awarded the Victoria Cross for bravery  in the First World War 1914-1918  September 1st 1914, Nery, France",NA,1,Edward Kinder Bradbury,1881,1914,man,https://en.wikipedia.org/wiki/Edward_Kinder_Bradbury,https://farm9.staticflickr.com/8754/17263422776_242bcda753_z.jpg,Langham Road,Trafford,E08000009,-2.36289,53.375859999999996
49445,John Ireland plaque,"Inglewood birthplace of Dr John Ireland English composer born 13th August 1879, died 12th June 1962",NA,1,John Ireland,1879,1962,man,https://en.wikipedia.org/wiki/John_Ireland_(composer),NA,"Inglewood, St Margarets Road",Trafford,E08000009,-2.36214,53.384319999999995
8458,Alison Uttley blue plaque,here lived 1924-1938 ALISON UTTLEY author,NA,1,Alison Uttley,1884,1976,woman,https://en.wikipedia.org/wiki/Alison_Uttley,https://farm6.staticflickr.com/5278/13964178279_86080967c8_z.jpg,13 Higher Downs,Trafford,E08000009,-2.35858,53.38195999999999
42797,White plaque № 42797,This school was erected in 1759 for the benefit of the township of Dunham Massey according to the will of Thomas Walton Gent.,NA,0,NA,NA,NA,NA,NA,https://s0.geograph.org.uk/geophotos/02/76/55/2765569_dcf1c74d.jpg,School Lane,Trafford,E08000009,-2.39255,53.389450000000004
30783,John Rylands and Enriqueta Rylands blue plaque,John Rylands (1801-1888) Businessman and philanthropist of Longford Hall and his wife Enriqueta1843-1908 who founded the John Rylands Library in his memory.,NA,2,John Rylands,1801,1888,man,https://en.wikipedia.org/wiki/John_Rylands,NA,"Edge Lane, Longford Park, Stretford",Trafford,E08000009,-2.2919400000000003,53.44649999999999
31800,Mary Whittaker bronze plaque,"This car belonged to Mrs Mary Whittaker, the Mother of the Chairman and Founder of Peel Holdings plc and The Trafford Centre.  It is installed at the Trafford Centre as a lasting tribute for all her support, inspiration and guidance.  10th September 1998",NA,1,Mary Whittaker,NA,NA,woman,NA,https://farm4.staticflickr.com/3953/15549803055_c3b56f3cdb_z.jpg,Trafford Centre,Trafford,E08000009,-2.3474500000000003,53.46558
44739,Tom Curry blue plaque,Tom Curry 1894-1958 Manchester United Trainer lived here  He was one of three members of staff who lost their lives in the Munich Air Disaster,2018,1,Tom Curry,1894,1958,man,https://en.wikipedia.org/wiki/Tom_Curry_(footballer),https://farm5.staticflickr.com/4624/39745221134_0d88cd1121_z.jpg,"1 Bedford Street, opposite St Teresa’s School in Firswood",Trafford,E08000009,-2.2826600000000004,53.45128
49405,Isobel Baillie black plaque,Dame Isobel Baillie 1895-1983   Born at Hawick and educated at Manchester High School  This internationally famous soprano sang with the Halle Orchestra and lived here 1938-81,1991,1,Isobel Baillie,1895,1983,woman,https://en.wikipedia.org/wiki/Isobel_Baillie,https://farm1.staticflickr.com/830/42205004762_7661bbcd27_z.jpg,524 Stretford Road,Trafford,E08000009,-2.26657,53.46414
49734,Aneurin Bevan and National Health Service blue plaque,"Trafford General Hospital  Birthplace of the NHS.  Commemorating the visit of  Aneurin Bevan, Minister of Health,  on 5th July 1948  to launch the  the National Health Service",2018,2,Aneurin Bevan,1897,1960,man,https://en.wikipedia.org/wiki/Aneurin_Bevan,https://farm66.staticflickr.com/65535/50293803582_8c89ab5691_z.jpg,Trafford Hospital,Trafford,E08000009,-2.37073,53.453819999999986
51371,James Bent blue plaque,Superintendent James Bent Policeman 1828-1901. Superintendent James Bent established a soup kitchen in this vicinity in 1878 feeding thousands of people and potentially saving them from starvation.,2010,1,James Bent,1828,1901,man,NA,NA,"530 Stretford Road, Old Trafford",Trafford,E08000009,-2.26683,53.46399999999999
7460,Duncan Edwards blue plaque,"Duncan Edwards  (1936-1958)  Manchester United and England footballer lived here.  He was one of the eight ""Busby Babes"" who lost their lives in the Munich Air Disaster.",2011,1,Duncan Edwards,1936,1958,man,https://en.wikipedia.org/wiki/Duncan_Edwards,https://farm8.staticflickr.com/7306/9501475539_3c8f65ae94_z.jpg,"19 Gorse Avenue, Gorse Hill, Stretford",Trafford,E08000009,-2.2911599999999996,53.45415
7461,Tommy Taylor blue plaque,"Tommy Taylor (1932-1958) Manchester United and England football player lived at this address. He was one of the eight ""Busby Babes"" who lost their lives in the Munich Air Disaster.",2011,1,Tommy Taylor,1932,1958,man,https://en.wikipedia.org/wiki/Tommy_Taylor,https://farm4.staticflickr.com/3829/9501503413_7f4d0689d6_z.jpg,"22 Great Stone Road, Stretford",Trafford,E08000009,-2.2904700000000005,53.45550999999999
7896,Dodie Smith blue plaque,"Dodie Smith  1896 - 1990  Author of  ""One Hundred and One Dalmations""  Once lived here as a child.  It was so quiet and semi-rural   that the corncrake could still be heard",NA,1,Dodie Smith,1895,1990,woman,https://en.wikipedia.org/wiki/Dodie_Smith,https://farm3.staticflickr.com/2835/9501537633_c1fb1d619f_z.jpg,"609 Stretford Road, Old Trafford",Trafford,E08000009,-2.27458,53.46247
32928,James Prescott Joule brass plaque,To the glory of god and in memory of James Prescott Joule who used this pew he was eminent as a scientific investigator. Born 1818 at Salford died 1889 at Sale,NA,1,James Prescott Joule,1818,1889,man,https://en.wikipedia.org/wiki/James_Prescott_Joule,https://commons.wikimedia.org/wiki/Special:FilePath/James_Prescott_Joule_plaque.png?width=640,"St. Paul's Parish Church, Springfield Road",Trafford,E08000009,-2.32204,53.42261
32929,James Prescott Joule brass plaque,"To the memory of James Prescott Joule LLD FRS, etc.. A resident of Sale, who demonstrated the true nature of heat, and measured its mechanical equivalent, and by proving that “chemical, electrical and mechanical forces are mutually convertible one into another without loss”. Established the universal law of the conservation of energy, this tablet was erected by his fellow-townsmen. 28th october 1905.",1905,1,James Prescott Joule,1818,1889,man,https://en.wikipedia.org/wiki/James_Prescott_Joule,https://farm1.staticflickr.com/748/21928796701_54f5905020_z.jpg,"Town Hall, School Road",Trafford,E08000009,-2.3197,53.42502
32931,Robert Bolt blue plaque,"Robert Bolt  (1924–1995)  playwright and screenwriter  author of  ""A Man For All Seasons""  was born in this house  15 August 1924",2000,1,Robert Bolt,1924,1995,man,https://en.wikipedia.org/wiki/Robert_Bolt,https://commons.wikimedia.org/wiki/Special:FilePath/Robert_Bolt_plaque.JPG?width=640,13 Northenden Road,Trafford,E08000009,-2.31765,53.424249999999994
39900,Bronze plaque № 39900,Here stood the parish church of All Saints Stretford Consecrated 1885 Destroyed by enemy action 1940,NA,0,NA,NA,NA,NA,NA,"https://commons.wikimedia.org/wiki/Special:FilePath/All_Saints_Plaque,_Lester_Street.jpg?width=640",Lester Street,Trafford,E08000009,-2.30707,53.44741
55007,Benny Rothman blue plaque,"Bernard 'Benny' Rothman (1911-1997)  Environmental and Access Campaigner Lived here 1939-1997  Leader of the 'Mass Trespass' on Kinder Scout, Derbyshire in 1932 which contributed to 'Right to Roam' legislation (Countryside and Rights of Way Act 2000)  Kinder 80 Trespass to Treasure 2012",NA,1,Benny Rothman,1911,2002,man,https://en.wikipedia.org/wiki/Benny_Rothman,https://farm66.staticflickr.com/65535/51141305892_dec01b860b_z.jpg,86 Crofton Avenue,Trafford,E08000009,-2.32398,53.40477
40248,Ford Motor Company blue plaque,"Ford Motor Company Limited Trafford Park  During the Second World War 1939-1945  34,000 Merlin aero-engines were constructed  A major contribution to the victory in the Battle of Britain",2015,1,Ford Motor Company,NA,NA,group,https://en.wikipedia.org/wiki/Ford_Motor_Company,https://farm6.staticflickr.com/5711/21673007776_2b22f718ac_z.jpg,Trafford Centre (Barton Square link),Trafford,E08000009,-2.34555,53.464980000000004
40249,Ford Motor Company bronze plaque,"The Ford Motor Company was opened in Trafford Park in October 1911 to assemble Model T cars and trucks and was the first outside America and Canada; over 300,000 vehicles were built before operations were transferred to Dagenham Essex in 1931.  The Second World War (1939-1945) resulted in Ford returning to Trafford Park to produce the Rolls Royce Merlin aero-engine under licence which was used in the Spitfire and the Lancaster.  The new factory on Barton Dock Road was located close to the original Ford site and on completion the factory buildings spanned over 44 acres.  By June 1941 the company was producing 400 engines a month; by 1943 the figure had risen to 900.  The Merlin engine was described by the Royal Air Force as a ""Wizard' engine.",2015,1,Ford Motor Company,NA,NA,group,https://en.wikipedia.org/wiki/Ford_Motor_Company,https://farm6.staticflickr.com/5781/21078849963_0ea6b70e88_z.jpg,Trafford Centre (Barton Square link),Trafford,E08000009,-2.34555,53.464980000000004
54170,Thomas Bosdin Leech blue plaque,Thomas (Bosdin) Leech 1836-1912  Lived in Urmston Cottage formerly on this site  Director of Finance Manchester Ship Canal  Cotton Merchant  Advisor on land and overseas transport to the government  Knighted by Queen Victoria 1894,NA,1,Thomas Bosdin Leech,1836,1912,man,NA,https://farm66.staticflickr.com/65535/50293250053_b8f76524ce_z.jpg,10-12 Humphrey Lane,Trafford,E08000009,-2.3318499999999998,53.44681
