area_code,area_name,geography,period,indicator,student_status,measure,unit,value
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2191
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7246
E05000825,Clifford,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,3276
E05000825,Clifford,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,9235
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1645
E05000826,Davyhulme East,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7405
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1821
E05000827,Davyhulme West,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7803
E05000828,Flixton,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1768
E05000828,Flixton,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,8450
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2551
E05000829,Gorse Hill,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,8848
E05000830,Hale Barns,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2237
E05000830,Hale Barns,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7385
E05000831,Hale Central,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2173
E05000831,Hale Central,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7623
E05000832,Longford,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2827
E05000832,Longford,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,9313
E05000833,Priory,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2009
E05000833,Priory,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,8444
E05000835,Sale Moor,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2124
E05000835,Sale Moor,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7851
E05000834,St Mary's,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2467
E05000834,St Mary's,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,8718
E05000836,Stretford,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2350
E05000836,Stretford,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,8450
E05000837,Timperley,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2302
E05000837,Timperley,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,8435
E05000838,Urmston,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,1837
E05000838,Urmston,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,8756
E05000839,Village,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Student,Count,Persons,2234
E05000839,Village,Electoral ward,2021-03-21,"Whether a person aged 5 years and over was in full-time education on Census Day, 21 March 2021. This includes schoolchildren and adults in full-time education. Schoolchildren and students in full-time education studying away from home are treated as usually resident at their term-time address",Not a student,Count,Persons,7781
