name,type,address,postcode,area_name,long,lat
John's Chippy,Takeaway/sandwich shop," 239 Highfield Road, Farnworth, Bolton",BL4 0NX,Bolton,-2.427797,53.546639
KFC,Takeaway/sandwich shop,"Unit 1, Waters Meeting Road, Bolton",BL1 8TT,Bolton,-2.429278,53.596006
Koon Yum,Takeaway/sandwich shop," 121A High Street, Little Lever, Bolton",BL3 1LX,Bolton,-2.368086,53.561372
LJ's Sandwich Bar,Takeaway/sandwich shop,"Unit 52 Evans Business Centre, Manchester Road, Bolton",BL3 2NZ,Bolton,-2.410134,53.563185
Marleys,Takeaway/sandwich shop," 51 Newport Street, Bolton",BL1 1NE,Bolton,-2.428906,53.577159
Mash's Wing Ranch,Takeaway/sandwich shop," 24 St Helens Road, Bolton",BL3 3NH,Bolton,-2.446547,53.565778
Mega Butts,Takeaway/sandwich shop," 137 High Street, Little Lever, Bolton",BL3 1LX,Bolton,-2.368086,53.561372
Milano,Takeaway/sandwich shop," 220 Chorley New Road, Horwich, Bolton",BL6 5NP,Bolton,-2.545737,53.594489
Mr Chips,Takeaway/sandwich shop," 14 Winter Hey Lane, Horwich, Bolton",BL6 7AA,Bolton,-2.546811,53.599221
New Bury Chippy,Takeaway/sandwich shop," 44 George Street, Farnworth, Bolton",BL4 9RJ,Bolton,-2.412081,53.544519
On A Roll,Takeaway/sandwich shop," 212 Tonge Moor Road, Bolton",BL2 2HN,Bolton,-2.412159,53.589775
One Stop Food Stop,Takeaway/sandwich shop," Round Hill Way, Bolton",BL1 2SL,Bolton,-2.424948,53.586072
Papa John's,Takeaway/sandwich shop,"Unit 1 The Picture House, 101 Bradshawgate, Bolton",BL1 1QD,Bolton,-2.425538,53.577207
Paul's Chippy,Takeaway/sandwich shop," 348 Bury Road, Bolton",BL2 6DD,Bolton,-2.402598,53.580442
Pizza Del Mondo,Takeaway/sandwich shop," 465a Blackburn Road, Bolton",BL1 8NN,Bolton,-2.433162,53.598968
Pizza Hut,Takeaway/sandwich shop,"Unit 8 Marsden House, Marsden Road, Bolton",BL1 2JT,Bolton,-2.434348,53.579081
Quality Fish Bar,Takeaway/sandwich shop," 817 Chorley Old Road, Bolton",BL1 5SL,Bolton,-2.476536,53.590246
R&K Catering Ltd,Takeaway/sandwich shop,"Unit 11 Moses Gate Workshops, Gladys Street, Bolton",BL3 2QB,Bolton,-2.40027594566345,53.5568923950195
Red Spice,Takeaway/sandwich shop," 318 Crompton Way, Bolton",BL2 2NE,Bolton,-2.407013,53.591923
Reel Fish and Chips,Takeaway/sandwich shop," 379 Deane Road, Bolton",BL3 5HL,Bolton,-2.450637,53.571273
Roastbusters,Takeaway/sandwich shop," 122 Seymour Road, Bolton",BL1 8PU,Bolton,-2.426355,53.598246
Sandwich Delight,Takeaway/sandwich shop," 81 Market Street, Westhoughton, Bolton",BL5 3AA,Bolton,-2.524201,53.548834
Scoopalicious,Takeaway/sandwich shop,"28 Crompton Place, Exchange Street, Bolton",BL1 1EA,Bolton,-2.428255,53.578465
Sea Breeze,Takeaway/sandwich shop," 852 Bury Road, Bolton",BL2 6NY,Bolton,-2.383143,53.580263
Shaam Pizza Place,Takeaway/sandwich shop," 2 Lowther Street, Bolton",BL3 2HP,Bolton,-2.418017,53.560354
Shah's Pizza & Kebab House,Takeaway/sandwich shop," 41 Higher Bridge Street, Bolton",BL1 2HE,Bolton,-2.429193,53.583117
Skewers,Takeaway/sandwich shop," 390 Derby Street, Bolton",BL3 6LS,Bolton,-2.444624,53.566675
Sou's Fish and Chips,Takeaway/sandwich shop," 359 Wigan Road, Bolton",BL3 5QU,Bolton,-2.463536,53.567493
Su's Fish and Chips,Takeaway/sandwich shop," 66 Belmont Road, Bolton",BL1 7AG,Bolton,-2.433595,53.602894
Subway,Takeaway/sandwich shop,"Mercury Filling Station, Manchester Road, Westhoughton, Bolton",BL5 3JP,Bolton,-2.502002,53.551545
Subway,Takeaway/sandwich shop," 46a Newport Street, Bolton",BL1 1NB,Bolton,-2.429781,53.57703
Subway,Takeaway/sandwich shop,"Unit 4c Burnden Park, Manchester Road, Bolton",BL3 2NE,Bolton,-2.415735,53.569332
Subway,Takeaway/sandwich shop,"Kiosk 2 unit 10 Crompton Place, Exchange Street, Bolton",BL1 1EA,Bolton,-2.428254,53.578464
Sue's Chippy,Takeaway/sandwich shop," 191 Rishton Lane, Bolton",BL3 2BN,Bolton,-2.428036,53.562817
SugaRush,Takeaway/sandwich shop," 138 Deane Road, Bolton",BL3 5DL,Bolton,-2.44141793251038,53.5734481811523
Taste,Takeaway/sandwich shop," 58 High Street, Bolton",BL3 6SZ,Bolton,-2.439103,53.567172
Tastebuds,Takeaway/sandwich shop," 6-8 Scholey Street, Bolton",BL2 1HD,Bolton,-2.41911,53.570147
Tasters Hot Food Takeaway,Takeaway/sandwich shop," 54 Market Street, Farnworth, Bolton",BL4 7NY,Bolton,-2.395062,53.54978
The Balti Taste,Takeaway/sandwich shop," 89 Market Street, Westhoughton, Bolton",BL5 3AA,Bolton,-2.524201,53.548834
The Chip Shop,Takeaway/sandwich shop," 324 Crompton Way, Bolton",BL2 2NE,Bolton,-2.407013,53.591923
The Chippy,Takeaway/sandwich shop," 21 Market Street, Westhoughton, Bolton",BL5 3AH,Bolton,-2.520816,53.548526
The Horwich Hub,Takeaway/sandwich shop," 85 Winter Hey Lane, Horwich, Bolton",BL6 7AA,Bolton,-2.54681,53.599221
The Mews Sandwich Bar,Takeaway/sandwich shop," 19 Park Hill Street, Bolton",BL1 4AR,Bolton,-2.443446,53.582526
The New Shabna Tandoori,Takeaway/sandwich shop," 44-46 Manchester Road, Kearsley, Bolton",BL4 8NZ,Bolton,-2.373276,53.538651
The Sandwich Specialist,Takeaway/sandwich shop," 7 Winter Hey Lane, Horwich, Bolton",BL6 7AD,Bolton,-2.54707,53.5994
The Thai Food Van,Takeaway/sandwich shop," 143 Paulhan Street, Bolton",BL3 3DT,Bolton,-2.435885,53.561242
Tonge Thai Ltd,Takeaway/sandwich shop," 315 Tonge Moor Road, Bolton",BL2 2JR,Bolton,-2.41239,53.593315
Wingates Chip Shop,Takeaway/sandwich shop," 337 Church Street, Westhoughton, Bolton",BL5 3QE,Bolton,-2.524638,53.559771
201 Sandwich Shop,Takeaway/sandwich shop," 201 Lee Lane, Horwich, Bolton",BL6 7JD,Bolton,-2.55144,53.601941
80/20 Health Bar,Takeaway/sandwich shop," 362 Blackburn Road, Bolton",BL1 8NE,Bolton,-2.431925,53.596311
Aflah Limited at Subway,Takeaway/sandwich shop," 1041 Bury Road, Bolton",BL2 6PY,Bolton,-2.377035,53.579599
Ahmed Poultry Ltd,Takeaway/sandwich shop," 46 Walker Avenue, Bolton",BL3 2DY,Bolton,-2.424332,53.560861
Amigos,Takeaway/sandwich shop," 207 Darwen Road, Bromley Cross, Bolton",BL7 9BS,Bolton,-2.420178,53.615337
Ashy's Original Chippery And Curry House,Takeaway/sandwich shop," 214 Crescent Road, Bolton",BL3 2JU,Bolton,-2.416281,53.561915
Bangla Kitchen,Takeaway/sandwich shop," 294 Wigan Road, Bolton",BL3 5QT,Bolton,-2.463329,53.56789
Burger Bar,Takeaway/sandwich shop," 157 Chorley New Road, Horwich, Bolton",BL6 5QE,Bolton,-2.550015,53.59811
Canadian Charcoal,Takeaway/sandwich shop," 404 St Helens Road, Bolton",BL3 3RR,Bolton,-2.457924,53.559542
Charlies Fish & Chips,Takeaway/sandwich shop," 149 Bolton Road, Westhoughton, Bolton",BL5 3DY,Bolton,-2.516169,53.552339
Chicco's Pizza,Takeaway/sandwich shop," 87 Lee Lane, Horwich, Bolton",BL6 7AU,Bolton,-2.546907,53.600803
Chicken Rush,Takeaway/sandwich shop," 37 Derby Street, Bolton",BL3 6HE,Bolton,-2.434813,53.572886
Crunchyz Chicken and Pizza,Takeaway/sandwich shop," 216 Deane Road, Bolton",BL3 5DP,Bolton,-2.443981,53.57305
Darley's,Takeaway/sandwich shop," 48 Newbrook Road, Bolton",BL5 1ER,Bolton,-2.470093,53.54603
Dino's,Takeaway/sandwich shop," 16 Higher Market Street, Farnworth, Bolton",BL4 9AJ,Bolton,-2.391906,53.546276
Dixy Chicken,Takeaway/sandwich shop," 104 Newport Street, Bolton",BL3 6AB,Bolton,-2.428232,53.574771
Domino's Pizza,Takeaway/sandwich shop," Pavilion Square, Westhoughton, Bolton",BL5 3AJ,Bolton,-2.523092,53.548246
Dragon View,Takeaway/sandwich shop," 9 Moffat Close, Bolton",BL2 6UA,Bolton,-2.382045,53.575808
Dubai Shawarma,Takeaway/sandwich shop," 341 Derby Street, Bolton",BL3 6LR,Bolton,-2.443326,53.566859
Earthlings,Takeaway/sandwich shop," 221 Darwen Road, Bromley Cross, Bolton",BL7 9BS,Bolton,-2.420178,53.615337
Flounders,Takeaway/sandwich shop," 108 Church Street, Blackrod, Bolton",BL6 5EG,Bolton,-2.584481,53.593722
Fortune Cookie,Takeaway/sandwich shop," 527 Tonge Moor Road, Bolton",BL2 3BG,Bolton,-2.411646,53.596059
Garibaldis Pizza,Takeaway/sandwich shop," 327 Bury Road, Bolton",BL2 6BB,Bolton,-2.40544,53.580711
Gourmet Garden,Takeaway/sandwich shop," 39 Tonge Moor Road, Bolton",BL2 2DH,Bolton,-2.415434,53.586321
Grillicious,Takeaway/sandwich shop," 103 Tonge Moor Road, Bolton",BL2 2DL,Bolton,-2.414175,53.58735
H Chow,Takeaway/sandwich shop," 386 Halliwell Road, Bolton",BL1 8AP,Bolton,-2.44116,53.593653
Happy Family,Takeaway/sandwich shop," 247 Halliwell Road, Bolton",BL1 3NT,Bolton,-2.436897,53.591961
Happy House,Takeaway/sandwich shop," 659 Bury Road, Bolton",BL2 6HR,Bolton,-2.391081,53.581217
Holts Riverside Fish & Chips,Takeaway/sandwich shop," 71-73 Market Street, Stoneclough Radcliffe, Bolton",M26 9HF,Bolton,-2.335237,53.560821
Iqbal's Takeaway,Takeaway/sandwich shop," 135 Halliwell Road, Bolton",BL1 3NF,Bolton,-2.433724,53.590481
JK's Caf,Takeaway/sandwich shop," 257 Tonge Moor Road, Bolton",BL2 2JG,Bolton,-2.412736,53.591642
Julies Butty Box,Takeaway/sandwich shop,"Absolute Concrete Limited, James Street, Westhoughton, Bolton",BL5 3QR,Bolton,-2.5263634,53.5564912
K2 Chippy Ltd,Takeaway/sandwich shop," 166 Halliwell Road, Bolton",BL1 3QN,Bolton,-2.434185,53.59118
La Jawaab Pizza and Delibar,Takeaway/sandwich shop," 285 Lever Street, Bolton",BL3 6PD,Bolton,-2.43166995048523,53.5667839050293
LA Pizza,Takeaway/sandwich shop," 320 Crompton Way, Bolton",BL2 2NE,Bolton,-2.407013,53.591923
Little Italy,Takeaway/sandwich shop," 526 Blackburn Road, Bolton",BL1 8NW,Bolton,-2.43254,53.600237
Little Lantern,Takeaway/sandwich shop," 80 Bury New Road, Bolton",BL2 2BG,Bolton,-2.417811,53.579194
Lucky Star,Takeaway/sandwich shop," 262 Deane Road, Bolton",BL3 5HP,Bolton,-2.446363,53.572735
M T Bellys,Takeaway/sandwich shop," 299 Blackburn Road, Bolton",BL1 8HB,Bolton,-2.431718,53.593724
Man Yuen,Takeaway/sandwich shop," 1088 Bury Road, Bolton",BL2 6QA,Bolton,-2.375761,53.579037
Mandy's Pantry,Takeaway/sandwich shop," Eagle Street, Bolton",BL2 2BU,Bolton,-2.419492,53.579682
Micks Chippy,Takeaway/sandwich shop," 10 Furze Avenue, Westhoughton, Bolton",BL5 2NW,Bolton,-2.519458,53.542338
Mr T's Chippy,Takeaway/sandwich shop," 498 Bridgeman Street, Bolton",BL3 6TJ,Bolton,-2.441395,53.565474
Naz Balti,Takeaway/sandwich shop," 131-133 Deane Road, Bolton",BL3 5AG,Bolton,-2.440495,53.573306
New World,Takeaway/sandwich shop," 115 Church Avenue, Bolton",BL3 4AW,Bolton,-2.449652,53.56671
Night Bar,Takeaway/sandwich shop," 75 Lee Lane, Horwich, Bolton",BL6 7AU,Bolton,-2.546907,53.600803
ONL Chinese Takeaway,Takeaway/sandwich shop," 251 Lee Lane, Horwich, Bolton",BL6 7JL,Bolton,-2.554152,53.602459
Pit Stop (Kebabs & Pizzas),Takeaway/sandwich shop," 46 Newbrook Road, Bolton",BL5 1ER,Bolton,-2.470093,53.54603
Pizza & Kebab House,Takeaway/sandwich shop," 499 Tonge Moor Road, Bolton",BL2 3BG,Bolton,-2.411646,53.596059
Pizza Corn Ltd,Takeaway/sandwich shop," 86-88 Higher Market Street, Farnworth, Bolton",BL4 9BB,Bolton,-2.391203,53.545335
Rigby Chip Shop,Takeaway/sandwich shop," 224 Deane Church Lane, Bolton",BL3 4EW,Bolton,-2.459603,53.56536
S&Q Ltd t/a Allens Fried Chicken,Takeaway/sandwich shop," 300 Chorley Old Road, Bolton",BL1 4JU,Bolton,-2.453405,53.587298
Sean's Sandwich Shop,Takeaway/sandwich shop," 298a Leigh Road, Westhoughton, Bolton",BL5 2JZ,Bolton,-2.516484,53.541092
Shah's,Takeaway/sandwich shop," 17-19 Bradshawgate, Bolton",BL1 1EL,Bolton,-2.426524,53.579055
Skylark,Takeaway/sandwich shop," 247 Blackburn Road, Egerton, Bolton",BL7 9SN,Bolton,-2.441708,53.63018
SSQ Chippy LTD,Takeaway/sandwich shop," 38 Higher Swan Lane, Bolton",BL3 3AJ,Bolton,-2.441296,53.561735
Steak House Co,Takeaway/sandwich shop," 337 Halliwell Road, Bolton",BL1 8DF,Bolton,-2.441505,53.593445
Steak House Grill,Takeaway/sandwich shop," 128 Derby Street, Bolton",BL3 6HG,Bolton,-2.436961,53.571818
Sweet Retreat,Takeaway/sandwich shop," 294 Derby Street, Bolton",BL3 6LF,Bolton,-2.442747,53.567707
The Grill,Takeaway/sandwich shop," 70 Bradshawgate, Bolton",BL1 1QQ,Bolton,-2.4264760017395,53.5773468017578
The King Balti,Takeaway/sandwich shop," 230 St Helens Road, Bolton",BL3 4EB,Bolton,-2.453906,53.562119
The Spice Island,Takeaway/sandwich shop," 87 Tonge Moor Road, Bolton",BL2 2DL,Bolton,-2.414175,53.58735
The Village Chippy,Takeaway/sandwich shop," 205 Darwen Road, Bromley Cross, Bolton",BL7 9BS,Bolton,-2.420178,53.615337
Victoria Sandwich,Takeaway/sandwich shop," 67 Lee Lane, Horwich, Bolton",BL6 7AU,Bolton,-2.546907,53.600803
Village Chippy,Takeaway/sandwich shop," 36 Market Street, Little Lever, Bolton",BL3 1HN,Bolton,-2.370447,53.561958
Wing Sing Fish & Chip Shop,Takeaway/sandwich shop," 109 Church Street, Westhoughton, Bolton",BL5 3RZ,Bolton,-2.524429,53.551449
Wong's Takeaway Limited,Takeaway/sandwich shop," 127 Wigan Road, Westhoughton, Bolton",BL5 3RH,Bolton,-2.527812,53.545511
Yang's Fish & Chips,Takeaway/sandwich shop," 340 St Helens Road, Bolton",BL3 3RP,Bolton,-2.456243,53.560483
YK LTD T/A Hong Hu,Takeaway/sandwich shop," 88-90 Winter Hey Lane, Horwich, Bolton",BL6 7NZ,Bolton,-2.54864001274109,53.5981521606445
Yummies,Takeaway/sandwich shop," 321 Bury Road, Bolton",BL2 6BB,Bolton,-2.40544,53.580711
24 Karat Chippy & Grill Ltd,Takeaway/sandwich shop," 1 Wigan Road, Bolton",BL3 5PX,Bolton,-2.452364,53.570502
Al'a Pizza and Roosters,Takeaway/sandwich shop," 352 Deane Road, Bolton",BL3 5HJ,Bolton,-2.45076,53.571515
Alison's Restaurant: takeaway,Takeaway/sandwich shop," 14-16 Market Street, Bolton",BL1 1BU,Bolton,-2.4292140007019,53.5792083740234
Allens Fried Chicken,Takeaway/sandwich shop," 90-92 Bradshawgate, Bolton",BL1 1QQ,Bolton,-2.426476,53.577348
Allens Fried Chicken,Takeaway/sandwich shop," 55 Market Street, Farnworth, Bolton",BL4 7NS,Bolton,-2.394504,53.5498
Bambu,Takeaway/sandwich shop," 119a Deansgate, Bolton",BL1 1HA,Bolton,-2.432292,53.578972
Bolton Halwa Centre,Takeaway/sandwich shop," 14 Fletcher Street, Bolton",BL3 6NF,Bolton,-2.434926,53.572149
Century City,Takeaway/sandwich shop," 306 Chorley New Road, Horwich, Bolton",BL6 5PS,Bolton,-2.541659,53.592225
Charcoal Pit,Takeaway/sandwich shop," 136 St Helens Road, Bolton",BL3 3PJ,Bolton,-2.449386,53.564383
Chic Chic Chicken Ltd,Takeaway/sandwich shop," 85 Queensgate, Bolton",BL1 4EA,Bolton,-2.454498,53.582143
Chicago's Pizza,Takeaway/sandwich shop," 119 Tonge Moor Road, Bolton",BL2 2DL,Bolton,-2.414175,53.58735
Chinese Chef,Takeaway/sandwich shop," 331 Bury Road, Bolton",BL2 6BB,Bolton,-2.40544,53.580711
Chunkeys,Takeaway/sandwich shop," 321 Derby Street, Bolton",BL3 6LH,Bolton,-2.442503,53.567447
Cowans,Takeaway/sandwich shop," 231 Highfield Road, Farnworth, Bolton",BL4 0NX,Bolton,-2.427797,53.546639
Curry Korner,Takeaway/sandwich shop," 306 Chorley Old Road, Bolton",BL1 4JU,Bolton,-2.453405,53.587298
Curry Master,Takeaway/sandwich shop," 505 Chorley Old Road, Bolton",BL1 6AE,Bolton,-2.461516,53.588588
Delight,Takeaway/sandwich shop," 214 Chorley New Road, Horwich, Bolton",BL6 5NP,Bolton,-2.545737,53.594489
Dell's Diner,Takeaway/sandwich shop," 4B Higher Market Street, Farnworth, Bolton",BL4 9AJ,Bolton,-2.391906,53.546276
Donner 24,Takeaway/sandwich shop," 2 Thicketford Road, Bolton",BL2 2LP,Bolton,-2.41201,53.588382
Fratelli,Takeaway/sandwich shop," 19 Market Street, Little Lever, Bolton",BL3 1HH,Bolton,-2.371549,53.562008
Goa Balti Spice,Takeaway/sandwich shop," 168 Chorley New Road, Horwich, Bolton",BL6 5QW,Bolton,-2.550649,53.598071
Gonzales,Takeaway/sandwich shop," 48 Albert Road, Farnworth, Bolton",BL4 7BB,Bolton,-2.40133,53.548582
Grace and Flavour,Takeaway/sandwich shop," 627 Tonge Moor Road, Bolton",BL2 3BW,Bolton,-2.409553,53.59994
Hotbite,Takeaway/sandwich shop," 331 Wigan Road, Bolton",BL3 5QU,Bolton,-2.463536,53.567493
Hulton Fish Bar,Takeaway/sandwich shop," 412 Hulton Lane, Bolton",BL3 4LJ,Bolton,-2.465205,53.557177
Hungry2nite,Takeaway/sandwich shop," 94 Market Street, Farnworth, Bolton",BL4 7NY,Bolton,-2.395062,53.54978
Jenny's House,Takeaway/sandwich shop," 503 Tonge Moor Road, Bolton",BL2 3BG,Bolton,-2.411646,53.596059
Jon's Fishbar,Takeaway/sandwich shop," 1 Mason Street, Horwich, Bolton",BL6 5QP,Bolton,-2.551982,53.597157
K2 Morris Green Chippy,Takeaway/sandwich shop,"K2 Morris Green Chippy, 33-33a Morris Green Lane, Bolton",BL3 3JD,Bolton,-2.452588,53.560371
Kabana,Takeaway/sandwich shop,"Bolton Market Stall F2, Ashburner Street, Bolton",BL1 1TQ,Bolton,-2.432569,53.576498
Kebabish Chippy,Takeaway/sandwich shop," 141 Eskrick Street, Bolton",BL1 3JB,Bolton,-2.443693,53.591675
Ku's Special,Takeaway/sandwich shop," 350 Darwen Road, Bromley Cross, Bolton",BL7 9BZ,Bolton,-2.424268,53.617704
Kurdish World's Freshest Tandoori Naan,Takeaway/sandwich shop," 14 St Helens Road, Bolton",BL3 3NH,Bolton,-2.446501,53.565805
Lucianos,Takeaway/sandwich shop,"The Bandstand, The Linkway, Horwich, Bolton",BL6 6JA,Bolton,-2.535325,53.583552
Ming Garden,Takeaway/sandwich shop," 181 St Helens Road, Bolton",BL3 3PS,Bolton,-2.451349,53.563028
Mo's Bakery & Takeaway,Takeaway/sandwich shop," 189 Mornington Road, Bolton",BL1 4EN,Bolton,-2.455902,53.584852
Monkey Express,Takeaway/sandwich shop," 35 Derby Street, Bolton",BL3 6HE,Bolton,-2.434813,53.572886
New Murry Takeaway,Takeaway/sandwich shop," 111 Higher Bridge Street, Bolton",BL1 2HJ,Bolton,-2.429898,53.585578
Nkono,Takeaway/sandwich shop,"Stall F3 Ashburner Street Market, Ashburner Street, Bolton",BL1 1TQ,Bolton,-2.432569,53.576498
Oriental Kitchen,Takeaway/sandwich shop," 144 Blackburn Road, Bolton",BL1 8DR,Bolton,-2.430589,53.591139
Over Hulton Tandoori,Takeaway/sandwich shop," 54 Newbrook Road, Bolton",BL5 1ER,Bolton,-2.470093,53.54603
Papasams,Takeaway/sandwich shop," 142 Bradshawgate, Bolton",BL2 1BA,Bolton,-2.425358,53.575805
Pasha,Takeaway/sandwich shop," 30 Winter Hey Lane, Horwich, Bolton",BL6 7AA,Bolton,-2.546811,53.599221
Paz,Takeaway/sandwich shop," 57 Newport Street, Bolton",BL1 1NE,Bolton,-2.428906,53.577159
Peony,Takeaway/sandwich shop," 142 Tonge Moor Road, Bolton",BL2 2DP,Bolton,-2.413766,53.587253
Peri Peri Chicken,Takeaway/sandwich shop," 134 Bradshawgate, Bolton",BL2 1AY,Bolton,-2.425756,53.576344
Pizza and Kebab House,Takeaway/sandwich shop," 349 Halliwell Road, Bolton",BL1 8DF,Bolton,-2.441505,53.593445
Pizza Bravo,Takeaway/sandwich shop," 824 Bury Road, Bolton",BL2 6PA,Bolton,-2.385669,53.580686
Pizza Plus,Takeaway/sandwich shop," 418 Hulton Lane, Bolton",BL3 4LJ,Bolton,-2.465205,53.557177
Quality Sandwich Bar,Takeaway/sandwich shop," 617 Chorley Old Road, Bolton",BL1 6BL,Bolton,-2.465739,53.587915
R K Vegetarian Dining,Takeaway/sandwich shop,"Dhokia Place, St Helens Road, Bolton",BL3 4EB,Bolton,-2.453905,53.562119
Raja Pizza Bar,Takeaway/sandwich shop," 40 St Helens Road, Bolton",BL3 3NH,Bolton,-2.446547,53.565778
Rancheros One,Takeaway/sandwich shop," 53 Market Street, Farnworth, Bolton",BL4 7NS,Bolton,-2.394504,53.5498
Riahan Indian Tandoori,Takeaway/sandwich shop," 220 Albert Road, Farnworth, Bolton",BL4 9JB,Bolton,-2.399998,53.543463
Rice 'n Three,Takeaway/sandwich shop," 152 Deane Road, Bolton",BL3 5DL,Bolton,-2.441629,53.573401
River Star,Takeaway/sandwich shop," 257 Hindley Road, Westhoughton, Bolton",BL5 2DY,Bolton,-2.528269,53.53252
Sanshan,Takeaway/sandwich shop," 278 Chorley Old Road, Bolton",BL1 4JE,Bolton,-2.451237,53.586542
Select a Sandwich,Takeaway/sandwich shop," 67 Lever Street, Bolton",BL3 2AB,Bolton,-2.424478,53.569319
Shimas Rice n Oodles,Takeaway/sandwich shop,"Unit Of1 Ashburner Street Market, Ashburner Street, Bolton",BL1 1TQ,Bolton,-2.432569,53.576498
Sicilia Mia,Takeaway/sandwich shop," 174 Chorley Old Road, Bolton",BL1 3BA,Bolton,-2.447443,53.584893
Snax 2 Go,Takeaway/sandwich shop," 318 Chorley New Road, Horwich, Bolton",BL6 5PS,Bolton,-2.541659,53.592225
Spice India,Takeaway/sandwich shop," 138 St Helens Road, Bolton",BL3 3PJ,Bolton,-2.449386,53.564383
Square Slice,Takeaway/sandwich shop," 22a Winter Hey Lane, Horwich, Bolton",BL6 7AA,Bolton,-2.54681,53.599221
Subway,Takeaway/sandwich shop," 97-99 Derby Street, Bolton",BL3 6HH,Bolton,-2.436296,53.571722
