area_code,area_name,geography,period,indicator,ethnic_diversity,measure,unit,value
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,26
E01006111,Trafford 001C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,42
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,214
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,369
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,33
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,41
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,44
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,252
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,400
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,15
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,62
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,57
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,400
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,233
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,15
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,73
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,32
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,367
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,306
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,26
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,42
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,38
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,129
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,371
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,7
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,26
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,4
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,110
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,461
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,8
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,49
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,12
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,249
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,366
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,11
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,36
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,9
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,116
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,436
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,10
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,66
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,5
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,136
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,411
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,14
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,31
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,4
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,154
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,382
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,24
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,67
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,18
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,345
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,446
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,29
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,84
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,42
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,376
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,577
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,44
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,105
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,41
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,250
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,486
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,56
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,111
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,28
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,78
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,294
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,16
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,48
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,37
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,158
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,294
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,23
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,60
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,31
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,212
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,282
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,13
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,54
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,32
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,249
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,415
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,36
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,62
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,44
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,147
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,377
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,26
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,75
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,19
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,200
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,497
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,5
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,33
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,9
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,143
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,467
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,4
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,29
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,8
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,148
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,414
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,7
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,38
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,3
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,215
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,506
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,9
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,54
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,0
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,178
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,392
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,5
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,40
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,8
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,170
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,472
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,7
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,50
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,14
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,152
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,403
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,13
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,72
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,18
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,182
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,431
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,22
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,48
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,23
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,120
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,388
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,19
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,40
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,18
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,147
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,376
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,21
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,78
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,12
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,138
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,423
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,13
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,27
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,7
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,236
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,452
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,16
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,31
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,13
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,132
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,454
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,6
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,26
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,1
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,210
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,469
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,10
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,46
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,6
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,234
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,386
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,6
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,40
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,8
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,215
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,397
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,23
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,49
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Any other combination of multiple ethnic identities,Count,Households,14
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,One-person household,Count,Households,287
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,All household members have the same ethnic group,Count,Households,422
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ between generations but not within partnerships,Count,Households,21
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Diversity in ethnic group of household members in different relationships,Ethnic groups differ within partnerships,Count,Households,44
