name,points,connection_type,kW,cost,address,postcode,operator,website,email,updated,area_code,area_name,lon,lat
Novotel Manchester West Hotel,1,CHAdeMO,50,£0.108/kWh; for Polar Plus subscription members only,"Worsley Brow, Manchester",M28 2YA,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2019-07-02T04:29:00Z,E08000006,Salford,-2.386566811108537,53.50110276152495
Novotel Manchester West Hotel,1,"Mennekes (Type 2, Tethered Connector)",43,£0.108/kWh; for Polar Plus subscription members only,"Worsley Brow, Manchester",M28 2YA,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2019-07-02T04:29:00Z,E08000006,Salford,-2.386566811108537,53.50110276152495
University of Salford,1,Mennekes (Type 2),7,Free,"Maxwell Building, Manchester",M5 4WT,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2018-03-22T06:47:00Z,E08000006,Salford,-2.271113,53.485066
Bunzl Retail Supplies,2,Mennekes (Type 2),7,Free,"Lamplight Way, Manchester",M27 8UJ,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2018-02-15T06:31:00Z,E08000006,Salford,-2.299044,53.505454
The Lowry Hotel,2,Tesla (Model S onwards),13,NA,"50 Dearmans Place, Manchester, Lancashire",M3 5LH,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T15:23:00Z,E08000006,Salford,-2.250559,53.483121
West Riding Manchester-Hyundai,3,Mennekes (Type 2),7,Free,"301-303 Bury New Road, Manchester",M7 2YN,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-07-19T05:24:00Z,E08000006,Salford,-2.257488,53.500944
Q-Park Deansgate North,4,Mennekes (Type 2),22,NA,"2 Chapel Street, Manchester",M3 7FA,Charge & Drive,https://chargedrive.com/,rami.syvari@fortum.com,2017-07-28T10:26:00Z,E08000006,Salford,-2.2456093981476233,53.48608644493922
PSA Groupe-Peugeot Manchester,2,Mennekes (Type 2),7,Free,"99 Windsor Street, Manchester",M5 4DG,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-07-09T05:34:00Z,E08000006,Salford,-2.279626,53.48052
Franklin Energy. Salford Civic Centre Co-Wheels Car Club,4,CHAdeMO,50,NA,"Chorley Road, Newtown, Greater Manchester, Greater Manchester",M27 5FJ,Charge & Drive (Fortum - NO),http://www.fortum.no/hurtigladere,chargedrive.no@fortum.com,2017-03-02T10:53:00Z,E08000006,Salford,-2.33997555526003,53.51047070722135
Franklin Energy. Salford Civic Centre Co-Wheels Car Club,4,"Mennekes (Type 2, Tethered Connector)",43,NA,"Chorley Road, Newtown, Greater Manchester, Greater Manchester",M27 5FJ,Charge & Drive (Fortum - NO),http://www.fortum.no/hurtigladere,chargedrive.no@fortum.com,2017-03-02T10:53:00Z,E08000006,Salford,-2.33997555526003,53.51047070722135
Franklin Energy. Salford Civic Centre Co-Wheels Car Club,4,CCS (Type 2 Version of Combined Coupler),50,NA,"Chorley Road, Newtown, Greater Manchester, Greater Manchester",M27 5FJ,Charge & Drive (Fortum - NO),http://www.fortum.no/hurtigladere,chargedrive.no@fortum.com,2017-03-02T10:53:00Z,E08000006,Salford,-2.33997555526003,53.51047070722135
The Pie Factory,1,Mennekes (Type 2),7,Free,"101 Broadway, Salford",M50 2EQ,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-01T05:26:00Z,E08000006,Salford,-2.295515,53.47428
MFG Shell Meadow,1,"Mennekes (Type 2, Tethered Connector)",43,£1.00 + £0.30/kWh,"1041 Bury Road, Bolton",BL2 6PY,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-31T17:44:00Z,E08000001,Bolton,-2.378405,53.579749
MFG Shell Meadow,1,CHAdeMO,50,£1.00 + £0.30/kWh,"1041 Bury Road, Bolton",BL2 6PY,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-31T17:44:00Z,E08000001,Bolton,-2.378405,53.579749
MFG Shell Meadow,1,CCS (Type 2 Version of Combined Coupler),50,£1.00 + £0.30/kWh,"1041 Bury Road, Bolton",BL2 6PY,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-31T17:44:00Z,E08000001,Bolton,-2.378405,53.579749
Horwich Service Station,1,CHAdeMO,50,35p/kWh,"Chorley New Road, Horwich, Bolton",BL6 6DT,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-08-14T16:48:00Z,E08000001,Bolton,-2.539037,53.59154
Horwich Service Station,1,CCS (Type 2 Version of Combined Coupler),50,35p/kWh,"Chorley New Road, Horwich, Bolton",BL6 6DT,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-08-14T16:48:00Z,E08000001,Bolton,-2.539037,53.59154
BCC Bolton-Hyundai,2,Mennekes (Type 2),7,Free,"204 Bury Road, Lancashire",BL2 6AJ,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-06-21T05:36:00Z,E08000001,Bolton,-2.410209,53.579721
The Red Lion,2,Tesla (Model S onwards),22,NA,"81 Ramsbottom Road, Hawkshaw, Bury",BL8 4JS,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T22:32:00Z,E08000002,Bury,-2.370914,53.631076
Moorgate Retail Park,2,Mennekes (Type 2),7,£1.15/hour,"Bury, Greater Manchester",BL9 7AQ,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T12:40:00Z,E08000002,Bury,-2.288748,53.596301
"University of Manchester, Booth Street, Manchester",2,Mennekes (Type 2),7,Free,"University of Manchester, Booth Street, Manchester",M15 6FH,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2019-07-26T05:13:00Z,E08000003,Manchester,-2.2367,53.46539
Big Yellow Self Storage,2,Mennekes (Type 2),7,£0.20/kWh,"New Elm Road, City Centre, Manchester, Greater Manchester",M3 4JH,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-06-09T05:31:00Z,E08000003,Manchester,-2.259225,53.476329
Gorton Services,2,CCS (Type 2 Version of Combined Coupler),50,£0.35/kWh,"522 Hyde Road, Manchester",M18 7AA,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-04-23T14:50:00Z,E08000003,Manchester,-2.178987,53.462535
Gorton Services,2,CHAdeMO,50,£0.35/kWh,"522 Hyde Road, Manchester",M18 7AA,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-04-23T14:50:00Z,E08000003,Manchester,-2.178987,53.462535
"Platt Lane, Sports Complex",2,Mennekes (Type 2),7,Free,"Yew Tree Road, Fallowfield, Manchester",M14 7UU,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2019-03-28T11:50:00Z,E08000003,Manchester,-2.22965,53.44854
MFG Shell Didsbury,1,"Mennekes (Type 2, Tethered Connector)",43,£1.00 + £0.30/kWh,"761-765 Wilmslow Road, Manchester",M20 6RN,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-02-06T13:43:00Z,E08000003,Manchester,-2.231809,53.414945
MFG Shell Didsbury,1,CHAdeMO,50,£1.00 + £0.30/kWh,"761-765 Wilmslow Road, Manchester",M20 6RN,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-02-06T13:43:00Z,E08000003,Manchester,-2.231809,53.414945
MFG Shell Didsbury,1,CCS (Type 2 Version of Combined Coupler),50,£1.00 + £0.30/kWh,"761-765 Wilmslow Road, Manchester",M20 6RN,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-02-06T13:43:00Z,E08000003,Manchester,-2.231809,53.414945
MFG Shell Rusholme,1,"Mennekes (Type 2, Tethered Connector)",43,£1.00 + £0.30/kWh,"10 Wilmslow Road, Manchester",M14 5TQ,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-30T10:42:00Z,E08000003,Manchester,-2.225994,53.456364
MFG Shell Rusholme,1,CHAdeMO,50,£1.00 + £0.30/kWh,"10 Wilmslow Road, Manchester",M14 5TQ,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-30T10:42:00Z,E08000003,Manchester,-2.225994,53.456364
MFG Shell Rusholme,1,CCS (Type 2 Version of Combined Coupler),50,£1.00 + £0.30/kWh,"10 Wilmslow Road, Manchester",M14 5TQ,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-30T10:42:00Z,E08000003,Manchester,-2.225994,53.456364
MFG Shell Levenshulme,1,"Mennekes (Type 2, Tethered Connector)",43,£1.00 + £0.30/kWh,"Stockport Road, Manchester",M19 2RE,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-17T16:08:00Z,E08000003,Manchester,-2.18499,53.436983
MFG Shell Levenshulme,1,CHAdeMO,50,£1.00 + £0.30/kWh,"Stockport Road, Manchester",M19 2RE,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-17T16:08:00Z,E08000003,Manchester,-2.18499,53.436983
MFG Shell Levenshulme,1,CCS (Type 2 Version of Combined Coupler),50,£1.00 + £0.30/kWh,"Stockport Road, Manchester",M19 2RE,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2019-01-17T16:08:00Z,E08000003,Manchester,-2.18499,53.436983
Store Street,2,Mennekes (Type 2),7,Free,"Store Street, Manchester",M1 2WE,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2018-10-20T05:16:00Z,E08000003,Manchester,-2.22589,53.48009
Lidl Baguley,2,CHAdeMO,50,Free,"Southmoor Road, Manchester",M23 9GH,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T12:29:00Z,E08000003,Manchester,-2.295599,53.399805
Lidl Baguley,2,CCS (Type 2 Version of Combined Coupler),50,Free,"Southmoor Road, Manchester",M23 9GH,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T12:29:00Z,E08000003,Manchester,-2.295599,53.399805
Lidl Baguley,2,"Mennekes (Type 2, Tethered Connector)",43,Free,"Southmoor Road, Manchester",M23 9GH,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T12:29:00Z,E08000003,Manchester,-2.295599,53.399805
Lidl Baguley,2,"Mennekes (Type 2, Tethered Connector)",50,Free,"Southmoor Road, Manchester",M23 9GH,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T12:29:00Z,E08000003,Manchester,-2.295599,53.399805
Manchester Metropolitan University-John Dalton Building,2,Mennekes (Type 2),4,Inclusive; for Polar Plus subscription members only,"Manchester Metropolitan University-John Dalton Building, All Saints Campus Manchester, Manchester",M15 6BH,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2018-09-26T05:17:00Z,E08000003,Manchester,-2.240198,53.471424
Mauldeth Service Station,2,CHAdeMO,50,35p/kWh,"Mauldeth Road West, Manchester",M21 7RF,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-08-16T16:48:00Z,E08000003,Manchester,-2.25138,53.439792
Mauldeth Service Station,2,CCS (Type 2 Version of Combined Coupler),50,35p/kWh,"Mauldeth Road West, Manchester",M21 7RF,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-08-16T16:48:00Z,E08000003,Manchester,-2.25138,53.439792
"University of Manchester, Ground Floor, Booth Street West Car Park (car Park D)",4,Mennekes (Type 2),7,Free,"Manchester University, Higher Cambridge Street, Manchester",M15 6FH,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2019-05-10T05:21:00Z,E08000003,Manchester,-2.23754,53.46593
Shell Oldham Road,1,CHAdeMO,50,£1.00 + £0.30/kWh. £10.00 overstay after 65 mins,"571 Oldham Road, Manchester",M40 5AF,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2018-12-21T19:36:00Z,E08000003,Manchester,-2.205314,53.497788
Shell Oldham Road,1,CCS (Type 2 Version of Combined Coupler),50,£1.00 + £0.30/kWh. £10.00 overstay after 65 mins,"571 Oldham Road, Manchester",M40 5AF,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2018-12-21T19:36:00Z,E08000003,Manchester,-2.205314,53.497788
Shell Oldham Road,1,Mennekes (Type 2),22,£1.00 + £0.30/kWh. £10.00 overstay after 65 mins,"571 Oldham Road, Manchester",M40 5AF,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2018-12-21T19:36:00Z,E08000003,Manchester,-2.205314,53.497788
Lime Square Retail,2,CCS (Type 2 Version of Combined Coupler),50,£0.35/kWh,"16 Turton Street, Manchester",M11 1FH,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-05-20T21:29:00Z,E08000003,Manchester,-2.1666,53.473565
Lime Square Retail,2,CHAdeMO,50,£0.35/kWh,"16 Turton Street, Manchester",M11 1FH,InstaVolt Ltd,http://instavolt.co.uk/,NA,2018-05-20T21:29:00Z,E08000003,Manchester,-2.1666,53.473565
Manchester Airport,2,Mennekes (Type 2),7,1,"Unit 1, 307 World Freight Terminal, Manchester",M90 5PZ,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-07-20T05:25:00Z,E08000003,Manchester,-2.287837,53.362897
Marks & Spencer-Longbridge House Manchester,1,Mennekes (Type 2),7,Free,"7 Market Street, Manchester",M1 1WT,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T12:45:00Z,E08000003,Manchester,-2.243874,53.483754
Manchester Fort Shopping Park,1,Tesla (Model S onwards),7,NA,"Cheetham Hill Road, Manchester",M8 8EP,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T15:01:00Z,E08000003,Manchester,-2.234909,53.497949
Citipark 30 Tariff Street,3,Tesla (Model S onwards),7,NA,"30 Tariff Street, Manchester",M1 2FJ,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T15:10:00Z,E08000003,Manchester,-2.231821,53.48154
Computastore LTD,1,Mennekes (Type 2),7,Free,"31 Thomas Street, Manchester",M4 1NA,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2018-02-10T06:44:00Z,E08000003,Manchester,-2.236954,53.484417
Etihad Velodrome Cycling Arena,2,Mennekes (Type 2),7,Free,"Etihad Velodrome Cycling Arena, Stuart Street, Manchester",M11 4DQ,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2019-06-01T19:45:00Z,E08000003,Manchester,-2.192296,53.485817
Franklin Energy Q-Park Manchester First Street,2,Mennekes (Type 2),22,£0.30/kWh. Parking fees apply.,"First Street, Central Manchester, Manchester",M15 4RL,Charge & Drive (Fortum - NO),http://www.fortum.no/hurtigladere,chargedrive.no@fortum.com,2016-12-24T09:58:00Z,E08000003,Manchester,-2.2465,53.4728
Oldham Civic Centre,2,Mennekes (Type 2),7,Free,"Oldham Civic Centre, Croft Street, Oldham",OL1 1NL,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2018-11-06T06:15:00Z,E08000004,Oldham,-2.11738,53.54242
Housing Units,2,Tesla (Model S onwards),22,NA,"Housing Units LTD Wickentree Lane, Manchester",M35 9BA,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T14:42:00Z,E08000004,Oldham,-2.153164,53.516067
Housing Units LTD,2,Mennekes (Type 2),7,Free,"Wickentree Lane, Failsworth, Hollinwood",M35 9BA,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2017-05-13T05:15:00Z,E08000004,Oldham,-2.1517,53.51681
Oldham Mumps,4,Mennekes (Type 2),7,Free,"Oldham Mumps, Oldham",OL4 1SY,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2018-09-12T05:18:00Z,E08000004,Oldham,-2.10234504645347,53.542444547909
Thales,4,Mennekes (Type 2),7,NA,"Ashurst Drive, Cheadle, Stockport",SK3 0XB,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2018-09-25T13:17:00Z,E08000007,Stockport,-2.18575209999995,53.3904251
A. G. Parfett & Sons LTD-Stockport Depot,4,Mennekes (Type 2),7,Free,"Didsbury Road, Stockport",SK4 2JP,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2018-03-28T05:36:00Z,E08000007,Stockport,-2.175795,53.411175
Volvo Cars-Stockport,2,Mennekes (Type 2),7,Free,"1 St Mary's Way, Stockport",SK1 2HU,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-11-15T17:57:00Z,E08000007,Stockport,-2.146113,53.414653
Lidl-Hempshaw Lane,2,"Mennekes (Type 2, Tethered Connector)",43,Free,"Hempshaw Lane, Stockport",SK1 4LG,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-11-09T17:03:00Z,E08000007,Stockport,-2.147527,53.402438
Lidl-Hempshaw Lane,2,"Mennekes (Type 2, Tethered Connector)",50,Free,"Hempshaw Lane, Stockport",SK1 4LG,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-11-09T17:03:00Z,E08000007,Stockport,-2.147527,53.402438
Meadway Park West,2,Mennekes (Type 2),7,Free,"Meadway Park West, Medway, Stockport",SK7 1JZ,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2017-09-26T05:17:00Z,E08000007,Stockport,-2.16391702117925,53.3560444776467
Cheshire Datasystems LTD,2,Mennekes (Type 2),22,Free,"Kings Reach Road, Heaton Norris, Greater Manchester, Greater Manchester",SK4 2HD,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-01-26T06:18:00Z,E08000007,Stockport,-2.178636,53.408118
BP Audenshaw,1,CHAdeMO,50,£0.35/kWh,"17 Droylsden Road, Audenshaw",M34 5SP,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-06-17T13:35:00Z,E08000008,Tameside,-2.140816,53.479277
BP Audenshaw,1,CCS (Type 2 Version of Combined Coupler),50,£0.35/kWh,"17 Droylsden Road, Audenshaw",M34 5SP,InstaVolt Ltd,http://instavolt.co.uk/,NA,2019-06-17T13:35:00Z,E08000008,Tameside,-2.140816,53.479277
Ashton Bus Station (tfgm Access Only),2,Mennekes (Type 2),7,Free,"Ashton Bus Station, Wellingston Street, Ashton",OL6 6DU,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2019-03-06T06:17:00Z,E08000008,Tameside,-2.08746,53.49017
MFG BP Maynestone,1,"Mennekes (Type 2, Tethered Connector)",43,£1.00 + £0.30/kWh,"5 Manchester Road, Ashton-under-Lyne, Tameside",OL7 0DA,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2018-11-02T08:34:00Z,E08000008,Tameside,-2.108755,53.483244
MFG BP Maynestone,1,CHAdeMO,50,£1.00 + £0.30/kWh,"5 Manchester Road, Ashton-under-Lyne, Tameside",OL7 0DA,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2018-11-02T08:34:00Z,E08000008,Tameside,-2.108755,53.483244
MFG BP Maynestone,1,CCS (Type 2 Version of Combined Coupler),50,£1.00 + £0.30/kWh,"5 Manchester Road, Ashton-under-Lyne, Tameside",OL7 0DA,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2018-11-02T08:34:00Z,E08000008,Tameside,-2.108755,53.483244
Trafford Centre Parking Garage East,2,Mennekes (Type 2),7,Inclusive; for Polar Plus subscription members only,"Trafford Centre Parking Garage East, Trafford Centre Parking Garage, Manchester",LU2 9NY,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2019-06-07T05:17:00Z,E08000009,Trafford,-2.345668,53.466072
Trafford Centre Parking East,2,Mennekes (Type 2),7,Inclusive; for Polar Plus subscription members only,"Trafford Centre Parking East, Manchester",M17 8BH,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2019-06-07T05:15:00Z,E08000009,Trafford,-2.344624,53.465015
Incom House - Manchester United Car Parking,2,Tesla (Model S onwards),13,NA,Incom House,M17 1WD,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-11T14:06:00Z,E08000009,Trafford,-2.294976,53.466788
Venus Trafford Quays,10,Mennekes (Type 2),22,£0.30/kWh,"Trafford Way, Manchester",M41 7HA,The GeniePoint Network ( ChargePoint Services ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2018-11-02T08:35:00Z,E08000009,Trafford,-2.355507,53.468988
Ducati Manchester,2,Tesla (Model S onwards),11,NA,Ducati Manchester,M33 7AR,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T16:47:00Z,E08000009,Trafford,-2.318762,53.430532
The Belmore At Sale,2,Tesla (Model S onwards),22,NA,"143 Brooklands Road, Sale, Cheshire",M33 3QN,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-03T21:32:00Z,E08000009,Trafford,-2.31989,53.412376
Tenmat LTD,2,Mennekes (Type 2),7,Free,"Trafford Park, Manchester",M17 1TD,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-13T12:18:00Z,E08000009,Trafford,-2.337486,53.472041
LTC Wheel Forge Way,2,Mennekes (Type 2),22,Inclusive; for Polar Plus subscription members only,LTC Wheel Forge Way,M17 1EH,POLAR (UK),http://www.polarnetwork.com/,polarenquiries@chargemasterplc.com,2019-03-07T06:14:00Z,E08000009,Trafford,-2.334017,53.469734
The Crown Estate-Altrincham Retail Park,2,Mennekes (Type 2),7,Free,"George Richards Way, Cheshire",WA14 5GR,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-06-08T05:26:00Z,E08000009,Trafford,-2.356234,53.399585
