site_id,site_name,facility_type,access_type,bike_stations,partitionable_spaces,floor_matting,moveable_balance_apparatus,moveable_large_apparatus,moveable_rebound_apparatus,moveable_trampolines,small_apparatus,swinging_and_hanging_apparatus,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1008718,Everlast Gyms (Sale),Studios,Registered Membership use,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Washway Road,Sale,M33 7QY,0343 777 1133,manager.salefit@everlastgyms.com,https://www.everlastgyms.com/gyms/sale/,No,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015240,Ashton upon Mersey,E02001270,E01006150,E00031168,-2.326127,53.42533,2025-04-22
1037888,Hale Country Club And Spa,Studios,Registered Membership use,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1047615,Fusion Fitness Urmston,Studios,Registered Membership use,0,0,No,No,No,No,No,No,No,Flixton Road,Manchester,M41 5AS,07464393089,info@fusionfitnessgym.co.uk,https://fusionfitnessgym.co.uk/,No,No,Yes,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ground Floor,E05015259,Urmston,E02001267,E01006198,E00031438,-2.354015,53.4487,2024-11-18
1047620,Puregym (Manchester Stretford),Studios,Registered Membership use,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Arndale Centre,Manchester,M32 9BD,NA,NA,https://www.puregym.com/gyms/manchester-stretford/?utm_source=local&utm_campaign=local_search-manchester-stretford&utm_medium=organic,No,No,No,Yes,100,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015256,Stretford & Humphrey Park,E02001269,E01006180,E00031340,-2.308145,53.44555,2025-09-04
1201410,The Grammar,Studios,Registered Membership use,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Marlborough Road,Altrincham,WA14 2RS,0161 929 1078,thegrammarteam@traffordleisure.co.uk,https://thegrammar.co.uk/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015248,Hale,E02001285,E01006082,E00030817,-2.351243,53.37616,2024-10-24
1201446,Flixton Girls School,Studios,Pay and Play,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1201500,North Cestrian School,Studios,Sports Club / Community Association,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Dunham Road,Altrincham,WA14 4AJ,0161 928 1856,office@northcestrian.co.uk,https://www.northcestrian.co.uk/,No,Yes,Yes,Yes,30,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.355928,53.38824,2025-07-24
1203069,Sale High School,Studios,Sports Club / Community Association,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Norris Road,Sale,M33 3JR,0161 973 2713,info@salehighschool.org.uk,https://salehighschool.org.uk/,No,Yes,Yes,Yes,70,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015243,Brooklands,E02001272,E01006099,E00030888,-2.304739,53.41421,2025-02-26
1203099,Lostock College,Studios,Sports Club / Community Association,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Selby Road,Manchester,M32 9PL,0161 864 5700,school@lostock.trafford.sch.uk,http://www.lostock.trafford.sch.uk,No,No,Yes,Yes,120,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001264,E01006159,E00031190,-2.330955,53.45411,2025-07-17
1203691,Stretford Sports Village (Talbot Centre),Studios,Sports Club / Community Association,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Great Stone Road,Manchester,M32 0XA,0161 749 2570,stretford@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-talbot/,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006187,E00031358,-2.293706,53.45722,2025-07-10
30008531,The Fuse,Studios,Sports Club / Community Association,0,0,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Warburton Lane,Manchester,M31 4BU,0161 393 4511,contact@usethefuse.co.uk,https://usethefuse.co.uk/,No,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030945,-2.430945,53.41244,2025-02-07
