Stations,SiteID,SiteName,ThoroughfareName,PostTown,PostCode,Latitude,Longitude,TelNumber,Email,Website,CarParkExist,NumCarPark,CyclePark,NurseryFlag,FirstAid,DisabilityExist,DisabilityNotes,RecLastChkdDate
70,1008718,Sports Direct Fitness (Sale),Washway Road,Sale,M33 7QY,53.425319,-2.326127,0843 777 1133,manager.salefit@sportsdirectfitness.com,http://www.sportsdirectfitness.com,Yes,65,Yes,No,Yes,Yes,NA,13-10-2017
23,1008949,Altrincham College,Green Lane,Altrincham,WA15 8QW,53.384028,-2.324076,0161 980 7173,headteacher@mail.altrinchamcollege.com,http://www.altrinchamcollege.com,Yes,100,Yes,No,Yes,Yes,Gym Upstairs.,22-09-2017
12,1009265,Mercure Altrincham Bowdon Hotel,Langham Road,Altrincham,WA14 2HT,53.377588,-2.352023,0161 928 7121,qlaltrincham@gmail.com,http://www.hotels-altrincham.com,Yes,200,Yes,No,No,Yes,NA,16-02-2018
20,1011329,Longford Park Stadium,Ryebank Road,Manchester,M21 9TA,53.446293,-2.289656,0161 860 0956,admin@traffordac.co.uk,http://www.traffordac.co.uk,Yes,300,Yes,No,No,Yes,"Parking: Designated bays, Finding/Reaching Entrance: Ramps, Reception Area: Lift",05-04-2018
8,1011521,Crossford Bridge,Danefield Road,Sale,M33 7BG,53.432934,-2.315258,0161 973 5559,NA,http://saleharriersmanchester.com/pages/1102/coaching/crossford-bridge,Yes,125,Yes,No,Yes,Yes,NA,16-11-2017
12,1036698,Sale Fc Rugby Club,Heywood Road,Sale,M33 3WB,53.41653,-2.322238,0161 610 0400,info@salefc.com,http://www.salefc.com,Yes,60,No,No,Yes,Yes,NA,20-08-2018
200,1037888,Hale Country Club And Spa,Clay Lane,Altrincham,WA15 7AF,53.387685,-2.312006,0161 904 5939,NA,http://www.halecountryclub.co.uk,Yes,200,Yes,Yes,Yes,Yes,NA,01-03-2018
220,1047261,Pure Gym (Altrincham),Stamford New Road,Altrincham,WA14 1EJ,53.388195,-2.348607,0845 683 8443,info.altrincham@puregym.com,http://www.puregym.com/gyms/altrincham/?utm_source=local&utm_campaign=local_search-altrincham&utm_medium=organic,No,0,No,No,No,Yes,NA,02-08-2018
40,1047615,Anytime Fitness (Urmston),Flixton Road,Manchester,M41 5AA,53.448679,-2.354015,0161 850 9950,urmston@anytimefitness.co.uk,http://www.anytimefitness.co.uk,No,0,Yes,No,No,Yes,NA,17-05-2018
220,1047620,Pure Gym (Manchester Stretford),Arndale Centre,Manchester,M32 9BD,53.445528,-2.308144,03444 770 005,info.manchesterstretford@puregym.com,http://www.puregym.com,Yes,100,No,No,No,Yes,NA,22-03-2018
24,1103425,Urmston Grammar Academy,Newton Road,Manchester,M41 5UG,53.450548,-2.361043,0161 748 2875,office@urmstongrammar.org.uk,http://www.urmstongrammar.org.uk,Yes,100,Yes,No,Yes,Yes,NA,09-11-2017
8,1200491,Blessed Thomas Holford Catholic College,Urban Road,Altrincham,WA15 8HT,53.387282,-2.341277,0161 911 8090,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,Yes,50,Yes,No,No,Yes,NA,23-06-2017
8,1201067,Manor High School,Manor Avenue,Sale,M33 5JX,53.424644,-2.354789,0161 976 1553,office@manorhigh.org.uk,http://www.manorhigh.org.uk,Yes,50,Yes,No,Yes,Yes,NA,09-11-2017
3,1201252,Wellacre Academy,Irlam Road,Manchester,M41 6AP,53.446863,-2.394994,0161 748 5011,admin@wellacre.org,http://www.wellacre.org,Yes,100,Yes,No,Yes,Yes,NA,09-01-2018
24,1201410,The Grammar,Marlborough Road,Altrincham,WA14 2RW,53.376494,-2.351317,0161 929 1078,thegrammarteam@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,100,Yes,No,No,Yes,NA,03-01-2018
30,1201469,Trafford College (Altrincham),Manchester Road,Altrincham,WA14 5PQ,53.405198,-2.350024,0161 952 4711,damian.harris@trafford.ac.uk,http://www.trafford.ac.uk,Yes,100,Yes,No,Yes,Yes,Lift,07-02-2018
14,1201493,Wellington School,Wellington Road,Altrincham,WA15 7RH,53.394068,-2.335016,0161 928 4157,admin@wellington.trafford.sch.uk,http://www.wellington.trafford.sch.uk,Yes,80,Yes,No,Yes,Yes,Ramps.,14-11-2017
9,1201500,North Cestrian School,Dunham Road,Altrincham,WA14 4AJ,53.388228,-2.355929,0161 928 1856,office@northcestrian.co.uk,http://www.ncgs.co.uk,Yes,30,Yes,No,Yes,Yes,NA,14-09-2018
30,1203095,St Ambrose College,Hale Road,Altrincham,WA15 0HE,0,0,0161 980 2711,office@st-ambrosecollege.org.uk,http://www.st-ambrosecollege.org.uk,Yes,50,Yes,No,Yes,Yes,NA,03-09-2018
16,1203099,Lostock College,Selby Road,Manchester,M32 9PL,53.454763,-2.330358,0161 864 5700,school@lostock.trafford.sch.uk,http://www.lostock.trafford.sch.uk,Yes,120,Don't know,Don't know,Don't know,Yes,NA,26-04-2012
40,1203691,Stretford Sports Village (Talbot Centre),Great Stone Road,Manchester,M32 0XA,53.457204,-2.293706,0161 826 1001,receptiontalbot@traffordleisure.co.uk,http://www.traffordleisure.co.uk,Yes,50,Yes,No,No,Yes,NA,31-08-2018
39,30003837,Trafford College,Talbot Road,Manchester,M32 0XH,53.4575,-2.290515,0161 886 7070,info@trafford.ac.uk,http://www.trafford.ac.uk/,Yes,130,Yes,No,No,Yes,NA,30-06-2017
100,30006369,The Gym (Altrincham),Atlantic Street,Altrincham,WA14 5FA,53.397936,-2.358391,0330 056 3716,NA,http://https://www.thegymgroup.com/find-a-gym/altrincham/,Yes,40,No,No,No,Yes,NA,23-10-2017
