site_id,site_name,facility_type,access_type,facility_areas_on_site,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1008949,Altrincham College,Grass pitches,Private Use,1,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
1008949,Altrincham College,Health and fitness gym stations,Private Use,23,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
1008949,Altrincham College,Sports halls,Sports Club / Community Association,2,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
1101376,Altrincham Golf Course,Golf,Pay and Play,2,Stockport Road,Altrincham,WA15 7LP,0161 749 2570,paul.murray@traffordleisure.co.uk,https://altrinchamgolfcourse.co.uk/,No,No,No,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001281,E01006192,E00031410,-2.337358,53.38991,2024-11-19
1103377,Altrincham Grammar School For Girls (Sixth Form Centre),Artificial grass pitches,Sports Club / Community Association,2,Green Courts,Bowdon,WA14 2SR,0161 912 5912,sixthformadmin@aggs.bright-futures.co.uk,http://www.aggs.trafford.sch.uk,No,No,Yes,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,NA,E05015241,Bowdon,E02001285,E01006082,E00030829,-2.36534,53.38112,2024-12-09
1103377,Altrincham Grammar School For Girls (Sixth Form Centre),Sports halls,Sports Club / Community Association,1,Green Courts,Bowdon,WA14 2SR,0161 912 5912,sixthformadmin@aggs.bright-futures.co.uk,http://www.aggs.trafford.sch.uk,No,No,Yes,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,NA,E05015241,Bowdon,E02001285,E01006082,E00030829,-2.36534,53.38112,2024-12-09
1208739,Altrincham Kersal Rugby Football Club,Grass pitches,Sports Club / Community Association,4,Stelfox Avenue,Timperley,WA15 6UL,0161 973 9157,Altrinchamkersalrufc@gmail.com,https://www.pitchero.com/clubs/altrinchamkersalrfc,No,Yes,No,Yes,120,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015258,Timperley North,E02001280,E01006211,E00031486,-2.312357,53.40066,2025-06-26
1002636,Ashton On Mersey Health And Fitness Centre,Artificial grass pitches,Pay and Play,1,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002636,Ashton On Mersey Health And Fitness Centre,Grass pitches,Pay and Play,4,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002636,Ashton On Mersey Health And Fitness Centre,Health and fitness gym stations,Pay and Play,32,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002636,Ashton On Mersey Health And Fitness Centre,Outdoor tennis courts,Pay and Play,4,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002636,Ashton On Mersey Health And Fitness Centre,Sports halls,Sports Club / Community Association,1,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
1002636,Ashton On Mersey Health And Fitness Centre,Studios,Pay and Play,0,Cecil Avenue,Sale,M33 5BP,0161 976 5970,info@aomfitness.co.uk,http://www.thedeantrust.co.uk/fitness-leisure,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.340016,53.41951,2025-05-12
6006142,Ashton Park (Sale),Grass pitches,Sports Club / Community Association,4,Grosvenor Road,Sale,M33 6WL,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015240,Ashton upon Mersey,E02001271,E01006170,E00031244,-2.335829,53.42962,2025-07-11
6006142,Ashton Park (Sale),Outdoor tennis courts,Pay and Play,2,Grosvenor Road,Sale,M33 6WL,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015240,Ashton upon Mersey,E02001271,E01006170,E00031244,-2.335829,53.42962,2025-07-11
1208730,Ashton-On-Mersey Cricket Club,Grass pitches,Sports Club / Community Association,1,Little Ees Lane,Sale,M33 5GT,0161 969 9507,aomclub@hotmail.co.uk,https://aomclub.co.uk/,No,No,No,Yes,50,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NA,E05015240,Ashton upon Mersey,E02001271,E01006170,E00031255,-2.336566,53.43624,2025-03-25
1101377,Ashton-On-Mersey Golf Club Ltd,Golf,Pay and Play,1,Church Lane,Sale,M33 5QQ,0161 976 4390,info@ashtononmerseygolfclub.co.uk,http://www.ashtononmerseygolfclub.co.uk,No,No,No,Yes,50,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015240,Ashton upon Mersey,E02001271,E01006170,E00031253,-2.344286,53.43414,2025-09-19
30009252,Ashton-On-Mersey Sports Club,Grass pitches,Sports Club / Community Association,8,Banky Lane,Sale,M33 5SL,0161 973 6637,bookings@aomsportsclub.co.uk,https://aomsportsclub.co.uk/,No,Yes,No,Yes,40,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,NA,E05015244,Bucklow-St Martins,E02001271,E01006170,E00031253,-2.355565,53.4334,2025-09-01
1040630,Barton Clough Playing Fields,Grass pitches,Pay and Play,4,Barton Road,Manchester,M32 9TR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,Yes,Yes,40,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015251,Lostock & Barton,E02001266,E01006158,E00031181,-2.336221,53.45759,2025-05-20
1040630,Barton Clough Playing Fields,Grass pitches,Sports Club / Community Association,1,Barton Road,Manchester,M32 9TR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,Yes,Yes,40,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015251,Lostock & Barton,E02001266,E01006158,E00031181,-2.336221,53.45759,2025-05-20
1002638,Beactive Urmston,Health and fitness gym stations,Pay and Play,38,Kingsway Park,Manchester,M41 7FJ,0161 413 3750,info@beactiveurmston.org,https://www.beactiveurmston.org/,No,No,Yes,Yes,350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IFI accredited,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.342971,53.45777,2024-08-05
1002638,Beactive Urmston,Sports halls,Pay and Play,1,Kingsway Park,Manchester,M41 7FJ,0161 413 3750,info@beactiveurmston.org,https://www.beactiveurmston.org/,No,No,Yes,Yes,350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IFI accredited,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.342971,53.45777,2024-08-05
1002638,Beactive Urmston,Squash courts,Pay and Play,4,Kingsway Park,Manchester,M41 7FJ,0161 413 3750,info@beactiveurmston.org,https://www.beactiveurmston.org/,No,No,Yes,Yes,350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IFI accredited,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.342971,53.45777,2024-08-05
1002638,Beactive Urmston,Studios,Pay and Play,0,Kingsway Park,Manchester,M41 7FJ,0161 413 3750,info@beactiveurmston.org,https://www.beactiveurmston.org/,No,No,Yes,Yes,350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IFI accredited,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.342971,53.45777,2024-08-05
6006179,Beech Fields,Grass pitches,Sports Club / Community Association,7,Off Langham Grove,Altrincham,WA15 6DY,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,No,Yes,No,No,NA,E05015258,Timperley North,E02001280,E01006211,E00031483,-2.319946,53.40384,2025-05-20
1200491,Blessed Thomas Holford Catholic College,Artificial grass pitches,Sports Club / Community Association,1,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
1200491,Blessed Thomas Holford Catholic College,Grass pitches,Sports Club / Community Association,4,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
1200491,Blessed Thomas Holford Catholic College,Outdoor tennis courts,Sports Club / Community Association,4,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
1200491,Blessed Thomas Holford Catholic College,Sports halls,Sports Club / Community Association,1,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
30003080,Bowdon Bowling And Lawn Tennis Club,Outdoor tennis courts,Registered Membership use,6,St Mary's Road,Altrincham,WA14 2PL,0161 928 3905,tennis@bbltc.org.uk,http://bbltc.org.uk/,No,No,No,Yes,8,No,No,No,No,No,No,No,No,No,No,NA,E05015241,Bowdon,E02001285,E01006082,E00030829,-2.361021,53.37889,2025-02-25
30003222,Bowdon Church School,Artificial grass pitches,Private Use,1,Grange Road,Altrincham,WA14 3EX,01619 288 907,office@bowdon.cs.org,http://www.bowdoncs.org.uk/,Yes,Yes,Yes,Yes,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015241,Bowdon,E02001285,E01006086,E00030816,-2.356308,53.37257,2024-12-10
30003222,Bowdon Church School,Grass pitches,Private Use,4,Grange Road,Altrincham,WA14 3EX,01619 288 907,office@bowdon.cs.org,http://www.bowdoncs.org.uk/,Yes,Yes,Yes,Yes,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015241,Bowdon,E02001285,E01006086,E00030816,-2.356308,53.37257,2024-12-10
1103381,Bowdon Club,Artificial grass pitches,Sports Club / Community Association,1,South Downs Road,Altrincham,WA14 3DT,0161 928 1358,admin@bowdonclub.com,http://www.bowdonclub.com,No,No,No,Yes,90,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015241,Bowdon,E02001285,E01006082,E00030817,-2.355806,53.37365,2025-03-28
1103381,Bowdon Club,Grass pitches,Private Use,5,South Downs Road,Altrincham,WA14 3DT,0161 928 1358,admin@bowdonclub.com,http://www.bowdonclub.com,No,No,No,Yes,90,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015241,Bowdon,E02001285,E01006082,E00030817,-2.355806,53.37365,2025-03-28
1103381,Bowdon Club,Squash courts,Sports Club / Community Association,4,South Downs Road,Altrincham,WA14 3DT,0161 928 1358,admin@bowdonclub.com,http://www.bowdonclub.com,No,No,No,Yes,90,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015241,Bowdon,E02001285,E01006082,E00030817,-2.355806,53.37365,2025-03-28
6011169,Bowdon Rugby Club,Grass pitches,Sports Club / Community Association,6,Clay Lane,Altrincham,WA15 7AF,0161 980 8321,honsec@cheshirerfu.co.uk,https://www.cheshirerfu.co.uk/clubs/bowdon-rufc/,No,No,No,Yes,40,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.309979,53.38729,2025-06-26
1041687,Bowdon Vale Cricket Club,Grass pitches,Sports Club / Community Association,1,Priory Street,Bowdon,WA14 3BH,07876 181578,admin@bowdonvalecc.org.uk,http://www.bowdonvalecc.org.uk,No,No,No,Yes,15,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,NA,E05015241,Bowdon,E02001285,E01006086,E00030818,-2.361709,53.36967,2025-08-09
30007725,Brentwood High School And Community College,Grass pitches,Private Use,1,Cherry Lane,Sale,M33 4GY,0161 905 2371,admin@brentwood.trafford.sch.uk,http://www.brentwoodschool-trafford.co.uk/,No,Yes,Yes,Yes,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001277,E01006168,E00031243,-2.358126,53.41343,2025-06-24
30002941,Broadheath Primary School,Grass pitches,Sports Club / Community Association,1,Sinderland Road,Altrincham,WA14 5JQ,0161 928 4748,broadheath.admin@trafford.gov.uk,http://www.broadheathprimaryschool.com/,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015242,Broadheath,E02001277,E01006091,E00168590,-2.360126,53.40446,2024-11-06
30002941,Broadheath Primary School,Sports halls,Sports Club / Community Association,1,Sinderland Road,Altrincham,WA14 5JQ,0161 928 4748,broadheath.admin@trafford.gov.uk,http://www.broadheathprimaryschool.com/,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015242,Broadheath,E02001277,E01006091,E00168590,-2.360126,53.40446,2024-11-06
1201454,Broadoak School,Grass pitches,Sports Club / Community Association,9,Warburton Lane,Manchester,M31 4BU,0161 776 1977,office@broadoak.trafford.sch.uk,https://broadoakschool.co.uk/contact/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.429872,53.41343,2025-04-16
1201454,Broadoak School,Sports halls,Private Use,1,Warburton Lane,Manchester,M31 4BU,0161 776 1977,office@broadoak.trafford.sch.uk,https://broadoakschool.co.uk/contact/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.429872,53.41343,2025-04-16
6006153,Broadway Park,Grass pitches,Sports Club / Community Association,7,Broadway,Manchester,M41 7WJ,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,Yes,No,No,NA,E05015245,Davyhulme,E02001263,E01006123,E00031010,-2.366937,53.45854,2025-05-20
30004934,Brooklands Dragons Jfc (Budworth Road),Grass pitches,Sports Club / Community Association,5,Budworth Road,Sale,M33 2RP,00000 000000,NA,https://www.brooklandsdragonsfc.co.uk/,No,No,No,Yes,10,No,No,No,No,No,No,No,No,No,No,NA,E05015255,Sale Moor,E02001276,E01006175,E00031313,-2.297774,53.41706,2024-12-04
30003291,Brooklands Primary School,Grass pitches,Private Use,2,Woodbourne Road,Sale,M33 3SY,0161 973 3758,secretary@brooklands.trafford.sch.uk,http://www.brooklands.trafford.sch.uk/,Yes,No,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NA,E05015243,Brooklands,E02001273,E01006097,E00030889,-2.325688,53.41322,2025-01-30
1208707,Brooklands Sports Club,Artificial grass pitches,Private Use,1,Whitehall Road,Sale,M33 3NL,0161 9697582,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,No,No,Yes,Yes,130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps in place to access the clubhouse and bar/cafe area,E05015243,Brooklands,E02001273,E01006097,E00030901,-2.316796,53.41512,2025-02-05
1208707,Brooklands Sports Club,Grass pitches,Sports Club / Community Association,6,Whitehall Road,Sale,M33 3NL,0161 9697582,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,No,No,Yes,Yes,130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps in place to access the clubhouse and bar/cafe area,E05015243,Brooklands,E02001273,E01006097,E00030901,-2.316796,53.41512,2025-02-05
1208707,Brooklands Sports Club,Outdoor tennis courts,Sports Club / Community Association,13,Whitehall Road,Sale,M33 3NL,0161 9697582,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,No,No,Yes,Yes,130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps in place to access the clubhouse and bar/cafe area,E05015243,Brooklands,E02001273,E01006097,E00030901,-2.316796,53.41512,2025-02-05
1208707,Brooklands Sports Club,Squash courts,Sports Club / Community Association,3,Whitehall Road,Sale,M33 3NL,0161 9697582,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,No,No,Yes,Yes,130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps in place to access the clubhouse and bar/cafe area,E05015243,Brooklands,E02001273,E01006097,E00030901,-2.316796,53.41512,2025-02-05
1044325,Broomwood Park,Artificial grass pitches,Free Public Access,1,Mainwood Road,Altrincham,WA15 7JU,0161 912 5504,access.trafford@trafford.gov.uk,https://www.trafford.gov.uk,No,No,Yes,Yes,20,Yes,No,No,Yes,No,No,No,No,No,No,NA,E05015257,Timperley Central,E02001280,E01006207,E00031457,-2.30596,53.39191,2024-10-02
1041705,Carrington Rufc,Grass pitches,Pay and Play,1,Manchester Road,Manchester,M31 4WY,07782172694,NA,https://www.pitchero.com/clubs/carrington1,No,No,No,Yes,80,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030919,-2.394624,53.43139,2025-06-11
30007533,Carrington Training Centre,Artificial grass pitches,Private Use,1,Carrington Lane,Manchester,M31 4AB,0161 786 1570,NA,NA,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030919,-2.37407,53.43201,2024-12-17
30007533,Carrington Training Centre,Grass pitches,Private Use,6,Carrington Lane,Manchester,M31 4AB,0161 786 1570,NA,NA,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030919,-2.37407,53.43201,2024-12-17
6006192,Chassen Road,Grass pitches,Sports Club / Community Association,1,Chassen Road,Manchester,M41 5DH,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015246,Flixton,E02001268,E01006129,E00031065,-2.369937,53.44664,2025-05-20
1018722,Chill Factore,Ski slopes,Pay and Play,2,Trafford Way,Manchester,M41 7JA,0161 749 2222,info@chillfactore.com,http://www.chillfactore.com,No,Yes,Yes,Yes,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030982,-2.361492,53.46804,2025-04-16
30006652,Claremont Tennis Club,Outdoor tennis courts,Registered Membership use,4,Claremont Drive,Altrincham,WA14 5ND,0161 5319930,claremonttennis.club@gmail.com,https://www.claremonttennis.co.uk/,No,No,No,Yes,25,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015242,Broadheath,E02001282,E01006089,E00030881,-2.348728,53.40395,2024-08-02
6010856,Cloverlea Primary School,Grass pitches,Private Use,2,Green Lane North,Altrincham,WA15 7NQ,0161 980 8338,cloverleaprim.admin@trafford.gov.uk,http://www.cloverlea.org.uk,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031474,-2.319816,53.39056,2025-08-13
6010856,Cloverlea Primary School,Grass pitches,Sports Club / Community Association,2,Green Lane North,Altrincham,WA15 7NQ,0161 980 8338,cloverleaprim.admin@trafford.gov.uk,http://www.cloverlea.org.uk,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031474,-2.319816,53.39056,2025-08-13
6006198,Cross Lane Park,Grass pitches,Sports Club / Community Association,8,Cross Lane East,Manchester,M31 4ER,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030939,-2.421945,53.41495,2025-05-20
1011521,Crossford Bridge,Athletics,Sports Club / Community Association,1,Danefield Road,Sale,M33 7WR,0161 905 3088,office@saleunitedfc.co.uk,NA,No,Yes,Yes,Yes,125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001270,E01006165,E00031230,-2.314497,53.43332,2024-08-02
