site_id,site_name,facility_type,access_type,pitches_on_site,artificial_sports_lighting_pitches,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1041705,Carrington Rufc,Grass pitches,Pay and Play,1,0,Manchester Road,Manchester,M31 4WY,07782172694,NA,https://www.pitchero.com/clubs/carrington1,No,No,No,Yes,80,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030919,-2.394624,53.43139,2025-06-11
1042335,North Cestrian Grammar School Playing Fields,Grass pitches,Private Use,8,0,Dunham Road,Altrincham,WA14 4AJ,0161 928 1856,office@northcestrian.co.uk,https://www.northcestrian.co.uk/,No,Yes,Yes,Yes,50,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001283,E01006079,E00181667,-2.362436,53.39318,2025-07-24
1042406,Grange Road Playing Field,Grass pitches,Sports Club / Community Association,2,0,Convent Of Our Lady Of The Vale Access Road,Bowdon,WA14 3EZ,00000 000000,NA,NA,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015241,Bowdon,E02001285,E01006086,E00030816,-2.35434,53.37128,2025-04-16
1043161,Longford Park (Stretford),Grass pitches,Free Public Access,3,0,Edge Lane,Manchester,M32 8QD,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015250,Longford,E02001269,E01006142,E00031108,-2.292938,53.44454,2025-07-09
1043164,Pickering Lodge,Grass pitches,Sports Club / Community Association,1,0,Moss Lane,Altrincham,WA15 6LE,07912 280894,NA,http://trafford.gov.uk/residents/leisure-and-lifestyle/parks-and-open-spaces/parks-in-trafford/pickering-lodge.aspx,No,No,No,Yes,10,No,No,No,Yes,No,No,No,No,No,No,NA,E05015258,Timperley North,E02001281,E01006191,E00031405,-2.334236,53.39822,2025-05-20
1103381,Bowdon Club,Grass pitches,Private Use,5,0,South Downs Road,Altrincham,WA14 3DT,0161 928 1358,admin@bowdonclub.com,http://www.bowdonclub.com,No,No,No,Yes,90,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015241,Bowdon,E02001285,E01006082,E00030817,-2.355806,53.37365,2025-03-28
1103422,Timperley Sports Club,Grass pitches,Sports Club / Community Association,6,0,Stockport Road,Altrincham,WA15 7LU,0161 980 4397,info@timperley-sports.com,http://www.timperley-sports.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001281,E01006192,E00031410,-2.331215,53.39077,2025-03-05
1103425,Urmston Grammar Academy,Grass pitches,Private Use,10,0,Newton Road,Manchester,M41 5UG,0161 748 2875,office@urmstongrammar.org.uk,https://www.urmstongrammar.org.uk/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015259,Urmston,E02001267,E01006201,E00031440,-2.361042,53.45057,2024-10-15
1200491,Blessed Thomas Holford Catholic College,Grass pitches,Sports Club / Community Association,4,0,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
1201067,Manor Academy Sale,Grass pitches,Private Use,1,0,Manor Avenue,Sale,M33 5JX,0161 5323251,admin@manoracademysale.org.uk,https://www.manoracademysale.org/page/?title=Facilities+for+Hire&pid=28,No,Yes,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001271,E01006166,E00031247,-2.354789,53.42466,2025-07-29
1201252,Wellacre Academy,Grass pitches,Sports Club / Community Association,5,0,Irlam Road,Manchester,M41 6AP,0161 748 5011,admin@wellacre.org,http://www.wellacre.org,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015246,Flixton,E02001265,E01006132,E00031042,-2.394993,53.44688,2024-10-09
1201410,The Grammar,Grass pitches,Registered Membership use,8,0,Marlborough Road,Altrincham,WA14 2RS,0161 929 1078,thegrammarteam@traffordleisure.co.uk,https://thegrammar.co.uk/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015248,Hale,E02001285,E01006082,E00030817,-2.351243,53.37616,2024-10-24
1201446,Flixton Girls School,Grass pitches,Pay and Play,4,0,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1201454,Broadoak School,Grass pitches,Sports Club / Community Association,9,0,Warburton Lane,Manchester,M31 4BU,0161 776 1977,office@broadoak.trafford.sch.uk,https://broadoakschool.co.uk/contact/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.429872,53.41343,2025-04-16
1201462,St Antonys Catholic College,Grass pitches,Sports Club / Community Association,2,0,Bradfield Road,Manchester,M41 9PD,0161 911 8001,stantonys.admin@trafford.gov.uk,https://www.st-antonys.com,No,No,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015256,Stretford & Humphrey Park,E02001266,E01006156,E00031180,-2.337363,53.44939,2025-08-12
1201493,Wellington School,Grass pitches,Private Use,2,0,Wellington Road,Altrincham,WA15 7RH,0161 928 4157,admin@wellington.trafford.sch.uk,http://www.wellington.trafford.sch.uk,No,Yes,Yes,Yes,80,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Ramps.,E05015257,Timperley Central,E02001281,E01006191,E00031409,-2.335015,53.39408,2025-08-27
1203067,Stretford Grammar School,Grass pitches,Private Use,2,0,Granby Road,Manchester,M32 8JB,0161 865 2293,admin@stretfordgrammar.com,http://www.stretfordgrammar.com,No,No,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015250,Longford,E02001269,E01006143,E00031135,-2.298265,53.44371,2025-01-30
1203069,Sale High School,Grass pitches,Sports Club / Community Association,9,0,Norris Road,Sale,M33 3JR,0161 973 2713,info@salehighschool.org.uk,https://salehighschool.org.uk/,No,Yes,Yes,Yes,70,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015243,Brooklands,E02001272,E01006099,E00030888,-2.304739,53.41421,2025-02-26
1203088,Egerton High School,Grass pitches,Private Use,2,0,Kingsway Park,Manchester,M41 7FZ,0161 749 7094,admin@egerton-school.trafford.sch.uk,https://www.egertonhighschool.co.uk/,No,No,No,Yes,30,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.343423,53.45965,2025-01-27
1203095,St Ambrose College,Grass pitches,Private Use,3,0,Hale Road,Altrincham,WA15 0HE,0161 694 0111,support@vivifyvenues.com,https://www.vivifyvenues.com/venues/st-ambrose-college,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031096,-2.320333,53.37146,2025-08-04
1203095,St Ambrose College,Grass pitches,Sports Club / Community Association,3,0,Hale Road,Altrincham,WA15 0HE,0161 694 0111,support@vivifyvenues.com,https://www.vivifyvenues.com/venues/st-ambrose-college,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031096,-2.320333,53.37146,2025-08-04
1203099,Lostock College,Grass pitches,Private Use,4,0,Selby Road,Manchester,M32 9PL,0161 864 5700,school@lostock.trafford.sch.uk,http://www.lostock.trafford.sch.uk,No,No,Yes,Yes,120,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001264,E01006159,E00031190,-2.330955,53.45411,2025-07-17
1203691,Stretford Sports Village (Talbot Centre),Grass pitches,Sports Club / Community Association,1,0,Great Stone Road,Manchester,M32 0XA,0161 749 2570,stretford@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-talbot/,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006187,E00031358,-2.293706,53.45722,2025-07-10
1208702,Sale Sports Club,Grass pitches,Sports Club / Community Association,7,1,Clarendon Crescent,Sale,M33 2DE,0161 973 7250,information@salesportsclub.com,http://www.salesportsclub.com,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,NA,E05015254,Sale Central,E02001272,E01006164,E00031236,-2.304944,53.42772,2025-06-30
1208707,Brooklands Sports Club,Grass pitches,Sports Club / Community Association,6,0,Whitehall Road,Sale,M33 3NL,0161 9697582,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,No,No,Yes,Yes,130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps in place to access the clubhouse and bar/cafe area,E05015243,Brooklands,E02001273,E01006097,E00030901,-2.316796,53.41512,2025-02-05
1208715,Stretford Cricket Club,Grass pitches,Sports Club / Community Association,1,0,Lesley Road,Stretford,M32 9EE,0161 865 0271,stretfordcc@hotmail.com,https://stretfordcricketclub.co.uk/,No,No,No,Yes,50,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015256,Stretford & Humphrey Park,E02001266,E01006184,E00031339,-2.327482,53.44299,2025-04-01
1208718,Hale Barns Cricket Club,Grass pitches,Sports Club / Community Association,1,0,Brooks Drive,Altrincham,WA15 8TN,NA,halebarnscc@gmail.com,http://www.halebarnscc.co.uk,No,No,No,Yes,30,No,No,No,Yes,Yes,No,Yes,Yes,No,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031073,-2.301127,53.36748,2025-02-19
1208730,Ashton-On-Mersey Cricket Club,Grass pitches,Sports Club / Community Association,1,0,Little Ees Lane,Sale,M33 5GT,0161 969 9507,aomclub@hotmail.co.uk,https://aomclub.co.uk/,No,No,No,Yes,50,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NA,E05015240,Ashton upon Mersey,E02001271,E01006170,E00031255,-2.336566,53.43624,2025-03-25
1208739,Altrincham Kersal Rugby Football Club,Grass pitches,Sports Club / Community Association,4,1,Stelfox Avenue,Timperley,WA15 6UL,0161 973 9157,Altrinchamkersalrufc@gmail.com,https://www.pitchero.com/clubs/altrinchamkersalrfc,No,Yes,No,Yes,120,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015258,Timperley North,E02001280,E01006211,E00031486,-2.312357,53.40066,2025-06-26
1208750,Urmston Sports Club,Grass pitches,Sports Club / Community Association,5,0,Moorside Road,Manchester,M41 5UU,0161 748 4660,admin@urmstonsportsclub.co.uk,http://www.urmstonchbts.org.uk,No,No,Yes,Yes,30,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,E05015259,Urmston,E02001268,E01006197,E00031442,-2.361093,53.45121,2024-08-02
1208755,Emirates Old Trafford Cricket Ground,Grass pitches,Private Use,1,1,Brian Statham Way,Manchester,M16 0PX,0161 282 4020,enquiries@lccc.co.uk,https://www.lancashirecricket.co.uk/,No,Yes,Yes,Yes,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001262,E01006145,E00031112,-2.287922,53.45714,2025-06-13
6005130,Turn Moss Park,Grass pitches,Sports Club / Community Association,15,0,Turn Moss Road,Stretford,M32 8QD,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,120,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015250,Longford,E02001269,E01006142,E00031108,-2.292858,53.44111,2025-05-20
6005160,Moss Lane,Grass pitches,Sports Club / Community Association,1,1,Moss Lane,Altrincham,WA15 8AP,0161 928 1045,office@altrinchamfootballclub.com,http://www.altrinchamfc.com,No,Yes,No,Yes,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015248,Hale,E02001284,E01006139,E00031081,-2.335213,53.38299,2025-03-05
6005418,Valley Road,Grass pitches,Sports Club / Community Association,1,1,Valley Road,Manchester,M41 8RQ,NA,info@flixtonfc.com,NA,No,No,No,Yes,40,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001265,E01006125,E00031035,-2.398748,53.45482,2025-07-15
6005721,Flixton Park,Grass pitches,Pay and Play,2,0,Flixton Road,Manchester,M41 5DR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015246,Flixton,E02001263,E01006131,E00031067,-2.383525,53.44558,2025-05-20
6005721,Flixton Park,Grass pitches,Sports Club / Community Association,6,0,Flixton Road,Manchester,M41 5DR,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015246,Flixton,E02001263,E01006131,E00031067,-2.383525,53.44558,2025-05-20
6005781,Woodsend Park,Grass pitches,Pay and Play,4,0,Woodsend Road,Manchester,M41 8GN,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,Yes,No,No,No,NA,E05015245,Davyhulme,E02001265,E01006126,E00031022,-2.394393,53.45053,2025-05-20
6006142,Ashton Park (Sale),Grass pitches,Sports Club / Community Association,4,0,Grosvenor Road,Sale,M33 6WL,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015240,Ashton upon Mersey,E02001271,E01006170,E00031244,-2.335829,53.42962,2025-07-11
6006151,Smiths Field,Grass pitches,Private Use,5,0,Sylvan Avenue,Altrincham,WA15 6AE,NA,unicornathleticjfc@gmail.com,https://www.uajfc.co.uk/,No,Yes,No,Yes,20,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Site has a DDA toilet,E05015243,Brooklands,E02001279,E01006101,E00030912,-2.332922,53.40913,2025-05-13
6006152,Stamford Park,Grass pitches,Pay and Play,1,0,Stamford Park Road,Altrincham,WA15 9EN,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,Yes,No,No,NA,E05015248,Hale,E02001282,E01006194,E00031412,-2.34223,53.38422,2025-05-20
6006153,Broadway Park,Grass pitches,Sports Club / Community Association,7,0,Broadway,Manchester,M41 7WJ,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,Yes,No,No,NA,E05015245,Davyhulme,E02001263,E01006123,E00031010,-2.366937,53.45854,2025-05-20
6006154,Selsey Avenue Playing Fields,Grass pitches,Sports Club / Community Association,4,0,Selsey Avenue,Sale,M33 4RN,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015252,Manor,E02001274,E01006152,E00031176,-2.34,53.41785,2025-05-20
6006155,Grove Park Playing Fields,Grass pitches,Sports Club / Community Association,6,0,Long Hey,Hale,WA15 8JJ,NA,altyjfcweb@gmail.com,https://www.altrinchamjfc.co.uk/,No,No,No,Yes,5,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015248,Hale,E02001284,E01006140,E00031083,-2.326415,53.38113,2025-05-20
6006160,Moor Nook,Grass pitches,Pay and Play,3,0,Norris Road,Sale,M33 2TN,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,Yes,Yes,No,Yes,No,No,No,No,No,No,NA,E05015243,Brooklands,E02001272,E01006099,E00030888,-2.304622,53.41473,2025-05-20
6006179,Beech Fields,Grass pitches,Sports Club / Community Association,7,0,Off Langham Grove,Altrincham,WA15 6DY,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,No,Yes,No,No,NA,E05015258,Timperley North,E02001280,E01006211,E00031483,-2.319946,53.40384,2025-05-20
6006180,Salisbury Road Playing Fields,Grass pitches,Pay and Play,9,0,Salisbury Road,Altrincham,WA14 5LH,07912280894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015242,Broadheath,E02001282,E01006089,E00030881,-2.348468,53.40096,2024-08-02
6006180,Salisbury Road Playing Fields,Grass pitches,Sports Club / Community Association,2,0,Salisbury Road,Altrincham,WA14 5LH,07912280894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015242,Broadheath,E02001282,E01006089,E00030881,-2.348468,53.40096,2024-08-02
6006183,Walton Park,Grass pitches,Sports Club / Community Association,2,0,Walton Road,Sale,M33 4AT,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015243,Brooklands,E02001279,E01006101,E00030899,-2.331353,53.41474,2025-05-20
6006191,Weathercock Farm,Grass pitches,Sports Club / Community Association,2,0,Firs Road,Sale,M33 5EH,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,No,No,Yes,No,No,No,No,No,No,NA,E05015252,Manor,E02001271,E01006170,E00031246,-2.344915,53.42626,2025-05-20
6006192,Chassen Road,Grass pitches,Sports Club / Community Association,1,0,Chassen Road,Manchester,M41 5DH,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015246,Flixton,E02001268,E01006129,E00031065,-2.369937,53.44664,2025-05-20
6006194,Timperley Recreation Ground,Grass pitches,Sports Club / Community Association,2,0,Park Road,Timperley,WA15 6UA,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,30,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015257,Timperley Central,E02001281,E01006192,E00031401,-2.321559,53.39842,2025-05-20
6006195,Navigation Road Recreation Ground,Grass pitches,Sports Club / Community Association,1,0,Navigation Road,Altrincham,WA14 1LL,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,30,Yes,Yes,No,Yes,No,No,Yes,No,No,No,NA,E05015239,Altrincham,E02001282,E01006078,E00030793,-2.346308,53.39735,2025-05-20
6006196,Manor Avenue Football Fields,Grass pitches,Pay and Play,2,0,Firs Way,Sale,M33 4NP,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,Yes,Yes,No,Yes,No,No,Yes,No,No,No,NA,E05015252,Manor,E02001271,E01006166,E00031248,-2.354071,53.42223,2025-05-20
6006197,Halecroft Park,Grass pitches,Sports Club / Community Association,2,0,Hale Road,Altrincham,WA15 8SN,0161 912 2000,NA,https://traffordleisure.co.uk/,No,No,No,Yes,14,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031098,-2.31843,53.37256,2025-04-25
6006198,Cross Lane Park,Grass pitches,Sports Club / Community Association,8,0,Cross Lane East,Manchester,M31 4ER,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,Yes,11,No,Yes,No,Yes,No,No,Yes,Yes,No,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030939,-2.421945,53.41495,2025-05-20
6010598,Heyes Lane Junior School,Grass pitches,Private Use,2,0,Crofton Avenue,Altrincham,WA15 6BZ,0161 973 9850,office@heyeslane.co.uk,https://www.heyeslane.co.uk/,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015258,Timperley North,E02001279,E01006196,E00031378,-2.324265,53.40611,2025-06-16
6010660,Lime Tree Primary Academy,Grass pitches,Private Use,1,0,Budworth Road,Sale,M33 2RP,0161 905 0790,admin@ltpa.bright-futures.co.uk,https://limetree.bright-futures.co.uk/,Yes,No,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015255,Sale Moor,E02001276,E01006173,E00031307,-2.299132,53.41706,2025-03-26
6010749,All Saints Catholic Primary School,Grass pitches,Private Use,3,0,Cedar Road,Sale,M33 5NW,0161 962 1288,admin@allsaints.trafford.sch.uk,http://www.allsaints.trafford.sch.uk,Yes,No,No,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015244,Bucklow-St Martins,E02001271,E01006169,E00031254,-2.351588,53.43066,2025-02-12
6010762,Moorlands Junior School,Grass pitches,Private Use,3,0,Temple Road,Sale,M33 2LP,0161 962 5452,moorlands.admin@trafford.gov.uk,http://www.moorlandsjuniorschool.com,No,No,Yes,Yes,8,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015255,Sale Moor,E02001272,E01006178,E00031292,-2.301621,53.42437,2025-02-06
