Courts,Floodlit,SiteID,SiteName,ThoroughfareName,PostTown,PostCode,Latitude,Longitude,TelNumber,Email,Website,CarParkExist,NumCarPark,CyclePark,NurseryFlag,FirstAid,DisabilityExist,DisabilityNotes,RecLastChkdDate
6,2,1208702,Sale Sports Club,Clarendon Crescent,Sale,M33 2DE,53.427957,-2.30443,07908  403360,information@salesportsclub.com,http://www.salesportsclub.com,Yes,50,Yes,No,No,Yes,NA,03-10-2017
13,2,1208707,Brooklands Sports Club,Whitehall Road,Sale,M33 3NL,53.415106,-2.316796,NA,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,Yes,180,No,No,No,Yes,NA,01-06-2018
3,0,1208730,Ashton-On-Mersey Cricket Club,Little Ees Lane,Sale,M33 5GT,53.436229,-2.336567,0161 969 9507,aomclub@hotmail.co.uk,http://www.aomclub.co.uk,Yes,50,No,No,No,Yes,NA,17-08-2018
11,0,1208750,Urmston Sports Club,Moorside Road,Manchester,M41 5UU,53.451195,-2.361094,0161 748 4660,admin@urmstonsportsclub.co.uk,http://www.urmstonchbts.org.uk,Yes,30,Yes,No,No,Yes,NA,11-09-2018
2,0,6006142,Ashton Park,Glebelands Road,Sale,M33 5QU,53.43094,-2.334523,07912280894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,0,Don't know,Don't know,Don't know,Yes,NA,22-08-2018
3,0,6006152,Stamford Park,Stamford Park Road,Altrincham,WA15 9EN,53.383645,-2.345592,07912 280894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,0,No,No,No,Yes,NA,22-08-2018
2,0,6006183,Walton Park,Walton Road,Sale,M33 4AT,53.41438,-2.332633,07912 280894,andy.hilton@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,0,No,No,No,Yes,NA,22-08-2018
1,0,6006197,Hale Croft,Hale Road,Altrincham,WA15 8SN,53.372542,-2.318431,0161 912 2000,NA,http://www.traffordleisure.co.uk,Yes,14,No,No,No,Yes,NA,21-08-2018
3,0,20000044,Victoria Park,Victoria Court,Manchester,M32 0BR,53.44953,-2.31004,07912 280894,andy.hilton@traffordleisure.co.uk,http://www.trafford.gov.uk,No,0,No,No,No,Yes,NA,22-08-2018
6,0,30003080,Bowdon Bowling And Lawn Tennis Club,Winton Road,Altrincham,WA14 2PG,53.378873,-2.361022,0161 928 3905,tennis@bbltc.org.uk,http://bbltc.org.uk/,Yes,8,No,No,No,No,NA,06-07-2018
4,1,30006652,Claremont Tennis Club,Claremont Drive,Altrincham,WA14 5ND,53.403932,-2.348729,NA,claremonttennis.club@gmail.com,http://https://www.claremonttennis.co.uk/,Yes,25,No,No,No,Yes,NA,14-09-2018
9,0,30006997,Hale Lawn Tennis Club,Park Avenue,Altrincham,WA15 9DL,53.375124,-2.333574,0161 980 3855,simon@denyer.biz,http://www.haleltc.org.uk,Yes,6,Yes,No,No,Yes,NA,23-01-2018
3,0,30007297,Hale Village Tennis Club,Leigh Road,Hale,WA15 9BJ,53.378154,-2.342692,07814 884278,NA,http://halevillageltc.com/,No,0,No,No,No,Yes,NA,23-05-2018
