site_id,site_name,facility_type,access_type,pitches_on_site,indoor_pitches,artificial_sports_lighting_pitches,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1103381,Bowdon Club,Artificial grass pitches,Sports Club / Community Association,1,0,1,South Downs Road,Altrincham,WA14 3DT,0161 928 1358,admin@bowdonclub.com,http://www.bowdonclub.com,No,No,No,Yes,90,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015241,Bowdon,E02001285,E01006082,E00030817,-2.355806,53.37365,2025-03-28
1103422,Timperley Sports Club,Artificial grass pitches,Pay and Play,2,0,2,Stockport Road,Altrincham,WA15 7LU,0161 980 4397,info@timperley-sports.com,http://www.timperley-sports.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001281,E01006192,E00031410,-2.331215,53.39077,2025-03-05
1103425,Urmston Grammar Academy,Artificial grass pitches,Private Use,1,0,0,Newton Road,Manchester,M41 5UG,0161 748 2875,office@urmstongrammar.org.uk,https://www.urmstongrammar.org.uk/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015259,Urmston,E02001267,E01006201,E00031440,-2.361042,53.45057,2024-10-15
1200491,Blessed Thomas Holford Catholic College,Artificial grass pitches,Sports Club / Community Association,1,0,1,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
1201252,Wellacre Academy,Artificial grass pitches,Sports Club / Community Association,1,0,1,Irlam Road,Manchester,M41 6AP,0161 748 5011,admin@wellacre.org,http://www.wellacre.org,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015246,Flixton,E02001265,E01006132,E00031042,-2.394993,53.44688,2024-10-09
1201410,The Grammar,Artificial grass pitches,Registered Membership use,1,0,1,Marlborough Road,Altrincham,WA14 2RS,0161 929 1078,thegrammarteam@traffordleisure.co.uk,https://thegrammar.co.uk/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015248,Hale,E02001285,E01006082,E00030817,-2.351243,53.37616,2024-10-24
1201446,Flixton Girls School,Artificial grass pitches,Pay and Play,1,0,1,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1201469,Trafford College (Altrincham),Artificial grass pitches,Private Use,1,0,0,Manchester Road,Altrincham,WA14 5PQ,0161 952 4734,damian.harris@tscg.ac.uk,http://www.trafford.ac.uk,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Lift,E05015242,Broadheath,E02001278,E01006096,E00030875,-2.350024,53.40521,2025-02-04
1201493,Wellington School,Artificial grass pitches,Private Use,1,0,1,Wellington Road,Altrincham,WA15 7RH,0161 928 4157,admin@wellington.trafford.sch.uk,http://www.wellington.trafford.sch.uk,No,Yes,Yes,Yes,80,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Ramps.,E05015257,Timperley Central,E02001281,E01006191,E00031409,-2.335015,53.39408,2025-08-27
1203095,St Ambrose College,Artificial grass pitches,Sports Club / Community Association,1,0,1,Hale Road,Altrincham,WA15 0HE,0161 694 0111,support@vivifyvenues.com,https://www.vivifyvenues.com/venues/st-ambrose-college,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031096,-2.320333,53.37146,2025-08-04
1203691,Stretford Sports Village (Talbot Centre),Artificial grass pitches,Sports Club / Community Association,1,0,1,Great Stone Road,Manchester,M32 0XA,0161 749 2570,stretford@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-talbot/,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006187,E00031358,-2.293706,53.45722,2025-07-10
1208707,Brooklands Sports Club,Artificial grass pitches,Private Use,1,0,1,Whitehall Road,Sale,M33 3NL,0161 9697582,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,No,No,Yes,Yes,130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps in place to access the clubhouse and bar/cafe area,E05015243,Brooklands,E02001273,E01006097,E00030901,-2.316796,53.41512,2025-02-05
6010772,Woodheys Primary School,Artificial grass pitches,Private Use,1,0,0,Meadway,Sale,M33 4PG,0161 973 4478,admin@woodheysprimaryschool.co.uk,http://www.woodheysprimaryschool.co.uk,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015252,Manor,E02001274,E01006153,E00031177,-2.345597,53.41386,2025-08-15
6010797,Oldfield Brow Primary School,Artificial grass pitches,Private Use,1,0,0,Taylor Road,Altrincham,WA14 4LE,0161 926 8646,office@oldfield-brow.com,http://www.oldfield-brow.com,No,Yes,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015241,Bowdon,E02001283,E01006074,E00030807,-2.37689,53.39186,2025-04-11
30003222,Bowdon Church School,Artificial grass pitches,Private Use,1,0,0,Grange Road,Altrincham,WA14 3EX,01619 288 907,office@bowdon.cs.org,http://www.bowdoncs.org.uk/,Yes,Yes,Yes,Yes,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015241,Bowdon,E02001285,E01006086,E00030816,-2.356308,53.37257,2024-12-10
30003621,Manchester United (Trafford Training Centre),Artificial grass pitches,Private Use,4,1,3,Isherwood Road,Carrington,M31 4BH,00000 000000,NA,NA,No,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030919,-2.377659,53.41759,2024-12-18
30005894,Abbotsford Preparatory School,Artificial grass pitches,Private Use,1,0,0,Flixton Road,Manchester,M41 5PR,0161 748 3261,secretary@abbotsfordprepschool.co.uk,http://www.abbotsfordprepschool.co.uk/,No,No,No,Yes,20,No,Yes,Yes,No,No,No,Yes,Yes,No,No,NA,E05015246,Flixton,E02001268,E01006129,E00031044,-2.372167,53.44855,2024-10-25
30007533,Carrington Training Centre,Artificial grass pitches,Private Use,1,0,0,Carrington Lane,Manchester,M31 4AB,0161 786 1570,NA,NA,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030919,-2.37407,53.43201,2024-12-17
30008113,Longford Park Primary School,Artificial grass pitches,Private Use,1,0,0,Cromwell Road,Manchester,M32 8QJ,0161 532 3253,admin@longfordparkschool.co.uk,https://www.longfordparkschool.co.uk/,No,No,Yes,Yes,25,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015250,Longford,E02001269,E01006142,E00031128,-2.293976,53.44832,2025-06-02
30008531,The Fuse,Artificial grass pitches,Sports Club / Community Association,1,0,1,Warburton Lane,Manchester,M31 4BU,0161 393 4511,contact@usethefuse.co.uk,https://usethefuse.co.uk/,No,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030945,-2.430945,53.41244,2025-02-07
