site_id,site_name,facility_type,access_type,stations_on_site,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1002890,Marriott Leisure Club (Manchester Airport),Health and fitness gyms,Registered Membership use,66,Hale Road,Altrincham,WA15 8XW,0161 904 5050,laura.yates@deltahotels.com,https://www.marriottlifestyle.co.uk/find-a-club,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006137,E00031071,-2.297828,53.36423,2024-10-15
1007859,Total Fitness (Altrincham),Health and fitness gyms,Registered Membership use,200,Lloyd Street,Altrincham,WA14 2SU,0161 925 4500,NA,https://www.totalfitness.co.uk/clubs/altrincham/,No,No,No,Yes,500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001283,E01006076,E00030786,-2.350747,53.38378,2025-04-25
1008718,Everlast Gyms (Sale),Health and fitness gyms,Registered Membership use,70,Washway Road,Sale,M33 7QY,0343 777 1133,manager.salefit@everlastgyms.com,https://www.everlastgyms.com/gyms/sale/,No,Yes,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015240,Ashton upon Mersey,E02001270,E01006150,E00031168,-2.326127,53.42533,2025-04-22
1008949,Altrincham College,Health and fitness gyms,Private Use,23,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
1009265,Mercure Altrincham Bowdon Hotel,Health and fitness gyms,Registered Membership use,12,Langham Road,Altrincham,WA14 2HT,0161 928 7121,qlaltrincham@gmail.com,http://www.hotels-altrincham.com,No,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015241,Bowdon,E02001285,E01006082,E00030817,-2.352021,53.37761,2024-08-28
1011329,Longford Park Stadium,Health and fitness gyms,Registered Membership use,20,Ryebank Road,Manchester,M21 9TA,NA,admin@traffordac.co.uk,http://www.traffordac.co.uk,No,No,Yes,Yes,300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Parking: Designated bays, Finding/Reaching Entrance: Ramps, Reception Area: Lift",E05015250,Longford,E02001269,E01006142,E00031128,-2.289656,53.44631,2025-05-14
1011521,Crossford Bridge,Health and fitness gyms,Sports Club / Community Association,8,Danefield Road,Sale,M33 7WR,0161 905 3088,office@saleunitedfc.co.uk,NA,No,Yes,Yes,Yes,125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001270,E01006165,E00031230,-2.314497,53.43332,2024-08-02
1037888,Hale Country Club And Spa,Health and fitness gyms,Registered Membership use,200,Clay Lane,Altrincham,WA15 7AF,0161 904 5939,enquiries@halecountryclub.co.uk,http://www.halecountryclub.co.uk,Yes,Yes,Yes,Yes,200,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001281,E01006209,E00031477,-2.312006,53.3877,2024-10-30
1041685,Trafford Mv Rfcc,Health and fitness gyms,Sports Club / Community Association,15,Finny Bank Road,Sale,M33 6LR,01619737061,secretary@tmvrfcc.co.uk,http://www.traffordmvrfcc.rfu.club,No,Yes,No,Yes,92,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps available,E05015240,Ashton upon Mersey,E02001270,E01006154,E00031152,-2.33036,53.4335,2025-02-18
1047261,Puregym (Altrincham),Health and fitness gyms,Registered Membership use,220,Stamford New Road,Altrincham,WA14 1EJ,00000 000000,NA,http://www.puregym.com/gyms/altrincham/?utm_source=local&utm_campaign=local_search-altrincham&utm_medium=organic,No,No,No,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001283,E01006075,E00181661,-2.348606,53.38821,2024-10-24
1047615,Fusion Fitness Urmston,Health and fitness gyms,Registered Membership use,40,Flixton Road,Manchester,M41 5AS,07464393089,info@fusionfitnessgym.co.uk,https://fusionfitnessgym.co.uk/,No,No,Yes,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ground Floor,E05015259,Urmston,E02001267,E01006198,E00031438,-2.354015,53.4487,2024-11-18
1047620,Puregym (Manchester Stretford),Health and fitness gyms,Registered Membership use,220,Arndale Centre,Manchester,M32 9BD,NA,NA,https://www.puregym.com/gyms/manchester-stretford/?utm_source=local&utm_campaign=local_search-manchester-stretford&utm_medium=organic,No,No,No,Yes,100,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015256,Stretford & Humphrey Park,E02001269,E01006180,E00031340,-2.308145,53.44555,2025-09-04
1103425,Urmston Grammar Academy,Health and fitness gyms,Private Use,24,Newton Road,Manchester,M41 5UG,0161 748 2875,office@urmstongrammar.org.uk,https://www.urmstongrammar.org.uk/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015259,Urmston,E02001267,E01006201,E00031440,-2.361042,53.45057,2024-10-15
1201067,Manor Academy Sale,Health and fitness gyms,Private Use,8,Manor Avenue,Sale,M33 5JX,0161 5323251,admin@manoracademysale.org.uk,https://www.manoracademysale.org/page/?title=Facilities+for+Hire&pid=28,No,Yes,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001271,E01006166,E00031247,-2.354789,53.42466,2025-07-29
1201252,Wellacre Academy,Health and fitness gyms,Private Use,5,Irlam Road,Manchester,M41 6AP,0161 748 5011,admin@wellacre.org,http://www.wellacre.org,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015246,Flixton,E02001265,E01006132,E00031042,-2.394993,53.44688,2024-10-09
1201410,The Grammar,Health and fitness gyms,Registered Membership use,24,Marlborough Road,Altrincham,WA14 2RS,0161 929 1078,thegrammarteam@traffordleisure.co.uk,https://thegrammar.co.uk/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015248,Hale,E02001285,E01006082,E00030817,-2.351243,53.37616,2024-10-24
1201469,Trafford College (Altrincham),Health and fitness gyms,Private Use,30,Manchester Road,Altrincham,WA14 5PQ,0161 952 4734,damian.harris@tscg.ac.uk,http://www.trafford.ac.uk,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Lift,E05015242,Broadheath,E02001278,E01006096,E00030875,-2.350024,53.40521,2025-02-04
1201493,Wellington School,Health and fitness gyms,Private Use,14,Wellington Road,Altrincham,WA15 7RH,0161 928 4157,admin@wellington.trafford.sch.uk,http://www.wellington.trafford.sch.uk,No,Yes,Yes,Yes,80,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Ramps.,E05015257,Timperley Central,E02001281,E01006191,E00031409,-2.335015,53.39408,2025-08-27
1201500,North Cestrian School,Health and fitness gyms,Private Use,9,Dunham Road,Altrincham,WA14 4AJ,0161 928 1856,office@northcestrian.co.uk,https://www.northcestrian.co.uk/,No,Yes,Yes,Yes,30,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.355928,53.38824,2025-07-24
1203095,St Ambrose College,Health and fitness gyms,Private Use,34,Hale Road,Altrincham,WA15 0HE,0161 694 0111,support@vivifyvenues.com,https://www.vivifyvenues.com/venues/st-ambrose-college,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031096,-2.320333,53.37146,2025-08-04
1203099,Lostock College,Health and fitness gyms,Private Use,16,Selby Road,Manchester,M32 9PL,0161 864 5700,school@lostock.trafford.sch.uk,http://www.lostock.trafford.sch.uk,No,No,Yes,Yes,120,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001264,E01006159,E00031190,-2.330955,53.45411,2025-07-17
1203691,Stretford Sports Village (Talbot Centre),Health and fitness gyms,Registered Membership use,40,Great Stone Road,Manchester,M32 0XA,0161 749 2570,stretford@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-talbot/,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006187,E00031358,-2.293706,53.45722,2025-07-10
30003837,Trafford College,Health and fitness gyms,Private Use,39,Talbot Road,Manchester,M32 0XH,0161 886 7070,info@trafford.ac.uk,http://www.trafford.ac.uk/,No,No,Yes,Yes,130,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006186,E00181713,-2.290515,53.45752,2025-04-30
30006369,The Gym Group (Altrincham),Health and fitness gyms,Registered Membership use,100,Atlantic Street,Altrincham,WA14 5FA,0330 056 3716,NA,https://www.thegymgroup.com/find-a-gym/altrincham/,No,No,No,Yes,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015242,Broadheath,E02001282,E01006089,E00030857,-2.355733,53.39809,2025-01-30
30008895,Snap Fitness (Manchester Sale),Health and fitness gyms,Registered Membership use,150,Springfield Road,Sale,M33 7XS,01619621785,sale@snapfitness.co.uk,https://www.snapfitness.com/uk/gyms/sale,No,No,No,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015254,Sale Central,E02001273,E01006160,E00031209,-2.321437,53.42397,2024-11-04
30009967,The Gym Group (Manchester Old Trafford),Health and fitness gyms,Registered Membership use,200,Chester Road,Manchester,M16 0RP,00000 000000,NA,https://www.thegymgroup.com/find-a-gym/manchester-old-trafford/,No,No,No,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006186,E00031368,-2.282486,53.46151,2025-02-20
50000839,Nrg Gym (Stretford Manchester),Health and fitness gyms,Registered Membership use,150,Chester Road,Manchester,M32 0QW,NA,manchester1@nrggym.com,https://nrggym.com/gyms/manchester/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006186,E00181713,-2.290571,53.45905,2024-12-18
