site_id,site_name,facility_type,access_type,courts_on_site,artificial_sports_lighting_courts,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1043816,Hale Barns Tennis Club,Outdoor tennis courts,Sports Club / Community Association,5,1,Chapel Lane,Altrincham,WA15 0AQ,NA,tennisclubhalebarns@gmail.com,https://www.halebarnstennisclub.com/,No,No,No,Yes,20,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031101,-2.314639,53.36609,2025-04-09
1044482,Heyes Grove Tennis Club,Outdoor tennis courts,Sports Club / Community Association,6,1,Heyes Lane,Altrincham,WA15 6PG,0161 980 8932,enquiries@heyesgrovetennis.com,https://clubspark.lta.org.uk/HeyesGroveTennisClub,No,No,No,Yes,30,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,NA,E05015257,Timperley Central,E02001279,E01006190,E00031399,-2.323696,53.39943,2025-05-23
1200491,Blessed Thomas Holford Catholic College,Outdoor tennis courts,Sports Club / Community Association,4,1,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
1201410,The Grammar,Outdoor tennis courts,Registered Membership use,4,0,Marlborough Road,Altrincham,WA14 2RS,0161 929 1078,thegrammarteam@traffordleisure.co.uk,https://thegrammar.co.uk/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015248,Hale,E02001285,E01006082,E00030817,-2.351243,53.37616,2024-10-24
1201500,North Cestrian School,Outdoor tennis courts,Private Use,4,0,Dunham Road,Altrincham,WA14 4AJ,0161 928 1856,office@northcestrian.co.uk,https://www.northcestrian.co.uk/,No,Yes,Yes,Yes,30,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.355928,53.38824,2025-07-24
1208702,Sale Sports Club,Outdoor tennis courts,Sports Club / Community Association,6,2,Clarendon Crescent,Sale,M33 2DE,0161 973 7250,information@salesportsclub.com,http://www.salesportsclub.com,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,NA,E05015254,Sale Central,E02001272,E01006164,E00031236,-2.304944,53.42772,2025-06-30
1208707,Brooklands Sports Club,Outdoor tennis courts,Sports Club / Community Association,13,2,Whitehall Road,Sale,M33 3NL,0161 9697582,membership@brooklandssportsclub.co.uk,http://www.brooklandssportsclub.co.uk,No,No,Yes,Yes,130,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ramps in place to access the clubhouse and bar/cafe area,E05015243,Brooklands,E02001273,E01006097,E00030901,-2.316796,53.41512,2025-02-05
1208750,Urmston Sports Club,Outdoor tennis courts,Sports Club / Community Association,11,0,Moorside Road,Manchester,M41 5UU,0161 748 4660,admin@urmstonsportsclub.co.uk,http://www.urmstonchbts.org.uk,No,No,Yes,Yes,30,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,E05015259,Urmston,E02001268,E01006197,E00031442,-2.361093,53.45121,2024-08-02
6006142,Ashton Park (Sale),Outdoor tennis courts,Pay and Play,2,0,Grosvenor Road,Sale,M33 6WL,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015240,Ashton upon Mersey,E02001271,E01006170,E00031244,-2.335829,53.42962,2025-07-11
6006152,Stamford Park,Outdoor tennis courts,Free Public Access,3,0,Stamford Park Road,Altrincham,WA15 9EN,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,Yes,No,Yes,No,No,No,Yes,No,No,NA,E05015248,Hale,E02001282,E01006194,E00031412,-2.34223,53.38422,2025-05-20
6006183,Walton Park,Outdoor tennis courts,Free Public Access,2,0,Walton Road,Sale,M33 4AT,NA,info@traffordleisure.co.uk,http://www.traffordleisure.co.uk,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015243,Brooklands,E02001279,E01006101,E00030899,-2.331353,53.41474,2025-05-20
6006197,Halecroft Park,Outdoor tennis courts,Free Public Access,1,0,Hale Road,Altrincham,WA15 8SN,0161 912 2000,NA,https://traffordleisure.co.uk/,No,No,No,Yes,14,No,Yes,No,Yes,No,No,No,No,No,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031098,-2.31843,53.37256,2025-04-25
20000044,Victoria Park (Stretford),Outdoor tennis courts,Free Public Access,3,0,Victoria Road,Manchester,M32 0AD,NA,info@traffordleisure.co.uk,http://www.trafford.gov.uk,No,No,No,No,0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,NA,E05015256,Stretford & Humphrey Park,E02001269,E01006181,E00031321,-2.310412,53.44896,2025-05-20
30003080,Bowdon Bowling And Lawn Tennis Club,Outdoor tennis courts,Registered Membership use,6,1,St Mary's Road,Altrincham,WA14 2PL,0161 928 3905,tennis@bbltc.org.uk,http://bbltc.org.uk/,No,No,No,Yes,8,No,No,No,No,No,No,No,No,No,No,NA,E05015241,Bowdon,E02001285,E01006082,E00030829,-2.361021,53.37889,2025-02-25
30006652,Claremont Tennis Club,Outdoor tennis courts,Registered Membership use,4,1,Claremont Drive,Altrincham,WA14 5ND,0161 5319930,claremonttennis.club@gmail.com,https://www.claremonttennis.co.uk/,No,No,No,Yes,25,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015242,Broadheath,E02001282,E01006089,E00030881,-2.348728,53.40395,2024-08-02
30006997,Hale Lawn Tennis Club,Outdoor tennis courts,Registered Membership use,10,2,Park Avenue,Altrincham,WA15 9DL,0161 980 3855,tennishaleltc@gmail.com,https://clubspark.lta.org.uk/HaleLawnTennisClub,No,No,Yes,Yes,6,Yes,Yes,No,No,No,No,No,No,Yes,No,NA,E05015248,Hale,E02001284,E01006083,E00030837,-2.333573,53.37514,2025-01-23
30007297,Hale Village Tennis Club,Outdoor tennis courts,Registered Membership use,3,0,Leigh Road,Hale,WA15 9BJ,00000 000000,halevillage.tennis@gmail.com,https://clubspark.lta.org.uk/halevillageltc,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015248,Hale,E02001284,E01006083,E00030836,-2.343515,53.3778,2024-10-14
