site_id,site_name,facility_type,access_type,facility_areas_on_site,badminton_courts_total,basketball_courts_total,cricket_nets_total,five_a_side_pitches_total,futsal_courts_total,netball_courts_total,volleyball_courts_total,clearance_exists_ball_shuttlecock,gymnastics_trampoline_use,floor_matting,moveable_balance_apparatus,moveable_large_apparatus,moveable_rebound_apparatus,moveable_trampolines,small_apparatus,swinging_and_hanging_apparatus,street,town,postcode,telephone,email,website,nursery,first_aid_room,cycle_park,car_park,car_park_capacity,disability_parking,disability_finding_reaching_entrance,disability_reception_area,disability_activity_area,disability_social_areas,disability_spectator_areas,disability_doorways,disability_emergency_exits,disability_toilets,disability_changing_facilities,disability_notes,ward_code,ward_name,msoa_code,lsoa_code,oa_code,lon,lat,site_last_updated_date
1008949,Altrincham College,Sports halls,Sports Club / Community Association,2,5,1,2,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Green Lane,Altrincham,WA15 8QW,0161 980 7173,headteacher@altrinchamcollege.com,http://www.altrinchamcollege.com,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gym Upstairs.,E05015249,Hale Barns & Timperley South,E02001284,E01006140,E00031077,-2.324081,53.38405,2025-07-25
1018749,Old Trafford Sports Barn,Sports halls,Sports Club / Community Association,1,4,1,0,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,St Hildas Road,Old Trafford,M16 9PQ,0161 749 2570,info@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/sports-barn/,No,No,No,Yes,25,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015253,Old Trafford,E02001259,E01034001,E00181583,-2.273094,53.46046,2025-05-28
1040932,Flixton Cricket And Sports Club,Sports halls,Sports Club / Community Association,1,1,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Lawrence Road,Manchester,M41 8UU,0161 748 2546,info@flixtoncricketandsportsclub.com,http://flixtoncricketandsportsclub.com/,No,Yes,Yes,Yes,74,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,E05015245,Davyhulme,E02001265,E01006130,E00031058,-2.387693,53.45212,2024-09-24
1043459,A S E Club,Sports halls,Sports Club / Community Association,1,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,High Bank,Altrincham,WA14 4NS,0161 928 1765,NA,NA,No,No,No,Yes,9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.351755,53.38898,2025-06-20
1043816,Hale Barns Tennis Club,Sports halls,Sports Club / Community Association,1,0,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Chapel Lane,Altrincham,WA15 0AQ,NA,tennisclubhalebarns@gmail.com,https://www.halebarnstennisclub.com/,No,No,No,Yes,20,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031101,-2.314639,53.36609,2025-04-09
1044454,Partington Central Academy,Sports halls,Private Use,1,3,1,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Central Road,Manchester,M31 4FL,0161 775 2937,Office@partingtoncentralacademy.co.uk,http://partingtoncentralacademy.co.uk/,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006104,E00030934,-2.426585,53.41719,2025-01-14
1044482,Heyes Grove Tennis Club,Sports halls,Sports Club / Community Association,1,0,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Heyes Lane,Altrincham,WA15 6PG,0161 980 8932,enquiries@heyesgrovetennis.com,https://clubspark.lta.org.uk/HeyesGroveTennisClub,No,No,No,Yes,30,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,NA,E05015257,Timperley Central,E02001279,E01006190,E00031399,-2.323696,53.39943,2025-05-23
1103377,Altrincham Grammar School For Girls (Sixth Form Centre),Sports halls,Sports Club / Community Association,1,4,1,0,1,0,1,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Green Courts,Bowdon,WA14 2SR,0161 912 5912,sixthformadmin@aggs.bright-futures.co.uk,http://www.aggs.trafford.sch.uk,No,No,Yes,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,NA,E05015241,Bowdon,E02001285,E01006082,E00030829,-2.36534,53.38112,2024-12-09
1103425,Urmston Grammar Academy,Sports halls,Sports Club / Community Association,2,5,1,1,0,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Newton Road,Manchester,M41 5UG,0161 748 2875,office@urmstongrammar.org.uk,https://www.urmstongrammar.org.uk/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015259,Urmston,E02001267,E01006201,E00031440,-2.361042,53.45057,2024-10-15
1200491,Blessed Thomas Holford Catholic College,Sports halls,Sports Club / Community Association,1,1,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Urban Road,Altrincham,WA15 8HT,0161 768 6030,blessedthomas.admin@trafford.gov.uk,http://www.bthcc.org.uk,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001282,E01006194,E00168591,-2.341248,53.38751,2025-08-14
1201067,Manor Academy Sale,Sports halls,Sports Club / Community Association,1,6,1,2,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Manor Avenue,Sale,M33 5JX,0161 5323251,admin@manoracademysale.org.uk,https://www.manoracademysale.org/page/?title=Facilities+for+Hire&pid=28,No,Yes,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015252,Manor,E02001271,E01006166,E00031247,-2.354789,53.42466,2025-07-29
1201252,Wellacre Academy,Sports halls,Sports Club / Community Association,2,1,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Irlam Road,Manchester,M41 6AP,0161 748 5011,admin@wellacre.org,http://www.wellacre.org,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015246,Flixton,E02001265,E01006132,E00031042,-2.394993,53.44688,2024-10-09
1201391,St John Vianney Upper School,Sports halls,Private Use,2,2,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Rye Bank Road,Manchester,M16 0EX,0161 881 7843,admin@stjohnvianneyschool.co.uk,https://stjohnvianneyschool.co.uk/our-school/,No,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,E05015250,Longford,E02001262,E01006146,E00031124,-2.278292,53.45148,2025-07-29
1201410,The Grammar,Sports halls,Registered Membership use,1,4,1,2,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Marlborough Road,Altrincham,WA14 2RS,0161 929 1078,thegrammarteam@traffordleisure.co.uk,https://thegrammar.co.uk/,No,No,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,NA,E05015248,Hale,E02001285,E01006082,E00030817,-2.351243,53.37616,2024-10-24
1201446,Flixton Girls School,Sports halls,Pay and Play,1,2,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Flixton Road,Manchester,M41 5DR,0161 912 2949,flixtongirls@vantageacademies.co.uk,https://www.flixtongirls.com/about-fgs/community-hire/,No,Yes,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1x disabled parking bay available.,E05015246,Flixton,E02001268,E01006129,E00031044,-2.371093,53.4497,2024-11-06
1201454,Broadoak School,Sports halls,Private Use,1,1,0,0,0,0,0,0,Yes,Yes,Yes,Not Known,Not Known,Not Known,Yes,Not Known,Not Known,Warburton Lane,Manchester,M31 4BU,0161 776 1977,office@broadoak.trafford.sch.uk,https://broadoakschool.co.uk/contact/,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030943,-2.429872,53.41343,2025-04-16
1201456,Loreto Grammar School,Sports halls,Private Use,2,3,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Dunham Road,Altrincham,WA14 4AH,0161 928 3703,info@loretogrammar.co.uk,http://www.loretogrammar.co.uk,No,Yes,Yes,Yes,50,No,Yes,No,No,No,No,No,Yes,Yes,Yes,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.357252,53.38828,2024-08-02
1201462,St Antonys Catholic College,Sports halls,Sports Club / Community Association,2,3,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Bradfield Road,Manchester,M41 9PD,0161 911 8001,stantonys.admin@trafford.gov.uk,https://www.st-antonys.com,No,No,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015256,Stretford & Humphrey Park,E02001266,E01006156,E00031180,-2.337363,53.44939,2025-08-12
1201469,Trafford College (Altrincham),Sports halls,Private Use,1,4,1,2,1,0,0,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Manchester Road,Altrincham,WA14 5PQ,0161 952 4734,damian.harris@tscg.ac.uk,http://www.trafford.ac.uk,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Lift,E05015242,Broadheath,E02001278,E01006096,E00030875,-2.350024,53.40521,2025-02-04
1201493,Wellington School,Sports halls,Private Use,2,6,1,1,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Wellington Road,Altrincham,WA15 7RH,0161 928 4157,admin@wellington.trafford.sch.uk,http://www.wellington.trafford.sch.uk,No,Yes,Yes,Yes,80,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Ramps.,E05015257,Timperley Central,E02001281,E01006191,E00031409,-2.335015,53.39408,2025-08-27
1201500,North Cestrian School,Sports halls,Sports Club / Community Association,1,3,1,2,0,0,1,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Dunham Road,Altrincham,WA14 4AJ,0161 928 1856,office@northcestrian.co.uk,https://www.northcestrian.co.uk/,No,Yes,Yes,Yes,30,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,NA,E05015239,Altrincham,E02001283,E01006075,E00030782,-2.355928,53.38824,2025-07-24
1203067,Stretford Grammar School,Sports halls,Private Use,1,1,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Granby Road,Manchester,M32 8JB,0161 865 2293,admin@stretfordgrammar.com,http://www.stretfordgrammar.com,No,No,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015250,Longford,E02001269,E01006143,E00031135,-2.298265,53.44371,2025-01-30
1203069,Sale High School,Sports halls,Sports Club / Community Association,2,8,1,2,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Norris Road,Sale,M33 3JR,0161 973 2713,info@salehighschool.org.uk,https://salehighschool.org.uk/,No,Yes,Yes,Yes,70,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015243,Brooklands,E02001272,E01006099,E00030888,-2.304739,53.41421,2025-02-26
1203088,Egerton High School,Sports halls,Private Use,1,1,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Kingsway Park,Manchester,M41 7FZ,0161 749 7094,admin@egerton-school.trafford.sch.uk,https://www.egertonhighschool.co.uk/,No,No,No,Yes,30,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,NA,E05015251,Lostock & Barton,E02001260,E01006121,E00030979,-2.343423,53.45965,2025-01-27
1203095,St Ambrose College,Sports halls,Sports Club / Community Association,1,4,1,2,0,0,1,1,Yes,No,No,No,No,No,No,No,No,Hale Road,Altrincham,WA15 0HE,0161 694 0111,support@vivifyvenues.com,https://www.vivifyvenues.com/venues/st-ambrose-college,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006135,E00031096,-2.320333,53.37146,2025-08-04
1203099,Lostock College,Sports halls,Sports Club / Community Association,2,5,1,1,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Selby Road,Manchester,M32 9PL,0161 864 5700,school@lostock.trafford.sch.uk,http://www.lostock.trafford.sch.uk,No,No,Yes,Yes,120,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015251,Lostock & Barton,E02001264,E01006159,E00031190,-2.330955,53.45411,2025-07-17
1203691,Stretford Sports Village (Talbot Centre),Sports halls,Sports Club / Community Association,1,4,1,0,0,0,1,1,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Great Stone Road,Manchester,M32 0XA,0161 749 2570,stretford@traffordleisure.co.uk,https://traffordleisure.co.uk/centres/stretford-talbot/,No,No,Yes,Yes,50,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015247,Gorse Hill & Cornbrook,E02001261,E01006187,E00031358,-2.293706,53.45722,2025-07-10
6005160,Moss Lane,Sports halls,Sports Club / Community Association,1,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,Moss Lane,Altrincham,WA15 8AP,0161 928 1045,office@altrinchamfootballclub.com,http://www.altrinchamfc.com,No,Yes,No,Yes,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015248,Hale,E02001284,E01006139,E00031081,-2.335213,53.38299,2025-03-05
6010660,Lime Tree Primary Academy,Sports halls,Private Use,1,1,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Budworth Road,Sale,M33 2RP,0161 905 0790,admin@ltpa.bright-futures.co.uk,https://limetree.bright-futures.co.uk/,Yes,No,Yes,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015255,Sale Moor,E02001276,E01006173,E00031307,-2.299132,53.41706,2025-03-26
6010797,Oldfield Brow Primary School,Sports halls,Private Use,1,0,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Taylor Road,Altrincham,WA14 4LE,0161 926 8646,office@oldfield-brow.com,http://www.oldfield-brow.com,No,Yes,Yes,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015241,Bowdon,E02001283,E01006074,E00030807,-2.37689,53.39186,2025-04-11
6010830,Firs Primary School,Sports halls,Private Use,1,0,0,0,0,0,0,0,No,Yes,Yes,Not Known,Not Known,Not Known,Yes,Not Known,Not Known,Firs Road,Sale,M33 5EL,0161 973 7350,firs.admin@trafford.gov.uk,http://www.firsprimary.co.uk/,Yes,Yes,Yes,Yes,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015252,Manor,E02001274,E01006172,E00031273,-2.351001,53.42338,2025-09-12
30002941,Broadheath Primary School,Sports halls,Sports Club / Community Association,1,0,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Sinderland Road,Altrincham,WA14 5JQ,0161 928 4748,broadheath.admin@trafford.gov.uk,http://www.broadheathprimaryschool.com/,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,NA,E05015242,Broadheath,E02001277,E01006091,E00168590,-2.360126,53.40446,2024-11-06
30003071,Acre Hall Primary School,Sports halls,Private Use,1,0,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Irlam Road,Manchester,M41 6NA,0161 748 4356,admin@acrehall.trafford.sch.uk,http://www.acrehall.trafford.sch.uk/home,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015245,Davyhulme,E02001265,E01006126,E00031022,-2.394123,53.44884,2024-10-14
30004118,Elmridge Primary School,Sports halls,Private Use,1,0,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Wilton Drive,Altrincham,WA15 0JF,0161 980 4941,admin@eps.bright-futures.co.uk,https://elmridge.bright-futures.co.uk/,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,E05015249,Hale Barns & Timperley South,E02001286,E01006136,E00031104,-2.310756,53.36698,2025-01-21
30006871,Partington Pavilion And Moss View Playing Field,Sports halls,Sports Club / Community Association,1,0,0,0,0,0,0,0,No,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Moss View Road,Manchester,M31 4DX,00000000000,NA,NA,No,No,No,No,0,No,No,No,Yes,No,No,No,No,No,No,NA,E05015244,Bucklow-St Martins,E02001275,E01006107,E00030941,-2.418777,53.41779,2024-09-24
30008531,The Fuse,Sports halls,Sports Club / Community Association,1,1,0,0,0,0,0,0,Yes,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Warburton Lane,Manchester,M31 4BU,0161 393 4511,contact@usethefuse.co.uk,https://usethefuse.co.uk/,No,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,NA,E05015244,Bucklow-St Martins,E02001275,E01006105,E00030945,-2.430945,53.41244,2025-02-07
