area_code,area_name,geography,period,indicator,distance_travelled_category,measure,unit,value
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,345
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,534
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,733
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,338
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,102
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,42
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,34
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,35
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,2395
E05000823,Brooklands,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,427
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,379
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,371
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,1056
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,620
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,73
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,35
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,22
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,43
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,937
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,650
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,606
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,1165
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,708
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,357
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,75
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,30
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,54
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,62
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,2153
E05000825,Clifford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,674
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,583
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,609
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,761
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,377
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,52
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,30
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,34
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,42
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,1669
E05000826,Davyhulme East,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,531
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,447
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,629
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,825
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,583
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,68
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,37
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,13
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,40
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,1650
E05000827,Davyhulme West,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,575
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,465
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,567
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,803
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,593
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,97
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,35
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,25
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,34
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,2011
E05000828,Flixton,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,649
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,681
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,1148
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,898
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,378
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,70
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,29
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,30
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,36
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,1898
E05000829,Gorse Hill,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,820
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,210
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,472
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,371
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,615
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,161
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,58
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,91
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,49
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,1968
E05000830,Hale Barns,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,308
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,406
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,361
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,369
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,639
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,128
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,43
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,64
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,42
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,2868
E05000831,Hale Central,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,372
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,565
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,1108
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,784
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,305
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,67
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,35
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,59
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,49
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,2253
E05000832,Longford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,687
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,394
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,658
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,932
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,347
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,85
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,38
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,34
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,38
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,2856
E05000833,Priory,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,460
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,358
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,742
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,875
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,256
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,95
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,33
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,47
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,39
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,2103
E05000835,Sale Moor,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,536
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,431
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,834
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,780
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,472
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,127
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,45
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,38
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,39
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,1854
E05000834,St Mary's,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,640
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,407
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,1008
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,902
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),10km to less than 20km,Count,Persons,331
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),20km to less than 30km,Count,Persons,53
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),30km to less than 40km,Count,Persons,27
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),40km to less than 60km,Count,Persons,34
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),60km and over,Count,Persons,57
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Works mainly from home,Count,Persons,1989
E05000836,Stretford,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),"Works mainly at an offshore installation, in no fixed place, or outside the UK",Count,Persons,652
E05000837,Timperley,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),Less than 2km,Count,Persons,447
E05000837,Timperley,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),2km to less than 5km,Count,Persons,694
E05000837,Timperley,Electoral ward,2021-03-21,Distance travelled to work by usual residents (aged 16 years and over in employment the week before the census),5km to less than 10km,Count,Persons,635
