area_code,area_name,geography,period,indicator,hours_worked_category,measure,unit,value
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,107
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,194
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,378
E01006112,Trafford 001D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,40
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,117
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,209
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,643
E01006188,Trafford 001F,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,71
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,67
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,105
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,541
E01034000,Trafford 001G,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,51
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,92
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,170
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,374
E01034001,Trafford 001H,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,57
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,45
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,138
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,425
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,55
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,54
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,154
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,555
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,71
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,52
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,110
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,491
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,54
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,66
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,157
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,520
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,58
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,58
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,132
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,456
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,48
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,78
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,174
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,517
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,55
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,100
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,216
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,690
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,86
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,103
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,263
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,921
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,108
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,93
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,225
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,738
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,92
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,95
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,152
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,410
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,60
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,89
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,142
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,398
E01006114,Trafford 004B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,49
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,79
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,141
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,441
E01006115,Trafford 004C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,52
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,100
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,201
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,527
E01006145,Trafford 004D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,55
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,100
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,177
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,496
E01006146,Trafford 004E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,60
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,71
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,160
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,583
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,73
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,85
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,139
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,483
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,102
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,56
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,113
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,426
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,84
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,63
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,178
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,603
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,88
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,69
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,137
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,475
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,75
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,74
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,167
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,643
E01006155,Trafford 006A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,77
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,78
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,166
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,576
E01006157,Trafford 006B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,57
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,80
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,176
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,493
E01006159,Trafford 006C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,66
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,66
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,156
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,520
E01006182,Trafford 006D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,52
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,86
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,144
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,532
E01006183,Trafford 006E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,75
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,71
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,130
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,464
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,68
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,82
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,177
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,500
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,63
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,47
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,143
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,492
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,77
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,71
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,167
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,594
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,83
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,80
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,145
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,468
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,79
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,43
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,168
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,488
E01006156,Trafford 008A,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,61
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,99
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,150
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,499
E01006158,Trafford 008B,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,61
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,71
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,165
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 31 to 48 hours worked,Count,Persons,541
E01006179,Trafford 008C,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Full-time: 49 or more hours worked,Count,Persons,82
E01006184,Trafford 008D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 15 hours or less worked,Count,Persons,68
E01006184,Trafford 008D,Lower-layer Super Output Area,2021-03-21,Hours worked per week by usual residents (aged 16 years and over in employment the week before the census),Part-time: 16 to 30 hours worked,Count,Persons,133
