area_code,area_name,geography,period,indicator,economic_activity_status,measure,unit,value
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,0
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Count,Persons,0
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Count,Persons,1
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Count,Persons,1
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: Unemployed,Count,Persons,33
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Retired,Count,Persons,1543
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Student,Count,Persons,251
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Looking after home or family,Count,Persons,176
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Long-term sick or disabled,Count,Persons,192
E02001260,Trafford 002,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Other,Count,Persons,120
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,909
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,2858
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,29
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,59
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,233
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,274
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed,Count,Persons,265
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,74
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,18
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,1
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Count,Persons,8
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Count,Persons,0
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: Unemployed,Count,Persons,49
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Retired,Count,Persons,811
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Student,Count,Persons,382
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Looking after home or family,Count,Persons,359
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Long-term sick or disabled,Count,Persons,329
E02001261,Trafford 003,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Other,Count,Persons,264
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,881
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,2169
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,28
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,72
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,271
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,276
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed,Count,Persons,253
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,95
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,28
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Count,Persons,6
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Count,Persons,0
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: Unemployed,Count,Persons,41
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Retired,Count,Persons,1059
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Student,Count,Persons,490
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Looking after home or family,Count,Persons,517
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Long-term sick or disabled,Count,Persons,371
E02001262,Trafford 004,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Other,Count,Persons,305
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,770
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,2608
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,24
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,84
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,192
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,285
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed,Count,Persons,109
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,82
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,10
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Count,Persons,1
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Count,Persons,0
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: Unemployed,Count,Persons,20
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Retired,Count,Persons,1932
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Student,Count,Persons,228
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Looking after home or family,Count,Persons,171
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Long-term sick or disabled,Count,Persons,207
E02001263,Trafford 005,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Other,Count,Persons,135
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,840
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,2726
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,20
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,68
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,256
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,280
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed,Count,Persons,182
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,74
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,19
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,1
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Count,Persons,3
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Count,Persons,0
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: Unemployed,Count,Persons,26
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Retired,Count,Persons,1166
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Student,Count,Persons,338
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Looking after home or family,Count,Persons,317
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Long-term sick or disabled,Count,Persons,218
E02001264,Trafford 006,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Other,Count,Persons,201
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,849
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,2563
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,10
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,61
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,169
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,252
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed,Count,Persons,152
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,84
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,12
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Count,Persons,0
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: Unemployed,Count,Persons,26
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Retired,Count,Persons,1568
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Student,Count,Persons,270
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Looking after home or family,Count,Persons,205
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Long-term sick or disabled,Count,Persons,262
E02001265,Trafford 007,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Other,Count,Persons,153
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,671
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,2020
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,20
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,59
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,155
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,195
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed,Count,Persons,182
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,50
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,18
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,0
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Count,Persons,1
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Count,Persons,1
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Count,Persons,1
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: Unemployed,Count,Persons,23
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Retired,Count,Persons,1163
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Student,Count,Persons,276
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Looking after home or family,Count,Persons,237
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Long-term sick or disabled,Count,Persons,300
E02001266,Trafford 008,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically inactive: Other,Count,Persons,204
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Part-time,Count,Persons,630
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Employee: Full-time,Count,Persons,2455
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Count,Persons,17
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Count,Persons,50
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Count,Persons,169
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Count,Persons,230
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active (excluding full-time students): Unemployed,Count,Persons,143
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Part-time,Count,Persons,59
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Employee: Full-time,Count,Persons,11
E02001267,Trafford 009,Middle-layer Super Output Area,2021-03-21,Economic activity status of usual residents (aged 16 years and over),Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Count,Persons,0
