area_code,area_name,geography,period,indicator,socio_economic_classification,measure,unit,value
E08000003,Manchester,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,32563
E08000003,Manchester,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,17588
E08000003,Manchester,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,42574
E08000003,Manchester,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,52982
E08000003,Manchester,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,57390
E08000003,Manchester,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,76856
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,14714
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,30561
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,22121
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,17969
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,10412
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,22053
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,28856
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,25354
E08000004,Oldham,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,14994
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,15011
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,30048
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,20827
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,17151
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,9538
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,20926
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,27136
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,21943
E08000005,Rochdale,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,12367
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,24933
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,41121
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,26663
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,16793
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,10884
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,23662
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,28578
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,23136
E08000006,Salford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,21153
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,38178
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,54976
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,32518
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,23435
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,11351
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,24917
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,22890
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,18221
E08000007,Stockport,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,12441
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,16206
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,33217
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,25226
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,17125
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,11756
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,24154
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,28002
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,18948
E08000008,Tameside,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,10502
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,35353
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,43063
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,23383
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,17163
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,7841
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,17286
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,15945
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,14076
E08000009,Trafford,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,12042
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L1, L2 and L3 Higher managerial, administrative and professional occupations",Count,Persons,24326
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)","L4, L5 and L6 Lower managerial, administrative and professional occupations",Count,Persons,50961
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L7 Intermediate occupations,Count,Persons,33506
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L8 and L9 Small employers and own account workers,Count,Persons,24802
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L10 and L11 Lower supervisory and technical occupations,Count,Persons,17541
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L12 Semi-routine occupations,Count,Persons,34482
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L13 Routine occupations,Count,Persons,43775
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L14.1 and L14.2 Never worked and long-term unemployed,Count,Persons,25306
E08000010,Wigan,Local authority,2021-03-21,"National Statistics Socio-economic Classification (NS-SEC) of usual residents, (aged 16 years and over)",L15 Full-time students,Count,Persons,13995
