name,type,address,postcode,telephone,website,area_name,area_code,lon,lat
Ashton 7 Day Access Hub,Doctors/GPs|Doctors/GPs,"Ashton Primary Care Centre, 193 Old Street, Ashton-Under-Lyne",OL6 7SR,1613427e3,NA,Tameside,E0800008,-2.099213,53.486097
Hyde 7 Day Access Hub,Doctors/GPs|Doctors/GPs,"Haughton Thornley Medical Centre, Thornley House, Thornley Street, Hyde",SK14 1JY,7533992822,NA,Tameside,E0800008,-2.076116,53.446746
Cheetham Hill Medical Centre,Doctors/GPs|Doctors/GPs,"244 Cheetham Hill Road, Cheetham Hill, Manchester",M8 8UP,NA,NA,Manchester,E0800003,-2.23526,53.501162
Conran Medical Centre,Doctors/GPs|Doctors/GPs,"77 Church Lane, Harpurhey, Manchester",M9 1BA,NA,NA,Manchester,E0800003,-2.210459,53.515913
North Manchester General Hospital-Outpatients A,Doctors/GPs|Doctors/GPs,"Delaunays Road, Manchester",M8 5RB,NA,NA,Manchester,E0800003,-2.229502,53.517882
Integrated Care Centre,Doctors/GPs|Doctors/GPs,"New Radcliffe Street, Oldham",OL1 1NL,1616224294,NA,Oldham,E0800004,-2.116945,53.543824
Royton Health & Wellbeing Centre,Doctors/GPs|Doctors/GPs,"Park Street, Royton, Oldham",OL2 6QW,NA,NA,Oldham,E0800004,-2.121594,53.566109
Keppel Building,Doctors/GPs|Doctors/GPs,"Ashton Road West, Failsworth, Oldham",M35 0AD,1616224294,NA,Oldham,E0800004,-2.156747,53.509855
New Islington Medical Practice,Doctors/GPs|Doctors/GPs,"Old Mill Street, Ancoats, Manchester",M4 6EE,1612725660,http://www.nismp.co.uk,Manchester,E0800003,-2.219472,53.4829
Jolly Medical Centre,Doctors/GPs|Doctors/GPs,"72 Crescent Road, Manchester",M8 9NT,1617409864,NA,Manchester,E0800003,-2.240026,53.512118
Werneth Medical Practice,Doctors/GPs|Doctors/GPs,"76A Windsor Road, Oldham",OL8 4AL,1616205677,NA,Oldham,E0800004,-2.126938,53.53497
Polska Przychodnia,Doctors/GPs|Dentist|Doctors/GPs,"482-484 Liverpool Road, Eccles, Manchester",M30 7HZ,8442092149,NA,Salford,E0800006,-2.364765,53.478949
Crown Clinic Limited,Doctors/GPs,"Ground Floor, Global House, Bailey Lane, Manchester Airport, Manchester",M90 4AB,1614374333,http://www.crownclinic.co.uk,Manchester,E0800003,-2.273202,53.371565
Springfield Medical Centre,Doctors/GPs|Doctors/GPs,"384 Liverpool Road, Eccles, Manchester",M30 8QD,1618712450,http://www.springfiled-Medical-centre.co.uk,Salford,E0800006,-2.362019,53.480252
Springfield Surgery,Doctors/GPs|Doctors/GPs,"24-28 Commercial Road, Hazel Grove, Stockport",SK7 4AA,1614265252,NA,Stockport,E0800007,-2.122229,53.382377
Woodley Village Surgery,Doctors/GPs|Doctors/GPs,"Hyde Road, Woodley, Stockport",SK6 1ND,1614269494,http://www.woodleyvillagesurgery.co.uk,Stockport,E0800007,-2.0996610000000002,53.426289
The Pike Practice,Doctors/GPs|Doctors/GPs,"Market Place, Mossley, Ashton Under Lyne",OL5 0HE,1457832861,NA,Tameside,E0800008,-2.045643,53.517861
National Unplanned Pregnancy Advisory Service Manchester,Community services - Healthcare|Doctors/GPs|Doctors/GPs|Phone/online advice,"32 Lever Street, Manchester",M1 1DE,1612281887,http://www.smpclinic.co.uk,Manchester,E0800003,-2.233215,53.482811
Halliwell Health Centre,Doctors/GPs|Doctors/GPs,"Lindfield Drive, Bolton",BL1 3RG,1204546124,NA,Bolton,E0800001,-2.431738,53.588322
John Street Medical Practice,Doctors/GPs|Doctors/GPs,"1 John Street, Oldham",OL8 1DF,NA,NA,Oldham,E0800004,-2.120116,53.540125
The Village Medical Practice,Doctors/GPs|Doctors/GPs,"High Street, Shaw, Oldham",OL2 8ST,NA,NA,Oldham,E0800004,-2.095994,53.574817
Spire Manchester Hospital,Hospital|Doctors/GPs|Doctors/GPs,"170 Barlow Moor Road, West Didsbury, Manchester",M20 2AF,NA,NA,Manchester,E0800003,-2.235069,53.414888
Hilton House Medical,Doctors/GPs|Doctors/GPs,"Hilton House, Irwell Street, Bury",BL9 0HZ,3339000150,NA,Bury,E0800002,-2.302129,53.593394
Westleigh Medical Centre,Doctors/GPs|Doctors/GPs,"4-12 Westleigh Lane, Leigh",WN7 5JE,1942483960,http://www.westleighmedicalcentre.co.uk,Wigan,E08000010,-2.526024,53.510851
Pikes Lane Centre,Doctors/GPs|Doctors/GPs,"Deane Road, Bolton",BL3 5HP,NA,NA,Bolton,E0800001,-2.446348,53.572728
AMS Clinic Manchester,Doctors/GPs,"Dr Bokhari and Partners (Cheetham Hill Medical Centre), 244 Cheetham Hill Road, Manchester",M8 8UP,NA,NA,Manchester,E0800003,-2.23526,53.501162
The Private Clinic Limited - Manchester,Doctors/GPs|Doctors/GPs,"25 St John Street, Manchester",M3 4DT,1618339393,NA,Manchester,E0800003,-2.251916,53.477731
The Village Medical Centre,Doctors/GPs|Doctors/GPs,"Peel Street, Littleborough",OL15 8AQ,1706370666,http://www.villagemclittleborough.nhs.uk,Rochdale,E0800005,-2.097994,53.642757
Cherry Medical Practice,Doctors/GPs|Doctors/GPs,"Little Hulton Health Centre, Haysbrook Avenue, Worsley, Manchester",M28 0AY,1612125380,NA,Salford,E0800006,-2.423902,53.529872
Dr Davis's Medical Practice,Doctors/GPs|Doctors/GPs,"1st Floor Newbury Place Health Centre, 55 Rigby Street, Salford",M7 4NX,1612125050,NA,Salford,E0800006,-2.260516,53.507103
The Hospital Group-Abbey Pines,Doctors/GPs|Doctors/GPs,"192 Altrincham Road, Manchester",M22 4RZ,NA,NA,Manchester,E0800003,-2.252758,53.393866
The Hospital Group-Colwyn Chambers,Doctors/GPs|Doctors/GPs,"5th Floor, Colwyn Chambers, 19 York Street, Manchester",M2 3BA,NA,NA,Manchester,E0800003,-2.239954,53.480659
Trafford Health Centre,Doctors/GPs|Doctors/GPs|Mobile doctors|Phone/online advice|Urgent care centres,"Moorside Road, Davyhulme, Manchester",M41 5SL,1617474978,http://www.mastercall.org.uk,Trafford,E0800009,-2.370681,53.45406
Town Hall Surgery,Doctors/GPs|Doctors/GPs,"112 King Street, Dukinfield",SK16 4LD,1613302125,NA,Tameside,E0800008,-2.092973,53.478374
Kirkholt Medical Practice,Doctors/GPs|Doctors/GPs,"Queens Drive, Rochdale",OL11 2NP,1706261813,NA,Rochdale,E0800005,-2.162243,53.59832
Birtle View Medical Practice,Doctors/GPs|Doctors/GPs,"George Street, Heywood",OL10 4PW,1706261823,NA,Rochdale,E0800005,-2.2277,53.595186
The Kingsway Practice,Doctors/GPs|Doctors/GPs,"285A Kingsway, Rochdale",OL16 4AT,1706261866,NA,Rochdale,E0800005,-2.136045,53.613309
Cornerstone Surgery,Doctors/GPs|Doctors/GPs,"469-471 Chorley Old Road, Bolton",BL1 6AH,1204325125,NA,Bolton,E0800001,-2.457402,53.588155
Swinton Gateway,Doctors/GPs|Doctors/GPs,"Swinton Gateway, 100 Chorley Road, Swinton, Manchester",M27 6BP,1612124231,NA,Salford,E0800006,-2.342204,53.512236
Diet UK Bolton,Doctors/GPs|Doctors/GPs,"Newlands Centre, 315 Chorley New Road, Bolton",BL1 5BP,1204493975,NA,Bolton,E0800001,-2.46548,53.579477
Viaduct Care CIC,Community services - Healthcare|Doctors/GPs|Doctors/GPs|Mobile doctors|Urgent care centres,"4th Floor, Stopford House, Stockport",SK1 3XE,7968174419,NA,Stockport,E0800007,-2.158487,53.405974
Newbury Green Medical Practice,Doctors/GPs|Doctors/GPs,"Newbury Place Health Centre, 55 Rigby Street, Salford",M7 4NX,1612125050,NA,Salford,E0800006,-2.260516,53.507103
Green Surgery Manchester,Doctors/GPs|Dentist|Doctors/GPs,"18-22 Mosley Street, Manchester",M2 3AG,1612286515,http://www.green-surgery.com,Manchester,E0800003,-2.239638,53.480776
The Birches Medical Centre,Doctors/GPs|Doctors/GPs,"Polefield Road, Prestwich, Manchester",M25 2GN,1617733037,NA,Bury,E0800002,-2.271091,53.538361
Manchester,Doctors/GPs,"66-68 Bridge Street, Manchester",M3 2RJ,1618322134,NA,Manchester,E0800003,-2.248589,53.480785
Slag Lane Medical Centre,Doctors/GPs|Doctors/GPs,"216 Slag Lane, Lowton, Warrington",WA3 2EZ,1942715200,NA,Wigan,E08000010,-2.575634,53.478569
Droylsden Road Family Practice,Doctors/GPs|Doctors/GPs,"125 Droylsden Road, Manchester",M40 1NT,1612412723,NA,Manchester,E0800003,-2.175662,53.499916
Hawkley Brook Medical Practice,Doctors/GPs|Doctors/GPs,"Chandler House, Poolstock Lane, Wigan",WN3 5HL,1942481400,http://www.hawkleybrookmedicalpractice.nhs.uk,Wigan,E08000010,-2.643772,53.529393
Five Oaks Family Practice,Doctors/GPs|Doctors/GPs,"Oak House, 47 Graham Street, Manchester",M11 3BB,1612303035,http://www.fiveoaksfamilypractice.co.uk,Manchester,E0800003,-2.19447,53.47569
Whitley Road Medical Centre,Doctors/GPs|Doctors/GPs,"1 Whitley Road, Manchester",M40 7QH,1612654407,NA,Manchester,E0800003,-2.2227,53.49493
Dr Samuel Levenson,Doctors/GPs|Doctors/GPs,"Newbury Place Health Centre, 55 Rigby Street, Salford",M7 4NX,1612125050,http://www.limefieldmedicalcentre.co.uk,Salford,E0800006,-2.260516,53.507103
Windermere Road Surgery,Doctors/GPs|Doctors/GPs,"109-111 Windermere Road, Middleton, Manchester",M24 5WF,1616676609,NA,Rochdale,E0800005,-2.205709,53.55956
West Gorton Medical Centre,Doctors/GPs|Doctors/GPs,"2 Clowes Street, Manchester",M12 5JE,1612235226,http://www.westgortonmedicalcentre.co.uk,Manchester,E0800003,-2.203859,53.467205
Durnford Medical Centre,Doctors/GPs,"113 Long Street, Middleton, Manchester",M24 6DL,1616538673,NA,Rochdale,E0800005,-2.197033,53.554038
Ashworth Street Surgery,Doctors/GPs,"85 Spotland Road, Rochdale",OL12 6RT,1616538673,NA,Rochdale,E0800005,-2.165652,53.619565
Phoenix Centre,Doctors/GPs,"Pine Street, Heywood",OL10 1DT,1616538673,NA,Rochdale,E0800005,-2.2183,53.591868
Dr Carlos Xavier & Partners,Doctors/GPs|Doctors/GPs,"208C Newton Road, Lowton, Warrington",WA3 2AQ,1942605135,NA,Wigan,E08000010,-2.561051,53.471942
Woodlands Medical Practice,Doctors/GPs|Doctors/GPs,"9 Maple Road, Brooklands, Manchester",M23 9RL,1619621332,NA,Manchester,E0800003,-2.31213,53.406624
New Bank Health Centre,Doctors/GPs|Doctors/GPs,"339 Stockport Road, Manchester",M12 4JE,1612775600,NA,Manchester,E0800003,-2.204384,53.460123
